Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-11-06,8.02,9.98,8.02,8.35,3041
2014-11-07,7.8,9.36,7.8,7.8,1542
2014-11-10,7.5,7.5,6,6,557
2014-11-12,6.5,7.9,6.5,7.9,1101
2014-11-13,7.9,7.9,7.9,7.9,10
2014-11-14,7.9,8.45,6.9,8.45,716
2014-11-17,8.44,8.44,8.44,8.44,10
2014-11-18,8.44,8.44,8.44,8.44,10
2014-11-19,8.44,8.44,8.44,8.44,5
2014-11-20,8.44,8.44,8.44,8.44,5
2014-11-25,8.45,8.48,8.45,8.48,71
2014-11-26,8.48,8.48,8.48,8.48,5
2014-11-27,8.48,8.48,8.48,8.48,5
2014-11-28,8.48,8.48,8.48,8.48,5
2014-12-01,8.48,8.48,8.48,8.48,5
2014-12-02,8.48,8.48,8.48,8.48,5
2014-12-03,8.48,8.48,8.48,8.48,5
2014-12-04,8.48,8.48,8.48,8.48,5
2014-12-05,8.48,8.49,7.9,8.49,305
2014-12-08,8.48,8.48,8.48,8.48,5
2014-12-09,8.48,8.48,8.48,8.48,5
2014-12-10,8.48,8.48,8.48,8.48,5
2014-12-11,8.48,8.48,8.48,8.48,5
2014-12-12,8.48,8.48,8.48,8.48,5
2014-12-15,8.48,8.48,8.48,8.48,5
2014-12-16,8.48,8.48,8.48,8.48,5
2014-12-17,8.48,8.48,8.48,8.48,5
2014-12-18,8.48,8.48,8.48,8.48,5
2014-12-19,8.48,8.48,8.48,8.48,5
2014-12-22,8.48,8.48,8.48,8.48,5
2014-12-23,8.48,8.48,8.48,8.48,5
2014-12-29,8.48,8.48,8.48,8.48,5
2015-01-07,8.4,8.4,8.4,8.4,5
2015-01-08,8.4,8.4,8.4,8.4,5
2015-01-09,8.4,8.4,8.4,8.4,5
2015-01-13,8.4,8.4,8.4,8.4,5
2015-01-14,8.4,8.4,8.4,8.4,5
2015-01-15,8.4,8.4,8.4,8.4,2
2015-01-16,8.4,8.4,8.4,8.4,5
2015-01-19,8.4,8.4,8.4,8.4,5
2015-01-20,8.4,8.4,8.4,8.4,5
2015-01-21,8.4,8.4,8.4,8.4,5
2015-01-22,8.4,8.4,8.4,8.4,5
2015-01-23,8.4,8.4,8.4,8.4,5
2015-01-26,8.4,8.4,8.4,8.4,5
2015-01-27,8.35,8.35,8.35,8.35,5
2015-01-28,8.34,8.34,8.34,8.34,5
2015-01-30,8.32,8.32,8.32,8.32,5
2015-02-02,8.32,8.32,8.32,8.32,2
2015-02-03,8.32,8.32,8.32,8.32,2
2015-02-04,8.32,8.32,8.32,8.32,10
2015-02-05,8.32,8.32,8.32,8.32,2
2015-02-06,8.32,8.32,8.32,8.32,10
2015-02-09,8.32,8.32,8.32,8.32,5
2015-02-10,8.32,8.32,8.32,8.32,5
2015-02-11,8.32,8.32,8.32,8.32,5
2015-02-12,8.32,8.32,8.32,8.32,2
2015-02-13,8.32,8.32,8.32,8.32,2
2015-02-16,8.32,8.32,8.32,8.32,5
2015-02-17,8.33,8.33,8.33,8.33,165
2015-02-18,8.39,8.39,8.39,8.39,50
2015-02-19,8.4,8.4,8.4,8.4,2
2015-02-20,8.4,8.4,8.4,8.4,5
2015-02-23,8.4,8.4,8.4,8.4,3
2015-02-24,8.4,8.4,8.4,8.4,3
2015-02-25,8.4,8.4,8.4,8.4,5
2015-02-26,8.4,8.4,8.4,8.4,5
2015-03-02,8.4,8.4,8.4,8.4,2
2015-03-03,8.4,8.4,8.4,8.4,5
2015-03-04,8.4,8.4,8.4,8.4,14
2015-03-10,8.4,8.4,8.4,8.4,2
2015-03-11,8.4,8.4,8.4,8.4,2
2015-03-12,8.4,8.4,7.54,7.54,307
2015-03-17,7.3,7.7,7.17,7.7,360
2015-03-18,7.7,7.7,7.19,7.19,247
2015-03-19,7.15,7.15,7.15,7.15,3
2015-03-20,7.1,7.1,7.1,7.1,5
2015-03-23,7,7,7,7,2
2015-03-24,7,8.4,6.95,8.4,517
2015-03-25,8.39,8.41,8.39,8.39,180
2015-03-26,8.4,8.4,7.5,7.5,162
2015-03-30,7.5,7.5,7.39,7.39,96
2015-04-02,7.3,8.35,7.3,8.35,280
2015-04-07,8.4,8.4,8.4,8.4,200
2015-04-08,8.4,8.4,8.4,8.4,3
2015-04-09,8.4,8.4,8.4,8.4,2
2015-04-10,8.4,8.4,8.4,8.4,5
2015-04-13,8.41,8.41,8.41,8.41,300
2015-04-14,8.42,8.42,8.42,8.42,5
2015-04-15,8.42,8.42,8.42,8.42,5
2015-04-16,8.42,8.42,8.42,8.42,5
2015-04-17,8.42,8.42,8.42,8.42,5
2015-04-20,8.42,8.42,8.42,8.42,5
2015-04-21,8.42,8.42,8.42,8.42,5
2015-04-22,8.42,8.42,8.42,8.42,5
2015-04-23,8.42,8.42,8.42,8.42,5
2015-04-24,8.42,8.42,8.42,8.42,3
2015-04-27,8.42,8.42,8.42,8.42,5
2015-04-28,8.42,8.42,8.42,8.42,5
2015-04-29,8,8,8,8,20
2015-04-30,8.2,8.6,8.2,8.6,146
2015-05-06,8.6,8.82,8.6,8.82,20
2015-05-11,8.6,8.6,8.6,8.6,10
2015-05-13,8.5,8.5,8.5,8.5,10
2015-05-14,8.2,8.6,8.2,8.6,102
2015-05-15,8.5,8.5,8.5,8.5,10
2015-05-18,8.5,8.5,8.5,8.5,5
2015-05-19,8.5,8.5,8.5,8.5,5
2015-05-20,8.5,8.5,8.5,8.5,5
2015-05-21,8.5,8.5,8.5,8.5,5
2015-05-22,8.5,8.5,8.5,8.5,5
2015-05-25,8.5,8.5,8.5,8.5,5
2015-05-26,8.5,8.5,8.5,8.5,5
2015-05-27,8.5,8.5,8.5,8.5,5
2015-05-28,8.3,8.3,8.3,8.3,60
2015-09-24,8.3,8.3,8,8,43
2015-09-25,7.9,7.9,7.9,7.9,3
2015-10-23,7.9,7.9,7.9,7.9,7
2015-11-06,8,8.19,7.77,7.77,204
2015-11-27,7.6,7.6,7.6,7.6,1
2016-02-03,7.6,7.6,7.6,7.6,10
2016-02-16,6.7,6.7,6.7,6.7,129
2016-06-15,6.8,6.8,6.8,6.8,10
2016-06-16,6.8,6.8,6.8,6.8,10
2016-06-17,6.8,6.8,6.8,6.8,10
2016-06-20,6.8,6.8,6.8,6.8,10
2016-06-21,6.8,6.8,6.8,6.8,10
2016-06-22,6.8,6.8,6.8,6.8,10
2016-06-23,6.8,6.8,6.8,6.8,10
2016-06-24,6.8,6.8,6.8,6.8,10
