Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-09-04,47.3508,49.1755,34.7695,39.2308,223750.71427975
2020-09-07,39.1393,41.0191,31.6587,31.6587,43494.642855983
2020-09-08,31.9321,31.9321,20.4363,24.542,64630.714283991
2020-09-09,23.6115,31.0193,21.714,31.0193,65965.714283955
2020-09-10,31.4757,32.662,27.0144,28.3827,27889.285713542
2020-09-11,28.4107,29.5596,27.188,27.4615,9520.7142854604
2020-09-14,26.5496,28.3743,24.6335,25.5453,19970.357142325
2020-09-15,26.6401,27.0508,23.9036,24.6428,23776.071427937
2020-09-16,25.0889,25.0889,23.2643,24.4505,14668.928571037
2020-09-17,24.8108,28.6935,23.8121,25.8057,35517.85714191
2020-09-18,26.9547,26.9547,24.8201,24.9069,10896.428571138
2020-09-21,26.0017,26.8959,23.7207,23.7207,45588.214284499
2020-09-22,24.6335,24.8155,22.8088,23.7207,18218.571428086
2020-09-23,23.7207,25.3633,21.9417,24.4281,24312.857142209
2020-09-24,24.3553,26.3667,23.2643,24.9704,9563.5714283164
2020-09-25,25.8188,26.0335,24.1817,25.5407,17152.499999543
2020-09-28,25.5453,29.6511,25.5407,29.1359,73438.92856947
2020-09-29,29.4233,38.318,29.1947,36.9404,195818.57142335
2020-09-30,37.6796,42.4695,30.2437,32.2784,156277.49999583
2020-10-01,31.8407,34.4549,29.6511,33.3004,58571.785712724
2020-10-02,34.4867,37.8625,33.0316,36.4933,85550.357140576
2020-10-05,37.31,39.2121,34.2169,36.8312,67228.928569636
2020-10-06,36.4933,37.1047,33.7568,33.7568,62470.714284048
2020-10-07,34.2085,37.2232,33.8025,37.0412,36266.785713319
2020-10-08,37.8625,54.376,37.8625,53.6461,259585.71427879
2020-10-09,54.7409,66.9387,53.6461,62.2216,282752.1428496
2020-10-12,65.6889,69.3383,59.85,65.8709,133723.92856786
2020-10-13,66.8929,67.0208,57.4775,61.8109,62690.357141185
2020-10-14,62.0396,64.7761,53.0068,54.9229,63650.35714116
2020-10-15,52.0035,53.6004,44.1569,51.6385,99063.214283073
2020-10-16,53.3717,61.866,53.3717,60.2149,71662.499998089
2020-10-19,63.8643,64.7761,57.4775,58.7552,50485.714284368
2020-10-20,60.2149,62.0396,57.5783,62.0396,26911.071427854
2020-10-21,63.4079,63.4079,58.3987,59.3021,24048.214285073
2020-10-22,60.4884,60.4884,57.6147,57.9245,14139.642856766
2020-10-23,58.3903,60.7983,57.4868,60.7619,19016.785713779
2020-10-26,60.7619,66.2909,59.4393,61.1268,67079.999998211
2020-10-27,61.8567,62.9515,58.3903,59.1201,21504.642856569
2020-10-28,59.1201,59.1201,41.9673,51.0907,213849.64285144
2020-10-29,53.3717,54.6215,45.7081,49.7224,97968.214283102
2020-10-30,49.7131,49.7131,42.0775,45.2975,63796.07142687
2020-11-02,43.9749,48.0807,43.792,46.5295,27917.142856398
2020-11-03,46.5295,48.6276,45.6167,47.1408,16870.714285264
2020-11-04,48.1264,51.5471,44.7048,46.4287,52529.999998599
2020-11-05,46.4287,48.3355,45.6167,46.5108,25526.785713605
2020-11-06,45.8911,46.438,44.2484,45.0697,20849.999999444
2020-11-09,45.6167,47.852,29.1947,37.8168,103303.92856867
2020-11-10,34.6687,39.0395,31.0193,38.318,85015.714283447
2020-11-12,40.5076,43.792,37.4061,40.8725,31679.999999155
2020-11-13,40.1427,41.7853,37.5975,39.6872,18326.785713797
2020-11-16,36.4933,38.2275,31.9321,33.6653,78325.714283626
2020-11-17,33.0363,33.656,30.1168,30.7001,42771.428570288
2020-11-18,30.6544,32.844,27.9179,29.0127,44733.214284521
2020-11-19,28.5563,30.9195,28.5563,30.1075,13086.42857108
2020-11-20,30.9195,31.6587,29.2133,30.3809,11687.142856831
2020-11-23,31.0193,31.0193,28.5292,28.6935,23401.071427947
2020-11-24,28.2828,28.3285,26.0932,26.8595,52883.571427161
2020-11-25,27.37,28.5563,26.2752,26.7316,19028.571428064
2020-11-26,26.8231,27.3607,24.3591,24.9069,36381.428570458
2020-11-27,24.4963,26.4581,24.4963,26.4581,13378.928571072
2020-11-30,26.8231,26.8231,25.0889,25.536,20877.8571423
2020-12-01,25.4455,25.7283,23.7029,23.7029,21383.571428001
2020-12-02,23.4285,24.6335,21.9147,21.9875,39356.785713236
2020-12-03,21.9147,22.3337,19.7064,20.9841,52503.214284314
2020-12-04,20.1628,21.3491,19.8893,19.9799,13012.499999653
2020-12-07,20.4363,20.4363,17.4253,19.7979,70123.928569559
2020-12-08,19.9799,22.4439,19.7979,22.2245,47123.571427315
2020-12-09,22.3524,23.6292,21.1661,21.1661,33635.35714196
2020-12-10,21.1661,21.6225,20.0713,21.6039,13309.285713931
2020-12-11,21.4396,22.1695,20.1628,21.714,27714.642856404
2020-12-14,21.8783,22.0789,20.1628,20.9841,12516.428571095
2020-12-15,20.2085,22.0873,20.1628,21.4396,12755.357142517
2020-12-16,20.6192,21.8913,20.5735,21.1661,14516.785713899
2020-12-17,20.8469,21.6953,20.0713,20.9291,17908.928570951
2020-12-18,20.7097,20.9841,19.1595,19.9351,30952.499999175
2020-12-21,20.4913,21.714,19.3965,20.8927,28553.57142781
2020-12-22,20.9841,20.9841,19.8893,19.8893,22658.571427967
2020-12-23,20.0256,20.062,18.4343,18.9765,42950.357141712
2020-12-28,18.2467,18.7945,17.4253,17.7996,97701.428568823
2020-12-29,17.5625,20.3448,17.5625,19.7064,36389.99999903
2020-12-30,19.7064,19.8893,18.8123,19.1408,12192.857142532
2021-01-04,19.1408,24.1584,19.0773,23.8121,73314.642855188
2021-01-05,24.2592,26.3667,24.2368,24.542,74884.285712289
2021-01-07,25.1347,26.4581,25.1347,26.2388,34456.071427653
2021-01-08,26.9145,27.2795,25.5453,26.0017,21763.928570848
2021-01-11,26.0017,26.2752,23.1737,24.8155,15272.142856736
2021-01-12,24.724,24.724,23.2736,23.7207,30595.714284898
2021-01-13,23.4108,23.9941,22.0789,23.0272,16773.214285267
2021-01-14,23.7113,24.4505,22.1788,23.2643,9562.499999745
2021-01-15,23.8579,24.6335,22.8088,23.52,19454.999999481
2021-01-18,23.7207,23.8121,22.1881,23.2643,14482.499999614
2021-01-19,23.2643,23.2643,22.4709,23.2465,3279.6428570554
2021-01-20,23.2465,23.5023,22.3524,22.3981,8678.57142834
2021-01-21,23.0365,26.6224,21.896,25.8188,73599.64285518
2021-01-22,27.188,28.6477,26.0017,26.6401,74566.071426583
2021-01-25,27.3607,27.3607,23.8485,24.8155,31813.92857058
2021-01-26,25.0889,26.6401,24.542,25.5453,10627.499999717
2021-01-27,25.5453,25.9747,23.9036,24.6335,15302.142856735
2021-01-28,24.724,25.3493,23.4565,25.1804,9404.9999997492
2021-01-29,25.2719,25.2719,23.9036,24.6148,10084.285714017
2021-02-01,24.6148,26.3667,23.9941,26.2752,12279.642856815
2021-02-02,26.7316,28.0999,26.7316,27.7853,22167.857142266
2021-02-03,27.8721,31.9321,27.8721,31.9321,59013.214284141
2021-02-04,31.8864,31.8864,29.6511,30.8373,19795.714285186
2021-02-05,31.7492,31.7492,29.6511,30.5639,16105.714285285
2021-02-08,31.43,32.4791,30.5723,30.6544,10772.142856856
2021-02-09,31.8864,31.8864,28.7392,28.7392,18931.071428067
2021-02-10,28.2828,30.1075,27.9356,29.5596,6490.7142855412
2021-02-11,30.0711,30.0711,28.5245,28.6477,13700.357142492
2021-02-12,31.0193,31.9321,28.2828,28.9165,50132.142855806
2021-02-15,29.1947,30.4724,28.5563,28.7392,18606.428570932
2021-02-16,28.7392,29.1947,26.0475,26.8231,33967.499999094
2021-02-17,26.9145,28.1727,26.9145,27.8264,11350.714285412
2021-02-18,28.0905,29.0855,26.7316,27.37,10296.428571154
2021-02-19,28.1363,31.6587,26.9145,31.0193,30403.928570618
2021-02-22,32.3699,33.6653,31.6671,31.9321,32752.499999127
2021-02-23,31.9321,33.5739,29.0491,29.834,37496.785713286
2021-02-24,31.1929,32.2056,30.2895,31.4711,12877.499999657
2021-02-25,31.4393,32.1141,29.7519,30.9465,7820.3571426486
2021-02-26,30.9736,32.7535,29.2861,32.1141,14316.428571047
2021-03-01,32.3885,34.6687,32.0236,34.3495,24814.285713624
2021-03-02,34.6687,34.6687,32.5705,33.1184,9746.7857140258
2021-03-03,33.3919,34.1031,31.038,32.844,9767.1428568824
2021-03-04,32.844,34.4867,31.9321,33.8483,18784.285713785
2021-03-05,32.844,33.8389,30.2895,33.7568,11480.357142551
2021-03-08,33.7568,34.468,32.6713,32.6713,2798.5714284968
2021-03-09,32.844,33.7475,31.8043,32.844,7422.8571426592
2021-03-10,32.844,32.844,32.1141,32.5976,8386.0714283478
2021-03-11,32.5705,34.6509,31.8229,33.7568,23099.999999384
2021-03-12,34.0303,34.1217,32.7535,33.3919,10032.85714259
2021-03-15,33.7568,33.7568,32.4837,32.5341,5689.285714134
2021-03-16,32.844,35.8092,32.0236,34.7601,29257.49999922
