Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-03-17,10.4714,10.4714,10.4714,10.4714,75462.837397986
1998-03-18,9.43464,9.43464,9.43464,9.43464,127938.83197766
1998-03-19,9.11971,9.11971,9.11971,9.11971,83655.029809868
1998-03-20,9.43464,9.43464,9.43464,9.43464,59436.880758502
1998-03-23,9.34262,9.34262,9.34262,9.34262,30639.284552688
1998-03-24,9.20698,9.20698,9.20698,9.20698,41466.97831957
1998-03-25,9.11971,9.11971,9.11971,9.11971,31925.409213928
1998-03-26,9.11971,9.11971,9.11971,9.11971,50380.24390218
1998-03-27,9.0258,9.0258,9.0258,9.0258,47307.24932225
1998-03-30,9.0258,9.0258,9.0258,9.0258,23617.254742426
1998-03-31,9.0258,9.0258,9.0258,9.0258,32351.306232896
1998-04-01,8.57787,8.57787,8.57787,8.57787,16976.845528368
1998-04-02,8.57787,8.57787,8.57787,8.57787,36942.349593306
1998-04-06,8.44175,8.44175,8.44175,8.44175,27009.672086582
1998-04-07,8.34964,8.34964,8.34964,8.34964,9595.333333284
1998-04-08,8.39831,8.39831,8.39831,8.39831,23147.081300694
1998-04-09,8.03481,8.03481,8.03481,8.03481,16161.948509402
1998-04-14,8.07825,8.07825,8.07825,8.07825,28862.956639418
1998-04-15,8.12644,8.12644,8.12644,8.12644,16040.715447072
1998-04-16,8.21409,8.21409,8.21409,8.21409,14173.72628719
1998-04-17,8.34964,8.34964,8.34964,8.34964,29718.967479522
1998-04-20,8.48624,8.48624,8.48624,8.48624,39981.609755892
1998-04-21,9.07702,9.07702,9.07702,9.07702,62401.292682606
1998-04-22,9.0258,9.0258,9.0258,9.0258,35658.33333315
1998-04-23,8.57787,8.57787,8.57787,8.57787,35229.273712556
1998-04-24,8.48624,8.48624,8.48624,8.48624,50953.728997028
1998-04-27,7.67586,7.67586,7.67586,7.67586,30611.875338596
1998-04-28,7.13413,7.13413,7.13413,7.13413,16542.514905064
1998-04-29,7.31379,7.31379,7.31379,7.31379,20835.219512088
1998-04-30,7.49241,7.49241,7.49241,7.49241,20894.25474244
1998-05-04,7.85553,7.85553,7.85553,7.85553,6069.032520294
1998-05-05,8.21409,8.21409,8.21409,8.21409,14048.276422692
1998-05-06,8.34964,8.34964,8.34964,8.34964,38758.737127172
1998-05-07,8.12644,8.12644,8.12644,8.12644,3996.474254722
1998-05-08,7.67586,7.67586,7.67586,7.67586,41481.737127158
1998-05-11,7.31379,7.31379,7.31379,7.31379,25471.593495804
1998-05-12,7.40571,7.40571,7.40571,7.40571,13509.57994573
1998-05-13,7.31379,7.31379,7.31379,7.31379,9775.601625966
1998-05-14,7.22092,7.22092,7.22092,7.22092,2817.878048766
1998-05-15,7.17786,7.17786,7.17786,7.17786,20706.607045964
1998-05-18,6.81426,6.81426,6.81426,6.81426,2321.349593484
1998-05-19,6.41263,6.41263,6.41263,6.41263,4457.159891576
1998-05-20,6.5921,6.5921,6.5921,6.5921,10463.994579892
1998-05-21,6.86283,6.86283,6.86283,6.86283,9808.281842768
1998-05-22,6.86283,6.86283,6.86283,6.86283,2439.420054188
1998-05-25,6.5479,6.5479,6.5479,6.5479,9837.799457944
1998-05-26,6.63489,6.63489,6.63489,6.63489,9975.899728946
1998-05-27,6.00569,6.00569,6.00569,6.00569,5303.682926802
1998-05-28,5.95741,5.95741,5.95741,5.95741,10686.430894254
1998-05-29,6.00569,6.00569,6.00569,6.00569,8802.5745257
1998-06-01,5.41956,5.41956,5.41956,5.41956,15679.124661166
1998-06-02,4.87716,4.87716,4.87716,4.87716,24874.915989032
1998-06-03,5.05615,5.05615,5.05615,5.05615,25355.631436184
1998-06-04,5.09988,5.09988,5.09988,5.09988,13466.357723508
1998-06-05,5.0128,5.0128,5.0128,5.0128,23310.482384704
1998-06-08,4.96424,4.96424,4.96424,4.96424,11150.279132734
1998-06-09,4.69313,4.69313,4.69313,4.69313,15820.387533794
1998-06-10,4.47021,4.47021,4.47021,4.47021,10913.084010784
1998-06-15,4.06355,4.06355,4.06355,4.06355,22934.13279121
1998-06-16,4.15557,4.15557,4.15557,4.15557,28242.03252018
1998-06-17,4.55739,4.55739,4.55739,4.55739,4781.853658512
1998-06-18,4.96424,4.96424,4.96424,4.96424,33658.514904976
1998-06-19,4.96424,4.96424,4.96424,4.96424,26298.086720732
1998-06-22,4.74151,4.74151,4.74151,4.74151,7508.016260124
1998-06-23,4.69313,4.69313,4.69313,4.69313,6986.186991834
1998-06-24,4.55739,4.55739,4.55739,4.55739,14532.15447147
1998-06-25,4.55739,4.55739,4.55739,4.55739,6843.869918664
1998-06-26,4.82878,4.82878,4.82878,4.82878,19083.138211284
1998-06-29,4.74151,4.74151,4.74151,4.74151,7744.157181532
1998-06-30,5.09988,5.09988,5.09988,5.09988,25626.560975478
1998-07-01,5.50673,5.50673,5.50673,5.50673,15315.425474176
1998-07-02,5.32745,5.32745,5.32745,5.32745,27000.184281704
1998-07-03,5.50673,5.50673,5.50673,5.50673,17326.840108312
1998-07-06,5.64229,5.64229,5.64229,5.64229,12674.653116466
1998-07-07,5.64229,5.64229,5.64229,5.64229,14525.829268218
1998-07-08,5.28381,5.28381,5.28381,5.28381,2209.604336032
1998-07-09,5.41956,5.41956,5.41956,5.41956,5781.235772328
1998-07-10,5.55027,5.55027,5.55027,5.55027,4651.132791304
1998-07-13,5.23544,5.23544,5.23544,5.23544,4985.314363118
