Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-03-24,1.8,2.2,1.8,2.2,16708
2014-03-25,2.5,3,2.2,2.2,8971
2014-03-26,2.3,2.7,1.9,2.2,4159
2014-03-27,2.39,2.39,1.92,1.92,1571
2014-03-28,2.2,2.39,2.2,2.2,777
2014-03-31,2.59,2.59,2.08,2.37,1271
2014-04-01,2.01,2.01,1.96,1.96,2099
2014-04-02,1.92,1.92,1.72,1.72,1075
2014-04-03,1.72,2.08,1.72,2.08,750
2014-04-04,2.07,2.52,2.07,2.52,1100
2014-04-07,3,3,3,3,10
2014-04-08,2.4,2.4,1.93,1.93,1473
2014-04-09,1.93,2.31,1.92,2.31,643
2014-04-10,1.95,2.2,1.95,2.2,949
2014-04-11,2.31,2.31,2.31,2.31,10
2014-04-14,2.31,2.32,2.31,2.32,342
2014-04-15,2.32,2.32,2.32,2.32,600
2014-04-16,2.32,2.98,2.32,2.98,1770
2014-04-17,3,3,2.5,3,552
2014-05-02,2.3,2.3,2.3,2.3,800
2014-05-06,2.02,2.02,2,2,1720
2014-05-08,2.3,2.6,2.3,2.6,400
2014-05-12,2.6,2.6,2.6,2.6,118
2014-05-20,2.3,2.3,2.3,2.3,213
2014-05-22,2.3,2.3,2.3,2.3,43
2014-05-26,2.3,2.3,2.3,2.3,1590
2014-05-28,2.6,2.75,2.6,2.75,368
2014-06-11,2.5,3,2.5,3,1528
2014-06-12,3.2,3.2,3.2,3.2,14
2014-06-20,3,3,3,3,360
2014-06-23,2.8,2.8,2.8,2.8,450
2014-06-27,3,3,3,3,10
2014-07-11,2.85,2.85,2.85,2.85,800
2014-07-14,3,3,3,3,300
2014-07-16,2.95,2.95,2.9,2.9,1000
2014-07-17,2.78,2.78,2.78,2.78,500
2014-09-04,2.41,3.05,2.41,3.05,920
2014-10-07,3,3.5,3,3.5,908
2014-10-09,3.9,3.9,3.9,3.9,100
2014-11-14,3.22,3.22,3.22,3.22,800
2014-11-18,3.49,3.76,3.49,3.76,1000
2014-11-19,3.8,3.8,3.8,3.8,500
2014-11-21,3.5,4,3.5,4,130
2014-11-24,4.7,4.7,4,4,428
2014-11-25,4.7,5.5,4.7,5.5,25
2014-11-26,5.5,5.5,5.5,5.5,165
2014-11-27,5.5,5.5,5.5,5.5,15
2014-12-03,4.4,4.4,4.4,4.4,240
2014-12-05,4,4.1,3.7,3.7,904
2014-12-12,3.2,3.7,3.2,3.7,1068
2014-12-15,3.97,4.25,3.97,4.25,500
2014-12-16,3.99,4.25,3.99,4.19,1270
2014-12-17,3.8,3.8,3.8,3.8,174
2014-12-18,3.8,3.8,3.8,3.8,226
2014-12-22,3.16,3.16,2.93,2.93,862
2014-12-23,2.93,2.93,2.93,2.93,10
2014-12-30,3.16,3.16,3.16,3.16,3
2015-01-05,3.15,3.78,3.15,3.78,600
2015-01-07,3.12,3.74,3.12,3.74,1280
2015-01-08,3.65,4.37,3.65,4.37,1100
2015-01-09,3.97,4.65,3.97,4.65,550
2015-01-12,5.3,5.3,5.3,5.3,100
2015-01-15,4.4,4.73,4.4,4.73,570
2015-01-19,4.73,5.5,4.73,5.5,450
2015-02-16,5.08,5.08,4.73,5.08,210
2015-02-24,5.5,5.5,5.5,5.5,10
2015-03-18,5.2,5.2,5.2,5.2,50
2015-03-19,4.73,4.73,4.73,4.73,350
2015-03-25,4.5,4.5,4.5,4.5,350
2015-03-26,4,5.5,4,5.5,330
2015-05-05,5,5,5,5,20
2015-05-06,5,5,5,5,2
2015-05-19,5,5,5,5,400
2015-07-06,5,5,5,5,8
2015-07-28,4.5,4.5,4.5,4.5,180
2015-07-29,5,5,5,5,5
2015-07-31,4.9,5,4.9,5,50
2015-08-03,5,5,5,5,50
2015-08-06,5,5,5,5,30
2015-08-07,5,5,5,5,105
2015-08-11,5,5,5,5,100
2015-08-12,5,5,5,5,72
2015-08-14,5,5,5,5,100
2015-08-17,5,5,5,5,100
2015-08-18,5,5,5,5,100
2015-08-19,5,5,5,5,100
2015-08-20,4.5,5,4.5,5,320
2015-08-21,5,5,5,5,15
2015-08-24,5,5,5,5,2
2015-08-25,5,5,5,5,100
2015-08-26,5,5,5,5,83
2015-08-27,5,5,5,5,10
2015-08-28,5,5,5,5,100
2015-08-31,5,5,5,5,80
2015-09-03,5,5,5,5,20
2015-09-04,5,5,5,5,100
2015-09-08,5,5,5,5,100
2015-09-10,5,5,5,5,100
2015-09-11,5,5,5,5,100
2015-09-15,4.5,4.5,4.5,4.5,300
2015-09-16,5,5,5,5,100
2015-09-17,5,5,5,5,100
2015-09-18,5,5,5,5,100
2015-09-22,5,5,5,5,78
2015-09-24,5,5,5,5,100
2015-09-25,5,5,5,5,100
2015-09-28,5,5,5,5,100
2015-09-29,5,5,5,5,100
2015-09-30,5,5,5,5,100
2015-10-02,5,5,5,5,100
2015-10-05,5,5,5,5,100
2015-10-06,5,5,5,5,100
2015-10-07,5,5,5,5,100
2015-10-09,5,5,5,5,100
2015-10-12,5,5,5,5,100
2015-10-14,5,5,5,5,100
2015-10-15,5,5,5,5,85
2015-10-19,5,5,5,5,100
2015-10-20,5,5,5,5,80
2015-10-23,5,5,5,5,1000
2015-10-26,4,4,4,4,300
2015-10-27,3.9,3.9,3.7,3.7,1100
2015-10-28,4,4,4,4,900
2015-10-30,4,4,4,4,300
2015-11-02,4.1,4.1,3.5,3.5,313
2015-11-03,4.1,4.1,4.1,4.1,1521
2015-11-04,4.1,4.1,4.1,4.1,2130
2015-11-09,4.1,4.1,4.1,4.1,852
2015-11-10,3.7,3.7,3.7,3.7,100
2015-11-13,3.1,3.1,3.1,3.1,1233
2015-11-16,3.1,3.1,3,3,1213
2015-11-18,3.1,3.1,3.1,3.1,22651
2015-11-24,4,4,4,4,459
2015-11-26,3.8,4,3.7,4,3500
2015-11-27,3.7,3.7,3.7,3.7,100
2015-11-30,4.5,4.5,4.5,4.5,100
2015-12-15,3.5,3.5,3.5,3.5,300
2015-12-28,3.5,3.7,3.5,3.7,12001
2015-12-29,3.7,3.7,3.7,3.7,1
2015-12-30,3.7,3.7,3.7,3.7,1000
2016-01-12,3.1,3.1,3.1,3.1,500
2016-01-13,3.5,3.5,3.5,3.5,10
2016-01-14,3.4,3.4,3.3,3.3,550
2016-01-15,3,3,3,3,120000
2016-01-18,3.5,3.5,3.5,3.5,10
2016-01-25,3.5,3.5,3.5,3.5,200
2016-01-27,3.5,4.2,3.4,3.4,1240
2016-01-28,4,4,3,3,5010
2016-01-29,3.5,3.5,3.5,3.5,700
2016-02-01,3.2,3.2,3,3,93000
2016-02-02,3,3,3,3,100000
2016-02-04,3,3,3,3,1000
2016-02-05,3.3,3.3,3,3,1007
2016-02-10,2.97,2.97,2.97,2.97,150
2016-02-11,3.2,3.2,3.2,3.2,500
2016-02-17,3,3,3,3,110000
2016-02-23,3.1,3.1,3.01,3.01,5618
2016-02-25,3.02,3.02,3,3,57897
2016-02-26,3.03,3.03,3,3,17852
2016-02-29,3.1,3.72,3.1,3.72,1500
2016-03-03,3.1,3.1,3.1,3.1,500
2016-03-04,3,3,3,3,500
2016-03-07,2.9,2.9,2.9,2.9,500
2016-03-08,3,3,3,3,100000
2016-03-09,3.6,3.6,2.9,2.9,550
2016-03-29,3.61,3.61,3,3.5,2900
2016-03-30,3.1,3.5,3.04,3.5,1768
2016-03-31,3.5,3.5,3.5,3.5,200
2016-04-01,3.02,3.5,3.02,3.5,1001
2016-04-04,3.5,3.5,3.5,3.5,350
2016-04-20,2.93,3.1,2.92,3.1,1250
2016-04-26,3,3.5,2.8,3.49,4746
2016-04-27,3.49,3.5,2.8,3.45,10759
2016-04-28,2.8,3.36,2.8,3.36,63005
2016-04-29,3.2,3.36,2.8,3.36,33401
