Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-01-21,3.83015,3.83015,1.97591,2.02151,149157.22245031
2011-01-24,2.24942,2.24942,1.97591,2.04422,26864.801604182
2011-01-25,2.12776,2.48509,2.02151,2.3937,28341.59519141
2011-01-26,2.44697,2.58387,2.38642,2.38642,26468.84970036
2011-01-27,2.43192,2.46986,2.31783,2.38642,1042.3166333044
2011-01-28,2.34838,2.34838,2.07477,2.26475,13278.300601685
2011-01-31,2.33306,2.33306,2.10514,2.10514,4057.9719440352
2011-02-01,2.11271,2.16588,2.02908,2.02908,6324.529058346
2011-02-02,2.03665,2.11271,1.97591,2.08234,8703.4509021198
2011-02-03,1.99871,2.09739,1.94554,1.94554,618.5410821868
2011-02-04,2.10514,2.10514,1.96068,1.96068,620.681362748
2011-02-07,2.09739,2.09739,1.96068,1.96068,5891.122244703
2011-02-08,2.06711,2.21149,2.01385,2.01385,3182.5971945044
2011-02-09,2.08234,2.20401,1.98348,1.98348,3960.5891785006
2011-02-10,1.99871,2.00619,1.94554,1.94554,5348.5611224388
2011-02-11,1.98348,1.98348,1.96068,1.96068,3685.5631263864
2011-02-14,1.96834,1.96834,1.96068,1.96068,2267.6272545914
2011-02-15,1.96068,1.96068,1.90741,1.90741,1346.2364729948
2011-02-16,1.96068,2.00619,1.96068,2.00619,972.7575150654
2011-02-17,2.00619,2.00619,1.86957,1.88471,1262.765531108
2011-02-18,1.90741,1.90741,1.90741,1.90741,480.4929859894
2011-02-21,1.96068,2.01385,1.89984,1.99105,7540.2084171076
2011-02-25,1.89984,1.96068,1.89984,1.96068,1841.7114229126
2011-02-28,1.96068,2.20401,1.96068,2.15065,9284.5370744856
2011-03-02,2.08234,2.12776,2.08234,2.12776,1053.0180361104
2011-03-03,2.05954,2.05954,2.05197,2.05197,724.4849699662
2011-03-04,2.12028,2.14299,2.02151,2.03665,4036.5691384232
2011-03-07,2.02151,2.12028,2.02151,2.12028,624.9619238704
2011-03-08,2.03665,2.04422,2.01385,2.01385,1299.1503006484
2011-03-09,2.01385,2.01385,2.00619,2.00619,897.8476954234
2011-03-10,2.12028,2.12028,1.97591,1.97591,7438.5450904506
2011-03-11,1.97591,2.01385,1.97591,2.01385,1356.9378758008
2011-03-14,2.05954,2.06711,1.99105,2.06711,3726.2284570492
2011-03-15,2.00619,2.05954,1.84658,1.87714,10827.679359111
2011-03-16,2.04422,2.04422,2.04422,2.04422,658.136272569
2011-03-17,2.00619,2.01385,1.88471,1.97591,2301.8717435706
2011-03-21,1.99871,1.99871,1.99871,1.99871,658.136272569
2011-03-22,1.86957,1.87714,1.86957,1.87714,769.4308617514
2011-03-23,1.98348,1.99105,1.91517,1.91517,1858.8336674022
2011-03-24,1.99871,1.99871,1.99871,1.99871,592.8577154524
2011-03-28,2.00619,2.00619,2.00619,2.00619,492.264529076
2011-03-29,1.93031,1.93031,1.92265,1.92265,1057.2985972328
2011-03-31,1.90741,1.99105,1.90741,1.99105,581.0861723658
2011-04-01,1.96834,1.99871,1.96834,1.99871,1602.0000000582
2011-04-04,2.01385,2.01385,1.94554,1.94554,500.8256513208
2011-04-05,2.00619,2.02151,1.94554,1.94554,6779.338677601
2011-04-07,2.00619,2.01385,1.99105,2.01385,2194.8577155106
2011-04-08,1.98348,2.01385,1.93788,1.99871,9064.088176682
2011-04-11,2.00619,2.01385,2.00619,2.01385,1341.9559118724
2011-04-12,1.97591,2.01385,1.96834,1.97591,7726.412825932
2011-04-13,2.00619,2.02151,2.00619,2.01385,3120.5290582296
2011-04-14,2.01385,2.02908,1.98348,1.99105,1576.3166333238
2011-04-15,2.02908,2.02908,2.01385,2.02908,4793.1583168074
2011-04-18,1.96834,1.96834,1.96834,1.96834,143.3987976004
2011-04-20,2.01385,2.02151,2.00619,2.00619,1583.807615288
2011-04-21,2.00619,2.01385,2.00619,2.01385,4832.7535071896
2011-04-27,1.99105,2.01385,1.97591,2.01385,3467.254509144
2011-05-04,1.97591,2.01385,1.96834,1.98348,4211.002004161
2011-05-05,1.97591,2.00619,1.97591,1.97591,5301.4749500924
2011-05-06,1.97591,1.97591,1.97591,1.97591,3004.9539079248
2011-05-10,1.95301,1.95301,1.95301,1.95301,525.4388777746
2011-05-11,1.99105,2.18093,1.99105,2.02908,4498.8697396424
2011-05-12,1.97591,2.19625,1.97591,2.19625,5043.5711424678
2011-05-13,2.08234,2.19625,2.08234,2.19625,1930.5330662024
2011-05-16,2.12776,2.20401,2.12776,2.20401,3695.1943889118
2011-05-17,2.33306,2.33306,2.12776,2.33306,2302.9418838512
2011-05-18,2.12776,2.12776,2.12776,2.12776,263.2545090276
2011-05-19,2.12776,2.12776,2.12776,2.12776,957.775551137
2011-05-23,2.05197,2.05954,2.05197,2.05954,933.1623246832
2011-05-24,2.05954,2.05954,2.05954,2.05954,249.3426853798
2011-05-26,2.05954,2.05954,2.05954,2.05954,724.4849699662
2011-05-30,2.05197,2.05197,1.98348,1.98348,1481.0741483504
2011-05-31,2.05197,2.07477,2.03665,2.03665,1484.2845691922
2011-06-02,2.03665,2.03665,2.02908,2.02908,431.2665330818
2011-06-03,2.02908,2.02908,2.02908,2.02908,394.8817635414
2011-06-06,1.96834,2.06711,1.96834,2.06711,3468.3246494246
2011-06-07,2.05197,2.05197,2.03665,2.03665,1117.2264529464
2011-06-13,2.03665,2.03665,2.03665,2.03665,1315.2024048574
2011-06-14,1.98348,1.98348,1.98348,1.98348,263.2545090276
2011-06-16,1.96068,1.96068,1.82378,1.82378,7029.7515032614
2011-06-17,1.85424,1.86191,1.85424,1.86191,1356.9378758008
2011-06-24,1.91517,1.91517,1.83163,1.83163,138.0480961974
2011-06-27,1.91517,1.91517,1.91517,1.91517,89.8917835704
2011-06-29,1.86191,1.86191,1.86191,1.86191,658.136272569
2011-06-30,1.91517,1.91517,1.91517,1.91517,1473.5831663862
2011-07-01,1.82378,1.82378,1.82378,1.82378,51.3667334688
2011-07-06,1.90741,1.91517,1.90741,1.91517,658.136272569
2011-07-07,1.91517,1.91517,1.91517,1.91517,724.4849699662
2011-07-14,1.91517,1.91517,1.91517,1.91517,10.701402806
2011-07-15,1.89984,1.89984,1.83163,1.83163,394.8817635414
2011-07-20,1.90741,1.91517,1.90741,1.91517,288.937875762
2011-07-22,1.84658,1.84658,1.73276,1.73276,2907.5711423902
2011-07-25,1.75556,1.7707,1.75556,1.75556,5592.5531064156
2011-07-26,1.7707,1.7707,1.7707,1.7707,1435.0581162846
2011-07-27,1.7707,1.7707,1.7707,1.7707,563.9639278762
2011-07-28,1.7479,1.7479,1.7479,1.7479,1477.8637275086
2011-08-01,1.7479,1.76313,1.7479,1.76313,1178.2244489406
2011-08-02,1.76313,1.76313,1.7251,1.7251,1975.4789579876
2011-08-03,1.70978,1.70978,1.70978,1.70978,806.8857715724
2011-08-05,1.70978,1.70978,1.70978,1.70978,1053.0180361104
2011-08-08,1.53513,1.53513,1.53513,1.53513,979.178356749
2011-08-09,1.53513,1.53513,1.37552,1.37552,3137.6513027192
2011-08-10,1.51233,1.59596,1.45159,1.45159,7281.2344692024
2011-08-11,1.51999,1.51999,1.39841,1.39841,9223.5390784914
2011-08-12,1.42103,1.51233,1.42103,1.50476,789.7635270828
2011-08-16,1.51999,1.51999,1.44392,1.45159,3683.4228458252
2011-08-17,1.49709,1.51999,1.49709,1.51999,4342.6292586748
2011-08-18,1.48952,1.48952,1.48952,1.48952,1168.5931864152
2011-08-22,1.51999,1.51999,1.51999,1.51999,652.785571166
2011-08-23,1.44392,1.48196,1.39066,1.42869,5001.8356715244
2011-08-26,1.38309,1.38309,1.37552,1.37552,1467.1623247026
2011-08-29,1.42869,1.42869,1.39066,1.39066,1579.5270541656
2011-08-30,1.36786,1.36786,1.36786,1.36786,286.7975952008
2011-09-02,1.36786,1.36786,1.27666,1.27666,2040.7575151042
2011-09-05,1.27666,1.28432,1.16284,1.16284,3319.5751504212
2011-09-06,1.27666,1.27666,1.17788,1.17788,1531.3707415386
2011-09-08,1.22339,1.22339,1.22339,1.22339,461.2304609386
2011-09-09,1.16284,1.16284,1.12462,1.12462,1541.002004064
2011-09-12,1.10948,1.10948,0.988001,0.988001,3004.9539079248
2011-09-13,0.988001,1.0564,0.949875,0.949875,2369.2905812484
2011-09-14,0.957445,0.957445,0.949875,0.949875,591.7875751718
2011-09-20,1.11705,1.13985,1.11705,1.13985,2480.5851704308
2011-09-22,0.99557,1.01071,0.99557,1.01071,1053.0180361104
2011-09-26,0.99557,0.99557,0.99557,0.99557,1.0701402806
2011-09-27,1.13237,1.13237,1.13237,1.13237,26.753507015
2011-09-29,1.13237,1.13985,1.13237,1.13985,5697.4268539144
2011-09-30,1.13985,1.13985,1.02594,1.02594,1426.4969940398
