Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-03-06,0.544,1.0791,0.42614,0.45337,976107
2009-03-09,0.45337,0.48061,0.33553,0.38989,798788
2009-03-10,0.40802,0.43526,0.33553,0.37176,1078127
2009-03-11,0.38989,0.38989,0.34454,0.36266,305645
2009-03-12,0.35365,0.35365,0.30829,0.32642,882699
2009-03-13,0.32642,0.32642,0.3174,0.32642,148604
2009-03-16,0.32642,0.32642,0.29928,0.3174,233532
2009-03-17,0.3174,0.3174,0.27204,0.27204,376356
2009-03-18,0.29016,0.29016,0.27204,0.29016,195773
2009-03-19,0.28105,0.28105,0.26294,0.27204,102896
2009-03-20,0.27204,0.3174,0.26294,0.29928,299863
2009-03-23,0.30829,0.34454,0.30829,0.34454,567656
2009-03-24,0.35365,0.38088,0.33553,0.36266,566294
2009-03-25,0.34454,0.399,0.34454,0.399,361384
2009-03-26,0.399,0.544,0.399,0.5077,554611
2009-03-27,0.5169,0.662,0.48961,0.526,596252
2009-03-30,0.5351,0.553,0.46248,0.46248,467811
2009-03-31,0.48961,0.4987,0.45337,0.47149,176070
2009-04-01,0.48061,0.48961,0.41713,0.48961,392605
2009-04-02,0.48061,0.5712,0.48061,0.526,466981
2009-04-03,0.553,0.5985,0.5351,0.5712,480534
2009-04-06,0.5712,0.6166,0.544,0.544,346740
2009-04-07,0.544,0.553,0.4987,0.526,77133
2009-04-08,0.526,0.544,0.48961,0.5351,72325
2009-04-09,0.526,0.6166,0.526,0.5985,324458
2009-04-14,0.6076,0.6166,0.553,0.5893,110857
2009-04-15,0.5985,0.6257,0.5804,0.6076,259437
2009-04-16,0.6257,0.6528,0.5985,0.6438,177576
2009-04-17,0.6528,0.662,0.6076,0.6346,76497
2009-04-20,0.6438,0.6438,0.5985,0.6076,43823
2009-04-21,0.6166,0.6166,0.5622,0.5893,136014
2009-04-22,0.5985,0.6257,0.5985,0.6076,79262
2009-04-23,0.6076,0.6076,0.5893,0.6076,31668
2009-04-24,0.6076,0.6166,0.5893,0.6076,126974
2009-04-27,0.6076,0.6076,0.5804,0.5985,71651
2009-04-28,0.5804,0.5804,0.5712,0.5804,67691
2009-04-29,0.5712,0.6257,0.553,0.6166,107400
2009-04-30,0.6166,0.6257,0.5804,0.6076,109974
2009-05-04,0.6076,0.6166,0.5804,0.5985,53270
2009-05-05,0.5893,0.5893,0.5712,0.5804,59829
2009-05-06,0.5804,0.5893,0.5622,0.5893,117042
2009-05-07,0.5893,0.5893,0.544,0.544,220317
2009-05-08,0.544,0.5622,0.5077,0.553,29904
2009-05-11,0.5622,0.5622,0.5077,0.526,81595
2009-05-12,0.5077,0.5169,0.4987,0.5169,60338
2009-05-13,0.5077,0.5077,0.48061,0.48961,64487
2009-05-14,0.48961,0.4987,0.47149,0.4987,18747
2009-05-15,0.5169,0.5351,0.4987,0.5351,43664
2009-05-18,0.5351,0.553,0.5169,0.553,40175
2009-05-19,0.544,0.544,0.544,0.544,6824
2009-05-20,0.553,0.553,0.5169,0.553,37448
2009-05-21,0.544,0.544,0.5351,0.5351,20479
2009-05-22,0.5351,0.544,0.526,0.5351,10806
2009-05-25,0.544,0.544,0.526,0.5351,37306
2009-05-26,0.5351,0.5351,0.45337,0.48061,164264
2009-05-27,0.48061,0.48961,0.45337,0.45337,90053
2009-05-28,0.47149,0.48961,0.46248,0.48061,58652
2009-05-29,0.48961,0.5169,0.45337,0.5077,187617
2009-06-01,0.5169,0.5169,0.45337,0.48961,317189
2009-06-02,0.4987,0.4987,0.46248,0.48061,40619
2009-06-03,0.48061,0.48061,0.47149,0.47149,7057
2009-06-04,0.47149,0.5077,0.47149,0.5077,61994
2009-06-05,0.5077,0.5077,0.48061,0.5077,22097
2009-06-08,0.5077,0.5077,0.4987,0.4987,2
2009-06-09,0.46248,0.48961,0.42614,0.45337,371810
2009-06-10,0.45337,0.45337,0.36266,0.40802,810049
2009-06-12,0.38088,0.41713,0.38088,0.41713,24877
2009-06-15,0.41713,0.41713,0.399,0.41713,19605
2009-06-16,0.41713,0.41713,0.399,0.40802,11042
2009-06-17,0.38088,0.399,0.38088,0.399,15908
2009-06-18,0.399,0.399,0.38088,0.399,24476
2009-06-19,0.40802,0.40802,0.38088,0.399,17279
2009-06-22,0.38989,0.38989,0.38088,0.38989,79009
2009-06-23,0.38989,0.38989,0.38088,0.38989,75176
2009-06-24,0.38088,0.38989,0.38088,0.38088,35545
2009-06-25,0.38989,0.38989,0.38088,0.38989,19780
2009-06-26,0.38989,0.38989,0.38088,0.38989,29813
2009-06-29,0.38989,0.38989,0.35365,0.38989,79384
2009-06-30,0.38088,0.38989,0.38088,0.38989,57571
2009-07-01,0.38989,0.41713,0.38989,0.41713,23969
2009-07-02,0.41713,0.41713,0.399,0.41713,40878
2009-07-03,0.41713,0.46248,0.40802,0.43526,190480
2009-07-06,0.46248,0.46248,0.44427,0.45337,18558
2009-07-07,0.45337,0.46248,0.41713,0.45337,34928
2009-07-08,0.43526,0.44427,0.43526,0.44427,38296
2009-07-09,0.43526,0.43526,0.42614,0.43526,22487
2009-07-10,0.43526,0.43526,0.399,0.42614,127061
2009-07-13,0.43526,0.43526,0.40802,0.43526,20955
2009-07-14,0.43526,0.43526,0.399,0.42614,64518
2009-07-15,0.43526,0.43526,0.43526,0.43526,2
2009-07-16,0.43526,0.43526,0.399,0.41713,17713
2009-07-17,0.41713,0.41713,0.40802,0.41713,5516
2009-07-20,0.41713,0.42614,0.38989,0.42614,46879
2009-07-21,0.42614,0.42614,0.40802,0.42614,8826
2009-07-22,0.42614,0.42614,0.399,0.41713,8880
2009-07-23,0.41713,0.41713,0.399,0.41713,14064
2009-07-24,0.41713,0.43526,0.40802,0.43526,36902
2009-07-27,0.43526,0.43526,0.41713,0.42614,14684
2009-07-28,0.43526,0.45337,0.42614,0.45337,97764
2009-07-29,0.46248,0.46248,0.40802,0.43526,37333
2009-07-30,0.43526,0.44427,0.41713,0.44427,56019
2009-07-31,0.44427,0.44427,0.41713,0.43526,55105
2009-08-03,0.43526,0.43526,0.399,0.40802,59125
2009-08-04,0.399,0.399,0.36266,0.37176,139913
2009-08-05,0.399,0.399,0.37176,0.399,5516
2009-08-06,0.38989,0.38989,0.36266,0.36266,4303
2009-08-07,0.38989,0.38989,0.38088,0.38088,2977
2009-08-10,0.38088,0.38989,0.35365,0.38989,145866
2009-08-11,0.38989,0.38989,0.37176,0.38989,32382
2009-08-12,0.38088,0.38989,0.36266,0.38989,23051
2009-08-13,0.38989,0.38989,0.33553,0.34454,146022
2009-08-14,0.36266,0.38088,0.35365,0.38088,16812
2009-08-17,0.37176,0.38088,0.35365,0.37176,10452
2009-08-18,0.37176,0.37176,0.34454,0.37176,18504
2009-08-19,0.37176,0.37176,0.34454,0.37176,36036
2009-08-20,0.36266,0.37176,0.35365,0.35365,21613
2009-08-21,0.36266,0.40802,0.35365,0.38989,557644
2009-08-24,0.38989,0.38989,0.36266,0.38088,65873
2009-08-25,0.37176,0.37176,0.35365,0.36266,39987
2009-08-26,0.37176,0.37176,0.35365,0.37176,83411
2009-08-27,0.37176,0.37176,0.36266,0.36266,27190
2009-08-28,0.37176,0.37176,0.35365,0.37176,26343
2009-08-31,0.37176,0.37176,0.35365,0.36266,17647
2009-09-01,0.36266,0.36266,0.35365,0.35365,50858
2009-09-02,0.36266,0.36266,0.35365,0.36266,23121
2009-09-03,0.36266,0.36266,0.34454,0.36266,43468
2009-09-04,0.36266,0.36266,0.34454,0.36266,34063
2009-09-07,0.36266,0.38088,0.36266,0.37176,334339
2009-09-08,0.37176,0.37176,0.35365,0.36266,219622
2009-09-09,0.36266,0.36266,0.34454,0.36266,40529
2009-09-10,0.36266,0.38088,0.34454,0.38088,120880
2009-09-11,0.38088,0.38088,0.37176,0.37176,86134
2009-09-14,0.37176,0.37176,0.36266,0.36266,50899
2009-09-15,0.37176,0.37176,0.35365,0.37176,24624
2009-09-16,0.37176,0.37176,0.36266,0.37176,44635
2009-09-17,0.38088,0.38088,0.36266,0.36266,56137
2009-09-18,0.36266,0.37176,0.36266,0.37176,35296
2009-09-21,0.36266,0.36266,0.35365,0.36266,102013
2009-09-22,0.35365,0.36266,0.35365,0.36266,52498
2009-09-23,0.36266,0.37176,0.35365,0.37176,75765
2009-09-24,0.36266,0.37176,0.36266,0.37176,141374
2009-09-25,0.37176,0.37176,0.36266,0.37176,78115
2009-09-28,0.37176,0.37176,0.36266,0.37176,45492
2009-09-29,0.37176,0.37176,0.36266,0.37176,24628
2009-09-30,0.36266,0.36266,0.36266,0.36266,55142
2009-10-01,0.36266,0.41713,0.35365,0.399,952708
