Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-12-12,0.6566,0.784,0.6076,0.6272,228956
2011-12-13,0.5194,0.6468,0.5096,0.6272,43644
2011-12-14,0.5782,0.6272,0.5096,0.6272,4159
2011-12-15,0.588,0.7056,0.49,0.6664,60193
2011-12-16,0.6468,0.6468,0.588,0.637,10918
2011-12-19,0.588,0.686,0.5096,0.686,9457
2011-12-20,0.6762,0.6762,0.5684,0.6566,2865
2011-12-21,0.637,0.784,0.637,0.7448,30738
2011-12-22,0.7448,0.7448,0.5684,0.5684,35337
2011-12-23,0.5194,0.5782,0.4606,0.5782,27848
2011-12-27,0.5194,0.5488,0.441,0.441,13691
2011-12-28,0.4606,0.4704,0.3724,0.4704,27020
2011-12-29,0.4704,0.4998,0.4312,0.4998,11143
2012-01-02,0.4998,0.5586,0.4998,0.5586,459
2012-01-03,0.5586,0.5586,0.4704,0.49,5790
2012-01-04,0.4802,0.5194,0.4802,0.5194,4541
2012-01-09,0.5194,0.5292,0.5194,0.5292,204
2012-01-10,0.4704,0.5194,0.4704,0.5194,1276
2012-01-11,0.5194,0.6174,0.5194,0.6174,6940
2012-01-12,0.6174,0.6174,0.588,0.588,714
2012-01-13,0.588,0.6174,0.5488,0.5978,10306
2012-01-16,0.588,0.6664,0.5684,0.6664,7806
2012-01-17,0.686,0.735,0.6468,0.6468,4453
2012-01-18,0.6566,0.6762,0.6566,0.6762,510
2012-01-19,0.6664,0.735,0.6664,0.735,1251
2012-01-20,0.7252,0.7252,0.7252,0.7252,102
2012-01-23,0.7252,0.7252,0.6762,0.7252,378
2012-01-24,0.7252,0.7252,0.7252,0.7252,102
2012-01-25,0.7252,0.7252,0.7252,0.7252,102
2012-01-26,0.7252,0.7252,0.7252,0.7252,3673
2012-01-27,0.7252,0.7252,0.7252,0.7252,102
2012-01-30,0.7252,0.7252,0.6664,0.6664,3776
2012-01-31,0.68,0.68,0.68,0.68,10
2012-02-03,0.6762,0.7252,0.6762,0.7252,3571
2012-02-06,0.7252,0.7252,0.6958,0.6958,3776
2012-02-08,0.6468,0.7448,0.637,0.7448,10171
2012-02-10,0.7154,0.7154,0.7056,0.7056,680
2012-02-13,0.686,0.686,0.686,0.686,102
2012-02-14,0.686,0.686,0.686,0.686,153
2012-02-15,0.686,0.686,0.686,0.686,153
2012-02-16,0.686,0.686,0.686,0.686,153
2012-02-17,0.686,0.686,0.686,0.686,153
2012-02-20,0.686,0.686,0.686,0.686,153
2012-02-21,0.686,0.686,0.686,0.686,153
2012-02-22,0.686,0.686,0.6468,0.6468,4337
2012-02-23,0.6468,0.6468,0.6076,0.6076,3418
2012-03-05,0.588,0.6076,0.5684,0.6076,7832
2012-03-06,0.5978,0.5978,0.5978,0.5978,204
2012-03-08,0.588,0.588,0.588,0.588,204
2012-03-09,0.588,0.588,0.588,0.588,204
2012-03-12,0.5782,0.5782,0.539,0.539,918
2012-03-13,0.539,0.539,0.539,0.539,204
2012-03-21,0.5292,0.5292,0.5292,0.5292,194
2012-03-22,0.5292,0.5292,0.5292,0.5292,204
2012-03-26,0.5194,0.5194,0.5194,0.5194,204
2012-03-27,0.5194,0.5782,0.5096,0.5684,19061
2012-03-28,0.5684,0.588,0.5096,0.588,7551
2012-04-04,0.4998,0.539,0.4998,0.4998,126143
2012-04-05,0.4998,0.4998,0.4998,0.4998,163469
2012-04-10,0.5096,0.5488,0.5096,0.5488,1020
2012-04-16,0.5096,0.5096,0.5096,0.5096,5051
2012-04-18,0.5096,0.5684,0.5096,0.5684,2449
2012-04-24,0.5782,0.5782,0.5782,0.5782,306
2012-05-08,0.5782,0.6174,0.5782,0.6174,1531
2012-05-21,0.588,0.588,0.5782,0.588,4612
2012-05-24,0.5684,0.5684,0.5684,0.5684,3673
2012-05-25,0.5684,0.5684,0.5292,0.5292,5204
2012-05-30,0.5096,0.5096,0.49,0.4998,7673
2012-06-14,0.49,0.49,0.49,0.49,102
2012-07-02,0.5,0.5,0.5,0.5,100
2012-07-04,0.51,0.6,0.51,0.6,5000
2012-07-05,0.6,0.7,0.6,0.7,2000
2012-07-06,0.7,0.8,0.63,0.8,7900
2012-07-09,0.8,0.8,0.8,0.8,150
2012-07-11,0.8,0.8,0.8,0.8,50
2012-07-13,0.8,0.8,0.8,0.8,50
2012-07-16,0.8,0.8,0.8,0.8,50
2012-07-17,0.8,0.8,0.8,0.8,50
2012-07-18,0.8,0.8,0.8,0.8,50
2012-07-19,0.8,0.8,0.8,0.8,50
2012-07-20,0.8,0.8,0.8,0.8,50
2012-07-23,0.8,0.8,0.8,0.8,50
2012-07-24,0.8,0.8,0.8,0.8,50
2012-07-25,0.78,0.78,0.78,0.78,20
2012-07-26,0.78,0.78,0.78,0.78,50
2012-07-27,0.78,0.78,0.78,0.78,50
2012-07-30,0.78,0.78,0.78,0.78,20
2012-07-31,0.75,0.75,0.75,0.75,100
2012-08-01,0.75,0.75,0.75,0.75,50
2012-08-02,0.75,0.75,0.75,0.75,20
2012-08-03,0.75,0.75,0.75,0.75,50
2012-08-06,0.75,0.75,0.75,0.75,20
2012-08-07,0.75,0.75,0.75,0.75,20
2012-08-08,0.75,0.75,0.75,0.75,20
2012-08-09,0.75,0.75,0.75,0.75,2020
2012-08-10,0.75,0.75,0.75,0.75,10
2012-08-13,0.75,0.75,0.75,0.75,50
2012-08-14,0.75,0.75,0.7,0.7,150
2012-08-24,0.65,0.65,0.65,0.65,100
2012-08-28,0.65,0.75,0.65,0.75,3940
2012-08-29,0.75,0.75,0.75,0.75,20
2012-08-30,0.75,0.75,0.75,0.75,10
2012-08-31,0.75,0.87,0.75,0.87,3670
2012-09-03,0.8,0.8,0.8,0.8,1300
2012-10-16,0.75,0.75,0.72,0.72,2200
2012-10-18,0.75,0.82,0.75,0.82,2410
2012-10-19,0.81,0.84,0.81,0.84,1260
2012-10-22,0.84,0.84,0.84,0.84,20
2012-10-23,0.84,0.84,0.84,0.84,40
2012-10-24,0.84,0.84,0.84,0.84,10
2012-10-25,0.84,0.84,0.84,0.84,20
2012-10-26,0.84,0.84,0.84,0.84,20
2012-10-29,0.84,0.84,0.84,0.84,20
2012-10-30,0.84,0.84,0.84,0.84,20
2012-10-31,0.84,0.84,0.84,0.84,20
2012-11-02,0.84,0.84,0.84,0.84,20
2012-11-05,0.84,0.84,0.84,0.84,15
2012-11-06,0.84,0.9,0.82,0.82,4300
2012-11-19,0.79,0.79,0.77,0.77,300
2012-11-22,0.76,0.76,0.76,0.76,18000
2012-12-28,0.83,0.83,0.83,0.83,100
2013-01-25,0.8,0.8,0.75,0.75,500
2013-03-06,0.76,0.84,0.76,0.84,750
2013-03-07,0.84,0.84,0.84,0.84,40
2013-03-08,0.84,0.84,0.84,0.84,60
2013-03-13,0.8,0.8,0.8,0.8,40
2013-03-14,0.79,0.79,0.79,0.79,65
2013-03-15,0.79,0.79,0.79,0.79,40
2013-03-18,0.79,0.79,0.79,0.79,50
2013-03-19,0.79,0.79,0.79,0.79,50
2013-03-20,0.79,0.79,0.79,0.79,50
2013-03-21,0.79,0.8,0.79,0.8,2696
2013-03-22,0.8,0.8,0.8,0.8,30
2013-04-10,0.8,0.84,0.8,0.84,310
2013-04-15,0.84,0.84,0.84,0.84,60
2013-04-17,0.84,0.84,0.84,0.84,150
2013-04-18,0.84,0.84,0.84,0.84,40
2013-04-19,0.84,0.84,0.84,0.84,30
2013-04-22,0.84,0.84,0.84,0.84,20
2013-04-24,0.8,0.8,0.8,0.8,10050
2013-04-25,0.82,0.88,0.82,0.88,610
2013-04-26,0.88,0.89,0.88,0.89,200
2013-04-29,0.88,0.88,0.88,0.88,40
2013-04-30,0.88,0.88,0.88,0.88,60
2013-05-02,0.88,0.88,0.88,0.88,30
2013-05-06,0.88,0.88,0.88,0.88,60
2013-05-07,0.88,0.88,0.88,0.88,40
2013-05-08,0.88,0.88,0.88,0.88,30
2013-05-09,0.88,0.88,0.88,0.88,20
2013-05-10,0.88,0.88,0.88,0.88,30
2013-05-13,0.88,0.88,0.88,0.88,60
2013-05-14,0.88,0.88,0.88,0.88,20
2013-05-15,0.88,0.88,0.88,0.88,30
2013-05-16,0.88,0.88,0.88,0.88,30
2013-05-17,0.88,0.88,0.88,0.88,25
2013-05-20,0.88,0.89,0.88,0.89,35
2013-05-21,0.88,0.88,0.88,0.88,20
2013-05-22,0.88,0.88,0.88,0.88,40
2013-05-23,0.88,0.88,0.88,0.88,40
2013-05-24,0.88,0.88,0.88,0.88,30
2013-05-27,0.88,0.88,0.88,0.88,20
2013-05-28,0.88,0.88,0.88,0.88,140
2013-05-29,0.88,0.88,0.88,0.88,10
2013-05-31,0.88,0.88,0.88,0.88,20
2013-06-03,0.88,0.88,0.88,0.88,20
2013-06-04,0.88,0.88,0.88,0.88,10
2013-06-05,0.88,0.88,0.88,0.88,25
2013-06-06,0.88,0.88,0.88,0.88,15
2013-06-07,0.88,0.88,0.88,0.88,10
2013-06-10,0.88,0.88,0.88,0.88,20
2013-06-11,0.88,0.88,0.88,0.88,20
