Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-23,0.7,0.71,0.61,0.63,15309
2011-08-24,0.64,0.64,0.52,0.59,3650
2011-08-25,0.48,0.5,0.48,0.5,16450
2011-08-26,0.52,0.52,0.52,0.52,200
2011-08-29,0.52,0.57,0.52,0.57,3550
2011-08-30,0.53,0.59,0.53,0.59,1260
2011-08-31,0.48,0.65,0.48,0.56,17713
2011-09-01,0.52,0.57,0.52,0.55,2075
2011-09-02,0.57,0.57,0.57,0.57,80
2011-09-05,0.57,0.57,0.47,0.5,8410
2011-09-06,0.48,0.49,0.48,0.49,1534
2011-09-07,0.51,0.51,0.51,0.51,150
2011-09-08,0.51,0.51,0.51,0.51,1300
2011-09-09,0.53,0.53,0.48,0.53,1424
2011-09-13,0.54,0.54,0.54,0.54,1127
2011-09-14,0.54,0.54,0.54,0.54,1000
2011-09-15,0.54,0.54,0.54,0.54,1273
2011-09-16,0.64,0.64,0.55,0.6,102
2011-09-20,0.6,0.6,0.6,0.6,81
2011-09-21,0.6,0.6,0.5,0.5,7220
2011-09-22,0.58,0.58,0.58,0.58,1
2011-09-23,0.55,0.55,0.55,0.55,10
2011-09-26,0.55,0.55,0.54,0.54,8700
2011-09-27,0.53,0.54,0.53,0.53,4710
2011-09-28,0.48,0.53,0.48,0.53,799
2011-09-29,0.48,0.48,0.48,0.48,5
2011-09-30,0.53,0.53,0.53,0.53,100
2011-10-03,0.53,0.54,0.53,0.54,828
2011-10-04,0.46,0.46,0.46,0.46,828
2011-10-07,0.51,0.65,0.51,0.65,65019
2011-10-10,0.63,0.67,0.63,0.67,1100
2011-10-11,0.61,0.61,0.5,0.5,10179
2011-10-12,0.46,0.52,0.45,0.52,2417
2011-10-13,0.5,0.51,0.5,0.51,1400
2011-10-14,0.54,0.54,0.54,0.54,100
2011-10-17,0.47,0.47,0.47,0.47,473
2011-10-19,0.54,0.56,0.53,0.56,1841
2011-10-21,0.58,0.6,0.58,0.6,811
2011-10-24,0.54,0.54,0.39,0.5,91353
2011-10-25,0.5,0.5,0.44,0.45,10159
2011-10-26,0.5,0.64,0.5,0.64,6301
2011-10-27,0.68,0.68,0.6,0.61,2868
2011-10-28,0.55,0.59,0.51,0.51,25360
2011-10-31,0.51,0.51,0.51,0.51,1000
2011-11-02,0.54,0.56,0.54,0.56,7740
2011-11-04,0.57,0.6,0.57,0.6,1700
2011-11-08,0.52,0.52,0.52,0.52,10
2011-11-10,0.59,0.6,0.59,0.6,31000
2011-11-14,0.6,0.61,0.6,0.61,9700
2011-11-15,0.61,0.69,0.61,0.69,38150
2011-11-16,0.7,0.7,0.69,0.69,88517
2011-11-17,0.69,0.69,0.69,0.69,15000
2011-11-18,0.65,0.69,0.65,0.69,5000
2011-11-30,0.56,0.56,0.56,0.56,1500
2011-12-05,0.57,0.65,0.57,0.65,1600
2011-12-08,0.55,0.55,0.55,0.55,5000
2011-12-15,0.54,0.55,0.54,0.55,173423
2011-12-20,0.55,0.55,0.55,0.55,33000
2011-12-23,0.55,0.57,0.55,0.57,45000
2011-12-27,0.57,0.65,0.57,0.65,22873
2011-12-28,0.65,0.65,0.65,0.65,26127
2011-12-30,0.55,0.6,0.55,0.55,1415
2012-01-04,0.69,0.69,0.59,0.63,1935
2012-01-09,0.63,0.69,0.63,0.63,2732
2012-01-10,0.63,0.63,0.63,0.63,1000
2012-01-11,0.63,0.63,0.63,0.63,1000
2012-01-13,0.63,0.63,0.63,0.63,2980
2012-01-16,0.63,0.63,0.63,0.63,3000
2012-01-17,0.56,0.63,0.56,0.63,1588
2012-01-19,0.63,0.63,0.63,0.63,1500
2012-01-20,0.63,0.63,0.63,0.63,3000
2012-01-23,0.63,0.63,0.63,0.63,4000
2012-01-26,0.63,0.63,0.56,0.56,39987
2012-01-31,0.65,0.65,0.65,0.65,8010
2012-02-01,0.65,0.65,0.56,0.56,7200
2012-02-07,0.63,0.63,0.56,0.56,4510
2012-02-08,0.56,0.56,0.46,0.56,100913
2012-02-09,0.56,0.63,0.56,0.63,622300
2012-02-10,0.63,0.63,0.56,0.56,10360
2012-02-13,0.55,0.61,0.47,0.56,10836
2012-02-15,0.56,0.61,0.49,0.49,9994
2012-02-16,0.56,0.56,0.56,0.56,9599
2012-02-17,0.55,0.56,0.55,0.56,6111
2012-02-20,0.57,0.57,0.56,0.56,20500
2012-02-22,0.56,0.56,0.56,0.56,2500
2012-02-23,0.56,0.56,0.56,0.56,13600
2012-02-24,0.56,0.56,0.56,0.56,4500
2012-02-27,0.56,0.56,0.56,0.56,9000
2012-02-28,0.56,0.56,0.56,0.56,4500
2012-03-01,0.56,0.56,0.56,0.56,9000
2012-03-02,0.56,0.56,0.5,0.56,11517
2012-03-05,0.56,0.56,0.56,0.56,8900
2012-03-08,0.56,0.56,0.56,0.56,11500
2012-03-09,0.56,0.56,0.56,0.56,529
2012-03-12,0.47,0.56,0.47,0.56,117
2012-03-13,0.56,0.63,0.56,0.56,5900
2012-03-14,0.56,0.56,0.56,0.56,4500
2012-03-15,0.56,0.63,0.47,0.56,4786
2012-03-16,0.56,0.62,0.5,0.62,14100
2012-03-20,0.56,0.56,0.5,0.56,9400
2012-03-30,0.5,0.56,0.5,0.56,10100
2012-04-04,0.56,0.56,0.56,0.56,4000
2012-04-10,0.51,0.61,0.51,0.61,5001
2012-04-11,0.53,0.61,0.51,0.51,20200
2012-04-12,0.55,0.55,0.51,0.55,13400
2012-04-13,0.55,0.55,0.45,0.5,6800
2012-04-16,0.52,0.55,0.43,0.43,24088
2012-04-17,0.53,0.53,0.41,0.41,17200
2012-04-18,0.49,0.49,0.43,0.43,1800
2012-04-19,0.42,0.42,0.42,0.42,200
2012-04-20,0.41,0.41,0.38,0.39,2800
2012-04-23,0.36,0.36,0.36,0.36,200
2012-04-24,0.43,0.43,0.4,0.4,10000
2012-04-25,0.43,0.45,0.4,0.4,8000
2012-04-26,0.4,0.4,0.4,0.4,1188
2012-04-27,0.45,0.45,0.45,0.45,4500
2012-05-02,0.47,0.47,0.47,0.47,212
2012-05-07,0.38,0.46,0.38,0.46,101
2012-05-09,0.41,0.41,0.37,0.37,9910
2012-05-10,0.35,0.38,0.32,0.38,7550
2012-05-11,0.42,0.42,0.42,0.42,20
2012-05-16,0.38,0.38,0.38,0.38,30
2012-05-17,0.25,0.3,0.25,0.3,19150
2012-05-18,0.21,0.34,0.21,0.33,10330
2012-05-21,0.33,0.35,0.27,0.3,13619
2012-05-25,0.3,0.34,0.3,0.34,8230
2012-05-28,0.35,0.39,0.35,0.39,3600
2012-05-31,0.39,0.45,0.39,0.45,4670
2012-06-01,0.44,0.53,0.44,0.53,3900
2012-06-04,0.48,0.61,0.48,0.61,2400
2012-06-06,0.55,0.61,0.55,0.61,1500
2012-06-08,0.61,0.61,0.61,0.61,250
2012-06-11,0.51,0.6,0.51,0.6,3100
2012-06-19,0.53,0.61,0.53,0.61,3500
2012-06-29,0.5,0.5,0.5,0.5,16
2012-07-02,0.6,0.6,0.6,0.6,100
2012-07-03,0.6,0.68,0.6,0.68,4000
2012-07-06,0.55,0.55,0.55,0.55,1000
2012-07-09,0.59,0.59,0.49,0.59,300
2012-07-11,0.49,0.68,0.49,0.68,4420
2012-07-13,0.55,0.55,0.55,0.55,2000
2012-07-20,0.49,0.59,0.49,0.59,2100
2012-09-19,0.37,0.37,0.37,0.37,2600
2012-09-20,0.3,0.3,0.25,0.3,13000
2012-09-21,0.31,0.31,0.31,0.31,2000
2012-09-24,0.36,0.36,0.26,0.26,3100
2012-09-25,0.27,0.27,0.27,0.27,100
2012-10-01,0.32,0.37,0.3,0.3,12000
2012-10-02,0.34,0.35,0.34,0.35,9000
2012-10-05,0.36,0.36,0.36,0.36,500
2012-10-17,0.3,0.38,0.3,0.38,3100
2012-10-24,0.38,0.45,0.38,0.45,3200
2012-10-25,0.58,0.58,0.58,0.58,1000
