Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-08-11,6.79,8.16,6.79,8.16,4189
2010-08-12,8.11,8.11,5.8,6.86,4702
2010-08-13,6.3,7.37,6,7.35,3028
2010-08-16,7.3,7.7,7,7.5,1303
2010-08-17,7.5,7.5,7,7,90
2010-08-18,6.95,6.95,6.5,6.95,112
2010-08-20,6.6,7.45,6.6,7.45,280
2010-08-26,7.5,7.5,7.5,7.5,5
2010-08-31,7,7.28,6.5,7.28,380
2010-09-01,7.5,7.5,7.5,7.5,2
2010-09-07,6.5,7.3,6.5,7.3,212
2010-09-08,7.3,7.3,7.3,7.3,80
2010-09-10,7.1,7.1,7.1,7.1,5
2010-09-13,7.1,7.3,7.1,7.3,245
2010-09-14,7.3,7.3,7.3,7.3,100
2010-09-20,7.49,7.49,6.5,6.5,160
2010-09-21,7.3,7.3,6.6,6.6,595
2010-09-28,7,7.2,6.85,7,1190
2010-09-29,6.9,6.9,6.55,6.9,132
2010-09-30,6.5,6.9,6.25,6.9,720
2010-10-04,6.6,6.7,6.4,6.7,70
2010-10-05,6.9,6.9,6.25,6.25,348
2010-10-06,6.9,6.9,6.9,6.9,30
2010-10-19,6.31,6.31,6.31,6.31,5
2010-11-02,6.31,6.31,6.15,6.15,650
2010-11-04,5.7,5.7,5,5,4665
2010-11-05,5.5,5.5,5.5,5.5,10
2010-11-08,5.5,5.5,5.5,5.5,20
2010-11-09,5.48,5.48,5.48,5.48,100
2010-11-12,5,5,5,5,625
2010-11-16,4.6,4.6,4,4.5,3100
2010-11-18,4,4,3.6,3.6,7520
2010-11-19,3.85,4.3,3.85,4,725
2010-11-22,4,4.8,4,4.8,2152
2010-11-23,5,5.25,4.3,4.3,295580
2010-11-24,3.8,4.95,3.8,3.82,1794
2010-11-25,4.45,4.5,4.4,4.5,1058
2010-11-29,4,4.05,4,4,226
2010-11-30,4.47,4.5,4.2,4.3,2028
2010-12-01,4.3,4.3,3.7,3.7,2512
2010-12-02,3.65,4.44,3.65,4.4,1658
2010-12-03,4.39,4.39,4.39,4.39,10
2010-12-06,3.8,4.39,3.7,4.39,2485
2010-12-07,3.7,4,3.7,4,2560
2010-12-08,3.99,3.99,3.75,3.98,7301
2010-12-09,3.72,3.99,3.7,3.99,3702
2010-12-13,3.99,3.99,3.99,3.99,1
2010-12-15,3.65,3.75,3.65,3.75,3100
2010-12-16,3.77,3.99,3.6,3.9,6405
2010-12-17,3.98,3.98,3.45,3.45,4195
2010-12-20,3.9,3.9,3.5,3.5,68
2010-12-21,3.7,3.7,3.7,3.7,100
2010-12-22,3.79,3.79,3.79,3.79,100
2010-12-27,3.98,3.98,3.9,3.98,1050
2010-12-29,3.98,3.99,3.98,3.99,1500
2010-12-30,3.85,4.39,3.85,4.39,4200
2010-12-31,4.39,4.64,4,4.64,9135
2011-01-05,4.3,4.3,3.8,3.81,1270
2011-01-07,4.14,4.14,4.14,4.14,26
2011-01-11,3.55,3.8,3.55,3.8,1490
2011-01-12,3.33,3.33,3.32,3.32,1136
2011-01-18,3.43,3.85,3.32,3.85,2799
2011-01-19,3.97,3.97,3.97,3.97,1000
2011-01-20,3.6,3.6,3.4,3.4,730
2011-01-21,3.42,3.42,3.4,3.4,3823
2011-01-26,3.7,3.7,3.7,3.7,300
2011-01-27,3.83,3.83,3.83,3.83,1000
2011-02-02,3.85,3.85,3.85,3.85,1000
2011-02-10,3.47,3.47,3.3,3.3,1300
2011-02-11,3.55,3.55,3.55,3.55,200
2011-02-16,3.55,3.69,3.55,3.69,130
2011-02-21,3.3,3.3,3.18,3.18,400
2011-02-24,3.2,3.2,3.14,3.14,2000
2011-02-28,3.25,3.25,3.25,3.25,50
2011-03-01,3.45,3.45,3.45,3.45,60
2011-03-04,3.4,3.45,3.4,3.45,500
2011-03-10,3.44,3.76,3,3.2,1611
2011-03-14,3.4,3.4,3.4,3.4,348
2011-03-15,3.6,3.6,3.2,3.2,98
2011-03-16,3.35,3.5,3.35,3.5,105
2011-03-17,3.5,3.5,3.5,3.5,500
2011-03-18,3.35,3.35,3.25,3.25,1300
2011-03-23,3.05,3.05,3.05,3.05,40
2011-03-24,3.2,3.2,3.2,3.2,100
2011-03-28,3.3,3.3,3.3,3.3,100
2011-03-31,3.4,3.4,3.4,3.4,50
2011-04-06,3.44,3.44,3.44,3.44,50
2011-04-07,3.44,3.44,3.44,3.44,150
2011-04-14,3.3,3.3,3.3,3.3,3059
2011-04-19,3.39,3.39,3.39,3.39,100
2011-04-26,3.38,3.38,3.38,3.38,100
2011-04-27,3.07,3.07,3.07,3.07,670
2011-04-29,3.35,3.59,3.35,3.59,702
2011-05-04,3.47,3.47,3.47,3.47,15
