Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-08-30,4.05,4.85,3,3,946250
2007-08-31,3.47,3.47,2.8,2.83,223420
2007-09-03,2.88,2.88,2.5,2.64,75040
2007-09-04,2.61,2.61,2.23,2.24,114860
2007-09-05,2.31,2.35,2.12,2.2,51980
2007-09-06,2.2,2.3,2.1,2.14,47300
2007-09-07,2.21,2.33,2.12,2.28,54670
2007-09-10,2.22,2.25,2.1,2.15,58130
2007-09-11,2.15,2.19,2.14,2.14,8570
2007-09-12,2.18,2.2,1.9,1.98,38140
2007-09-13,1.98,2.1,1.82,2.1,44800
2007-09-14,2.1,2.2,2.09,2.13,38680
2007-09-17,2.14,2.14,2.03,2.14,910
2007-09-18,2.01,2.13,2,2.1,4150
2007-09-19,2.11,2.15,2,2.11,6840
2007-09-20,2,2.1,2,2,7980
2007-09-21,2,2.07,2,2.07,4230
2007-09-24,2.05,2.05,1.91,2,7220
2007-09-25,2,2,1.87,1.93,7310
2007-09-26,1.87,1.87,1.81,1.87,11910
2007-09-27,1.9,1.9,1.8,1.85,11780
2007-09-28,1.88,1.88,1.82,1.82,3600
2007-10-01,1.8,1.82,1.7,1.8,4470
2007-10-02,1.85,1.85,1.71,1.84,71240
2007-10-03,1.84,1.84,1.75,1.8,1510
2007-10-04,1.75,1.82,1.75,1.82,8320
2007-10-05,1.85,1.87,1.83,1.87,14210
2007-10-08,1.87,1.95,1.87,1.93,9400
2007-10-09,1.92,1.92,1.8,1.9,3730
2007-10-10,1.9,1.9,1.82,1.89,780
2007-10-11,1.9,2.24,1.89,2.1,93840
2007-10-12,2.09,2.09,1.97,2.02,15790
2007-10-15,2.02,2.04,2,2.04,13630
2007-10-16,2,2,1.95,1.99,8170
2007-10-17,1.97,1.97,1.96,1.96,2350
2007-10-18,1.99,1.99,1.96,1.97,9570
2007-10-19,1.95,2,1.92,2,20720
2007-10-22,1.91,1.91,1.89,1.89,9450
2007-10-23,1.85,1.9,1.85,1.87,7130
2007-10-24,1.85,1.89,1.82,1.82,8740
2007-10-25,1.83,1.9,1.82,1.9,3400
2007-10-26,1.94,1.94,1.94,1.94,570
2007-10-29,1.95,1.95,1.94,1.94,500
2007-10-30,1.97,2,1.88,1.99,4800
2007-11-02,1.88,1.98,1.88,1.98,3660
2007-11-05,1.88,1.95,1.87,1.95,3770
2007-11-06,1.8,1.85,1.72,1.85,12500
2007-11-07,1.85,1.85,1.72,1.84,10770
2007-11-08,1.72,1.8,1.7,1.8,10600
2007-11-09,1.73,1.73,1.66,1.66,15530
2007-11-12,1.6,1.7,1.6,1.68,730
2007-11-13,1.7,1.7,1.6,1.65,9530
2007-11-14,1.65,1.65,1.65,1.65,2810
2007-11-15,1.6,1.6,1.55,1.6,5150
2007-11-19,1.5,1.5,1.41,1.5,5580
2007-11-20,1.4,1.4,1.15,1.35,41710
2007-11-21,1.29,1.29,1.2,1.2,5930
2007-11-22,1.1,1.1,0.9,0.97,135930
2007-11-23,1,1.1,1,1.1,21450
2007-11-26,1.1,1.12,1.05,1.05,28350
2007-11-27,1,1.07,1,1.07,2200
2007-11-28,1.05,1.05,1.05,1.05,1000
2007-11-29,1.05,1.24,0.99,1.2,256190
2007-11-30,1.2,1.22,1.16,1.2,4950
2007-12-03,1.2,1.2,1.2,1.2,3200
2007-12-04,1.16,1.19,1.16,1.19,1640
2007-12-05,1.19,1.19,1.16,1.19,11850
2007-12-06,1.18,1.29,1.18,1.2,14340
2007-12-07,1.29,1.29,1.16,1.26,14470
2007-12-10,1.31,1.66,1.31,1.66,119040
2007-12-11,1.65,1.85,1.48,1.8,67450
2007-12-12,1.75,1.75,1.6,1.64,43070
2007-12-13,1.65,1.75,1.62,1.7,28480
2007-12-14,1.65,1.7,1.65,1.7,5090
2007-12-17,1.65,1.68,1.5,1.68,3640
2007-12-18,1.55,1.73,1.55,1.73,36910
2007-12-19,1.6,1.85,1.6,1.75,23210
2007-12-20,1.8,1.84,1.79,1.82,20130
2007-12-21,1.85,1.85,1.7,1.75,10410
2007-12-27,1.8,1.89,1.74,1.85,4150
2007-12-28,1.85,1.85,1.75,1.8,4020
2008-01-02,1.76,1.78,1.7,1.78,4780
2008-01-03,1.7,1.8,1.7,1.8,1010
2008-01-04,1.79,1.79,1.65,1.75,3760
2008-01-07,1.58,1.65,1.55,1.65,4100
2008-01-08,1.63,1.68,1.6,1.68,9320
2008-01-09,1.6,1.6,1.6,1.6,1000
2008-01-10,1.51,1.59,1.42,1.58,5500
