Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-04-08,284.8,303.2,120,132,2327
2008-04-09,133.6,141.6,120,125.6,599
2008-04-10,112,116.8,101.6,109.6,293
2008-04-11,105.6,105.6,91.2,99.2,192
2008-04-14,96,96,88.8,88.8,119
2008-04-15,92,92,82.4,82.4,160
2008-04-16,82.4,86.4,81.6,85.6,82
2008-04-17,85.6,85.6,80,84.8,52
2008-04-18,84,84,72,81.6,343
2008-04-21,81.6,81.6,80,80,59
2008-04-22,76,80,76,80,42
2008-04-23,75.2,79.2,73.6,76.8,163
2008-04-24,76,78.4,72.8,78.4,234
2008-04-25,78.4,108.8,78.4,108.8,1284
2008-04-28,112,119.2,98.4,105.6,866
2008-04-29,105.6,105.6,97.6,102.4,533
2008-04-30,102.4,135.2,98.4,124.8,1137
2008-05-05,128,137.6,117.6,124,1524
2008-05-06,125.6,126.4,107.2,120,812
2008-05-07,119.2,142.4,118.4,124,1664
2008-05-08,129.6,140,128,136.8,524
2008-05-09,140.8,140.8,127.2,136,277
2008-05-12,136,136,112,128,667
2008-05-13,129.6,129.6,112,113.6,213
2008-05-14,116,117.6,106.4,117.6,189
2008-05-15,122.4,122.4,104,108.8,71
2008-05-16,105.6,116.8,102.4,112,119
2008-05-19,114.4,114.4,112.8,112.8,16
2008-05-20,105.6,108,91.2,93.6,347
2008-05-21,103.2,104,92,104,31
2008-05-23,100,100,90.4,97.6,7
2008-05-26,103.2,108,91.2,95.2,68
2008-05-27,88,100,80,94.4,486
2008-05-28,92.8,93.6,86.4,92.8,34
2008-05-29,85.6,106.4,85.6,106.4,90
2008-05-30,104.8,114.4,104.8,114.4,165
2008-06-02,112.8,112.8,95.2,104,250
2008-06-03,96,106.4,90.4,100.8,308
2008-06-04,103.2,104,89.6,104,329
2008-06-05,104,121.6,95.2,115.2,632
2008-06-06,114.4,125.6,104.8,124,507
2008-06-09,112,132,112,121.6,389
2008-06-10,115.2,121.6,110.4,117.6,280
2008-06-11,108.8,112,95.2,97.6,527
2008-06-12,97.6,99.2,82.4,93.6,771
2008-06-13,99.2,99.2,92.8,96.8,65
2008-06-16,96,102.4,92.8,101.6,54
2008-06-17,92.8,100,89.6,99.2,110
2008-06-18,96.8,96.8,87.2,87.2,25
2008-06-19,92,99.2,86.4,96,124
2008-06-20,98.4,98.4,80.8,87.2,295
2008-06-23,82.4,97.6,82.4,97.6,53
2008-06-24,92,93.6,88,93.6,36
2008-06-25,88,88,84,88,104
2008-06-26,84,90.4,80.8,84.8,262
2008-06-27,84,88,80,85.6,119
2008-06-30,88,88.8,87.2,87.2,41
2008-07-01,87.2,89.6,87.2,87.2,28
2008-07-02,88.8,89.6,88.8,88.8,26
2008-07-03,81.6,87.2,76.8,84.8,313
2008-07-04,84.8,88.8,84,88.8,148
2008-07-07,89.6,89.6,89.6,89.6,1
2008-07-08,88,88,88,88
2008-07-09,88,88,78.4,86.4,133
2008-07-10,84.8,84.8,79.2,84.8,38
2008-07-11,79.2,82.4,78.4,80.8,36
2008-07-14,84.8,84.8,84.8,84.8
2008-07-15,83.2,83.2,83.2,83.2
2008-07-16,83.2,83.2,75.2,81.6,438
2008-07-17,79.2,81.6,72.8,76,167
2008-07-18,77.6,79.2,73.6,77.6,62
2008-07-21,72,77.6,72,77.6,55
2008-07-22,72.8,76.8,72.8,76.8,43
2008-07-23,72.8,77.6,72,76.8,44
2008-07-24,75.2,77.6,73.6,77.6,49
2008-07-25,79.2,79.2,74.4,78.4,41
2008-07-28,76.8,80,76.8,80,91
2008-07-29,80,103.2,78.4,102.4,786
2008-07-30,90.4,99.2,80,85.6,709
2008-07-31,81.6,85.6,76.8,83.2,460
2008-08-01,82.4,86.4,80,84.8,307
2008-08-04,88.8,98.4,85.6,91.2,923
2008-08-05,93.6,93.6,82.4,92.8,252
2008-08-06,90.4,90.4,84,84.8,648
2008-08-07,87.2,92.8,84.8,84.8,254
2008-08-08,84.8,84.8,79.2,84.8,214
2008-08-11,88,91.2,85.6,85.6,71
2008-08-12,89.6,89.6,80,84,153
2008-08-13,85.6,88.8,79.2,80,167
2008-08-14,76.8,80,76.8,80,40
2008-08-18,80,80,80,80,41
2008-08-19,81.6,81.6,74.4,80,167
2008-08-20,80,80,76,76,55
2008-08-21,80,80,77.6,80,129
2008-08-22,80,80,80,80,6
2008-08-25,80,80,80,80
2008-08-26,80,80,74.4,80,232
2008-08-27,79.2,79.2,79.2,79.2,1
2008-08-28,80,83.2,80,83.2,114
2008-08-29,77.6,84,77.6,84,141
2008-09-01,80,86.4,80,86.4,43
2008-09-02,86.4,87.2,86.4,87.2,72
2008-09-03,85.6,85.6,84,84,55
2008-09-04,80,81.6,75.2,80,312
2008-09-05,81.6,81.6,78.4,80,39
2008-09-08,80,80,80,80
2008-09-09,80,80,75.2,80,67
2008-09-10,76,80,76,79.2,14
2008-09-11,76.8,80,72.8,78.4,40
2008-09-12,72,78.4,72,73.6,53
2008-09-15,78.4,78.4,78.4,78.4
2008-09-16,76,76,76,76,1
2008-09-17,76,78.4,68.8,78.4,46
2008-09-18,76.8,76.8,76.8,76.8,1
2008-09-19,78.4,78.4,78.4,78.4,27
2008-09-22,76.8,77.6,76.8,77.6,19
2008-09-23,77.6,88,77.6,87.2,530
2008-09-24,84,88,84,88,29
2008-09-25,82.4,82.4,79.2,80,240
2008-09-26,80,80,79.2,80,6
2008-09-29,79.2,80,79.2,80,1
2008-09-30,79.2,80,70.4,80,15
2008-10-01,72,79.2,65.6,65.6,74
2008-10-02,66.4,71.2,60.8,70.4,143
2008-10-03,68,72,58.4,72,100
2008-10-06,72,72,72,72,1
2008-10-08,59.2,72,58.4,72,92
2008-10-09,68.8,68.8,68.8,68.8,1
2008-10-10,58.4,66.4,56,58.4,67
2008-10-13,60,62.4,47.2,55.2,431
2008-10-14,59.2,59.2,49.6,59.2,57
2008-10-15,60.8,61.6,48,55.2,145
2008-10-16,48,57.6,48,57.6,54
2008-10-17,55.2,55.2,44.8,44.8,306
2008-10-20,44.8,49.6,44.8,49.6,9
2008-10-21,49.6,54.4,49.6,54.4,43
2008-10-22,45.6,53.6,44,53.6,79
2008-10-23,53.6,53.6,53.6,53.6,1
2008-10-24,56,56,53.6,53.6,51
2008-10-27,58.4,58.4,56,56,18
2008-10-28,56,56,44.8,44.8,233
2008-10-29,49.6,49.6,44,47.2,246
2008-10-30,48,48.8,40,48,86
2008-10-31,43.2,43.2,42.4,43.2,172
2008-11-03,42.4,47.2,42.4,47.2,39
2008-11-04,45.6,48.8,43.2,48.8,151
2008-11-05,43.2,44,43.2,43.2,98
2008-11-06,46.4,46.4,46.4,46.4,21
2008-11-07,45.6,48,45.6,48,64
2008-11-10,47.2,48,43.2,48,18
2008-11-12,40.8,41.6,40.8,40.8,100
2008-11-13,40,40.8,36,39.2,135
2008-11-14,40,45.6,40,45.6,48
2008-11-17,43.2,43.2,37.6,38.4,213
2008-11-18,44,44,39.2,39.2,17
2008-11-19,37.6,37.6,36.8,36.8,98
2008-11-20,36,36,36,36,6
2008-11-21,40,40,40,40,1
2008-11-24,40,40,37.6,37.6,58
2008-11-25,40,40,40,40
2008-11-26,40,40,40,40
2008-11-27,38.4,40.8,36,36,236
2008-11-28,35.2,36,31.2,31.2,534
2008-12-01,33.6,33.6,31.2,32,94
2008-12-02,30.4,33.6,28.8,31.2,239
2008-12-03,32.8,33.6,32.8,33.6,46
2008-12-04,34.4,40,34.4,40,85
2008-12-05,41.6,48.8,40,48.8,313
2008-12-08,54.4,54.4,48,52,59
2008-12-09,57.6,58.4,57.6,58.4,20
2008-12-11,57.6,57.6,45.6,45.6,275
2008-12-12,53.6,54.4,53.6,54.4,4
2008-12-15,44,51.2,44,51.2,21
2008-12-16,45.6,45.6,44,44,177
2008-12-17,40,51.2,36,36,148
2008-12-18,43.2,43.2,34.4,34.4,151
2008-12-19,40.8,40.8,36.8,36.8,75
2008-12-22,44,44,40,40,28
2008-12-23,38.4,50.4,38.4,50.4,74
2008-12-29,53.6,60.8,53.6,60,243
2008-12-30,60,80,48,80,717
2008-12-31,66.4,66.4,64,64,56
2009-01-05,56.8,57.6,52.8,52.8,93
