Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-06-23,3.9,5.85,3.9,5.85,86722
2015-06-24,6.62,8.05,6.62,8.05,32256
2015-06-25,9.01,9.1,6.74,8.4,60135
2015-06-26,7.01,8.35,6.84,8.35,20187
2015-06-29,7.75,8.95,7,7.64,45690
2015-06-30,7.54,7.54,5.6,6.29,52501
2015-07-01,7.25,7.25,5.25,5.78,54597
2015-07-02,5.76,5.76,4.62,4.62,3172
2015-07-03,4.3,5.59,3.81,4.18,52746
2015-07-06,3.82,4.25,3.16,4.25,57542
2015-07-07,4.83,5.35,4,4.2,83880
2015-07-08,4.46,4.46,3.57,3.79,31567
2015-07-09,4.07,4.3,3.6,4,15594
2015-07-10,4.18,4.18,3.35,3.4,85030
2015-07-13,3.55,3.61,3.11,3.57,34915
2015-07-14,3.6,3.65,3.17,3.4,17543
2015-07-15,3.23,3.5,3.23,3.4,1555
2015-07-16,3.4,3.41,2.65,2.65,64822
2015-07-17,2.54,2.88,2.04,2.05,163524
2015-07-20,1.64,2.22,1.64,1.98,146163
2015-07-21,1.99,2.04,1.55,1.55,148036
2015-07-22,1.59,1.75,1.36,1.57,47702
2015-07-23,1.61,1.64,1.4,1.6,34872
2015-07-24,1.61,1.8,1.32,1.42,223819
2015-07-27,1.44,1.65,1.23,1.54,66196
2015-07-28,1.48,1.83,1.48,1.71,134982
2015-07-29,1.73,1.91,1.58,1.9,142448
2015-07-30,1.95,2.19,1.9,1.9,85047
2015-07-31,1.92,1.99,1.76,1.88,49465
2015-08-03,1.98,2,1.59,1.64,170563
2015-08-04,1.7,1.77,1.36,1.39,193896
2015-08-05,1.42,1.45,1.2,1.3,151854
2015-08-06,1.26,1.41,1.15,1.26,166974
2015-08-07,1.24,1.31,1,1,275412
2015-08-10,1.02,1.1,1,1.09,146223
2015-08-11,1.13,1.14,0.9,0.9,278164
2015-08-12,0.9,0.95,0.6,0.64,466067
2015-08-13,0.69,0.8,0.64,0.71,104686
2015-08-14,0.76,0.88,0.72,0.87,97590
2015-08-17,0.88,0.88,0.79,0.83,39559
2015-08-18,0.8,0.83,0.76,0.82,45419
2015-08-19,0.77,0.8,0.74,0.8,13045
2015-08-20,0.8,0.8,0.75,0.8,5702
2015-08-21,0.81,0.81,0.75,0.79,1199
2015-08-24,0.79,0.79,0.69,0.69,11575
2015-08-25,0.71,0.8,0.7,0.76,29978
2015-08-26,0.7,0.74,0.68,0.68,16907
2015-08-27,0.68,0.72,0.66,0.66,3741
2015-08-28,0.67,0.74,0.66,0.73,11358
2015-08-31,0.73,0.8,0.73,0.77,25242
2015-09-01,0.75,0.76,0.7,0.76,6300
2015-09-02,0.77,0.79,0.74,0.79,17952
2015-09-03,0.79,0.8,0.73,0.75,9025
2015-09-04,0.77,0.77,0.69,0.7,21383
2015-09-07,0.69,0.76,0.68,0.73,9977
2015-09-08,0.69,0.75,0.69,0.75,10089
2015-09-09,0.74,0.75,0.71,0.75,1251
2015-09-10,0.75,0.78,0.72,0.75,26951
2015-09-11,0.75,0.75,0.7,0.74,13789
2015-09-14,0.71,0.78,0.71,0.78,21430
2015-09-15,0.74,0.8,0.72,0.78,22324
2015-09-16,0.76,0.78,0.74,0.78,9819
2015-09-17,0.76,0.76,0.74,0.76,5548
2015-09-18,0.75,0.76,0.7,0.75,4933
2015-09-21,0.77,0.77,0.72,0.75,5100
2015-09-22,0.76,0.76,0.72,0.76,12032
2015-09-23,0.74,0.75,0.71,0.75,7157
2015-09-24,0.72,0.73,0.67,0.7,11351
2015-09-25,0.68,0.76,0.68,0.7,12634
2015-09-28,0.71,0.74,0.71,0.71,1250
2015-09-29,0.69,0.73,0.69,0.73,2859
2015-09-30,0.72,0.73,0.67,0.71,12097
2015-10-01,0.73,0.73,0.69,0.69,5100
2015-10-02,0.69,0.72,0.65,0.72,5232
2015-10-05,0.73,0.73,0.61,0.69,7852
