Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-03-20,2.82579,2.95445,2.75857,2.75857,223658.83254546
2008-03-25,2.64209,2.78927,2.43346,2.45201,51216.123299131
2008-03-26,2.43965,2.51324,2.26811,2.3048,111881.74736877
2008-03-27,2.43346,2.43346,2.31081,2.35978,12460.140765096
2008-03-28,2.38468,2.38468,2.26811,2.35396,12751.699728743
2008-03-31,2.26811,2.3785,2.17625,2.37223,27041.292892109
2008-04-01,2.3785,2.4154,2.26811,2.31708,7571.9892024112
2008-04-02,2.32934,2.33562,2.21933,2.28038,11300.312799818
2008-04-03,2.24367,2.24367,2.08431,2.09021,27465.281568182
2008-04-04,2.10265,2.10265,1.93083,2.01679,45755.533624669
2008-04-07,1.99217,2.00461,1.93083,1.99217,24006.089321833
2008-04-08,1.92494,2.32317,1.90022,2.32317,96956.705182074
2008-04-09,2.31708,2.5622,2.26202,2.5622,106008.9168153
2008-04-10,2.57458,2.6051,2.4889,2.52552,12682.280927875
2008-04-11,2.57458,2.93619,2.57458,2.89949,132867.58486206
2008-04-14,2.6359,2.80146,2.6359,2.75249,6377.9858274753
2008-04-15,2.75857,2.77065,2.58104,2.58703,1258.0822680452
2008-04-16,2.75249,2.85043,2.58703,2.78927,69655.892772873
2008-04-17,2.75857,2.75857,2.58703,2.59293,5355.9274823826
2008-04-18,2.57458,2.59293,2.42739,2.59293,16674.395968583
2008-04-21,2.62383,2.6847,2.62383,2.6847,3983.5711882926
2008-04-22,2.62383,2.72776,2.62383,2.72776,2056.9324688074
2008-04-23,2.7463,2.7463,2.7463,2.7463,19.223667932779
2008-04-24,2.57458,2.72776,2.57458,2.72776,822.34579490221
2008-04-25,2.58104,2.64818,2.58104,2.64818,791.37432989939
2008-04-28,2.66662,2.66662,2.47054,2.61136,3324.626570819
2008-04-29,2.61136,2.61136,2.45201,2.45201,22488.487536696
2008-04-30,2.5684,2.69105,2.5684,2.69105,28496.951747242
2008-05-05,2.69105,2.72776,2.57458,2.69105,18908.613374992
2008-05-06,2.99143,2.99143,2.66662,2.82019,1872.1716603423
2008-05-07,2.86896,2.86896,2.86896,2.86896,1.0679815518211
2008-05-08,2.6051,2.63001,2.51324,2.52552,11461.578014143
2008-05-09,2.52552,2.61136,2.51324,2.61136,2839.7629462922
2008-05-12,2.61136,2.72187,2.61136,2.72187,114.27402604486
2008-05-13,2.45201,2.64818,2.44564,2.64818,2077.2241182919
2008-05-15,2.39068,2.57458,2.39068,2.57458,13388.216733628
2008-05-16,2.33562,2.42139,2.26811,2.26811,20946.322175866
2008-05-19,2.32934,2.39068,2.26811,2.39068,32776.353825388
2008-05-20,2.38468,2.38468,2.38468,2.38468,17.087704829136
2008-05-21,2.1639,2.3785,2.1639,2.3785,1572.0688442807
2008-05-23,2.38468,2.45201,2.38468,2.42739,2024.8930222527
2008-05-26,2.43346,2.43346,2.37223,2.37223,124.95384156307
2008-05-27,2.26811,2.42139,2.26811,2.42139,477.38775366401
2008-05-29,2.23749,2.42139,2.18243,2.20697,4444.9392186792
2008-05-30,2.26811,2.26811,2.0536,2.26202,9431.3450841318
2008-06-02,2.13917,2.13917,2.13917,2.13917,1629.7398480789
2008-06-03,2.11492,2.11492,2.02897,2.10873,3256.2757515023
2008-06-04,1.99217,2.10265,1.99217,1.99217,2382.6668421127
2008-06-05,2.0536,2.18843,2.0536,2.18843,2330.3357460736
2008-06-06,2.14564,2.32317,2.14564,2.32317,350.2979489973
2008-06-09,2.37223,2.37223,2.37223,2.37223,1.0679815518211
2008-06-10,1.90022,1.90022,1.90022,1.90022,100.39026587118
2008-06-11,2.26811,2.26811,2.26811,2.26811,100.39026587118
2008-06-12,2.26202,2.32934,1.9126,2.20697,1504.7860065159
2008-06-13,2.20068,2.20068,2.20068,2.20068,2251.3051112388
2008-06-16,2.20697,2.20697,2.20697,2.20697,2.135963103642
2008-06-17,2.26202,2.26202,2.26202,2.26202,5.3399077591053
2008-06-18,2.32934,2.32934,2.32934,2.32934,1.0679815518211
2008-06-19,2.35978,2.42139,2.35978,2.42139,2.135963103642
2008-06-20,2.40912,2.40912,2.40912,2.40912,244.56777536702
2008-06-24,2.299,2.299,2.26202,2.26202,215.73227346786
2008-06-26,2.299,2.299,2.299,2.299,14.951741725495
2008-06-27,1.99834,2.18843,1.90022,2.14564,28126.362148759
2008-06-30,2.14564,2.14564,2.14564,2.14564,599.13765057162
2008-07-01,1.90022,1.99217,1.86951,1.96156,5536.4163646403
2008-07-02,1.83898,1.96156,1.79619,1.95537,1224.9748399387
2008-07-03,1.83898,1.93083,1.81455,1.91839,18853.078334297
2008-07-07,1.92494,1.92494,1.80837,1.90022,2119.9433803648
2008-07-08,1.83898,1.83898,1.83898,1.83898,244.56777536702
2008-07-11,1.83898,1.91839,1.80837,1.90022,3379.0936299618
2008-07-14,1.93083,1.93083,1.93083,1.93083,83.302561042042
2008-07-15,1.75302,1.82691,1.66118,1.82691,3787.0625827574
2008-07-16,1.66118,1.77775,1.66118,1.77775,1839.0642322358
2008-07-17,1.78384,1.9126,1.78384,1.9126,212.52832881239
2008-07-18,1.9126,1.9126,1.9126,1.9126,244.56777536702
2008-07-23,1.83898,1.83898,1.83898,1.83898,1291.1896961516
2008-07-29,1.7594,1.7594,1.75302,1.75302,463.50399349034
2008-07-30,1.74712,1.86951,1.74712,1.86951,376.99748779283
2008-08-05,1.8329,1.8329,1.71643,1.71643,2581.3114107515
2008-08-06,1.80837,1.80837,1.74712,1.74712,1296.5296039107
2008-08-07,1.85752,1.85752,1.85752,1.85752,328.93831796088
2008-08-08,1.77775,1.77775,1.65518,1.77775,1157.6920021741
2008-08-11,1.8329,1.8329,1.8329,1.8329,634.38104178171
2008-08-13,1.80837,1.89414,1.80837,1.89414,4890.2875257886
2008-08-14,1.99217,1.99217,1.63056,1.83898,1828.3844167176
2008-08-18,1.87597,1.87597,1.87597,1.87597,1.0679815518211
2008-08-19,1.65518,1.83898,1.65518,1.83898,761.47084644841
2008-08-21,1.67334,1.76576,1.67334,1.76576,2251.3051112388
2008-08-22,1.7594,1.7594,1.65518,1.68579,3980.367243637
2008-08-25,1.8329,1.8329,1.8329,1.8329,1.0679815518211
2008-08-26,1.83898,1.85752,1.83898,1.85752,299.03483450989
2008-08-28,1.77775,1.84525,1.6121,1.84525,2041.9807270818
2008-09-01,1.80837,1.80837,1.64319,1.65518,8229.865838333
2008-09-02,1.65518,1.68579,1.62447,1.68579,2954.036972337
2008-09-04,1.67944,1.67944,1.67944,1.67944,582.04994574247
2008-09-08,1.67334,1.67334,1.67334,1.67334,591.66177970887
2008-09-09,1.67334,1.67944,1.67334,1.67944,396.22115572561
2008-09-10,1.67334,1.67944,1.67334,1.67944,232.81997829699
2008-09-16,1.65518,1.65518,1.25667,1.58767,5889.9182582931
2008-09-17,1.53233,1.53233,1.53233,1.53233,1205.7511720059
2008-09-18,1.40968,1.48337,1.40968,1.48337,1016.7184373336
2008-09-19,1.47138,1.47138,1.47138,1.47138,325.73437330542
2008-09-22,1.47138,1.47138,1.47138,1.47138,163.40117742861
2008-09-24,1.45293,1.45293,1.44057,1.44057,1632.9437927344
2008-09-25,1.44656,1.58139,1.44656,1.58139,184.76080846505
2008-09-26,1.58767,1.68579,1.53233,1.64319,8567.3480087084
2008-09-29,1.56941,1.64319,1.56941,1.59375,10664.863776485
2008-09-30,1.53862,1.53862,1.51416,1.53233,8650.6505697505
2008-10-01,1.58767,1.61837,1.58767,1.61837,734.77130765289
2008-10-02,1.56314,1.56314,1.56314,1.56314,177.28493760229
2008-10-03,1.61837,1.61837,1.51416,1.58767,2941.2211937151
2008-10-06,1.49571,1.50189,1.37944,1.40968,7615.7764460359
2008-10-07,1.41612,1.41612,1.21977,1.3487,37788.391248084
2008-10-08,1.27493,1.3487,1.22625,1.22625,29847.948410295
2008-10-09,1.24412,1.24412,1.24412,1.24412,486.9995876304
2008-10-10,1.22625,1.22625,1.10339,1.10339,20435.826994096
2008-10-13,1.22625,1.318,1.22625,1.25667,6885.2770645903
2008-10-14,1.20162,1.28729,1.16463,1.27493,23185.879490035
2008-10-15,1.24412,1.3487,1.24412,1.3487,14916.498334284
2008-10-16,1.24412,1.25039,1.19524,1.25039,8068.600624008
2008-10-17,1.20752,1.20752,1.18926,1.18926,12905.489072206
2008-10-20,1.16463,1.16463,1.16463,1.16463,1629.7398480789
2008-10-21,1.13391,1.15862,1.13391,1.15862,4722.6144221527
2008-10-22,1.10339,1.10339,1.04215,1.04215,2285.480520897
2008-10-23,0.986907,1.04215,0.981006,1.03625,26206.131318584
2008-10-24,0.968559,0.968559,0.956288,0.956288,6657.7969940524
2008-10-27,0.913218,1.15255,0.913218,1.15255,17749.853391266
2008-10-28,1.18926,1.21379,1.13391,1.17699,7841.1205534702
2008-10-29,1.19524,1.25039,1.18926,1.18926,2363.44317418
2008-10-30,1.19524,1.20752,1.19524,1.19524,7097.8053934027
2008-10-31,1.13391,1.18307,1.13391,1.18307,4220.6630927968
2008-11-03,1.17699,1.17699,1.16463,1.16463,7680.923320697
2008-11-04,1.22625,1.26285,1.22625,1.26285,689.9160824764
2008-11-05,1.28112,1.3856,1.16463,1.37944,40651.649788516
2008-11-06,1.3548,1.48972,1.3548,1.48972,41336.225963234
2008-11-07,1.40406,1.44057,1.40406,1.44057,2351.69537711
2008-11-10,1.40406,1.40406,1.30574,1.3548,11535.26874122
2008-11-12,1.27493,1.27493,1.27493,1.27493,570.30214867244
2008-11-13,1.24412,1.24412,1.21379,1.21379,2.135963103642
2008-11-14,1.32389,1.32389,1.26884,1.32389,5251.2652903041
2008-11-17,1.22625,1.22625,1.22625,1.22625,83.302561042042
2008-11-18,1.16463,1.20162,1.15862,1.20162,10554.861676647
2008-11-19,1.14028,1.14028,1.14028,1.14028,404.76500814017
2008-11-20,1.07876,1.12184,1.07876,1.12184,11975.27714057
2008-11-21,1.17699,1.17699,1.17699,1.17699,163.40117742861
2008-11-24,1.17699,1.18926,1.17699,1.18926,2171.2064948522
2008-11-25,1.18926,1.49571,1.18926,1.49571,69656.960754425
2008-11-26,1.4282,1.51416,1.3487,1.51416,12381.110130261
2008-11-27,1.52643,1.66745,1.52643,1.57541,15164.270054307
2008-11-28,1.59375,1.59375,1.49571,1.49571,6942.9480683886
2008-12-01,1.36097,1.40968,1.36097,1.40968,5887.7822951894
