Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-09,3.9,4.68,3.9,4.68,88637
2011-02-10,5.61,5.9,4.8,5.14,103272
2011-02-11,5.14,5.14,4.14,4.21,20530
2011-02-14,4.35,4.4,3.7,4.03,19090
2011-02-15,4,4,3.8,3.95,6622
2011-02-16,3.95,4.03,3.5,4.02,16950
2011-02-17,4.02,4.02,3.73,4.01,1107
2011-02-18,4,4.03,3.65,4.03,1511
2011-02-21,4,4,3.8,4,605
2011-02-22,4,4,3.54,3.55,892
2011-02-23,3.54,3.7,3.54,3.7,52
2011-02-24,3.7,3.7,3.7,3.7,99
2011-02-25,4,4,3.5,3.66,8722
2011-02-28,3.66,3.66,3.66,3.66,1
2011-03-01,3.6,3.6,3.6,3.6,201
2011-03-02,3.6,3.6,3.6,3.6,2
2011-03-03,3.6,3.6,3.19,3.2,4771
2011-03-04,3.06,3.53,2.92,3.45,5043
2011-03-07,3.45,3.45,3.33,3.33,1601
2011-03-08,3.4,3.4,3.3,3.3,117
2011-03-09,3.1,3.4,3.1,3.3,5778
2011-03-10,3.3,3.3,3.11,3.11,1201
2011-03-11,3.14,3.19,3.14,3.19,1370
2011-03-14,3.2,3.2,3.1,3.19,651
2011-03-15,3.2,3.86,3.2,3.86,18843
2011-03-16,4,4.45,4,4.12,65042
2011-03-17,3.4,4.08,3.4,3.66,18704
2011-03-18,3.68,3.68,3.09,3.6,2505
2011-03-21,3.64,3.64,3.3,3.55,951
2011-03-22,3.56,3.56,3.26,3.54,1102
2011-03-23,3.58,3.58,3.13,3.13,1767
2011-03-24,3.17,3.47,3.16,3.4,5375
2011-03-25,3.15,3.35,3.14,3.35,2060
2011-03-28,3.5,3.5,3.5,3.5,1
2011-03-29,3.2,3.46,3.2,3.46,251
2011-03-30,3.2,3.47,3.2,3.45,922
2011-03-31,3.61,3.7,3.54,3.7,577
2011-04-01,3.7,3.7,3.15,3.39,15273
2011-04-04,3.38,3.38,3.34,3.34,102
2011-04-05,3.34,3.34,3.16,3.29,2502
2011-04-06,3.36,3.36,3.14,3.31,639
2011-04-07,3.1,3.17,3,3.17,6234
2011-04-08,3.2,3.2,2.99,3.16,4500
2011-04-11,3.16,3.16,3.02,3.02,598
2011-04-12,2.96,3.05,2.96,3.05,99
2011-04-13,3.16,3.16,3.16,3.16,1
2011-04-14,3.15,3.15,3.15,3.15,1
2011-04-15,3.2,3.52,2.98,3.52,7760
2011-04-18,3.32,3.58,3.26,3.44,2483
2011-04-19,3.14,3.19,3.05,3.05,2580
2011-04-20,3.08,3.35,3.06,3.35,3693
2011-04-21,3.35,3.35,3.08,3.34,310
2011-04-26,3.35,3.35,3.08,3.27,1999
2011-04-27,3.27,3.27,3.27,3.27,1
2011-04-28,3.32,3.32,3.32,3.32,1
2011-04-29,3.32,3.32,3.32,3.32,1
2011-05-02,3.15,3.15,3.08,3.08,257
2011-05-04,3.32,3.32,3.32,3.32,1
