Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-09-13,5.14,7.5,5.14,5.3,62424
2021-09-14,5.3,5.499,4.52,5.365,11819
2021-09-15,5.38,5.38,5.29,5.3,4149
2021-09-16,5.3,6.25,5.3,5.889,23979
2021-09-17,5.888,6.35,5.888,6.14,5071
2021-09-20,6.15,6.15,5.95,6.079,5794
2021-09-21,6.2,6.279,5.955,6.279,2956
2021-09-22,6.279,6.98,6.1,6.97,7277
2021-09-23,6.91,9.5,6.91,8.88,53055
2021-09-24,8.333,9.78,7.451,7.451,29704
2021-09-27,7.5,7.5,6.715,7.47,13099
2021-09-28,7,7.5,6.9,7.5,7374
2021-09-29,7.5,8.8,7.3,8.2,12147
2021-09-30,8.1,8.2,7,7.449,18964
2021-10-01,7.13,7.15,6.811,6.811,4978
2021-10-04,6.7,6.7,6.241,6.241,8031
2021-10-05,6.24,6.64,6.16,6.64,4934
2021-10-06,6.42,7.09,5.95,5.95,18077
2021-10-07,5.8,6.3,5.75,6.3,4872
2021-10-08,6.3,6.79,5.68,6.5,6349
2021-10-11,6.5,6.5,5.74,6.1,2180
2021-10-12,5.751,6.33,5.6,6.1,7442
2021-10-13,6.1,6.38,5.7,6.1,2295
2021-10-14,6.1,6.1,5.72,6.1,4681
2021-10-15,6.1,6.49,6.1,6.399,2548
2021-10-18,6.39,6.45,6.15,6.45,573
2021-10-19,6.4,6.45,6.2,6.45,135
2021-10-20,6.5,6.888,6.33,6.5,330
2021-10-22,6.15,6.499,6.05,6.499,1135
2021-10-25,6.05,6.496,5.72,6.496,3915
2021-10-26,6.05,6.05,5.72,5.72,1171
2021-10-27,5.99,5.99,5.8,5.99,1264
2021-10-28,5.99,6.48,5.99,6.469,2881
2021-10-29,6.47,6.799,6.33,6.33,1607
2021-11-02,6.05,6.1,6,6.099,305
2021-11-04,5.9,5.9,5.72,5.72,1466
2021-11-05,5.68,5.95,5.31,5.94,3297
2021-11-08,5.7,5.88,5.7,5.88,419
2021-11-09,5.88,6.099,5.88,6.09,2245
2021-11-10,6.099,6.9,6.099,6.9,5450
2021-11-12,6.5,6.97,6.5,6.65,408
2021-11-15,6.599,7.7,6.455,6.8,15902
