Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-04,0.591547,0.845094,0.585094,0.69564,162931.52307223
2012-01-05,0.669547,0.669547,0.60464,0.64364,16740.946153364
2012-01-09,0.61764,0.650094,0.585094,0.650094,19741.20769174
2012-01-10,0.611187,0.650094,0.611187,0.637094,2789.6230768428
2012-01-11,0.64364,0.64364,0.61764,0.64364,4363.5307691052
2012-01-12,0.64364,0.650094,0.61764,0.650094,3605.4461537424
2012-01-13,0.64364,0.64364,0.64364,0.64364,1.0692307692
2012-01-16,0.585094,0.64364,0.520094,0.64364,16601.946153368
2012-01-17,0.650094,0.650094,0.585094,0.650094,9413.5076920368
2012-01-18,0.559187,0.611187,0.55264,0.611187,11267.55384583
2012-01-19,0.559187,0.611187,0.55264,0.611187,6226.1307690516
2012-01-20,0.611187,0.611187,0.611187,0.611187,29.9384615376
2012-01-23,0.611187,0.630734,0.598094,0.630734,9046.7615382012
2012-01-24,0.630734,0.630734,0.61764,0.630734,11257.930768907
2012-01-25,0.64364,0.64364,0.585094,0.60464,9049.9692305088
2012-01-26,0.60464,0.663187,0.60464,0.663187,22350.130768588
2012-01-27,0.656734,0.669547,0.650094,0.663187,7914.4461536184
2012-01-30,0.663187,0.669547,0.663187,0.669547,9427.4076920364
2012-01-31,0.669547,0.669547,0.650094,0.650094,2031.53846148
2012-02-01,0.669547,0.669547,0.650094,0.650094,29.9384615376
2012-02-02,0.650094,0.650094,0.611187,0.61764,8196.7230766872
2012-02-03,0.61764,0.61764,0.61764,0.61764,29.9384615376
2012-02-06,0.61764,0.61764,0.61764,0.61764,29.9384615376
2012-02-07,0.61764,0.61764,0.60464,0.61764,5686.1692306056
2012-02-08,0.61764,0.61764,0.585094,0.61764,2337.3384614712
2012-02-09,0.61764,0.650094,0.611187,0.650094,102250.5384586
2012-02-10,0.637094,0.69564,0.637094,0.650094,12889.576922706
2012-02-13,0.715187,0.715187,0.715187,0.715187,16.038461538
2012-02-14,0.715187,0.715187,0.708734,0.708734,167.8692307644
2012-02-15,0.715187,0.858281,0.715187,0.858281,15875.938461082
2012-02-16,0.858281,0.858281,0.845094,0.845094,352.846153836
2012-02-17,0.845094,0.94264,0.845094,0.94264,5320.4923075392
2012-02-20,1.00783,1.00783,1.00783,1.00783,227.7461538396
2012-02-21,1.00783,1.00783,0.94264,0.975374,7008.807692106
2012-02-22,1.00119,1.00783,0.981827,1.00783,1644.4769230296
2012-02-23,1.00783,1.00783,1.00783,1.00783,363.538461528
2012-02-24,1.00783,1.10528,1.00783,1.10528,14366.184614971
2012-02-27,1.10528,1.10528,1.10528,1.10528,153.9692307648
2012-02-28,1.22228,1.22228,1.10528,1.10528,1740.7076922576
2012-02-29,1.10528,1.10528,1.10528,1.10528,29.9384615376
2012-03-01,1.11183,1.13773,1.11183,1.11183,1446.6692307276
2012-03-02,1.11819,1.11819,1.09228,1.09228,7696.3230767016
2012-03-05,1.07273,1.07273,1.07273,1.07273,29.9384615376
2012-03-07,1.07273,1.07273,1.04037,1.04037,5659.4384613756
2012-03-13,1.04037,1.04037,1.04037,1.04037,13.8999999996
2012-03-15,1.03383,1.03383,1.02064,1.02064,29.9384615376
2012-03-16,1.02064,1.02064,1.02064,1.02064,138.999999996
2012-03-19,1.01428,1.01428,1.00783,1.00783,14.9692307688
2012-03-20,1.00783,1.00783,1.00783,1.00783,29.9384615376
2012-03-21,1.00783,1.00783,1.00783,1.00783,29.9384615376
2012-03-22,1.00783,1.00783,1.00783,1.00783,29.9384615376
2012-03-23,0.936374,0.936374,0.936374,0.936374,706.7615384412
2012-03-28,0.968734,0.968734,0.968734,0.968734,45.9769230756
2012-03-29,0.968734,0.968734,0.968734,0.968734,13.8999999996
2012-04-05,0.968734,0.968734,0.968734,0.968734,2308.4692307028
2012-04-13,0.968734,0.968734,0.968734,0.968734,583.7999999832
2012-04-16,0.968734,0.968734,0.968734,0.968734,4.2769230768
2012-04-20,0.910281,0.910281,0.910281,0.910281,153.9692307648
2012-04-24,0.968734,0.968734,0.968734,0.968734,593.423076906
2012-04-25,0.903734,0.903734,0.903734,0.903734,319.6999999908
2012-04-26,0.903734,0.903734,0.903734,0.903734,25.6615384608
2012-04-30,0.903734,0.903734,0.903734,0.903734,140.0692307652
2012-05-08,0.903734,0.903734,0.903734,0.903734,2883.7153845324
2012-05-09,0.845094,0.845094,0.780374,0.780374,6181.2230767452
2012-05-10,0.780374,0.903734,0.780374,0.903734,6785.3384613432
2012-05-11,0.903734,0.903734,0.903734,0.903734,5675.4769229136
2012-05-14,0.903734,0.903734,0.903734,0.903734,2.1384615384
2012-05-15,0.903734,0.903734,0.903734,0.903734,2.1384615384
2012-05-16,0.903734,0.903734,0.845094,0.845094,8159.2999997652
2012-05-18,0.877734,0.903734,0.877734,0.903734,16719.56153798
2012-05-21,0.903734,0.903734,0.903734,0.903734,7.4846153844
2012-05-22,0.903734,0.903734,0.871187,0.871187,1905.3692307144
2012-05-23,0.903734,0.903734,0.903734,0.903734,1.0692307692
2012-05-24,0.806187,0.806187,0.806187,0.806187,3069.7615383732
2012-06-04,0.806187,0.903734,0.806187,0.903734,14783.184614959
2012-06-05,0.871187,0.871187,0.871187,0.871187,1304.461538424
2012-06-15,0.877734,0.877734,0.877734,0.877734,2850.5692306872
2012-06-18,0.877734,0.877734,0.877734,0.877734,153.9692307648
2012-06-19,0.877734,0.877734,0.877734,0.877734,2850.5692306872
2012-06-25,0.897281,0.897281,0.812734,0.812734,6343.7461536636
2012-06-26,0.806187,0.806187,0.806187,0.806187,1.0692307692
2012-06-27,0.747734,0.747734,0.747734,0.747734,420.2076922956
2012-06-28,0.806187,0.806187,0.806187,0.806187,18467.753845622
2012-06-29,0.806187,0.806187,0.773734,0.773734,3375.5615383644
2012-07-03,0.806187,0.819281,0.806187,0.819281,62497.607690509
2012-07-04,0.819281,0.819281,0.819281,0.819281,1.0692307692
2012-07-10,0.780374,0.780374,0.780374,0.780374,155.038461534
2012-07-11,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-12,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-13,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-16,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-17,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-18,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-19,0.780374,0.780374,0.780374,0.780374,12258.730768878
2012-07-20,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-23,0.780374,0.780374,0.780374,0.780374,2.1384615384
2012-07-24,0.780374,0.780374,0.780374,0.780374,2.1384615384
