Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-28,2.84326,2.84326,2.84326,2.84326,211426.88524753
1999-04-29,2.55571,2.55571,2.55571,2.55571,62685.573770974
1999-04-30,2.55571,2.55571,2.55571,2.55571,47163.3606561
1999-05-04,2.81126,2.81126,2.81126,2.81126,28092.786885462
1999-05-05,3.06699,3.06699,3.06699,3.06699,74019.016394012
1999-05-06,3.28415,3.28415,3.28415,3.28415,99540.573771257
1999-05-07,3.15623,3.15623,3.15623,3.15623,32588.442623201
1999-05-10,3.00308,3.00308,3.00308,3.00308,27012.295082175
1999-05-11,2.90717,2.90717,2.90717,2.90717,17168.524590296
1999-05-12,3.03498,3.03498,3.03498,3.03498,7033.8524590705
1999-05-13,2.97108,2.97108,2.97108,2.97108,7593.278688583
1999-05-14,2.97108,2.97108,2.97108,2.97108,3018.7704918265
1999-05-17,2.84326,2.84326,2.84326,2.84326,7476.065573828
1999-05-18,2.93907,2.93907,2.93907,2.93907,13332.459016496
1999-05-19,3.03498,3.03498,3.03498,3.03498,15003.27868864
1999-05-20,3.03498,3.03498,3.03498,3.03498,3969.2622951125
1999-05-21,2.97108,2.97108,2.97108,2.97108,29284.098360881
1999-05-24,3.03498,3.03498,3.03498,3.03498,11221.557377135
1999-05-25,2.97108,2.97108,2.97108,2.97108,10712.213114836
1999-05-26,2.90717,2.90717,2.90717,2.90717,10785.737705001
1999-05-27,2.97108,2.97108,2.97108,2.97108,15983.6065575
1999-05-28,2.90717,2.90717,2.90717,2.90717,8850.655737773
1999-05-31,2.93907,2.93907,2.93907,2.93907,6665.1639344775
1999-06-01,2.97108,2.97108,2.97108,2.97108,5178.68852463
1999-06-02,2.87545,2.87545,2.87545,2.87545,3940.491803309
1999-06-07,2.90717,2.90717,2.90717,2.90717,10259.344262374
1999-06-08,2.84326,2.84326,2.84326,2.84326,7498.4426230085
1999-06-09,2.84326,2.84326,2.84326,2.84326,6947.54098366
1999-06-10,2.90717,2.90717,2.90717,2.90717,7905.4918033395
1999-06-11,2.93907,2.93907,2.93907,2.93907,3805.1639344555
1999-06-14,2.84326,2.84326,2.84326,2.84326,7884.1803279295
1999-06-15,2.90717,2.90717,2.90717,2.90717,14191.311475519
1999-06-16,2.90717,2.90717,2.90717,2.90717,712.8688524645
1999-06-17,2.90717,2.90717,2.90717,2.90717,13750.163934532
1999-06-18,2.90717,2.90717,2.90717,2.90717,6113.1967213585
1999-06-21,2.84326,2.84326,2.84326,2.84326,12182.704918126
1999-06-22,2.90717,2.90717,2.90717,2.90717,142511.96721421
1999-06-23,2.97108,2.97108,2.97108,2.97108,39323.934426532
1999-06-24,3.09251,3.09251,3.09251,3.09251,77309.508197316
1999-06-25,3.03498,3.03498,3.03498,3.03498,40457.704918344
1999-06-28,2.90717,2.90717,2.90717,2.90717,18676.311475553
1999-06-29,2.97108,2.97108,2.97108,2.97108,15360.245901757
1999-06-30,3.15623,3.15623,3.15623,3.15623,86865.57377116
1999-07-01,3.15623,3.15623,3.15623,3.15623,40887.131147855
1999-07-02,3.06699,3.06699,3.06699,3.06699,24372.868852646
1999-07-05,3.06699,3.06699,3.06699,3.06699,6047.1311475875
1999-07-06,3.06699,3.06699,3.06699,3.06699,11558.278688613
1999-07-07,2.97108,2.97108,2.97108,2.97108,5403.5245902055
1999-07-08,3.03498,3.03498,3.03498,3.03498,4973.0327869235
1999-07-09,3.03498,3.03498,3.03498,3.03498,11822.540983697
1999-07-12,3.03498,3.03498,3.03498,3.03498,18372.622950961
1999-07-13,3.00308,3.00308,3.00308,3.00308,8339.180327933
1999-07-14,2.97108,2.97108,2.97108,2.97108,3481.2295082235
1999-07-15,3.00308,3.00308,3.00308,3.00308,3007.049180351
1999-07-16,3.00308,3.00308,3.00308,3.00308,6854.8360656265
1999-07-19,2.90717,2.90717,2.90717,2.90717,3351.2295082225
1999-07-20,2.97108,2.97108,2.97108,2.97108,2383.6885246085
1999-07-21,3.00308,3.00308,3.00308,3.00308,4984.754098399
1999-07-22,2.93907,2.93907,2.93907,2.93907,2059.7540983765
1999-07-23,2.87545,2.87545,2.87545,2.87545,2877.04918035
1999-07-26,2.84326,2.84326,2.84326,2.84326,14135.901639453
1999-07-27,2.84326,2.84326,2.84326,2.84326,2938.852459039
1999-07-28,2.87545,2.87545,2.87545,2.87545,10289.180327948
1999-07-29,2.93907,2.93907,2.93907,2.93907,4749.2622951185
1999-07-30,2.90717,2.90717,2.90717,2.90717,6677.9508197235
1999-08-02,2.93907,2.93907,2.93907,2.93907,5949.0983607015
1999-08-03,2.90717,2.90717,2.90717,2.90717,1468.360655749
1999-08-04,2.84326,2.84326,2.84326,2.84326,8231.5573771125
1999-08-05,2.90717,2.90717,2.90717,2.90717,10918.934426313
1999-08-06,2.97108,2.97108,2.97108,2.97108,9604.0163935165
1999-08-09,3.00308,3.00308,3.00308,3.00308,8575.737704984
1999-08-10,3.03498,3.03498,3.03498,3.03498,29319.262295307
1999-08-11,2.97108,2.97108,2.97108,2.97108,7576.229508255
1999-08-12,3.03498,3.03498,3.03498,3.03498,18847.868852604
1999-08-13,3.09251,3.09251,3.09251,3.09251,20587.95081983
1999-08-16,3.15623,3.15623,3.15623,3.15623,8041.8852459635
1999-08-17,3.06699,3.06699,3.06699,3.06699,9494.262295155
1999-08-18,3.09251,3.09251,3.09251,3.09251,7910.819672192
1999-08-19,3.03498,3.03498,3.03498,3.03498,4383.770491837
1999-08-20,3.09251,3.09251,3.09251,3.09251,22500.655737878
1999-08-23,3.09251,3.09251,3.09251,3.09251,8202.786885309
1999-08-24,3.09251,3.09251,3.09251,3.09251,2371.967213133
1999-08-25,3.09251,3.09251,3.09251,3.09251,2568.032786905
1999-08-26,3.03498,3.03498,3.03498,3.03498,8945.4918033475
1999-08-27,3.06699,3.06699,3.06699,3.06699,409.180327872
1999-08-30,3.03498,3.03498,3.03498,3.03498,4670.4098361015
1999-08-31,3.09251,3.09251,3.09251,3.09251,7048.7704918575
1999-09-01,3.12451,3.12451,3.12451,3.12451,788.52459017
1999-09-02,3.09251,3.09251,3.09251,3.09251,3415.1639344525
1999-09-03,3.12451,3.12451,3.12451,3.12451,23409.590164114
1999-09-06,3.15623,3.15623,3.15623,3.15623,15069.344262411
1999-09-07,3.15623,3.15623,3.15623,3.15623,10056.885245979
1999-09-08,3.15623,3.15623,3.15623,3.15623,42860.573770821
1999-09-09,3.18833,3.18833,3.18833,3.18833,18994.918032933
1999-09-10,3.28415,3.28415,3.28415,3.28415,38135.819672424
1999-09-13,3.57169,3.57169,3.57169,3.57169,30265.491803511
1999-09-14,3.34815,3.34815,3.34815,3.34815,26150.24590184
1999-09-15,3.09251,3.09251,3.09251,3.09251,9897.049180404
1999-09-16,3.09251,3.09251,3.09251,3.09251,11467.704918121
1999-09-17,3.15623,3.15623,3.15623,3.15623,5400.327868894
1999-09-20,3.28415,3.28415,3.28415,3.28415,5223.442622991
1999-09-21,3.12451,3.12451,3.12451,3.12451,3481.2295082235
1999-09-22,3.03498,3.03498,3.03498,3.03498,8512.8688525245
1999-09-23,3.03498,3.03498,3.03498,3.03498,12768.770491901
1999-09-24,2.97108,2.97108,2.97108,2.97108,20509.098360813
1999-09-27,3.03498,3.03498,3.03498,3.03498,15218.524590281
1999-09-28,2.97108,2.97108,2.97108,2.97108,3955.409836096
1999-09-29,3.02851,3.02851,3.02851,3.02851,8388.196721376
1999-09-30,3.06699,3.06699,3.06699,3.06699,7594.3442623535
1999-10-01,3.15623,3.15623,3.15623,3.15623,10894.426229592
1999-10-04,3.15623,3.15623,3.15623,3.15623,7310.9016394005
1999-10-05,3.22024,3.22024,3.22024,3.22024,2611.7213114955
1999-10-06,3.25224,3.25224,3.25224,3.25224,12093.196721404
1999-10-07,3.28415,3.28415,3.28415,3.28415,25748.524590362
1999-10-08,3.34815,3.34815,3.34815,3.34815,3687.9508197005
1999-10-11,3.37996,3.37996,3.37996,3.37996,14460.901639455
1999-10-12,3.37996,3.37996,3.37996,3.37996,24681.885246091
1999-10-13,3.34815,3.34815,3.34815,3.34815,18956.557377195
1999-10-14,3.34815,3.34815,3.34815,3.34815,3955.409836096
1999-10-15,3.34815,3.34815,3.34815,3.34815,8873.0327869535
1999-10-18,3.09251,3.09251,3.09251,3.09251,3139.180327893
1999-10-19,3.12451,3.12451,3.12451,3.12451,31445.081967455
1999-10-20,3.22024,3.22024,3.22024,3.22024,949.4262295155
1999-10-21,3.37996,3.37996,3.37996,3.37996,10782.540983689
1999-10-22,3.34815,3.34815,3.34815,3.34815,12374.508196816
1999-10-25,3.22024,3.22024,3.22024,3.22024,8306.1475410475
1999-10-26,3.15623,3.15623,3.15623,3.15623,3482.295081994
1999-10-27,3.12451,3.12451,3.12451,3.12451,3164.754098385
1999-10-28,3.22024,3.22024,3.22024,3.22024,6663.0327869365
1999-10-29,3.12451,3.12451,3.12451,3.12451,1185.9836065665
1999-11-02,3.22024,3.22024,3.22024,3.22024,5929.9180328325
1999-11-03,3.12451,3.12451,3.12451,3.12451,6396.6393443115
1999-11-04,3.07327,3.07327,3.07327,3.07327,5176.557377089
1999-11-05,2.76658,2.76658,2.76658,2.76658,25940.327869052
1999-11-08,2.92012,2.92012,2.92012,2.92012,1583.442622963
1999-11-09,3.02222,3.02222,3.02222,3.02222,408.1147541015
1999-11-10,3.06699,3.06699,3.06699,3.06699,3513.1967213385
1999-11-15,3.11175,3.11175,3.11175,3.11175,788.52459017
1999-11-16,3.15623,3.15623,3.15623,3.15623,7910.819672192
1999-11-17,3.22024,3.22024,3.22024,3.22024,3535.573770519
1999-11-18,3.31615,3.31615,3.31615,3.31615,15115.163934542
1999-11-19,3.34815,3.34815,3.34815,3.34815,9752.131147616
1999-11-22,3.34815,3.34815,3.34815,3.34815,29191.393442847
1999-11-23,3.34815,3.34815,3.34815,3.34815,30911.229508434
1999-11-24,3.28415,3.28415,3.28415,3.28415,662.786885251
1999-11-25,3.28415,3.28415,3.28415,3.28415,4749.2622951185
1999-11-26,3.28415,3.28415,3.28415,3.28415,949.4262295155
1999-11-29,3.28415,3.28415,3.28415,3.28415,6331.639344311
1999-11-30,3.22024,3.22024,3.22024,3.22024,1213.6885245995
1999-12-01,3.28415,3.28415,3.28415,3.28415,2120.491803295
1999-12-02,3.15623,3.15623,3.15623,3.15623,9053.114754168
1999-12-03,3.34815,3.34815,3.34815,3.34815,10267.868852538
1999-12-06,3.22024,3.22024,3.22024,3.22024,1423.606557388
1999-12-07,3.34815,3.34815,3.34815,3.34815,9270.49180335
1999-12-08,3.34815,3.34815,3.34815,3.34815,22434.590164107
1999-12-09,3.28415,3.28415,3.28415,3.28415,1502.459016405
1999-12-10,3.34815,3.34815,3.34815,3.34815,6331.639344311
1999-12-13,3.34815,3.34815,3.34815,3.34815,4868.6065574145
1999-12-14,3.34815,3.34815,3.34815,3.34815,10485.24590172
1999-12-15,3.41196,3.41196,3.41196,3.41196,7620.983606616
1999-12-16,3.41196,3.41196,3.41196,3.41196,736.3114754155
1999-12-17,3.31615,3.31615,3.31615,3.31615,6961.3934426765
1999-12-20,3.41196,3.41196,3.41196,3.41196,11078.770491888
1999-12-21,3.53969,3.53969,3.53969,3.53969,18482.377049322
1999-12-22,3.44387,3.44387,3.44387,3.44387,2371.967213133
1999-12-23,3.53969,3.53969,3.53969,3.53969,6834.590163987
1999-12-27,3.66122,3.66122,3.66122,3.66122,6555.409836116
1999-12-28,3.75704,3.75704,3.75704,3.75704,20575.163934584
1999-12-29,3.72504,3.72504,3.72504,3.72504,20329.016393599
2000-01-03,3.91676,3.91676,3.91676,3.91676,16070.983606681
2000-01-04,3.85276,3.85276,3.85276,3.85276,6920.9016393975
2000-01-05,3.85276,3.85276,3.85276,3.85276,15417.786885364
2000-01-06,4.01258,4.01258,4.01258,4.01258,9699.9180328615
2000-01-07,4.1404,4.1404,4.1404,4.1404,5303.3606557785
2000-01-10,4.17231,4.17231,4.17231,4.17231,15324.01639356
2000-01-11,4.29365,4.29365,4.29365,4.29365,27488.606557588
2000-01-12,4.22983,4.22983,4.22983,4.22983,6091.8852459485
2000-01-13,4.32565,4.32565,4.32565,4.32565,12910.491803378
2000-01-14,4.42156,4.42156,4.42156,4.42156,20943.852459177
2000-01-17,4.42156,4.42156,4.42156,4.42156,10417.049180408
2000-01-18,4.35765,4.35765,4.35765,4.35765,6693.934426281
2000-01-19,4.17231,4.17231,4.17231,4.17231,40404.426229819
2000-01-20,4.17231,4.17231,4.17231,4.17231,27095.409836274
2000-01-21,4.17231,4.17231,4.17231,4.17231,6050.327868899
2000-01-24,4.29365,4.29365,4.29365,4.29365,11997.295082059
2000-01-25,4.17231,4.17231,4.17231,4.17231,15824.836065695
2000-01-26,4.29365,4.29365,4.29365,4.29365,7327.9508197285
2000-01-27,4.22983,4.22983,4.22983,4.22983,14207.295082076
2000-01-28,4.29365,4.29365,4.29365,4.29365,17182.377049312
2000-01-31,4.29365,4.29365,4.29365,4.29365,4246.3114754425
2000-02-01,4.42156,4.42156,4.42156,4.42156,8225.1639344895
2000-02-02,4.35765,4.35765,4.35765,4.35765,14085.819672239
2000-02-03,4.42156,4.42156,4.42156,4.42156,28294.180328086
2000-02-04,4.6452,4.6452,4.6452,4.6452,20259.754098516
2000-02-07,4.54919,4.54919,4.54919,4.54919,7866.065573831
2000-02-08,4.42156,4.42156,4.42156,4.42156,4125.901639376
2000-02-09,4.74111,4.74111,4.74111,4.74111,31504.754098603
2000-02-10,4.54919,4.54919,4.54919,4.54919,5966.1475410295
2000-02-11,4.6131,4.6131,4.6131,4.6131,3638.9344262575
2000-02-14,4.6131,4.6131,4.6131,4.6131,12365.983606652
2000-02-15,4.6131,4.6131,4.6131,4.6131,13.8524590165
2000-02-16,4.74111,4.74111,4.74111,4.74111,8548.032786951
2000-02-17,4.6771,4.6771,4.6771,4.6771,1276.557377059
2000-02-18,4.6771,4.6771,4.6771,4.6771,17965.57377063
2000-02-21,4.6771,4.6771,4.6771,4.6771,3579.2622951095
2000-02-22,4.74111,4.74111,4.74111,4.74111,8430.819672196
2000-02-23,4.79854,4.79854,4.79854,4.79854,10924.262295166
2000-02-24,4.86226,4.86226,4.86226,4.86226,4787.6229508565
2000-02-25,4.74111,4.74111,4.74111,4.74111,550.9016393485
2000-02-28,4.6771,4.6771,4.6771,4.6771,10508.688524671
2000-02-29,4.6771,4.6771,4.6771,4.6771,4001.2295082275
2000-03-01,4.74111,4.74111,4.74111,4.74111,4905.901639382
2000-03-02,4.6771,4.6771,4.6771,4.6771,8861.311475478
2000-03-03,4.54919,4.54919,4.54919,4.54919,23690.901639526
2000-03-06,4.6771,4.6771,4.6771,4.6771,4402.950819706
2000-03-07,4.79854,4.79854,4.79854,4.79854,15824.836065695
2000-03-08,4.79854,4.79854,4.79854,4.79854,4806.8032787255
2000-03-09,4.74111,4.74111,4.74111,4.74111,9888.52459024
2000-03-10,4.79854,4.79854,4.79854,4.79854,23687.704918215
2000-03-13,5.05408,5.05408,5.05408,5.05408,32271.967213363
2000-03-14,4.99008,4.99008,4.99008,4.99008,3889.344262325
2000-03-15,5.05408,5.05408,5.05408,5.05408,31767.950819916
2000-03-16,5.1179,5.1179,5.1179,5.1179,7034.918032841
2000-03-17,5.24572,5.24572,5.24572,5.24572,12220.000000094
2000-03-20,5.65461,5.65461,5.65461,5.65461,834.3442623015
2000-03-21,5.55888,5.55888,5.55888,5.55888,2612.786885266
2000-03-22,5.55888,5.55888,5.55888,5.55888,5790.327868897
2000-03-23,5.43116,5.43116,5.43116,5.43116,2842.950819694
2000-03-24,5.55888,5.55888,5.55888,5.55888,6100.4098361125
2000-03-27,5.68661,5.68661,5.68661,5.68661,7121.2295082515
2000-03-28,5.87824,5.87824,5.87824,5.87824,2701.2295082175
2000-03-29,5.75033,5.75033,5.75033,5.75033,16111.47540996
2000-03-30,5.93568,5.93568,5.93568,5.93568,17568.114754233
2000-03-31,5.91024,5.91024,5.91024,5.91024,20294.918032943
2000-04-03,5.99968,5.99968,5.99968,5.99968,19134.508196868
2000-04-04,5.93568,5.93568,5.93568,5.93568,14414.016393553
2000-04-05,5.81433,5.81433,5.81433,5.81433,9494.262295155
2000-04-06,5.99968,5.99968,5.99968,5.99968,18444.016393584
2000-04-07,6.19141,6.19141,6.19141,6.19141,26526.393442827
2000-04-10,6.06359,6.06359,6.06359,6.06359,12036.721311568
2000-04-11,6.06359,6.06359,6.06359,6.06359,34846.393442891
2000-04-12,5.99968,5.99968,5.99968,5.99968,22177.786885416
2000-04-13,6.1274,6.1274,6.1274,6.1274,15824.836065695
2000-04-14,5.99968,5.99968,5.99968,5.99968,395.3278688555
2000-04-17,5.81433,5.81433,5.81433,5.81433,16211.639344387
2000-04-18,5.96768,5.96768,5.96768,5.96768,15824.836065695
2000-04-19,5.99968,5.99968,5.99968,5.99968,15942.04918045
2000-04-20,5.99968,5.99968,5.99968,5.99968,35372.786885518
2000-04-25,5.99968,5.99968,5.99968,5.99968,10666.393442705
2000-04-26,5.87824,5.87824,5.87824,5.87824,7201.147541039
2000-04-27,5.81433,5.81433,5.81433,5.81433,3638.9344262575
2000-04-28,5.81433,5.81433,5.81433,5.81433,3482.295081994
2000-05-04,5.87824,5.87824,5.87824,5.87824,1106.065573779
2000-05-05,5.75033,5.75033,5.75033,5.75033,2688.4426229715
2000-05-08,5.71861,5.71861,5.71861,5.71861,3797.704918062
2000-05-09,5.68661,5.68661,5.68661,5.68661,11078.770491888
2000-05-10,5.6227,5.6227,5.6227,5.6227,17215.409836198
2000-05-11,5.68661,5.68661,5.68661,5.68661,18587.868852602
2000-05-12,5.75033,5.75033,5.75033,5.75033,20418.524590321
2000-05-15,5.81433,5.81433,5.81433,5.81433,10924.262295166
2000-05-16,5.93568,5.93568,5.93568,5.93568,15983.6065575
2000-05-17,5.99968,5.99968,5.99968,5.99968,17399.754098494
2000-05-18,5.99968,5.99968,5.99968,5.99968,18859.590164079
2000-05-19,6.06359,6.06359,6.06359,6.06359,9296.065573842
2000-05-22,5.93568,5.93568,5.93568,5.93568,3164.754098385
2000-05-23,5.81433,5.81433,5.81433,5.81433,712.8688524645
2000-05-24,5.75033,5.75033,5.75033,5.75033,2394.3442623135
2000-05-25,5.68661,5.68661,5.68661,5.68661,4941.0655738085
2000-05-26,5.6227,5.6227,5.6227,5.6227,79.9180327875
2000-05-29,5.55888,5.55888,5.55888,5.55888,712.8688524645
2000-05-30,5.6227,5.6227,5.6227,5.6227,2136.4754098525
2000-05-31,5.68661,5.68661,5.68661,5.68661,393.1967213145
2000-06-01,5.75033,5.75033,5.75033,5.75033,3686.88524593
2000-06-02,5.84633,5.84633,5.84633,5.84633,316.4754098385
2000-06-05,5.87824,5.87824,5.87824,5.87824,473.114754102
2000-06-06,5.81433,5.81433,5.81433,5.81433,3164.754098385
2000-06-07,5.78242,5.78242,5.78242,5.78242,15690.573770612
2000-06-08,5.78242,5.78242,5.78242,5.78242,1201.967213124
2000-06-09,5.75033,5.75033,5.75033,5.75033,13.8524590165
2000-06-12,5.75033,5.75033,5.75033,5.75033,13.8524590165
2000-06-13,5.75033,5.75033,5.75033,5.75033,4132.295081999
2000-06-14,5.78242,5.78242,5.78242,5.78242,31656.065574014
2000-06-15,5.68661,5.68661,5.68661,5.68661,550.9016393485
2000-06-16,5.68661,5.68661,5.68661,5.68661,634.0163934475
2000-06-19,5.75033,5.75033,5.75033,5.75033,1660.163934439
2000-06-20,5.75033,5.75033,5.75033,5.75033,1796.557377063
2000-06-21,5.75033,5.75033,5.75033,5.75033,316.4754098385
2000-06-23,5.68661,5.68661,5.68661,5.68661,1027.213114762
2000-06-26,5.71861,5.71861,5.71861,5.71861,13.8524590165
2000-06-27,5.75033,5.75033,5.75033,5.75033,21835.737705086
2000-06-28,5.68661,5.68661,5.68661,5.68661,13.8524590165
2000-06-29,5.18181,5.18181,5.18181,5.18181,598.852459021
2000-06-30,5.27772,5.27772,5.27772,5.27772,769.344262301
2000-07-03,5.30963,5.30963,5.30963,5.30963,995.245901647
2000-07-04,5.30963,5.30963,5.30963,5.30963,3638.9344262575
2000-07-05,5.36716,5.36716,5.36716,5.36716,316.4754098385
2000-07-06,5.43116,5.43116,5.43116,5.43116,13.8524590165
2000-07-07,5.55888,5.55888,5.55888,5.55888,573.278688529
2000-07-10,5.55888,5.55888,5.55888,5.55888,1820.000000014
2000-07-11,5.68661,5.68661,5.68661,5.68661,3955.409836096
2000-07-12,5.6227,5.6227,5.6227,5.6227,543.442622955
2000-07-13,5.68661,5.68661,5.68661,5.68661,13.8524590165
2000-07-14,5.68661,5.68661,5.68661,5.68661,809.83606558
2000-07-17,5.14981,5.14981,5.14981,5.14981,393.1967213145
2000-07-18,5.49507,5.49507,5.49507,5.49507,50.0819672135
2000-07-19,5.68661,5.68661,5.68661,5.68661,5129.672131187
2000-07-20,5.68661,5.68661,5.68661,5.68661,9119.180327939
2000-07-21,5.55888,5.55888,5.55888,5.55888,316.4754098385
2000-07-24,5.6227,5.6227,5.6227,5.6227,1345.8196721415
2000-07-25,5.68661,5.68661,5.68661,5.68661,4749.2622951185
2000-07-26,5.68661,5.68661,5.68661,5.68661,4749.2622951185
2000-07-27,5.68661,5.68661,5.68661,5.68661,2371.967213133
2000-07-28,5.68661,5.68661,5.68661,5.68661,473.114754102
2000-07-31,5.68661,5.68661,5.68661,5.68661,3560.0819672405
2000-08-01,5.68661,5.68661,5.68661,5.68661,473.114754102
2000-08-02,5.68661,5.68661,5.68661,5.68661,79.9180327875
2000-08-03,5.75033,5.75033,5.75033,5.75033,134.262295083
2000-08-04,5.81433,5.81433,5.81433,5.81433,595.6557377095
2000-08-07,5.87824,5.87824,5.87824,5.87824,998.4426229585
2000-08-08,5.87824,5.87824,5.87824,5.87824,1731.5573770625
2000-08-09,5.87824,5.87824,5.87824,5.87824,13.8524590165
2000-08-10,5.87824,5.87824,5.87824,5.87824,189.672131149
2000-08-11,5.87824,5.87824,5.87824,5.87824,27784.836065787
2000-08-14,5.87824,5.87824,5.87824,5.87824,3229.7540983855
2000-08-16,5.87824,5.87824,5.87824,5.87824,13.8524590165
2000-08-17,5.81433,5.81433,5.81433,5.81433,871.639344269
2000-08-18,5.81433,5.81433,5.81433,5.81433,1583.442622963
2000-08-21,5.81433,5.81433,5.81433,5.81433,2371.967213133
2000-08-22,5.81433,5.81433,5.81433,5.81433,3164.754098385
2000-08-23,5.87824,5.87824,5.87824,5.87824,2398.6065573955
2000-08-24,5.87824,5.87824,5.87824,5.87824,473.114754102
2000-08-25,5.93568,5.93568,5.93568,5.93568,13.8524590165
2000-08-28,5.99968,5.99968,5.99968,5.99968,2383.6885246085
2000-08-29,5.93568,5.93568,5.93568,5.93568,418.7704918065
2000-08-30,5.87824,5.87824,5.87824,5.87824,6308.19672136
2000-08-31,5.93568,5.93568,5.93568,5.93568,3164.754098385
2000-09-01,5.93568,5.93568,5.93568,5.93568,5144.590163974
2000-09-04,6.1274,6.1274,6.1274,6.1274,10598.196721393
2000-09-05,5.99968,5.99968,5.99968,5.99968,31656.065574014
2000-09-06,5.96768,5.96768,5.96768,5.96768,31656.065574014
2000-09-07,5.96768,5.96768,5.96768,5.96768,47516.065574136
2000-09-08,6.06359,6.06359,6.06359,6.06359,31670.983606801
2000-09-11,6.03168,6.03168,6.03168,6.03168,56254.836066006
2000-09-12,6.06359,6.06359,6.06359,6.06359,63469.836066062
2000-09-13,5.99968,5.99968,5.99968,5.99968,47484.098361021
2000-09-14,6.06359,6.06359,6.06359,6.06359,45452.049180677
2000-09-15,6.1274,6.1274,6.1274,6.1274,4905.901639382
2000-09-18,6.06359,6.06359,6.06359,6.06359,14636.721311588
2000-09-19,6.1274,6.1274,6.1274,6.1274,6125.9836066045
2000-09-20,6.1274,6.1274,6.1274,6.1274,2850.4098360875
2000-09-21,5.99968,5.99968,5.99968,5.99968,6331.639344311
2000-09-22,6.1274,6.1274,6.1274,6.1274,1825.3278688665
2000-09-25,5.99968,5.99968,5.99968,5.99968,26331.393442825
2000-09-26,5.99968,5.99968,5.99968,5.99968,393.1967213145
2000-09-27,5.39925,5.39925,5.39925,5.39925,15824.836065695
2000-09-28,5.68661,5.68661,5.68661,5.68661,35.1639344265
2000-09-29,5.68661,5.68661,5.68661,5.68661,634.0163934475
2000-10-02,5.68661,5.68661,5.68661,5.68661,13.8524590165
2000-10-03,5.84633,5.84633,5.84633,5.84633,3164.754098385
2000-10-04,5.93568,5.93568,5.93568,5.93568,716.065573776
2000-10-05,5.93568,5.93568,5.93568,5.93568,27.704918033
2000-10-06,5.99968,5.99968,5.99968,5.99968,3617.6229508475
2000-10-09,6.0955,6.0955,6.0955,6.0955,1583.442622963
2000-10-10,5.93568,5.93568,5.93568,5.93568,36.229508197
2000-10-11,5.36716,5.36716,5.36716,5.36716,3164.754098385
2000-10-12,5.43116,5.43116,5.43116,5.43116,473.114754102
2000-10-13,5.84633,5.84633,5.84633,5.84633,949.4262295155
2000-10-16,5.78242,5.78242,5.78242,5.78242,473.114754102
2000-10-17,5.75033,5.75033,5.75033,5.75033,1263.770491813
2000-10-18,5.78242,5.78242,5.78242,5.78242,1263.770491813
2000-10-19,5.75033,5.75033,5.75033,5.75033,473.114754102
2000-10-20,5.75033,5.75033,5.75033,5.75033,490.16393443
2000-10-23,5.78242,5.78242,5.78242,5.78242,2850.4098360875
2000-10-24,5.78242,5.78242,5.78242,5.78242,470.983606561
2000-10-25,5.91024,5.91024,5.91024,5.91024,4272.950819705
2000-10-26,5.99968,5.99968,5.99968,5.99968,4431.7213115095
2000-10-27,6.1274,6.1274,6.1274,6.1274,1263.770491813
2000-10-30,6.1274,6.1274,6.1274,6.1274,1477.9508196835
2000-10-31,6.0955,6.0955,6.0955,6.0955,2781.147541005
2000-11-02,6.1274,6.1274,6.1274,6.1274,3482.295081994
2000-11-03,5.99968,5.99968,5.99968,5.99968,3955.409836096
2000-11-06,5.6227,5.6227,5.6227,5.6227,965.409836073
2000-11-07,5.68661,5.68661,5.68661,5.68661,264.262295084
2000-11-08,5.99968,5.99968,5.99968,5.99968,1263.770491813
2000-11-09,5.99968,5.99968,5.99968,5.99968,788.52459017
2000-11-10,5.96768,5.96768,5.96768,5.96768,316.4754098385
2000-11-13,6.06359,6.06359,6.06359,6.06359,987.7868852535
2000-11-14,5.46297,5.46297,5.46297,5.46297,634.0163934475
2000-11-15,5.99968,5.99968,5.99968,5.99968,1320.2459016495
2000-11-16,6.06359,6.06359,6.06359,6.06359,473.114754102
2000-11-17,6.06359,6.06359,6.06359,6.06359,473.114754102
