Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-03-25,0.761698,0.914074,0.761698,0.914074,120992.38249693
2013-03-26,1.09689,1.21873,0.706853,0.706853,319912.8038924
2013-03-27,0.749541,0.822667,0.609413,0.609413,105654.4570511
2013-03-28,0.615446,0.700821,0.615446,0.700821,26619.286872178
2013-04-02,0.719102,0.914074,0.719102,0.914074,22877.795786248
2013-04-03,0.993324,1.02376,0.792228,0.792228,29861.912479984
2013-04-04,0.85923,0.85923,0.627695,0.627695,45348.622366658
2013-04-05,0.597165,0.645976,0.566726,0.645976,78146.839546828
2013-04-08,0.633728,0.664258,0.585007,0.585007,29945.056726338
2013-04-09,0.585007,0.591132,0.57285,0.57285,11565.802269138
2013-04-10,0.554569,0.57285,0.487476,0.536287,61347.325770354
2013-04-11,0.4936,0.560602,0.481443,0.4936,10712.479740768
2013-04-12,0.4936,0.591132,0.481443,0.591132,9881.037277228
2013-04-15,0.518006,0.609413,0.518006,0.609413,8826.418152422
2013-04-17,0.597165,0.597165,0.536287,0.536287,7137.277147546
2013-04-18,0.536287,0.536287,0.432654,0.432654,47978.606159224
2013-04-19,0.432654,0.432654,0.390013,0.402193,20939.22204231
2013-04-22,0.420474,0.457037,0.420474,0.420474,13600.648298328
2013-04-23,0.420474,0.469194,0.420474,0.469194,14852.188006604
2013-04-24,0.457037,0.475319,0.444857,0.475319,10668.719611108
2013-04-25,0.463161,0.463161,0.438756,0.438756,4034.683954652
2013-04-26,0.432654,0.432654,0.432654,0.432654,6402.106969258
2013-04-29,0.432654,0.432654,0.408294,0.408294,3102.593192894
2013-04-30,0.408294,0.420474,0.408294,0.420474,5907.6175041
2013-05-02,0.408294,0.408294,0.408294,0.408294,2446.191247994
2013-05-06,0.414373,0.414373,0.408294,0.408294,363.209076178
2013-05-07,0.414373,0.414373,0.371731,0.390013,5745.705024358
2013-05-08,0.37781,0.426576,0.37781,0.426576,7049.756888226
2013-05-09,0.432654,0.469194,0.432654,0.469194,770.178282016
2013-05-10,0.469194,0.560602,0.469194,0.54232,12502.269043862
2013-05-13,0.609413,0.731259,0.609413,0.658133,40710.048622698
2013-05-14,0.633728,0.633728,0.54232,0.591132,11101.944894742
2013-05-15,0.585007,0.585007,0.499724,0.518006,15652.998379382
2013-05-16,0.536287,0.536287,0.469194,0.505757,7548.62236635
2013-05-17,0.487476,0.487476,0.481443,0.487476,888.330632098
2013-05-20,0.487476,0.560602,0.457037,0.560602,3859.643436012
2013-05-21,0.457037,0.457037,0.457037,0.457037,3776.499189658
2013-05-22,0.457037,0.457037,0.457037,0.457037,245.056726096
2013-05-23,0.444857,0.444857,0.396091,0.420474,2297.40680715
2013-05-24,0.390013,0.463161,0.383911,0.463161,14764.667747284
2013-05-27,0.463161,0.463161,0.426576,0.426576,3365.153970854
2013-05-28,0.426576,0.511881,0.426576,0.463161,17202.106969346
2013-05-29,0.4936,0.4936,0.4936,0.4936,17.504051864
2013-05-31,0.4936,0.54232,0.481443,0.54232,20190.923825124
2013-06-03,0.54232,0.633728,0.54232,0.633728,15342.301458796
2013-06-04,0.633728,0.633728,0.511881,0.566726,6647.163695354
2013-06-05,0.505757,0.554569,0.505757,0.554569,3317.017828228
2013-06-06,0.511881,0.518006,0.487476,0.505757,9281.523500886
2013-06-07,0.499724,0.530163,0.499724,0.530163,301.944894654
2013-06-10,0.530163,0.530163,0.530163,0.530163,48.136142626
2013-06-11,0.530163,0.530163,0.481443,0.481443,3076.337115098
2013-06-13,0.481443,0.481443,0.481443,0.481443,166.288492708
2013-06-14,0.481443,0.499724,0.469194,0.499724,5084.927066492
2013-06-17,0.469194,0.481443,0.469194,0.481443,1658.508914114
2013-06-18,0.457037,0.457037,0.444857,0.444857,10012.317666208
2013-06-19,0.444857,0.444857,0.444857,0.444857,166.288492708
2013-06-24,0.426576,0.457037,0.426576,0.457037,2708.752025954
2013-06-25,0.438756,0.438756,0.438756,0.438756,166.288492708
2013-06-26,0.432654,0.432654,0.420474,0.420474,3282.0097245
2013-06-27,0.432654,0.432654,0.420474,0.420474,3365.153970854
2013-07-01,0.420474,0.450936,0.420474,0.450936,10576.823338822
2013-07-02,0.426576,0.426576,0.383911,0.426576,822.690437608
2013-07-09,0.396091,0.402193,0.347348,0.36563,10743.11183153
