Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-17,4.10936,4.19697,4.00917,4.19697,1025506.8823108
2011-02-18,4.18448,4.29105,4.1595,4.29105,125011.66666153
2011-02-21,4.29105,4.41631,4.24082,4.38505,348036.38233863
2011-02-22,4.41631,4.41631,4.35359,4.38505,91706.343133484
2011-02-23,4.41002,4.42251,4.35359,4.36608,61958.245095491
2011-02-24,4.38505,4.38505,4.17199,4.27218,19482.392156062
2011-02-25,4.18448,4.2472,4.17199,4.2472,8646.0196074876
2011-02-28,4.2473,4.36341,4.2473,4.3247,22564.411763778
2011-03-01,4.23453,4.33481,4.23453,4.33481,92578.078427566
2011-03-02,4.33481,4.44768,4.33481,4.39115,90572.352937452
2011-03-03,4.41002,4.42251,4.39115,4.41631,102823.85293695
2011-03-04,4.41631,4.41631,4.39753,4.41631,22184.666665754
2011-03-07,4.41002,4.4288,4.40373,4.4288,21460.843136372
2011-03-08,4.4288,4.435,4.39753,4.435,9466.3529407872
2011-03-09,4.435,4.45387,4.435,4.45387,20597.499999153
2011-03-10,4.44768,4.46636,4.39753,4.46016,9468.4509800028
2011-03-11,4.45387,4.45387,4.44768,4.44768,2.0980392156
2011-03-14,4.435,4.435,4.35359,4.41002,4415.3235292302
2011-03-15,4.40373,4.40373,4.29725,4.39115,35792.549018136
2011-03-16,4.39115,4.39115,4.38505,4.39115,6973.8823526544
2011-03-17,4.41631,4.4288,4.38505,4.4288,6079.068627201
2011-03-18,4.4288,4.45387,4.38505,4.39753,45632.3529393
2011-03-21,4.44768,4.44768,4.38505,4.44129,16442.333332657
2011-03-22,4.44768,4.46636,4.41631,4.46016,6922.4803918722
2011-03-23,4.46636,4.46636,4.39115,4.44129,4331.4019606062
2011-03-24,4.44129,4.44129,4.35359,4.38505,2970.8235292896
2011-03-25,4.38505,4.38505,4.27218,4.32223,710.1862744806
2011-03-28,4.25969,4.37246,4.13443,4.37246,19449.87254822
2011-03-29,4.38505,4.38505,4.25969,4.38505,23659.588234321
2011-03-30,4.435,4.435,4.27218,4.4288,58151.352938785
2011-03-31,4.42785,4.43443,4.35693,4.43443,15401.70588172
2011-04-01,4.435,4.435,4.32861,4.4288,15999.647058166
2011-04-04,4.27847,4.41631,4.27847,4.41631,7524.6176467494
2011-04-05,4.41631,4.44768,4.32223,4.44129,36192.225488708
2011-04-06,4.435,4.45387,4.41631,4.41631,30865.303920299
2011-04-07,4.44768,4.6919,4.37885,4.6105,66486.862742364
2011-04-08,4.61669,4.61669,4.41631,4.57275,6555.3235291422
2011-04-11,4.57275,4.57275,4.44129,4.54148,1227.352941126
2011-04-12,4.51021,4.51021,4.44129,4.49763,9214.5882349152
2011-04-13,4.49763,4.49763,4.44768,4.44768,715.4313725196
2011-04-14,4.44768,4.44768,4.44768,4.44768,131772.5980338
2011-04-15,4.44768,4.46636,4.44129,4.46636,6055.9901958294
2011-04-18,4.46636,4.46636,4.39753,4.46636,14107.215685694
2011-04-19,4.46636,4.46636,4.39115,4.46016,1313.3725489656
2011-04-20,4.41631,4.46636,4.41002,4.46636,5412.941176248
2011-04-21,4.46636,4.46636,4.39115,4.44768,801.4509803592
2011-04-26,4.44768,4.45387,4.44768,4.45387,2832.35294106
2011-04-27,4.45387,4.46636,4.44768,4.46636,7640.0098036074
2011-04-28,4.44768,4.46636,4.44768,4.44768,4464.6274507968
2011-04-29,4.46655,4.46655,4.38915,4.46016,386.0392156704
2011-05-02,4.44768,4.44768,4.44768,4.44768,641.9999999736
2011-05-04,4.44768,4.44768,4.35359,4.44768,9450.6176466702
2011-05-05,4.38505,4.44129,4.38505,4.44129,801.4509803592
2011-05-06,4.44129,4.44129,4.41631,4.41631,2.0980392156
2011-05-09,4.22204,4.44768,4.22204,4.44768,15929.362744443
2011-05-10,4.46016,4.46016,4.32861,4.44768,4416.372548838
2011-05-11,4.45387,4.45387,4.4288,4.4288,2.0980392156
2011-05-12,4.41631,4.41631,4.35359,4.35359,282.1862744982
2011-05-13,4.41631,4.435,4.38505,4.435,3423.9999998592
2011-05-16,4.44129,4.44129,4.32223,4.37246,1783.33333326
2011-05-17,4.38505,4.41631,4.35359,4.41631,319326.81371236
2011-05-18,4.41631,4.41631,4.41631,4.41631,67.1372548992
2011-05-19,4.41631,4.41631,4.41002,4.41002,2.0980392156
2011-05-20,4.41002,4.41631,4.30345,4.41002,2664.509803812
2011-05-23,4.41002,4.41002,4.41002,4.41002,2.0980392156
2011-05-24,4.38505,4.38505,4.32223,4.38505,1209.5196077934
2011-05-25,4.38505,4.42251,4.38505,4.42251,5797.9313723106
2011-05-26,4.42251,4.42251,4.38505,4.38505,2.0980392156
2011-05-27,4.38505,4.41631,4.38505,4.41631,3721.9215684744
2011-05-30,4.41631,4.41631,4.41631,4.41631,2.0980392156
2011-05-31,4.41488,4.41488,4.40211,4.40211,2.0980392156
2011-06-01,4.38505,4.38505,4.38505,4.38505,2.0980392156
2011-06-02,4.37885,4.37885,4.36608,4.36608,2.0980392156
2011-06-03,4.36608,4.36608,4.36608,4.36608,2.0980392156
2011-06-06,4.35359,4.35359,4.35359,4.35359,2.0980392156
2011-06-07,4.35044,4.35044,4.29267,4.35044,270.6470588124
2011-06-08,4.35044,4.35044,4.29267,4.35044,6.2941176468
2011-06-09,4.35044,4.41488,4.29267,4.41488,4444.6960782486
2011-06-10,4.41488,4.41488,4.35044,4.35044,2.0980392156
2011-06-13,4.41631,4.47894,4.41002,4.47894,8568.3921565104
2011-06-14,4.47894,4.47894,4.39753,4.44768,346.176470574
2011-06-15,4.44768,4.44768,4.41631,4.41631,2.0980392156
2011-06-16,4.41488,4.41488,4.3247,4.40211,17455.686273792
2011-06-17,4.41488,4.41488,4.40211,4.40211,2.0980392156
2011-06-20,4.39753,4.40373,4.19697,4.40373,3795.3529410204
2011-06-21,4.41488,4.4473,4.31184,4.41488,8600.9117643522
2011-06-22,4.44081,4.44081,4.26026,4.38266,418.5588235122
2011-06-24,4.3247,4.42785,4.3247,4.42785,29764.882351717
2011-06-27,4.42785,4.42785,4.29267,4.41488,74.4803921538
2011-06-28,4.43443,4.43443,4.41488,4.43443,9420.196078044
2011-06-29,4.43443,4.43443,4.30554,4.43443,225.539215677
2011-06-30,4.43443,4.46016,4.41488,4.46016,13327.794117099
2011-07-01,4.60192,4.60192,4.60192,4.60192,2.0980392156
2011-07-04,4.60192,4.60192,4.58905,4.58905,2.0980392156
2011-07-05,4.58905,4.58905,4.4473,4.57608,212.9509803834
2011-07-06,4.57608,4.57608,4.51174,4.57608,598895.7842891
2011-07-07,4.12509,4.51174,4.12509,4.51174,3599.1862743618
2011-07-08,4.54386,4.54386,4.54386,4.54386,1040.6274509376
2011-07-11,4.56321,4.56321,4.42785,4.5309,1673.186274441
2011-07-12,4.42146,4.42146,4.42146,4.42146,2.0980392156
2011-07-13,4.42146,4.42146,4.31841,4.42146,1541.0098038582
2011-07-14,4.42146,4.42146,4.42146,4.42146,2.0980392156
2011-07-15,3.99602,4.42146,3.99602,4.42146,314.70588234
2011-07-18,4.42146,4.42146,4.31841,4.42146,9273.333332952
2011-07-19,4.42146,4.42146,4.25388,4.42146,3394.6274508408
2011-07-20,4.27971,4.42146,4.1636,4.42146,31213.578430089
2011-07-21,4.50516,4.50516,4.35044,4.39563,1865.1568626684
2011-07-22,4.47952,4.47952,4.38266,4.38266,113265.79411299
2011-07-25,4.47303,4.47303,4.47303,4.47303,1.0490196078
2011-07-26,4.47303,4.47303,4.47303,4.47303,1.0490196078
2011-07-27,4.47303,4.47303,4.47303,4.47303,1.0490196078
2011-07-28,4.26026,4.26026,4.26026,4.26026,1877.745097962
2011-07-29,4.07342,4.12509,4.06055,4.09268,4340.8431370764
2011-08-01,4.09268,4.09268,3.87362,3.91232,705.9901960494
2011-08-02,3.86723,3.93177,3.86723,3.93177,1517.9313724866
2011-08-03,3.93177,3.93177,3.93177,3.93177,2.0980392156
2011-08-04,3.93177,3.93177,3.73844,3.73844,2171.470588146
2011-08-05,3.93177,3.93177,3.89936,3.89936,2.0980392156
2011-08-08,3.54502,3.54502,3.51271,3.51271,2507.156862642
2011-08-10,3.40947,3.40947,3.40947,3.40947,775.2254901642
2011-08-11,3.41605,3.42243,3.41605,3.42243,776.274509772
2011-08-12,3.41605,3.41605,3.41605,3.41605,248.6176470486
2011-08-17,3.48049,3.54502,3.48049,3.54502,1268.2647058302
2011-08-19,3.54502,3.54502,3.54502,3.54502,1.0490196078
2011-08-22,3.54502,3.54502,3.54502,3.54502,1.0490196078
