Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-12-16,2.53561,2.66112,2.53561,2.66112,95875.889501907
2008-12-18,2.56034,2.60564,2.56034,2.60564,49646.651933259
2008-12-19,2.61065,2.61065,2.61065,2.61065,97.6740331483
2008-12-22,2.61065,2.61065,2.61065,2.61065,97.6740331483
2008-12-23,2.61065,2.61065,2.61065,2.61065,56.4861878448
2008-12-29,2.61065,2.61065,2.61065,2.61065,38.8342541433
2008-12-30,2.61065,2.61065,2.61065,2.61065,20.0055248617
2008-12-31,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-05,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-06,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-07,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-08,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-09,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-12,2.61065,2.61065,2.61065,2.61065,20.0055248617
2009-01-13,2.61065,2.61065,2.08847,2.08847,1269.7624309279
2009-01-14,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-01-15,2.20896,2.40993,2.20896,2.40993,733.1436464023
2009-01-16,2.45999,2.51038,2.45999,2.51038,497.7845303823
2009-01-19,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-20,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-21,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-22,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-23,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-26,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-27,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-28,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-29,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-01-30,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-02,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-03,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-04,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-05,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-06,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-09,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-10,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-11,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-12,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-13,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-16,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-17,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-18,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-19,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-20,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-23,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-24,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-25,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-26,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-02-27,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-03-02,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-03-03,2.51038,2.51038,2.51038,2.51038,20.0055248617
2009-03-04,2.51038,2.51038,2.51038,2.51038,38.8342541433
2009-03-05,2.51038,2.51038,2.25936,2.25936,1209.7458563428
2009-03-06,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-09,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-10,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-11,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-12,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-13,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-16,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-17,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-18,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-19,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-20,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-23,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-24,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-25,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-26,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-27,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-30,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-03-31,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-01,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-02,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-03,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-06,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-07,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-08,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-09,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-14,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-15,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-16,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-17,2.25936,2.25936,2.05839,2.05839,217.7071823185
2009-04-23,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-24,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-27,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-28,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-29,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-04-30,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-04,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-05,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-06,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-07,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-08,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-11,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-12,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-13,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-14,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-15,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-18,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-19,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-20,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-21,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-22,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-25,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-26,2.25936,2.25936,2.25936,2.25936,20.0055248617
2009-05-27,2.25936,2.25936,2.10869,2.10869,338.9171270688
2009-06-01,2.15849,2.15849,2.15849,2.15849,117.67955801
2009-06-02,2.00834,2.00834,2.00834,2.00834,198.8784530369
2009-06-03,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-04,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-05,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-08,2.00834,2.00834,2.00834,2.00834,914.3701657377
2009-06-09,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-10,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-12,2.00834,2.00834,2.00834,2.00834,198.8784530369
2009-06-15,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-16,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-17,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-18,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-19,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-22,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-23,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-24,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-25,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-26,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-29,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-06-30,2.00834,2.00834,2.00834,2.00834,20.0055248617
2009-07-06,1.85767,1.85767,1.85767,1.85767,198.8784530369
2009-07-07,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-09,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-13,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-14,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-15,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-16,1.85767,1.85767,1.85767,1.85767,38.8342541433
2009-07-17,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-20,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-21,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-22,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-23,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-24,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-27,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-28,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-29,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-30,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-07-31,1.85767,1.85767,1.85767,1.85767,1490.9999999867
2009-08-03,1.85767,1.85767,1.85767,1.85767,20.0055248617
2009-08-04,1.85767,1.85767,1.7574,1.7574,56.4861878448
2009-08-05,1.85767,1.85767,1.70701,1.70701,97.6740331483
2009-08-11,1.70701,1.70701,1.70701,1.70701,176.519337015
2009-08-12,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-13,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-14,1.70701,1.70701,1.70701,1.70701,1806.3812154535
2009-08-17,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-18,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-19,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-20,1.70701,1.70701,1.70701,1.70701,950.8508287208
2009-08-21,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-24,1.70701,1.70701,1.70701,1.70701,497.7845303823
2009-08-25,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-26,1.70701,1.70701,1.70701,1.70701,416.5856353554
2009-08-27,1.70701,1.70701,1.70701,1.70701,20.0055248617
2009-08-28,1.70701,1.70701,1.70701,1.70701,20.0055248617
