Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-05-26,3.91594,3.91594,3.38037,3.38037,902882.4351913
2009-05-27,3.47829,3.67404,3.45509,3.46098,186354.14676079
2009-05-28,3.61638,3.61638,3.32851,3.34003,27699.470090221
2009-05-29,3.32451,3.62747,3.2944,3.62747,59868.185079448
2009-06-01,3.77196,4.2902,3.77196,4.03108,138890.10938111
2009-06-02,4.2038,4.2902,3.91594,4.00225,102095.04592087
2009-06-03,4.13462,4.1464,3.74322,3.85836,348088.75689141
2009-06-04,3.85836,3.97359,3.8007,3.91014,29510.850827095
2009-06-05,4.00225,4.03108,3.92737,3.96771,21076.499357145
2009-06-08,4.00225,4.00225,3.57613,3.85836,18640.221576417
2009-06-09,3.8007,3.91594,3.8007,3.84113,52032.93752959
2009-06-10,3.8007,3.96208,3.8007,3.8007,16548.633722317
2009-06-12,3.85836,3.85836,3.68556,3.82954,10065.180340495
2009-06-15,3.79499,3.79499,3.59924,3.7317,35899.338616887
2009-06-16,3.59924,3.70278,3.59924,3.62798,58657.080677383
2009-06-17,3.61638,3.74322,3.45509,3.62798,22209.05197321
2009-06-18,3.50132,3.6337,3.45509,3.6337,16165.254110047
2009-06-19,3.72598,3.72598,3.54166,3.68556,4519.6587318125
2009-06-22,3.68556,3.68556,3.46098,3.4666,6326.349809821
2009-06-23,3.57032,3.90451,3.57032,3.8007,76906.88815323
2009-06-24,3.91594,3.91594,3.68556,3.79499,15104.218791684
2009-06-25,3.8007,3.8007,3.59336,3.59336,6362.6946660302
2009-06-26,3.79499,3.82954,3.79499,3.8007,6238.4187060893
2009-06-29,3.70867,3.91014,3.70867,3.91014,28419.332726105
2009-06-30,3.8871,3.91014,3.74322,3.91014,51415.074974035
2009-07-01,3.74893,3.77196,3.74322,3.77196,59743.909119507
2009-07-02,3.80658,3.85836,3.7143,3.7143,24715.674636923
2009-07-03,3.68556,3.84693,3.63949,3.84693,11903.526615847
2009-07-06,3.84113,3.84113,3.84113,3.84113,1702.3461682469
2009-07-07,3.82954,3.82954,3.54166,3.67984,20403.533309918
2009-07-08,3.484,3.57032,3.45509,3.57032,47494.520162315
2009-07-09,3.62798,3.62798,3.484,3.55309,9935.0423069725
2009-07-10,3.62798,3.62798,3.46098,3.46098,127544.65217028
2009-07-13,3.46098,3.54166,3.46098,3.54166,7026.2813955258
2009-07-14,3.54166,3.54166,3.46098,3.53007,32835.818962872
2009-07-15,3.53586,3.57032,3.484,3.55309,192257.25485799
2009-07-16,3.51284,3.56469,3.49553,3.50132,232306.94157101
2009-07-17,3.51284,3.51284,3.50704,3.50704,31051.403764476
2009-07-20,3.4898,3.51855,3.45509,3.51855,15628.288169925
2009-07-21,3.53586,3.53586,3.49553,3.49553,94170.694852566
2009-07-22,3.51284,3.51284,3.484,3.51284,1977.8636266064
2009-07-23,3.484,3.52435,3.45509,3.45509,19912.291543736
2009-07-24,3.51284,3.51284,3.36886,3.43803,27280.918036458
2009-07-27,3.44366,3.54166,3.39752,3.52435,263055.86233865
2009-07-28,3.52435,3.53586,3.45509,3.50704,6268.9014887163
2009-07-29,3.44946,3.47257,3.386,3.45509,11789.802388354
2009-07-30,3.45509,3.484,3.4034,3.47257,63442.877549823
2009-07-31,3.4898,3.50704,3.47257,3.50132,96971.593610101
2009-08-03,3.51284,3.7143,3.45509,3.6569,157454.12400096
2009-08-04,3.6569,3.84693,3.6569,3.7317,33815.957665802
2009-08-05,3.7317,4.2038,3.7317,3.84693,49664.659802415
2009-08-06,3.94468,4.08294,3.91594,3.97359,17290.772237813
2009-08-07,3.97248,4.18453,3.97248,4.11799,28306.780913328
2009-08-10,4.19067,4.7235,4.14828,4.67514,79632.752368915
2009-08-11,4.6875,4.72214,4.49176,4.66456,28839.057194584
2009-08-12,4.34778,4.56093,4.34778,4.49176,12624.561666448
2009-08-13,4.54942,4.72214,4.54942,4.6933,16433.737080108
2009-08-14,4.71642,5.01,4.71062,4.72214,31301.128099074
2009-08-17,4.7798,4.7798,4.63582,4.67607,2694.2090183411
2009-08-18,4.6875,4.71642,4.60127,4.60127,3911.1754939887
2009-08-19,4.60698,4.60698,4.17506,4.54942,20653.257644516
2009-08-20,4.58976,4.58976,4.3708,4.52058,9183.524473745
2009-08-21,4.57824,4.57824,4.26138,4.52058,11758.147191011
2009-08-24,4.54942,4.54942,4.23263,4.44569,9256.2141861633
2009-08-25,4.26138,4.46302,4.1464,4.19237,61467.35875265
2009-08-26,4.20278,4.41474,4.13617,4.34803,25584.433941793
2009-08-27,4.34778,4.3766,4.1464,4.3766,6394.3498633736
2009-08-28,4.34206,4.45149,4.31904,4.43418,23295.880415334
2009-08-31,4.44501,4.50548,4.38437,4.48118,7857.5234294701
2009-09-01,4.32381,4.32381,4.02707,4.03322,82956.548089975
2009-09-02,4.02118,4.02118,3.65767,3.71225,39734.307154308
2009-09-03,3.71225,3.73647,3.57297,3.71831,29098.160846914
2009-09-04,3.71831,3.8576,3.71831,3.8576,5486.9008728618
2009-09-07,3.8576,4.01505,3.8576,4.01505,14678.632249622
2009-09-08,3.91824,3.96054,3.82731,3.88796,44251.621056687
2009-09-09,3.90596,3.97248,3.88796,3.89393,18511.25595761
2009-09-10,4.02707,4.02707,3.8576,3.99083,8231.5237240092
2009-09-11,4.04533,4.05735,3.93624,4.00891,59908.047179806
2009-09-14,3.78492,3.90596,3.77887,3.77887,10472.008247094
2009-09-15,3.75465,3.8152,3.55472,3.74859,16647.116558497
2009-09-16,3.76062,3.87576,3.75465,3.87576,2911.1057408795
2009-09-17,3.99688,4.05735,3.88173,3.94229,5516.2112407724
2009-09-18,3.93624,3.99083,3.93624,3.93624,216318.72208314
2009-09-21,3.90596,3.96651,3.90596,3.96651,5379.0387189509
2009-09-22,3.90596,4.11799,3.8152,4.11799,9713.4559255684
2009-09-23,4.14828,4.17856,3.93624,4.17856,9236.2831359841
2009-09-24,4.11799,4.11799,4.11799,4.11799,200.48291650841
2009-09-25,3.88796,4.11799,3.88173,4.05735,14974.080758161
2009-09-28,3.90596,4.14828,3.88173,4.14828,16916.771943274
2009-10-01,3.9121,4.08167,3.88796,3.94229,4564.2104910366
2009-10-02,3.93624,4.02707,3.89393,4.01505,11072.284581903
2009-10-05,3.93624,4.00891,3.93624,4.00891,2761.0366571773
2009-10-06,4.01505,4.01505,3.89393,3.99688,1970.8291383079
2009-10-07,4.00891,4.00891,3.91824,3.98477,1709.3806565454
2009-10-08,3.93624,3.99688,3.93624,3.99688,2702.4159213561
2009-10-09,3.99688,3.99688,3.86962,3.86962,2459.7260750564
