Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-07,42.4,43,29.2,32.4,26854
2021-04-08,32.395,32.395,29.21,32,3114
2021-04-09,31.5,31.95,29,30,1177
2021-04-12,29.24,29.9,27,28,1100
2021-04-13,28,29.22,27.99,28.685,861
2021-04-14,27.8,28.7,26.5,28.7,807
2021-04-15,28.995,28.995,24.5,27.11,1330
2021-04-16,25.5,26.9,25.3,26.48,305
2021-04-19,26.4,26.4,25,25,151
2021-04-20,25,25,24.99,24.99,11
2021-04-21,25,25,24,24,19
2021-04-22,23.4,23.4,21.7,21.9,853
2021-04-23,22.45,22.48,21.41,21.41,96
2021-04-26,22.3,22.5,22.1,22.5,625
2021-04-27,23.87,23.87,23.4,23.4,30
2021-04-28,24.5,24.75,23,23.98,414
2021-04-29,24,25.6,24,25.6,290
2021-04-30,25.6,27,25.6,27,259
2021-05-04,26,29,25.7,29,220
2021-05-05,28.87,28.87,25.4,28.8,291
2021-05-06,28,28,26.42,26.42,113
2021-05-07,28.78,28.78,26.5,27.6,455
2021-05-10,26.6,28,23.01,27.99,597
2021-05-11,27,28,26.2,26.2,442
2021-05-12,27.2,27.98,24.9,25,1112
2021-05-13,25,25,22.02,24.48,223
2021-05-14,24.72,26.98,24.72,26.445,1265
2021-05-17,26.78,27.795,26,27.25,1462
2021-05-18,27.32,28.81,27,27.46,1866
2021-05-19,27.5,28.4,27,28.4,373
2021-05-20,27.995,27.995,27.95,27.95,56
2021-05-21,27.9,27.95,27.9,27.95,9
2021-05-24,28,28,27.2,27.2,52
2021-05-25,28,28,28,28,17
2021-05-26,28,28,28,28,1
2021-05-27,28,28,26,27.9,116
2021-05-28,27,27,25.6,26,126
2021-05-31,26.3,26.3,26.3,26.3,5
2021-06-01,26,26,24,25.9,396
2021-06-02,25.6,26.18,25,26.18,149
2021-06-04,26.2,26.995,26.2,26.995,45
2021-06-07,26,26,26,26,5
2021-06-08,25.4,26.495,25,26.495,1646
2021-06-09,25.9,28.1,25.9,28.1,1286
2021-06-10,27.995,29.3,26,29.3,1686
2021-06-11,29.3,29.8,27.8,28.2,264
2021-06-14,28.2,28.205,26.1,27.95,118
2021-06-15,27.95,27.95,26,26,52
2021-06-16,26.305,26.305,25.4,25.4,20
2021-06-17,26,26.2,25.5,25.5,230
2021-06-18,26.05,26.05,26.05,26.05,2
2021-06-21,26,26,26,26,2
2021-06-22,26,26,25.4,25.4,4
2021-06-23,26,26,25,25,111
2021-06-24,22.5,25,22.5,25,435
2021-06-25,25.2,25.2,24,25,215
2021-06-28,24.005,25.1,24,24.5,305
2021-06-29,25,25,25,25,5
2021-06-30,25,25,24,24,91
2021-07-01,24.2,24.2,24.2,24.2,55
2021-07-06,23.8,23.8,23.8,23.8,45
2021-07-07,23.65,23.9,23.65,23.65,115
2021-07-08,23.8,23.8,23.3,23.3,86
2021-07-09,23.3,23.7,23.1,23.4,150
2021-07-13,23.6,23.7,23.4,23.4,110
2021-07-14,23.9,24,23.5,24,95
2021-07-15,23.9,24,23.9,24,350
2021-07-19,23.205,23.205,23.005,23.1,82
2021-07-20,22.8,23.4,22,22.86,179
2021-07-22,22.1,22.1,19.1,21.8,979
2021-07-23,19.8,21.18,19.72,20.86,145
2021-07-26,20.86,25.4,20.86,23.7,1240
2021-07-27,24.445,24.445,23.1,24.25,207
2021-07-28,24,26,23.3,25.495,1293
2021-07-29,25.495,26.5,24.7,25,2360
2021-07-30,25.8,27,24.51,27,1283
2021-08-02,26.6,26.6,25,26,320
2021-08-03,26.1,26.1,26.1,26.1,30
2021-08-04,26.4,26.4,25,25.3,181
2021-08-09,25.1,27,24.9,24.9,665
2021-08-13,24.54,24.54,24.54,24.54,25
2021-08-16,24.2,24.2,24.2,24.2,7
2021-08-17,24.05,24.05,24.05,24.05,4
2021-08-18,24.05,24.05,24.05,24.05,12
2021-08-19,23.8,23.8,23,23,25
2021-08-20,24,25.5,24,25,533
2021-08-23,25.99,28,25.99,27.5,1375
2021-08-24,27.395,29.5,27.395,29.2,1578
2021-08-25,29.2,29.2,28.5,28.5,150
2021-08-26,28.5,28.5,27.2,27.2,86
2021-09-01,27.8,28,22.4,27.2,449
2021-09-08,26.7,26.7,26.7,26.7,65
2021-09-09,26.7,26.7,26.7,26.7,35
