Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-04-03,1.5,1.7,1.22,1.69,134135
2012-04-04,1.77,1.95,1.47,1.54,20707
2012-04-05,1.52,1.54,1.39,1.54,10186
2012-04-10,1.54,1.65,1.53,1.56,3977
2012-04-11,1.56,1.65,1.56,1.57,2330
2012-04-12,1.65,1.65,1.54,1.64,6070
2012-04-13,1.64,1.74,1.64,1.74,820
2012-04-16,1.74,1.75,1.74,1.75,1070
2012-04-17,1.7,1.7,1.7,1.7,768
2012-04-18,1.75,1.75,1.74,1.75,340
2012-04-19,1.75,1.75,1.65,1.73,1560
2012-04-20,1.64,1.7,1.63,1.7,1158
2012-04-23,1.71,1.71,1.62,1.7,770
2012-04-24,1.7,1.7,1.7,1.7,20
2012-04-25,1.69,1.69,1.69,1.69,20
2012-04-26,1.69,1.69,1.6,1.6,430
2012-04-27,1.64,1.64,1.64,1.64,300
2012-04-30,1.65,1.65,1.65,1.65,20
2012-05-02,1.65,1.65,1.64,1.64,120
2012-05-04,1.65,1.7,1.65,1.7,300
2012-05-07,1.7,1.7,1.7,1.7,50
2012-05-08,1.7,1.7,1.7,1.7,58
2012-05-10,1.75,1.75,1.75,1.75,100
2012-05-11,1.75,1.75,1.75,1.75,200
2012-05-14,1.75,1.85,1.75,1.85,2000
2012-05-15,1.85,1.85,1.85,1.85,30
2012-05-16,1.85,1.85,1.76,1.76,1700
2012-05-17,1.85,1.85,1.85,1.85,150
2012-05-18,1.76,1.8,1.76,1.8,2050
2012-05-21,1.8,1.8,1.8,1.8,100
2012-05-23,1.8,1.8,1.8,1.8,10
2012-05-24,1.71,1.71,1.66,1.71,3290
2012-05-25,1.71,1.71,1.71,1.71,10
2012-05-28,1.71,1.95,1.71,1.95,2440
2012-05-29,1.96,1.99,1.96,1.99,230
2012-05-30,2,2,2,2,170
2012-06-01,2.05,2.06,2.05,2.06,1000
2012-06-12,2.08,2.08,1.8,1.8,170
2012-06-13,1.75,1.75,1.75,1.75,1330
2012-06-29,1.75,2.1,1.75,2.1,1037
2012-07-02,2.02,2.3,1.8,2.3,1812
2012-07-03,2.14,2.14,2.06,2.06,800
2012-07-05,2.1,2.3,2.1,2.3,1303
2012-07-06,2.22,2.22,2.22,2.22,700
2012-07-09,2.25,2.6,2,2,1853
2012-07-10,2,2,2,2,50
2012-07-11,2,2,2,2,20
2012-07-13,2,2,2,2,25
2012-07-17,2,2.05,2,2.05,40
2012-07-18,2.1,2.12,2.1,2.12,52
2012-07-23,2.04,2.04,1.75,1.95,1735
2012-07-26,1.93,1.93,1.93,1.93,10
2012-07-27,1.91,1.91,1.88,1.88,20
2012-07-30,1.88,1.88,1.88,1.88,10
2012-07-31,1.88,1.88,1.75,1.88,120
2012-08-02,1.95,1.95,1.95,1.95,5
2012-08-03,1.95,1.95,1.95,1.95,10
2012-08-06,1.95,1.95,1.95,1.95,10
2012-08-07,1.95,1.95,1.95,1.95,10
2012-08-08,1.95,1.95,1.95,1.95,10
2012-08-09,1.95,1.95,1.95,1.95,10
2012-08-10,1.95,1.95,1.95,1.95,10
2012-08-13,1.95,1.95,1.95,1.95,10
2012-08-14,1.95,1.95,1.95,1.95,10
2012-08-16,1.95,1.95,1.95,1.95,10
2012-08-17,1.95,1.95,1.95,1.95,10
2012-08-20,1.95,1.95,1.95,1.95,10
2012-08-21,1.95,1.95,1.95,1.95,10
2012-08-22,1.95,1.95,1.95,1.95,10
2012-08-23,1.95,1.95,1.95,1.95,10
2012-08-24,1.95,1.95,1.95,1.95,10
2012-08-27,1.95,1.95,1.95,1.95,10
2012-08-28,1.95,1.95,1.95,1.95,10
2012-08-29,1.95,1.95,1.95,1.95,10
2012-08-30,1.95,1.95,1.82,1.82,510
2012-09-07,1.78,1.78,1.65,1.7,458
2012-09-18,1.7,1.7,1.7,1.7,10
2012-09-19,1.65,1.65,1.65,1.65,10
2012-09-20,1.6,1.6,1.28,1.28,4863
2012-09-21,1.53,1.83,1.4,1.55,2185
2012-09-24,1.5,1.5,1.5,1.5,73
2012-09-26,1.5,1.5,1.45,1.45,200
2012-09-27,1.46,1.46,1.46,1.46,30
2012-09-28,1.5,1.55,1.5,1.55,940
2012-10-01,1.5,1.5,1.5,1.5,25
2012-10-02,1.5,1.5,1.5,1.5,10
2012-10-03,1.5,1.6,1.5,1.5,130
2012-10-04,1.5,1.58,1.5,1.58,70
2012-10-08,1.65,1.65,1.65,1.65,50
2012-10-10,1.7,1.75,1.55,1.55,165
2012-10-11,1.61,1.63,1.61,1.63,200
2012-10-12,1.68,1.72,1.64,1.72,1020
2012-10-15,1.65,1.65,1.65,1.65,40
2012-10-17,1.45,1.45,1.45,1.45,10
2012-10-18,1.53,1.68,1.53,1.57,2060
2012-10-19,1.55,1.62,1.52,1.62,940
2012-10-24,1.57,1.67,1.57,1.57,1269
2012-11-19,1.53,1.57,1.5,1.57,620
2012-11-20,1.45,1.45,1.45,1.45,8
2012-11-21,1.5,1.55,1.5,1.55,150
2012-11-23,1.6,1.6,1.6,1.6,50
2012-11-26,1.5,1.6,1.5,1.6,1040
2012-11-27,1.5,1.55,1.45,1.45,1032
2012-11-28,1.48,1.55,1.41,1.55,2265
2012-11-29,1.55,1.69,1.55,1.69,1600
2012-11-30,1.59,1.78,1.41,1.78,1920
2012-12-03,1.8,1.9,1.78,1.78,1950
2012-12-05,1.8,1.83,1.63,1.63,960
2012-12-06,1.6,1.66,1.45,1.66,1690
2012-12-07,1.66,1.83,1.66,1.83,465
2012-12-11,1.83,1.85,1.83,1.85,80
2012-12-14,1.85,1.94,1.84,1.84,542
2012-12-19,1.86,1.99,1.75,1.75,2387
2012-12-20,1.75,1.75,1.65,1.65,900
2012-12-21,1.6,1.68,1.5,1.68,1150
2012-12-27,1.69,1.73,1.45,1.45,736
2012-12-28,1.49,1.69,1.49,1.69,60
2013-01-02,1.73,1.85,1.51,1.63,2445
2013-01-03,1.65,1.82,1.55,1.69,2840
2013-01-07,1.56,1.58,1.56,1.58,480
2013-01-08,1.59,1.6,1.59,1.6,50
2013-01-17,1.59,1.59,1.59,1.59,10
2013-01-23,1.5,1.6,1.46,1.6,850
2013-01-25,1.6,1.6,1.6,1.6,133
2013-01-28,1.6,1.64,1.41,1.6,1397
2013-01-29,1.6,1.7,1.6,1.6,1190
2013-01-30,1.62,1.64,1.52,1.56,945
2013-01-31,1.56,1.62,1.56,1.62,250
2013-02-01,1.51,1.59,1.51,1.56,2130
2013-02-04,1.5,1.5,1.43,1.48,1120
2013-02-05,1.48,1.51,1.48,1.51,200
2013-02-12,1.52,1.54,1.52,1.54,150
2013-02-13,1.45,1.45,1.42,1.42,1000
2013-02-19,1.4,1.4,1.4,1.4,4
2013-02-21,1.4,1.4,1.4,1.4,30
2013-02-28,1.44,1.54,1.44,1.54,2200
2013-03-01,1.5,1.5,1.48,1.48,50
2013-03-06,1.45,1.45,1.45,1.45,9500
2013-05-02,1.4,1.4,1.35,1.35,150
2013-05-06,1.4,1.48,1.4,1.48,200
2013-05-20,1.4,1.4,1.28,1.28,1200
2013-05-21,1.3,1.3,1.3,1.3,100
2013-05-29,1.3,1.3,1.3,1.3,252
2013-06-06,1.25,1.4,1.09,1.4,21570
2013-06-07,1.4,1.55,1.4,1.55,400
2013-06-12,1.55,1.75,1.55,1.75,460
2013-06-14,1.75,1.75,1.75,1.75,10
2013-06-20,1.75,1.9,1.75,1.9,280
2013-06-21,1.8,1.8,1.8,1.8,10
2013-09-17,1.8,2.1,1.8,2.1,2725
2013-09-18,1.91,2.18,1.91,2.17,1050
2013-09-19,2,2.13,1.92,2.13,1850
2013-09-20,1.9,1.9,1.88,1.88,750
2013-10-04,1.9,2.13,1.9,2.13,1200
2013-10-07,2.13,2.13,1.87,1.87,1960
2013-10-10,1.85,1.85,1.7,1.7,175
2013-10-15,1.6,1.6,1.45,1.45,375
2013-10-18,1.5,1.8,1.5,1.8,1500
2013-10-21,1.85,2.22,1.85,2.22,1450
2013-10-22,2.4,2.4,2.4,2.4,150
2013-10-23,2.45,2.94,2.45,2.94,500
2013-10-25,2.8,2.8,2.24,2.24,500
2013-10-28,2.2,2.2,2.1,2.1,150
2013-11-05,2.2,2.35,2.2,2.35,1000
2013-11-06,2.5,2.5,2.5,2.5,100
2013-11-07,2.4,2.4,2.2,2.2,785
2013-11-18,2.2,2.2,2.2,2.2,20
2013-11-19,2.2,2.2,2.2,2.2,30
2013-11-29,2.25,2.63,2.25,2.63,835
2013-12-02,2.65,2.65,2.65,2.65,50
2013-12-03,2.5,2.5,2.3,2.3,710
2013-12-04,2.3,2.66,2.2,2.66,1245
2013-12-05,2.66,2.66,2.66,2.66,115
2013-12-06,2.66,2.7,2.31,2.7,550
2013-12-09,2.7,2.84,2.36,2.7,2150
2013-12-10,2.4,2.4,2.2,2.3,1120
2013-12-11,2.2,2.2,2.08,2.08,200
2013-12-12,2.15,2.2,2.15,2.2,100
2013-12-27,2,2,1.9,1.9,600
2013-12-30,2,2.05,2,2.05,130
2014-01-03,2.05,2.1,1.95,1.95,621
2014-01-09,1.95,1.95,1.95,1.95,10
2014-01-10,1.95,1.95,1.95,1.95,10
2014-01-13,1.95,1.95,1.95,1.95,10
2014-01-14,1.95,1.95,1.86,1.86,510
2014-02-03,1.86,1.99,1.86,1.99,1895
2014-02-04,1.99,1.99,1.99,1.99,10
2014-02-05,1.99,1.99,1.99,1.99,10
2014-02-06,1.99,2.4,1.99,2.4,1228
2014-02-07,2.4,2.45,2.4,2.45,120
2014-02-11,2.4,2.4,2.21,2.21,1535
2014-02-12,2.11,2.11,1.7,1.71,930
2014-02-13,1.73,1.73,1.73,1.73,51
2014-02-14,1.73,1.95,1.73,1.84,864
2014-02-17,1.74,1.74,1.73,1.73,1409
2014-02-19,1.71,1.71,1.71,1.71,15
2014-02-20,1.7,1.7,1.7,1.7,675
2014-02-21,1.65,1.65,1.62,1.62,314
2014-02-24,1.63,1.65,1.55,1.55,3654
2014-02-25,1.55,1.71,1.55,1.55,4444
2014-02-26,1.65,1.98,1.64,1.98,5671
2014-02-27,1.84,1.84,1.67,1.8,4740
2014-02-28,1.75,1.75,1.56,1.64,4030
2014-03-03,1.65,1.65,1.65,1.65,3000
2014-03-04,1.64,1.75,1.64,1.75,3429
2014-03-05,1.75,1.75,1.72,1.72,3010
2014-03-06,1.75,1.75,1.73,1.73,3020
2014-03-07,1.75,1.75,1.72,1.72,2810
2014-03-10,1.7,1.71,1.7,1.71,3001
2014-03-11,1.74,1.75,1.74,1.75,1200
2014-03-12,1.75,1.75,1.71,1.71,3010
2014-03-13,1.74,1.76,1.74,1.76,4240
2014-03-14,1.73,1.73,1.5,1.53,2240
2014-03-17,1.49,1.49,1.49,1.49,3530
2014-03-18,1.46,1.46,1.46,1.46,3420
2014-03-19,1.52,1.52,1.52,1.52,3000
2014-03-20,1.53,1.54,1.53,1.54,3020
2014-03-24,1.54,1.54,1.54,1.54,3300
2014-03-25,1.54,1.54,1.53,1.53,3400
2014-03-26,1.55,1.59,1.55,1.57,2380
2014-03-27,1.57,1.57,1.5,1.51,4211
2014-03-28,1.47,1.47,1.43,1.43,800
2014-03-31,1.4,1.4,1.33,1.33,500
2014-04-02,1.35,1.42,1.35,1.42,4500
2014-04-04,1.4,1.4,1.4,1.4,20
2014-04-09,1.42,1.42,1.42,1.42,10
2014-04-10,1.43,1.51,1.43,1.43,3844
2014-04-11,1.43,1.5,1.43,1.5,1615
