Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-13,3.5,4.52,3.11,4.52,1011949
2021-01-14,4.98,6.392,4.7,6.392,886932
2021-01-15,6.38,6.69,5.61,5.814,812427
2021-01-18,5.81,6.149,5.58,5.859,177592
2021-01-19,5.85,5.85,5.26,5.4,174463
2021-01-20,5.4,5.4,5.022,5.28,100053
2021-01-21,5.35,5.8,5.13,5.6,87650
2021-01-22,5.6,5.6,5.271,5.546,28613
2021-01-25,5.558,5.558,5.222,5.358,22290
2021-01-26,5.34,5.34,5.02,5.25,34865
2021-01-27,5.254,5.254,4.75,5.049,103398
2021-01-28,4.99,5.2,4.87,5.1,44811
2021-01-29,5.186,5.69,5.1,5.27,98662
2021-02-01,5.526,6.2,5.5,5.92,153216
2021-02-02,5.988,5.988,5.6,5.69,30016
2021-02-03,5.671,5.698,5.3,5.3,21691
2021-02-04,5.3,5.538,5.2,5.449,9874
2021-02-05,5.45,5.9,5.25,5.7,26857
2021-02-08,5.8,5.8,5.411,5.53,10117
2021-02-09,5.5,5.988,5.32,5.81,33131
2021-02-10,5.858,5.96,5.55,5.6,18293
2021-02-11,5.58,5.698,5.38,5.42,7006
2021-02-12,5.6,5.75,5.45,5.69,27730
2021-02-15,5.572,5.648,5.36,5.5,39282
2021-02-16,5.574,5.574,5.4,5.49,11446
2021-02-17,5.5,5.65,5.4,5.65,8832
2021-02-18,5.64,5.64,5.4,5.4,14707
2021-02-19,5.48,5.565,5.3,5.42,12418
2021-02-22,5.488,5.488,5.322,5.39,2864
2021-02-23,5.39,5.4,5.15,5.28,11494
2021-02-24,5.26,5.26,5.12,5.216,5134
2021-02-25,5.2,5.538,5,5.116,31632
2021-02-26,5.1,5.1,4.88,4.9,22942
2021-03-01,4.92,5.38,4.92,5.2,5480
2021-03-02,5.16,5.2,5.051,5.07,3960
2021-03-03,5.14,5.159,5,5.099,16518
2021-03-04,5.011,5.08,4.01,4.85,104732
2021-03-05,4.868,5.3,4.868,5.178,21976
2021-03-08,5.39,5.39,5.16,5.222,4889
2021-03-09,5.222,5.298,5,5.101,9155
2021-03-10,5.1,5.1,4.92,5,3715
2021-03-11,5.001,5.1,4.942,4.962,14507
2021-03-12,4.95,5.29,4.923,5.26,8234
2021-03-15,5.23,5.23,5.06,5.13,4315
2021-03-16,5.08,5.1,4.95,5,9508
2021-03-17,5,5.15,4.95,4.95,9772
2021-03-18,5.05,5.198,4.98,5.13,6829
2021-03-19,5.13,5.15,5.03,5.06,8202
2021-03-22,5.13,5.13,5.06,5.1,5456
2021-03-23,5.07,5.15,5.06,5.15,5106
2021-03-24,5.153,5.153,5.09,5.09,4593
2021-03-25,5.074,5.25,5.06,5.196,11914
2021-03-26,5.196,5.25,5.09,5.2,3224
2021-03-29,5.145,5.388,5.08,5.3,7085
2021-03-30,5.3,5.59,5.25,5.56,20544
2021-03-31,5.48,5.48,5.27,5.27,4414
2021-04-01,5.27,5.65,5.27,5.65,23829
2021-04-06,5.82,5.82,5.499,5.7,14159
2021-04-07,5.69,5.9,5.501,5.85,24570
2021-04-08,5.848,5.86,5.78,5.85,4953
2021-04-09,5.899,6.2,5.77,6.1,46835
2021-04-12,6.32,6.5,5.9,6.03,38665
2021-04-13,6.03,6.07,5.7,5.999,25362
2021-04-14,5.9,6.2,5.9,6.17,21167
2021-04-15,6.301,6.48,6,6.138,45025
2021-04-16,6.12,6.12,5.86,5.95,10520
2021-04-19,5.98,5.98,5.7,5.9,10728
2021-04-20,5.755,5.96,5.72,5.89,18055
2021-04-21,5.72,5.72,5.12,5.346,93351
2021-04-22,5.26,5.4,4.98,5.132,33379
2021-04-23,5.132,5.132,4.85,5.1,33753
2021-04-26,5.096,5.2,5.02,5.199,20889
2021-04-27,5.15,5.2,4.8105,5.08,14828
2021-04-28,5.05,5.059,4.8,5.027,14217
2021-04-29,5,5.44,5,5.25,15281
2021-04-30,5.25,5.5,5.25,5.5,9614
2021-05-04,5.4,5.489,5.23,5.399,3590
2021-05-05,5.4,5.43,4.95,5.11,18190
2021-05-06,5.15,5.187,5.061,5.16,2371
2021-05-07,5.139,5.139,4.9,5.11,19198
2021-05-10,5.11,5.169,4.99,5.094,4456
2021-05-11,5.068,5.068,4.7,4.75,27090
2021-05-12,4.4505,4.92,4.2725,4.92,72304
2021-05-13,4.9895,5.12,4.49,4.648,20336
2021-05-14,4.6,4.66,4.4,4.66,16073
2021-05-17,4.7,4.9,4.455,4.8,11235
2021-05-18,4.8795,4.8795,4.5,4.67,9447
2021-05-19,4.52,4.6695,4.4,4.6,9324
2021-05-20,4.59,4.6,4.32,4.41,16349
2021-05-21,4.42,4.7,4.42,4.7,16617
2021-05-24,4.6505,4.69,4.45,4.51,57107
2021-05-25,4.51,4.58,4.5,4.573,39399
2021-05-26,4.569,4.569,4.3,4.45,30745
