Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-02-17,2.0448,2.1945,2.0448,2.1945,1704
1998-02-18,2.3439,2.3439,2.1945,2.1945,1895
1998-02-19,2.394,2.5935,2.394,2.5935,7018
1998-02-20,2.793,2.9925,2.6931,2.9925,10727
1998-02-23,3.192,3.591,3.192,3.591,26066
1998-02-24,3.6906,3.6906,3.4911,3.4911,5514
1998-02-25,3.591,3.591,3.2916,3.2916,3780
1998-02-26,3.2616,3.3015,3.2616,3.2916,9995
1998-02-27,2.9925,3.2916,2.9925,3.2916,2005
1998-03-02,2.9925,3.3915,2.9925,3.3915,3208
1998-03-06,2.793,2.793,2.793,2.793,1003
1998-03-09,2.793,2.793,2.5434,2.6433,8121
1998-03-10,2.793,2.793,2.793,2.793,3008
1998-03-11,2.4936,2.4936,2.4936,2.4936,1003
1998-03-12,2.2941,2.5434,2.2941,2.394,2737
1998-03-16,2.4936,2.4936,2.394,2.4936,2206
1998-03-17,2.5035,2.5035,2.5035,2.5035,802
1998-03-18,2.4537,2.4537,2.1444,2.1546,8742
1998-03-20,2.3439,2.3439,2.334,2.3439,4181
1998-03-23,2.3439,2.3439,2.2941,2.2941,4371
1998-03-24,2.2941,2.3439,2.2941,2.3241,7319
1998-03-25,2.2941,2.2941,2.2941,2.2941,1003
1998-03-26,2.2941,2.2941,2.2542,2.2542,1464
1998-03-27,2.2941,2.2941,2.2941,2.2941,3008
1998-03-30,2.2941,2.2941,2.2941,2.2941,501
1998-04-01,2.1645,2.2743,2.1645,2.2743,2406
1998-04-02,2.1444,2.1444,2.1444,2.1444,301
1998-04-06,2.1945,2.1945,2.1546,2.1546,1574
1998-04-07,2.1444,2.1945,2.1444,2.1945,2687
1998-04-08,2.1945,2.1945,2.1945,2.1945,1003
1998-04-09,2.1744,2.1744,2.1744,2.1744,1003
1998-04-14,2.1645,2.1744,2.1645,2.1744,1684
1998-04-15,2.1645,2.1945,2.1645,2.1945,4411
1998-04-16,2.1444,2.1945,2.1444,2.1945,1754
1998-04-17,2.1945,2.1945,2.1843,2.1843,2005
1998-04-20,2.1945,2.1945,2.1945,2.1945,501
1998-04-21,2.1945,2.1945,2.1945,2.1945,1404
1998-04-23,2.1945,2.1945,2.1945,2.1945,1003
1998-04-27,2.0946,2.1147,2.0946,2.0946,2506
1998-04-28,2.0448,2.0448,2.0448,2.0448,612
1998-04-30,2.0946,2.0946,2.0946,2.0946,150
1998-05-04,2.0049,2.0049,2.0049,2.0049,1003
1998-05-08,1.995,1.995,1.995,1.995,501
1998-05-11,1.995,1.995,1.9452,1.9452,3008
1998-05-12,1.9452,1.9452,1.9152,1.9152,2005
1998-05-13,1.995,1.995,1.995,1.995,1003
1998-05-14,1.995,1.995,1.995,1.995,702
1998-05-19,1.9152,1.9152,1.9152,1.9152,1504
1998-05-20,1.9152,1.9152,1.8951,1.8951,1704
1998-05-22,1.9053,1.9053,1.9053,1.9053,1003
1998-05-25,1.8951,1.8951,1.8852,1.8852,1805
1998-05-26,1.8852,1.8852,1.7955,1.7955,3770
1998-05-27,1.7955,1.7955,1.7955,1.7955,100
1998-06-01,1.7955,1.7955,1.6956,1.6956,3629
1998-06-05,1.596,1.596,1.596,1.596,1644
1998-06-10,1.6956,1.6956,1.596,1.596,4311
1998-06-15,1.6956,1.6956,1.6956,1.6956,1003
1998-06-16,1.8453,1.8453,1.5759,1.5759,4912
1998-06-24,1.596,1.596,1.5861,1.5861,2005
1998-06-25,1.5162,1.5162,1.5162,1.5162,1003
1998-06-29,1.4961,1.4961,1.4763,1.4763,3479
1998-06-30,1.4763,1.4961,1.3965,1.4961,3509
1998-07-01,1.3965,1.3965,1.3965,1.3965,1053
1998-07-20,1.4463,1.4463,1.4463,1.4463,1003
1998-07-21,1.3965,1.3965,1.3965,1.3965,1003
1998-07-22,1.3965,1.3965,1.3965,1.3965,1203
1998-08-07,1.3965,1.3965,1.3965,1.3965,1003
1998-08-10,1.3965,1.3965,1.3965,1.3965,1003
1998-08-11,1.3965,1.3965,1.3965,1.3965,501
1998-08-13,1.3467,1.3467,1.2966,1.2966,2005
1998-08-14,1.197,1.197,1.1769,1.1769,2005
1998-08-27,0.9975,0.9975,0.9975,0.9975,2005
1998-08-28,0.798,0.798,0.6981,0.6981,3008
1998-08-31,0.9975,0.9975,0.9975,0.9975,2005
1998-10-06,0.5985,0.5985,0.5487,0.5487,2005
1998-11-10,0.5487,0.5487,0.399,0.399,4010
1998-11-17,0.4089,0.4089,0.4089,0.4089,782
1998-11-18,0.4089,0.4089,0.4089,0.4089,3008
1998-11-23,0.399,0.399,0.399,0.399,6015
1998-11-24,0.399,0.399,0.399,0.399,10025
1998-11-25,0.3492,0.3492,0.3492,0.3492,1003
1998-11-26,0.399,0.399,0.399,0.399,1003
1998-11-27,0.399,0.399,0.399,0.399,19379
1998-11-30,0.4188,0.4188,0.4188,0.4188,1003
1998-12-01,0.4188,0.4887,0.4188,0.4887,7118
1998-12-07,0.6483,0.6483,0.6483,0.6483,100
1998-12-11,0.6483,0.6483,0.6483,0.6483,2336
1998-12-23,0.5286,0.5286,0.5286,0.5286,6918
1998-12-30,0.5985,0.5985,0.5985,0.5985,2256
1998-12-31,0.6384,0.6384,0.6384,0.6384,100
1999-01-04,0.5487,0.5487,0.5487,0.5487,2005
1999-01-05,0.6384,0.6384,0.6384,0.6384,100
1999-01-15,0.5487,0.5487,0.5487,0.5487,9825
1999-02-05,0.4986,0.4986,0.4986,0.4986,251
1999-02-09,0.4986,0.4986,0.4986,0.4986,2005
1999-02-10,0.4986,0.4986,0.4986,0.4986,2005
1999-03-11,0.4938,0.4938,0.4938,0.4938,1003
1999-03-22,0.4188,0.4188,0.4188,0.4188,1003
1999-03-30,0.414,0.414,0.414,0.414,1003
1999-04-09,0.429,0.429,0.429,0.429,401
1999-04-12,0.429,0.429,0.429,0.429,802
1999-04-14,0.429,0.429,0.429,0.429,802
1999-04-22,0.4737,0.4788,0.4737,0.4788,2506
1999-04-26,0.4488,0.4488,0.4488,0.4488,1003
1999-04-27,0.414,0.414,0.414,0.414,4010
1999-05-04,0.5037,0.5436,0.5037,0.5436,2005
1999-05-06,0.4089,0.4089,0.4089,0.4089,1003
1999-05-10,0.4089,0.4089,0.4089,0.4089,1003
1999-05-12,0.4488,0.4488,0.4488,0.4488,2506
1999-05-13,0.4689,0.5286,0.4689,0.5187,13033
1999-05-14,0.5436,0.738,0.5436,0.6981,32031
1999-05-17,0.8178,0.8178,0.738,0.738,15539
1999-05-18,0.813,0.813,0.813,0.813,3008
1999-05-19,0.8178,0.8379,0.798,0.828,17143
1999-05-20,0.8379,0.8379,0.8328,0.8328,8822
1999-05-21,0.828,0.8379,0.8229,0.8229,3880
1999-05-24,0.8577,0.8928,0.843,0.8877,22357
1999-05-25,0.8478,0.8478,0.8478,0.8478,10025
1999-05-27,0.7929,0.798,0.7482,0.7482,4181
1999-06-01,0.6981,0.6981,0.6981,0.6981,1003
1999-06-07,0.6981,0.6981,0.6981,0.6981,1003
1999-06-11,0.6981,0.6981,0.6981,0.6981,301
1999-06-15,0.6183,0.6183,0.6183,0.6183,702
1999-06-16,0.5985,0.6183,0.5985,0.6183,1704
1999-06-28,0.6084,0.6084,0.6084,0.6084,1003
1999-06-29,0.6084,0.6483,0.6084,0.6483,2707
1999-07-12,0.6582,0.6582,0.6582,0.6582,2005
1999-07-23,0.6084,0.6084,0.6084,0.6084,1003
1999-08-06,0.5985,0.5985,0.5985,0.5985,1003
1999-08-10,0.5487,0.5487,0.5487,0.5487,1003
1999-08-30,0.4986,0.4986,0.4938,0.4938,1454
1999-09-01,0.4986,0.4986,0.4986,0.4986,2005
1999-09-03,0.5487,0.5487,0.5487,0.5487,401
1999-09-17,0.5886,0.5886,0.399,0.399,902
1999-10-01,0.5286,0.5535,0.5286,0.5487,40102
1999-10-04,0.5487,0.5487,0.5487,0.5487,10025
1999-10-06,0.5985,0.5985,0.5985,0.5985,501
1999-10-07,0.5985,0.5985,0.5985,0.5985,2005
1999-10-11,0.5487,0.5487,0.5487,0.5487,1003
1999-10-12,0.5487,0.5487,0.5487,0.5487,39099
1999-10-15,0.5487,0.5487,0.5487,0.5487,2005
1999-10-22,0.5886,0.6981,0.5886,0.6981,4010
1999-11-04,0.5535,0.5586,0.5487,0.5487,10025
1999-11-05,0.5487,0.5535,0.5487,0.5535,11028
1999-11-19,0.5586,0.5586,0.5586,0.5586,1003
1999-11-22,0.6285,0.6285,0.6285,0.6285,2506
1999-11-24,0.6234,0.6234,0.6234,0.6234,1003
