Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-01-11,5.12806,5.4977,5.12806,5.33175,1178144.6381279
2011-01-12,5.28646,5.38458,5.12806,5.35449,252749.05058272
2011-01-13,5.33175,5.35449,5.21108,5.28646,142240.29182827
2011-01-14,5.33175,5.33175,5.1358,5.31675,40436.875486231
2011-01-17,5.27891,5.3091,5.27891,5.29401,16456.101167254
2011-01-18,5.28646,5.38458,5.28646,5.38458,45641.031128235
2011-01-19,5.38458,5.91989,5.36939,5.88243,70727.112840204
2011-01-20,5.81441,5.95017,5.74658,5.8296,9140.766536931
2011-01-21,5.8296,6.3951,5.76922,6.24424,87388.36575843
2011-01-24,6.31207,6.32736,6.2065,6.25943,17878.556420167
2011-01-25,6.25943,6.25943,6.08593,6.14622,38410.478599079
2011-01-26,6.22169,6.42538,6.10857,6.28943,58206.57587527
2011-01-27,6.16886,6.42538,6.08593,6.24424,198617.2490265
2011-01-28,6.31207,6.31207,6.18405,6.22169,68669.315174842
2011-01-31,6.18405,6.18405,6.04829,6.16122,10101.630350157
2011-02-01,6.22169,6.22169,5.99546,6.04829,13515.941634191
2011-02-02,5.96527,6.04829,5.72393,5.88243,82899.101167007
2011-02-03,5.8296,5.83715,5.65601,5.82196,13574.556420183
2011-02-04,5.63346,5.79941,5.63346,5.79941,13449.99999995
2011-02-07,5.80696,6.03319,5.80696,5.80696,2910.852140067
2011-02-08,5.70893,5.95772,5.58053,5.80696,829302.92606696
2011-02-09,5.79941,5.8747,5.79941,5.8446,372.622568092
2011-02-10,5.8446,5.93508,5.70129,5.70129,4223.404669245
2011-02-11,5.69374,5.91989,5.61827,5.69374,82905.381322649
2011-02-14,5.6711,5.6711,5.50525,5.58053,38454.439688573
2011-02-15,5.56563,5.58053,5.31675,5.45241,11433.023346261
2011-02-16,5.42987,5.61827,5.27891,5.61827,2363.431906606
2011-02-17,5.52025,5.61072,5.42987,5.45241,4268.412451346
2011-02-18,5.42987,5.45241,5.42987,5.45241,3894.743190647
2011-02-21,5.4977,5.4977,5.44477,5.44477,943.070038907
2011-02-22,5.4977,5.58053,5.28646,5.43741,3412.21789882
2011-02-23,5.50525,5.58053,5.46751,5.46751,25676.416342317
2011-02-24,5.4977,5.4977,5.39213,5.46751,20712.999999923
2011-02-25,5.46751,5.49034,5.42987,5.46751,8438.435797634
2011-02-28,5.50525,5.69374,5.4977,5.55808,11063.54085599
2011-03-01,5.50525,5.65601,5.50525,5.61827,2068.264591432
2011-03-02,5.58053,5.69374,5.58053,5.61827,1312.552529178
2011-03-03,5.72393,5.72393,5.65601,5.65601,1073.906614782
2011-03-04,5.65601,5.65601,5.59572,5.65601,1495.723735403
2011-03-07,5.69374,5.73158,5.59572,5.73158,9299.863813195
2011-03-08,5.76922,5.79177,5.73158,5.79177,2798.856031118
2011-03-09,5.79177,5.79177,5.73158,5.76922,4173.163424109
2011-03-10,5.73158,6.10857,5.73158,6.10103,4868.167315157
2011-03-11,6.10103,6.10103,5.95772,5.96527,716.984435795
2011-03-14,5.97281,6.16122,5.73158,6.03319,7238.926070012
2011-03-15,6.01055,6.01055,5.73158,5.88243,4739.424124496
2011-03-16,5.95017,5.95017,5.73158,5.8747,3924.050583643
2011-03-17,5.76922,5.80696,5.76922,5.80696,1180.669260696
2011-03-18,5.80696,5.80696,5.69374,5.73158,1207.883268478
2011-03-21,5.73158,5.80696,5.50525,5.79941,3746.112840453
2011-03-22,5.79941,5.79941,5.73158,5.79177,1122.054474704
2011-03-23,5.79177,5.79177,5.65601,5.78422,1090.653696494
2011-03-24,5.78422,5.78422,5.69374,5.76922,1975.108949409
2011-03-25,5.79177,5.79177,5.69374,5.79177,3409.077820999
2011-03-28,5.79941,5.79941,5.69374,5.73158,3749.252918274
2011-03-29,5.76922,5.76922,5.69374,5.73158,1128.334630346
2011-03-30,5.79941,5.79941,5.69374,5.73913,6782.56809336
2011-03-31,5.79941,5.79941,5.70129,5.73158,1115.774319062
2011-04-01,5.73158,5.73158,5.70893,5.71639,1280.105058361
2011-04-04,5.68639,5.95772,5.68639,5.88243,223732.63813146
2011-04-05,5.86705,5.88243,5.80696,5.88243,42398.377431749
2011-04-06,5.95772,5.95772,5.8296,5.91989,68251.684824649
2011-04-07,5.91989,5.91989,5.88243,5.91989,5090.066147841
2011-04-08,5.95017,5.95017,5.88243,5.95017,1856.832684818
2011-04-11,5.95017,5.95017,5.8446,5.91989,1099.02723735
2011-04-12,5.8446,5.91989,5.80696,5.91989,74743.272373263
2011-04-13,5.91989,5.94253,5.88979,5.93508,3794.260700375
2011-04-14,5.94253,5.94253,5.88243,5.91253,503.459143967
2011-04-15,5.91253,5.91253,5.88243,5.88243,133327.70427966
2011-04-18,5.8446,5.8747,5.73158,5.80696,7249.392996082
2011-04-19,5.73158,5.82196,5.65601,5.82196,7046.334630324
2011-04-20,5.61827,5.8296,5.61827,5.79941,20532.968871519
2011-04-21,5.80696,5.80696,5.72393,5.72393,280860.07392892
