Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-08-03,2.45,2.65,2.2,2.37,310642
2015-08-04,2.43,2.45,2.2,2.21,74917
2015-08-05,2.24,2.24,2,2.02,51696
2015-08-06,2.06,2.07,1.88,1.99,32020
2015-08-07,1.99,2.12,1.92,2.12,11365
2015-08-10,2.16,2.39,2.14,2.37,25783
2015-08-11,2.37,2.37,2.25,2.32,10723
2015-08-12,2.33,2.37,2.3,2.34,6738
2015-08-13,2.34,2.74,2.26,2.74,66386
2015-08-14,2.75,2.99,2.7,2.89,52476
2015-08-17,2.99,3.98,2.97,3.87,112048
2015-08-18,4,4.8,3.81,3.9,101968
2015-08-19,4.15,4.15,3.55,3.82,22390
2015-08-20,3.85,3.85,3.55,3.82,16892
2015-08-21,3.7,3.82,3.62,3.82,6434
2015-08-24,3.66,3.66,2.95,3.39,39951
2015-08-25,3.2,3.48,3.12,3.39,16578
2015-08-26,3.25,3.37,3.13,3.37,18430
2015-08-27,3.37,3.48,3.13,3.48,20868
2015-08-28,3.5,3.61,3.33,3.33,5388
2015-08-31,3.33,3.79,3.21,3.79,3432
2015-09-01,3.8,3.8,3.56,3.76,11876
2015-09-02,3.57,3.62,3.42,3.62,2464
2015-09-03,3.65,3.8,3.64,3.7,6192
2015-09-04,3.7,3.7,3.49,3.6,3595
2015-09-07,3.6,3.6,3.5,3.6,4924
2015-09-08,3.65,3.65,3.6,3.6,1111
2015-09-09,3.53,3.55,3.43,3.43,5876
2015-09-10,3.42,3.62,3.15,3.62,7833
2015-09-11,3.5,3.62,3.48,3.62,632
2015-09-14,3.62,3.62,3.45,3.6,1656
2015-09-15,3.6,3.62,3.46,3.58,2231
2015-09-16,3.58,3.62,3.47,3.61,1617
2015-09-17,3.6,3.64,3.55,3.64,2397
2015-09-18,3.6,3.79,3.56,3.75,3139
2015-09-21,3.75,3.8,3.75,3.8,3527
2015-09-22,3.8,3.8,3.5,3.53,4910
2015-09-23,3.51,3.67,3.51,3.67,2176
2015-09-24,3.67,3.67,3.45,3.5,3187
2015-09-25,3.61,3.61,3.61,3.61,14
2015-09-28,3.59,3.59,3.3,3.3,2939
2015-09-29,3.3,3.5,3.25,3.43,6862
2015-09-30,3.43,3.5,3.31,3.31,4033
2015-10-01,3.29,3.47,3.26,3.4,2200
2015-10-02,3.5,3.5,3.3,3.3,3505
2015-10-05,3.44,3.82,3.44,3.67,45978
2015-10-06,3.8,3.8,3.55,3.6,6015
2015-10-07,3.55,3.55,3.41,3.45,6101
2015-10-08,3.7,4.1,3.7,3.94,22184
2015-10-09,4.02,4.43,4.02,4.39,27536
2015-10-12,4.88,5.7,4.57,5.15,70364
2015-10-13,5.22,6,5.1,5.78,73037
2015-10-14,6.19,7.27,5.83,7.15,59423
2015-10-15,7.8,8.2,7,7.99,86579
2015-10-16,8.25,8.45,7.31,7.55,49304
2015-10-19,7.29,7.35,6.14,7.2,42065
2015-10-20,6.57,7.43,6.55,7.2,6122
2015-10-21,7.2,7.2,6.64,7,4373
2015-10-22,6.9,7,6.55,6.72,2557
2015-10-23,6.96,7.2,6.72,7.2,8423
2015-10-26,7.25,8.39,7.25,8.15,23451
2015-10-27,8.5,11.02,8.5,11.02,45279
2015-10-28,11.94,12.5,10.35,11.5,72378
2015-10-29,11.79,11.79,10,10.99,24483
2015-10-30,10.99,11.1,10.8,11.08,9171
2015-11-02,11.24,13.41,11.24,13.41,43340
2015-11-03,13.86,15,12.8,14.3,83202
2015-11-04,14.45,14.45,12.9,13,35127
2015-11-05,13.2,13.38,11.21,12.2,20938
2015-11-06,12.97,12.97,10.39,10.5,56847
2015-11-09,10.5,11.2,8.7,9,79327
2015-11-10,8.78,11.5,8,10.97,84355
2015-11-12,11.25,11.3,10.11,10.5,17368
2015-11-13,10.08,10.45,8.98,9.75,26142
2015-11-16,9.11,9.58,8.02,8.48,39837
2015-11-17,8.15,9.5,8.15,9.15,10411
2015-11-18,9.56,9.95,8.9,9.2,10605
2015-11-19,9.33,9.33,8.8,9.25,4563
2015-11-20,9.32,9.51,9,9.48,3036
2015-11-23,9.48,9.75,9.06,9.18,1576
2015-11-24,9.44,9.47,9,9.35,1568
2015-11-25,9.34,9.35,9.33,9.35,722
2015-11-26,9.3,9.3,7.62,8.32,17032
2015-11-27,8.4,8.4,8.02,8.39,5683
2015-11-30,8.2,8.2,7.25,7.52,11690
2015-12-01,7.5,7.59,7.03,7.15,4452
2015-12-02,7.06,7.5,7.06,7.48,4353
2015-12-03,7.21,7.4,7,7.3,2083
2015-12-04,6.95,7.3,6.55,7.2,3228
2015-12-07,7.15,7.84,7.1,7.3,7871
2015-12-08,7.3,7.89,7.21,7.89,10786
2015-12-09,8.18,8.45,7.8,8.3,9558
2015-12-10,8.29,8.29,7.3,7.75,1832
2015-12-11,7.74,7.99,7.38,7.8,2393
2015-12-14,7.5,7.6,7.25,7.6,1600
2015-12-15,7.6,7.6,7.2,7.6,1010
2015-12-16,7.6,7.6,7.02,7.44,7916
2015-12-17,7.44,7.9,7.06,7.38,6964
2015-12-18,7.38,7.48,7.22,7.23,1476
2015-12-21,7.53,7.57,7.31,7.41,3016
2015-12-22,7.41,7.56,7.25,7.49,1179
2015-12-23,7.49,8.2,7.25,8.2,5874
2015-12-28,8,8.47,7.75,8.35,9667
2015-12-29,8.13,9.19,8.06,9.19,12229
2015-12-30,9.19,9.79,9,9.53,9022
