Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-08-13,0.19556,0.19556,0.09778,0.11556,351287
2013-08-14,0.10667,0.10667,0.08889,0.09778,412463
2013-08-16,0.09778,0.13333,0.09778,0.12444,192832
2013-08-19,0.11556,0.11556,0.09778,0.09778,474161
2013-08-20,0.09778,0.09778,0.08889,0.09778,308898
2013-08-21,0.09778,0.10667,0.08889,0.10667,474419
2013-08-22,0.10667,0.14222,0.10667,0.13333,939974
2013-08-23,0.13333,0.14222,0.11556,0.12444,368726
2013-08-26,0.12444,0.16889,0.12444,0.15111,443504
2013-08-27,0.15111,0.15111,0.12444,0.15111,192688
2013-08-28,0.13333,0.14222,0.11556,0.13333,336976
2013-08-29,0.12444,0.12444,0.11556,0.12444,161513
2013-08-30,0.12444,0.13333,0.12444,0.12444,192597
2013-09-02,0.13333,0.13333,0.12444,0.12444,92310
2013-09-03,0.13333,0.13333,0.11556,0.12444,189473
2013-09-04,0.11556,0.12444,0.10667,0.11556,155276
2013-09-05,0.10667,0.11556,0.10667,0.11556,59406
2013-09-06,0.11556,0.12444,0.10667,0.12444,98871
2013-09-09,0.11556,0.11556,0.09778,0.10667,223649
2013-09-10,0.10667,0.10667,0.09778,0.09778,150226
2013-09-11,0.10667,0.10667,0.09778,0.10667,60077
2013-09-12,0.10667,0.10667,0.10667,0.10667,11250
2013-09-13,0.09778,0.10667,0.09778,0.10667,111197
2013-09-16,0.09778,0.09778,0.09778,0.09778,62485
2013-09-17,0.10667,0.10667,0.09778,0.09778,39549
2013-09-18,0.09778,0.10667,0.09778,0.10667,26951
2013-09-19,0.09778,0.10667,0.09778,0.10667,41388
2013-09-20,0.09778,0.09778,0.08889,0.09778,25832
2013-09-23,0.08889,0.09778,0.08889,0.09778,35381
2013-09-24,0.09778,0.10667,0.09778,0.10667,21263
2013-09-25,0.10667,0.10667,0.09778,0.09778,34070
2013-09-26,0.09778,0.09778,0.08889,0.09778,89001
2013-09-27,0.08889,0.08889,0.08889,0.08889,4500
2013-09-30,0.09778,0.09778,0.09778,0.09778,450
2013-10-01,0.08889,0.09778,0.08889,0.09778,12513
2013-10-03,0.08889,0.08889,0.08889,0.08889,10968
2013-10-04,0.08889,0.08889,0.08889,0.08889,11250
2013-10-08,0.08889,0.09778,0.08889,0.09778,16806
2013-10-09,0.08889,0.08889,0.08889,0.08889,7875
2013-10-10,0.09778,0.10667,0.09778,0.10667,48473
2013-10-11,0.09778,0.10667,0.09778,0.10667,3039
2013-10-14,0.09778,0.09778,0.09778,0.09778,4887
2013-10-16,0.08889,0.09778,0.08889,0.09778,16876
2013-10-17,0.08889,0.09778,0.08889,0.09778,11475
2013-10-22,0.08889,0.09778,0.08889,0.09778,84375
2013-10-23,0.08889,0.09778,0.08889,0.09778,19689
2013-10-24,0.08889,0.09778,0.08889,0.09778,5626
2013-10-25,0.08889,0.09778,0.08889,0.09778,67501
2013-10-28,0.08889,0.08889,0.08889,0.08889,6750
2013-10-29,0.08889,0.09778,0.08889,0.09778,7314
2013-10-30,0.08889,0.09778,0.08889,0.09778,19744
2013-10-31,0.09778,0.09778,0.09778,0.09778,113
2013-11-04,0.08889,0.08889,0.08889,0.08889,38250
2013-11-08,0.08,0.08889,0.08,0.08889,33751
2013-11-12,0.08889,0.10667,0.08889,0.08889,357590
2013-11-13,0.08889,0.10667,0.08889,0.10667,155222
2013-11-14,0.09778,0.11556,0.09778,0.10667,133907
2013-11-15,0.10667,0.12444,0.10667,0.12444,597098
2013-11-18,0.12444,0.13333,0.11556,0.11556,180942
2013-11-19,0.11556,0.11556,0.10667,0.11556,177284
2013-11-20,0.10667,0.11556,0.10667,0.11556,60470
2013-11-21,0.10667,0.11556,0.10667,0.11556,25764
2013-11-22,0.10667,0.11556,0.10667,0.11556,181458
2013-11-25,0.10667,0.11556,0.10667,0.11556,23625
2013-11-26,0.10667,0.12444,0.10667,0.12444,133008
2013-11-27,0.12444,0.14222,0.11556,0.13333,265038
2013-11-28,0.14222,0.15111,0.13333,0.14222,209123
2013-11-29,0.14222,0.16,0.14222,0.15111,338697
2013-12-02,0.16,0.16889,0.16,0.16889,119194
2013-12-03,0.16889,0.16889,0.15111,0.16,23985
2013-12-04,0.17778,0.17778,0.14222,0.16,28086
