Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-08-13,3.48197,4.17836,3.48197,4.17836,9718.64406794
2014-08-14,5.01016,6.00639,4.82639,6.00639,67381.220339977
2014-08-18,6.91557,6.91557,5.51311,5.51311,80907.7118656
2014-08-19,5.97738,5.97738,5.08754,5.9,2101.9152542683
2014-08-20,5.70656,5.70656,5.52279,5.60984,3075.8474576725
2014-08-21,5.59049,5.9,5.59049,5.70656,952.2203389971
2014-08-22,5.63885,6.67377,5.62918,5.81295,22078.89830541
2014-08-25,6.19016,6.19016,5.70656,5.98705,28172.69491567
2014-08-26,5.98705,5.98705,5.98705,5.98705,15.5084745765
2014-08-27,5.75492,6.18049,5.6582,6.18049,6391.5593221282
2014-08-28,6.16115,6.16115,5.70656,5.90967,423.898305091
2014-08-29,5.90967,5.90967,5.60984,5.89033,384.6101694972
2014-09-01,5.70656,5.70656,4.93279,4.93279,1447.45762714
2014-09-02,5.02951,5.02951,5.02951,5.02951,630.677966111
2014-09-03,5.22295,5.23262,5.22295,5.23262,103.38983051
2014-09-04,5.27131,6.18049,5.27131,6.18049,8167.79661029
2014-09-05,6.28689,6.38361,5.99672,6.38361,14495.254237502
2014-09-08,6.19016,6.28689,6.06443,6.28689,423.898305091
2014-09-09,5.99672,7.19607,5.99672,6.86721,2238.3898305415
2014-09-10,7.23475,8.6082,7.23475,8.6082,508.6779661092
2014-09-11,8.6082,8.6082,6.88656,7.54426,1968.5423729104
2014-09-12,7.64098,7.64098,6.1418,6.86721,3719.9661017498
2014-09-15,6.57705,6.57705,5.31967,5.97738,757.8474576383
2014-09-16,5.99672,6.96393,5.99672,6.86721,2398.644067832
2014-09-17,6.86721,6.86721,6.86721,6.86721,284.3220339025
2014-09-18,6.57705,6.57705,5.80328,5.81295,682.372881366
2014-09-19,5.82262,5.85164,5.82262,5.85164,106.4915254253
2014-09-22,5.85164,5.9,5.80328,5.80328,454.915254244
2014-09-23,5.98705,5.98705,5.98705,5.98705,268.813559326
2014-09-24,5.99672,6.72213,5.99672,6.72213,361.864406785
2014-09-25,6.67377,6.67377,6.57705,6.57705,165.423728816
2014-09-26,6.48033,6.48033,6.48033,6.48033,831.2542373004
2014-09-29,6.48033,6.48033,6.48033,6.48033,10.338983051
2014-09-30,6.46098,6.46098,6.09344,6.09344,38.2542372887
2014-10-01,6.48033,6.48033,6.10311,6.10311,20.677966102
2014-10-02,6.28689,7.44754,6.28689,7.44754,1592.203389854
2014-10-03,7.54426,7.54426,7.54426,7.54426,10.338983051
2014-10-06,7.39918,7.39918,7.39918,7.39918,5.1694915255
2014-10-07,7.35082,7.35082,6.96393,6.96393,164.3898305109
2014-10-08,6.96393,6.96393,6.96393,6.96393,5.1694915255
2014-10-09,6.96393,6.96393,6.23852,6.23852,330.847457632
2014-10-13,6.09344,6.28689,6.00639,6.28689,186.101694918
2014-10-14,6.38361,6.57705,6.38361,6.57705,41.355932204
2014-10-15,6.57705,6.67377,6.57705,6.67377,229.5254237322
2014-10-17,6.67377,6.67377,6.67377,6.67377,2160.847457659
2014-10-20,6.72213,6.72213,6.72213,6.72213,5.1694915255
2014-10-21,6.48033,6.48033,5.94836,6.43197,155.084745765
2014-10-23,5.9,5.9,5.9,5.9,31.016949153
2014-10-24,5.80328,6.03541,5.71623,6.03541,351.525423734
2014-10-27,5.70656,5.70656,5.66787,5.66787,284.3220339025
2014-10-30,5.70656,5.99672,5.70656,5.99672,341.186440683
2014-10-31,5.99672,6.28689,5.99672,6.28689,144.745762714
2014-11-03,6.48033,6.57705,6.48033,6.57705,51.694915255
2014-11-05,6.76082,6.78984,6.62541,6.62541,336.0169491575
2014-11-06,6.86721,6.86721,6.86721,6.86721,1004.9491525572
2014-11-07,6.96393,8.35672,6.28689,7.06066,1116.610169508
2014-11-10,7.06066,8.31803,7.06066,7.7377,300.8644067841
2014-11-12,8.22131,10.1557,8.22131,10.1557,80729.881357123
2014-11-13,10.591,12.7092,10.5716,12.5448,106654.88135751
2014-11-14,12.5641,13.7828,12.5641,12.5641,82803.881357154
2014-11-17,12.7672,13.541,11.3648,11.3648,19792.949152834
2014-11-18,11.123,12.9607,11.123,11.7033,36495.576271725
2014-11-19,11.8,12.361,11.6066,11.6549,54764.559322842
2014-11-20,12.0902,12.2739,11.7033,11.7033,909.830508488
2014-11-21,11.7033,11.7033,11.6549,11.6549,109.5932203406
2014-11-24,11.9934,12.5254,11.7033,11.7033,629.6440678059
2014-11-25,11.9934,12.1385,11.6066,11.6066,34.1186440683
2014-11-26,11.9934,12.1385,11.9354,11.9451,6386.3898306027
2014-11-27,12.0902,12.1385,11.6066,11.9451,2284.915254271
2014-11-28,11.9934,12.0418,11.6066,11.8484,4538.813559389
2014-12-01,11.8967,11.9934,11.858,11.858,6306.77966111
2014-12-02,11.9451,11.9934,11.6066,11.7033,2936.271186484
2014-12-03,11.6549,11.6549,11.3164,11.3164,31.016949153
