Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-02-22,21,30,21,30,45042
2021-02-23,29.97,29.97,24.1,25.69,7454
2021-02-24,24.995,24.995,22.72,24.5,2707
2021-02-25,24.8,24.8,22.85,24.5,828
2021-02-26,24.48,24.48,23.22,23.3,247
2021-03-01,24.495,24.495,23.25,24,496
2021-03-02,23.99,24.1,23.21,24.1,451
2021-03-03,24.1,27,24.1,26,777
2021-03-04,25.02,26.38,25.02,25.98,4341
2021-03-05,26.895,26.895,25.1,25.1,1455
2021-03-08,24.7,25.4,24,24.1,386
2021-03-09,24.5,25.09,24.5,24.98,409
2021-03-10,24.895,24.895,23.5,23.5,601
2021-03-11,24.89,24.89,22.72,23,667
2021-03-12,22.73,24.995,22.72,24.95,306
2021-03-15,24.95,25.5,24,24.75,164
2021-03-16,24.7,24.7,23.5,24,466
2021-03-17,23.995,23.995,21,22,3882
2021-03-18,22.2,22.2,19.5,21,2191
2021-03-19,19.8,22.95,19.8,22.95,1360
2021-03-22,22.8,23.5,22.2,23.5,1792
2021-03-23,22.5,23.4,22.5,23.4,131
2021-03-24,23.5,23.5,22,23.295,54
2021-03-25,22,22.98,22,22.98,62
2021-03-29,22,23.5,22,23.5,161
2021-03-30,23.5,23.5,22.85,22.85,265
2021-03-31,23.395,25.015,23.38,25.015,615
2021-04-01,25.01,25.01,24.99,25.01,1294
2021-04-06,25,26.01,24.5,25.99,2049
2021-04-07,24.62,25.97,24.015,25.005,605
2021-04-08,25.005,28.995,25.005,28.8,7093
2021-04-09,28.86,28.86,26,27.4,3687
2021-04-12,27.2,28.6,26.6,27.38,718
2021-04-13,27.05,27.795,26,27,626
2021-04-14,27,27,27,27,1
2021-04-15,27,27.4,27,27,93
2021-04-16,27,27,27,27,5
2021-04-19,26.99,26.99,23.8,25,1186
2021-04-20,25,25,24.9,24.9,107
2021-04-21,24.76,24.9,24.3,24.9,68
2021-04-22,24.9,25.68,24.3,25.68,387
2021-04-23,25.5,25.5,24.895,25.5,507
2021-04-26,25.2,25.295,24.5,24.8,366
2021-04-27,24.6,24.9,23.6,24.8,132
2021-04-28,24.5,24.5,23,23.45,555
2021-04-29,23.45,24.45,23.45,24.45,26
2021-04-30,24.295,27.9,23.01,25.5,623
2021-05-04,25.5,25.5,25.495,25.5,13
2021-05-05,25,25.3,23.01,24.4,177
2021-05-06,24.4,24.5,23.5,24.2,82
2021-05-07,23.5,24.1,23.05,24.1,12
2021-05-10,24,24,23.5,23.5,1004
2021-05-11,24.2,24.2,24.2,24.2,1
2021-05-12,24,24,24,24,1
2021-05-14,23.5,23.5,22.005,22.5,454
2021-05-17,22.5,23,22,22,44
2021-05-18,21.8,21.8,21,21,177
2021-05-19,22.4,22.4,20,20,639
2021-05-20,20.5,22.4,20.5,22.4,350
2021-05-21,22.3,24.995,22.3,23,2512
2021-05-24,23,23.4,22.5,23.4,188
2021-05-25,23.395,23.5,23.395,23.5,11
2021-05-26,22.7,23,22.7,23,15
2021-05-27,23,23,22.995,23,56
2021-05-28,23.3,23.3,23,23.3,195
2021-05-31,23.49,23.5,23,23,35
2021-06-01,23,23,22.995,22.995,7
2021-06-02,23,23,22,22.995,163
2021-06-07,20.5,22.7,20.5,20.5,1075
2021-06-08,21,22.5,21,22.5,496
2021-06-09,22.5,22.9,21,21,270
2021-06-10,22.875,22.875,22.875,22.875,1
2021-06-11,22.87,23.7,22.6,23.5,233
2021-06-14,23.9,24.4,22,23.6,363
2021-06-15,23.5,24,23.5,24,365
2021-06-16,24,24,24,24,1
2021-06-17,23.9,23.9,23.9,23.9,2
2021-06-18,23,23.8,22.6,23.8,199
2021-06-21,23.5,23.5,22.4,23.5,77
2021-06-22,22,23,22,23,151
2021-06-23,23,23,21.5,21.8,26
2021-06-24,21.605,23.4,21.605,23.4,217
2021-06-25,23.5,23.5,22,23,448
2021-06-28,23.7,24,23,23,181
2021-06-29,22.8,23.8,22.8,23.8,56
2021-06-30,23.8,24,22.5,23.55,156
2021-07-01,23.5,23.5,23.5,23.5,2
2021-07-05,23.5,23.5,23.495,23.5,37
2021-07-06,23.5,23.5,23.5,23.5,3
2021-07-07,23.2,23.99,20.55,22.7,296
2021-07-08,22.1,22.7,20.7,21.5,216
2021-07-09,21.5,22.7,21.5,22.7,59
2021-07-12,22.7,23.9,22.7,23.5,200
2021-07-13,23.8,23.8,21.8,21.8,137
2021-07-14,22.3,22.3,22.3,22.3,1
2021-07-15,22.3,22.4,21.6,21.6,103
2021-07-16,22.2,22.5,22.2,22.5,5
2021-07-19,22.5,22.5,22.5,22.5,1
2021-07-20,22.8,24,22.6,24,176
2021-07-21,24,24,22.2,23.2,71
2021-07-22,23.3,23.9,23.3,23.9,16
2021-07-23,23.9,25,23.2,23.2,851
2021-07-26,23.7,23.7,20.71,22,288
2021-07-28,21,22,20.8,22,90
2021-07-30,22,25,22,24.75,759
2021-08-02,24.6,24.65,24.6,24.65,51
2021-08-03,24.2,24.2,24,24,25
2021-08-04,24.195,24.195,22.1,24.19,278
2021-08-05,23.2,23.5,22.8,23.5,40
2021-08-06,22.8,23.995,22.8,23.995,49
2021-08-09,23,23.89,23,23.89,50
2021-08-10,23.87,24.695,23.87,24.695,200
2021-08-11,24.695,24.695,24.69,24.695,63
2021-08-12,24.75,24.75,24.5,24.5,43
2021-08-13,23.8,24.98,23.8,24.9,508
2021-08-16,24,24,23,24,204
2021-08-17,23.3,23.3,23,23,75
2021-08-18,23.9,24,23.9,24,6
2021-08-19,22.7,23.5,22.1,23.5,79
2021-08-20,22.51,23.29,22.51,23.29,106
2021-08-23,23.29,24.9,23.29,24.9,199
2021-08-24,24.5,24.5,23.5,23.5,13
2021-08-25,23.5,24.9,22,24.895,2577
2021-08-26,24.8,24.895,23.6,24.895,278
2021-08-27,24.2,24.2,22,24.2,701
2021-08-30,24.15,24.9,24.15,24.9,75
2021-08-31,24,24.8,22,22,3749
2021-09-01,22.7,22.895,22,22,56
2021-09-02,22.5,22.8,21.43,21.43,382
2021-09-03,21.205,21.8,21,21.8,122
2021-09-06,21.8,22.2,21,21.5,291
2021-09-07,21.9,21.9,20.37,20.37,611
2021-09-08,20.3,20.8,19.52,20.69,399
2021-09-09,20.1,20.69,20,20,335
2021-09-10,20.69,20.73,20.69,20.73,8
2021-09-13,21,21.5,21,21,867
2021-09-14,21.5,21.5,19.5,21,237
2021-09-16,21.4,22,21.4,22,166
2021-09-20,21.5,23,21.5,22.99,128
2021-09-21,22,22.88,22,22.88,41
2021-09-22,22.8,23.3,22.8,23.3,135
2021-09-23,23,23.6,23,23.6,302
2021-09-24,23.4,23.4,23.395,23.395,12
2021-09-27,23.395,24.2,23.2,24.2,693
2021-09-28,24.2,24.5,24.2,24.5,70
2021-09-29,24.15,24.15,21.9,22,1661
2021-09-30,22.7,24,22.7,24,2525
2021-10-01,23.3,23.89,23,23.85,42
2021-10-04,23.85,23.88,22,22,689
2021-10-05,23,23.8,21.8,23.8,118
2021-10-06,23.2,23.2,22,23.19,104
2021-10-07,22.5,22.99,22,22.99,72
2021-10-08,22.01,23.1,22,23.1,445
2021-10-11,23.08,23.08,23.08,23.08,2
2021-10-12,23,23,22,22,122
2021-10-13,22.7,22.8,21.9,22,298
2021-10-14,22,22,22,22,43
2021-10-15,22,22.6,22,22.6,22
2021-10-18,22.6,23.01,22,23.01,94
2021-10-19,22.99,22.99,22,22.98,183
2021-10-20,22.2,22.99,22,22.99,69
2021-10-21,22.2,22.8,22,22.8,36
2021-10-22,22.1,22.7,21.9,22,681
2021-10-25,22.65,22.65,22.5,22.5,238
2021-10-26,22.65,22.68,22.65,22.68,5
2021-10-27,22.1,22.98,22.01,22.8,166
2021-10-28,22.795,22.99,22.795,22.99,156
2021-10-29,22.16,22.16,22,22,1021
2021-11-02,22.8,22.84,22.1,22.7,31
2021-11-03,22.84,22.985,22,22,290
2021-11-04,22,22,21.5,21.5,12
2021-11-05,22,22,20.05,21.4,176
2021-11-08,21.4,21.4,20.15,21.39,405
2021-11-09,21.39,21.39,20.16,21.2,263
2021-11-12,20.1,21.2,19,19,414
2021-11-15,19.9,19.9,19.9,19.9,26
2021-11-16,19.1,19.898,19,19,361
2021-11-17,21.975,21.975,21.975,21.975,300
2021-11-18,20.4,21,20.4,21,13
2021-11-19,20.3,20.3,20,20,75
2021-11-22,20.8,20.8,19.05,19.05,62
2021-11-23,19,19,19,19,50
2021-11-24,19,19.2,18.8,19.2,314
2021-11-26,18.4,19.2,17,18,169
2021-11-29,17.7,17.7,17.5,17.5,214
2021-11-30,18.5,20,18.5,19.5,489
2021-12-01,19.95,19.95,19.95,19.95,11
2021-12-02,19.94,20.78,19.94,20.78,170
2021-12-03,20,20.5,19.5,20.5,21
2021-12-10,20.395,20.395,20.395,20.395,14
2021-12-13,20.395,20.4,20.395,20.4,16
2021-12-14,20,20,19,19.998,21
2021-12-15,19.98,19.98,19.978,19.98,35
2021-12-20,19.948,19.948,19.948,19.948,1
2021-12-21,19,19,19,19,5
2021-12-22,18.5,19,18.5,19,651
2021-12-23,19,20.5,19,20.5,1027
2021-12-27,20,20,20,20,1
2021-12-28,20.5,20.5,18,18,94
2021-12-29,18.598,18.998,18.5,18.998,474
2021-12-30,18.998,20,18.998,19,32
2022-01-03,19,19,19,19,75
2022-01-04,19,19,18.5,19,9
2022-01-05,19,19,18.5,18.5,334
2022-01-07,18.5,18.5,18.5,18.5,1
2022-01-10,19.998,20.5,19.998,20.5,2
2022-01-12,19.5,21.4,19.5,21,233
2022-01-13,21.3,22,21.3,21.5,176
2022-01-14,21.9,21.995,20.5,21.3,233
2022-01-17,20.8,20.8,20,20,18
2022-01-18,21,21.1,21,21.1,6
2022-01-24,20.9,20.9,19,19.7,147
2022-01-26,18.9,19.7,17.5,19.7,254
2022-01-28,18.7,18.7,18.7,18.7,10
2022-01-31,19.7,19.7,19.5,19.6,11
2022-02-01,19.2,19.2,18.6,18.6,120
2022-02-02,18.4,18.7,17.9,18.7,146
2022-02-03,18.21,19,18.21,19,51
2022-02-04,19,19,19,19,20
2022-02-07,18.998,18.998,18.3,18.9,12
2022-02-08,18.998,20.995,18.998,20.995,466
2022-02-09,20.995,20.995,20,20.8,1027
2022-02-11,20.8,20.995,20.8,20.995,25
2022-02-14,20,20,19,19.7,166
2022-02-15,19.8,19.9,19.8,19.8,65
2022-02-16,20.4,20.4,20,20.3,68
2022-02-17,19.5,19.5,17.5,19,192
2022-02-18,18.95,18.95,18.95,18.95,10
2022-02-21,18.99,20.7,18.99,20.7,309
2022-02-22,20.7,20.7,20,20,30
2022-02-23,20,20,19.998,19.998,26
2022-02-24,19.5,19.5,18,18,61
2022-02-25,18,18.9,17.6,18.85,280
2022-02-28,18.9,19.4,18.9,19.4,14
2022-03-02,18.4,19.8,18,19.4,1407
2022-03-03,19,19,18.3,19,110
2022-03-04,18.3,19.46,15,19,1416
2022-03-07,19.4,19.4,18,19.3,1738
2022-03-08,18,19.2,18,18.1,2981
2022-03-09,18.5,19.4,18.5,19.4,580
2022-03-10,19.4,19.4,18,19,1556
2022-03-11,19,19.4,18,18,1152
2022-03-14,18,18,17,18,972
2022-03-15,18,18,17.25,17.9,138
2022-03-16,17.8,17.8,17.8,17.8,68
2022-03-18,17.9,19.2,17.9,19.2,65
2022-03-21,19.4,20,19.4,20,21
2022-03-22,20,20,20,20,2
2022-03-23,20,20,20,20,1
2022-03-24,20,20,20,20,2
2022-03-25,19.998,20.5,19.55,20.5,647
2022-03-28,19.55,19.99,19.55,19.75,413
2022-03-29,20,20,19.2,19.98,1055
2022-03-30,19.75,19.75,19.2,19.75,534
2022-03-31,20,20,19.75,19.75,127
2022-04-01,19.998,20.4,19.998,20,76
2022-04-04,20.4,21,18.2,20.9,151
2022-04-06,20,20.5,19.7,20.5,90
2022-04-07,20.495,20.5,20,20,9
2022-04-08,20,20,20,20,2
2022-04-11,19.7,19.7,18.3,19,362
2022-04-12,18.4,20.5,16.5,18.5,1399
2022-04-13,15,18,15,18,181
2022-04-14,17.6,17.6,16.2,17,646
2022-04-19,16.3,16.3,14,15,1253
2022-04-20,14.2,14.3,13.9,14.15,1274
2022-04-21,14.05,14.05,11.6,12.4,1127
2022-04-22,11.8,13.7,11.6,12.8,313
2022-04-25,12.5,12.5,11,11.8,1405
2022-04-26,12,13.8,12,13,190
2022-04-27,13.5,13.8,13.5,13.8,31
2022-04-28,13.8,14.3,13.8,14.3,127
2022-04-29,14.3,14.3,12.05,12.9,85
2022-05-02,13.5,14.7,13.5,14.7,26
2022-05-04,14.35,14.65,13.9,13.9,116
2022-05-05,13.7,13.7,12.5,13,135
2022-05-06,12.7,13.5,12.7,13.5,11
2022-05-09,12.5,12.9,10.2,10.5,920
2022-05-10,11.25,11.25,9.9,9.9,308
2022-05-11,9.62,9.9,8.5,9.9,86
2022-05-12,9.9,9.9,8.02,9.1,777
2022-05-13,9.1,10.15,8.52,9.2,296
2022-05-16,9.1,9.1,8.3,9.1,127
2022-05-17,9.1,9.1,8.5,8.5,20
2022-05-18,9.1,9.2,9.1,9.2,31
2022-05-19,9.2,9.3,9.2,9.28,95
2022-05-20,8.5,9.3,7.5,8.8,458
2022-05-23,8.8,8.8,7.5,8.8,513
2022-05-24,8.8,8.8,8,8.7,188
2022-05-25,8.7,8.7,7.02,8.32,154
2022-05-26,8.2,8.68,7.3,8.68,24
2022-05-27,8.68,8.68,8.18,8.6,261
2022-05-30,8.44,8.44,7.5,8.44,168
2022-05-31,8.44,8.44,8.44,8.44,2
2022-06-01,8,8,8,8,5
2022-06-02,7.98,7.98,7.98,7.98,2
2022-06-03,7.96,8,7.96,8,275
2022-06-06,8,8,8,8,2
2022-06-07,8,8,7.98,8,109
2022-06-08,8,8,7.98,7.98,7
2022-06-09,8,8,7.98,8,260
2022-06-10,8.1,8.1,7.62,8.1,33
2022-06-13,7.7,8,6.32,7.66,420
2022-06-14,8,8,7.4,7.7,302
2022-06-15,7.3,7.7,7.2,7.5,106
2022-06-17,7.1,7.1,7,7,155
2022-06-20,6.74,6.74,6.4,6.5,307
2022-06-21,6.64,6.64,6.64,6.64,46
2022-06-22,6.64,6.7,6.64,6.7,15
2022-06-23,6.7,6.7,6.7,6.7,2
2022-06-24,6.7,6.7,6.7,6.7,2
2022-06-27,6.7,6.7,6.1,6.5,204
2022-06-28,6.5,6.5,6.5,6.5,18
2022-06-29,6.5,6.5,6.5,6.5,2
2022-06-30,6.5,7.8,6.5,7.2,146
2022-07-01,7.6,8.6,7.6,8.6,1241
2022-07-04,8.6,8.6,8.58,8.6,122
2022-07-05,8.6,8.6,7.5,8.58,28
2022-07-06,8,8,7,7,1141
2022-07-07,7,7,7,7,203
2022-07-08,7,7.2,7,7,857
2022-07-11,7.18,7.18,6,6.5,1325
2022-07-12,6.2,6.2,5.9,5.9,700
2022-07-13,6,6,6,6,500
2022-07-14,6.1,6.1,6.1,6.1,2
2022-07-15,6,6,5.2,5.5,880
2022-07-18,5.5,5.5,5,5,635
2022-07-19,5.02,5.04,5,5,315
2022-07-20,4.71,5.2,4.71,5.2,243
2022-07-21,5.2,5.2,5.2,5.2,300
2022-07-22,5.3,5.3,5.3,5.3,2
2022-07-25,5.6,5.98,5.5,5.98,78
2022-07-26,6,6,5.98,6,17
2022-07-27,6,6,6,6,2
2022-07-28,6,6,4.8,5.78,772
2022-07-29,5.74,5.74,4.9,5.7,40
2022-08-01,5.86,5.96,5.86,5.96,24
2022-08-02,5.96,5.96,5.96,5.96,3
2022-08-03,5.92,5.92,5.92,5.92,2
2022-08-04,5.88,5.88,5.88,5.88,2
2022-08-05,5.78,5.78,5.78,5.78,3
2022-08-08,5.86,5.86,5.86,5.86,2
2022-08-09,5.86,5.9,5.86,5.9,67
2022-08-10,5.9,5.9,5.9,5.9,2
2022-08-11,5.9,5.9,5.88,5.9,43
2022-08-12,5.9,5.9,5.9,5.9,2
2022-08-16,5.9,5.9,5.88,5.9,51
2022-08-17,5.9,5.9,5.9,5.9,2
2022-08-18,5.9,5.9,5.5,5.5,119
2022-08-19,5.5,5.8,5.4,5.8,49
2022-08-22,5.9,5.9,5.7,5.7,102
2022-08-23,5.9,5.9,5.9,5.9,100
2022-08-24,5.9,5.9,5.9,5.9,33
2022-08-25,6,6,5.7,6,188
2022-08-26,5.9,5.9,4.72,4.8,4589
2022-08-29,4.5,5.18,4.24,4.8,462
2022-08-30,4.8,4.8,3.85,3.85,4045
2022-08-31,4,4,3.3,3.85,464
2022-09-01,3.41,4,3.41,3.9,341
2022-09-02,3.9,3.98,3.6,3.9,33
2022-09-05,3.9,3.9,3.55,3.55,137
2022-09-06,3.55,3.8,3.55,3.8,501
2022-09-07,3.78,3.78,3.78,3.78,3
2022-09-08,3.78,3.78,3.78,3.78,3
2022-09-09,3.74,3.77,3.41,3.75,2722
2022-09-12,3.75,3.75,3.75,3.75,3
2022-09-13,3.75,3.96,3.75,3.96,12
2022-09-14,3.85,3.85,3.24,3.58,1072
2022-09-15,3.5,3.5,3.5,3.5,2
2022-09-16,3.5,3.97,3.5,3.97,705
2022-09-19,3.97,3.98,3.97,3.98,4
2022-09-20,3.6,3.65,3.6,3.65,780
2022-09-21,3.7,3.98,3.51,3.74,1900
2022-09-22,4.2,4.2,4.2,4.2,1
2022-09-23,3.52,3.8,3.52,3.66,2188
2022-09-26,3.7,3.9,3.7,3.9,40
2022-09-27,3.9,3.9,3.9,3.9,5
2022-09-28,4,4,4,4,5
2022-09-29,4.1,4.16,3.8,3.8,16
2022-09-30,3.8,3.8,3.8,3.8,5
2022-10-03,3.8,3.8,3.8,3.8,5
2022-10-04,3.8,3.8,3.8,3.8,5
2022-10-05,4.1,4.19,4.08,4.18,316
2022-10-06,4,4,4,4,923
2022-10-07,4.19,4.2,4.19,4.2,103
2022-10-10,4.3,4.3,4.3,4.3,3
2022-10-11,4.2,4.2,4.2,4.2,372
2022-10-12,4.3,4.3,4.3,4.3,3
2022-10-13,4.3,4.3,4.3,4.3,3
2022-10-14,4.3,4.3,4.1,4.1,8
2022-10-17,4.3,4.3,4,4,939
2022-10-18,4,4,4,4,97
2022-10-19,4.19,4.19,4.01,4.01,117
2022-10-24,4.18,4.2,4.18,4.2,21
2022-10-25,4.2,4.2,4,4,18
2022-10-26,4,4,4,4,5
2022-10-27,4,4,4,4,3
2022-10-28,4,4,3.9,3.9,1003
2022-11-02,3.9,3.9,3.9,3.9,215
2022-11-03,3.8,3.8,3.76,3.76,15
2022-11-04,3.7,3.7,3.7,3.7,79
2022-11-07,3.7,4.2,3.5,4,564
2022-11-10,4,4.2,4,4.02,674
2022-11-14,4.2,4.2,3.84,3.84,147
2022-11-15,3.84,3.84,3.84,3.84,546
2022-11-16,3.84,3.84,3.84,3.84,313
2022-11-17,3.85,3.85,3.85,3.85,293
2022-11-18,3.85,4.1,3.85,4.1,877
2022-11-21,4.1,4.17,4.1,4.17,95
2022-11-22,4.17,4.19,4.17,4.19,572
2022-11-23,4.19,4.19,4.19,4.19,5
2022-11-24,4.19,4.19,4.1,4.1,660
2022-11-25,4.19,4.19,4.1,4.1,457
2022-11-28,4.2,4.2,4.2,4.2,100
2022-11-29,4.2,4.2,4.2,4.2,5
2022-11-30,4.2,4.2,4.2,4.2,5
2022-12-01,4.2,4.2,4.2,4.2,5
2022-12-02,4.2,4.2,4.2,4.2,5
2022-12-05,4.15,4.15,4,4.1,408
2022-12-06,4.2,4.2,4.2,4.2,5
2022-12-07,4.1,4.2,4.1,4.2,15
2022-12-08,4.1,4.2,4,4.2,125
2022-12-09,4.2,4.2,4.2,4.2,7
2022-12-12,4.2,4.2,4.2,4.2,5
2022-12-13,4.05,4.05,4,4,230
2022-12-14,3.95,4.1,3.95,4.1,431
2022-12-15,4.1,4.2,4.1,4.2,905
2022-12-16,4.2,4.2,4.2,4.2,5
2022-12-19,4.19,4.19,4.19,4.19,305
2022-12-20,4.2,4.3,4.19,4.3,1840
2022-12-21,4.3,4.3,4.3,4.3,3
2022-12-22,4.3,5.16,4.3,4.6,1370
2022-12-23,4.6,4.6,4.6,4.6,505
2022-12-27,4.6,4.6,4.6,4.6,300
2022-12-28,4.59,5.7,4.59,5.7,967
2022-12-29,5.64,5.64,5.26,5.26,1695
2022-12-30,5.38,5.4,5.2,5.2,530
2023-01-02,5.2,5.3,5.2,5.3,60
2023-01-03,5.4,5.44,5.4,5.4,450
2023-01-04,5.44,5.5,5.44,5.5,20
2023-01-05,5.5,5.5,5.5,5.5,5
2023-01-10,5.5,6.8,5.5,6.8,1215
2023-01-11,7,7.96,7,7.58,1497
2023-01-12,7.58,7.7,7.58,7.7,60
2023-01-13,7.68,7.68,6.2,6.56,1066
2023-01-16,6.56,6.56,6.56,6.56,34
2023-01-17,6.56,6.56,6.56,6.56,2
2023-01-18,6.4,6.4,6,6.2,477
2023-01-19,6.3,6.48,6.26,6.26,1080
2023-01-20,6.46,6.46,6.46,6.46,2
2023-01-23,6.48,6.6,6.48,6.6,165
2023-01-24,6.66,7.3,6.56,6.72,684
2023-01-26,6.7,6.7,6.4,6.7,237
2023-01-27,6.7,6.7,6.7,6.7,450
2023-01-31,6.5,6.5,6.2,6.2,300
2023-02-01,6.2,6.2,6,6,55
2023-02-02,6,6.3,5.76,5.76,782
2023-02-03,5.9,6.1,5.9,6.1,80
2023-02-06,6.1,6.14,6.1,6.14,30
2023-02-07,6.16,6.2,6.16,6.2,82
2023-02-08,6.2,6.2,6,6,20
2023-02-09,6.1,6.2,6,6,48
2023-02-10,6.2,6.2,6,6,25
2023-02-13,5.9,5.9,5.7,5.7,84
2023-02-14,7.5,7.5,6,6,1680
2023-02-15,6,6,6,6,5
2023-02-16,6,6.1,5.8,6,153
2023-02-17,6.1,6.24,6,6,305
2023-02-20,6.1,6.2,6,6,50
2023-02-21,6.2,6.2,6,6,22
2023-02-22,6,6,5.8,5.8,85
2023-02-23,5.94,5.94,5.94,5.94,10
2023-02-24,5.94,5.94,5.94,5.94,5
2023-02-27,5.94,5.94,5,5,737
2023-02-28,5.2,5.2,5,5,547
2023-03-01,5.2,5.9,4.2,4.5,1393
2023-03-02,4.6,5.1,4.5,4.7,700
2023-03-06,4.7,4.7,4.7,4.7,100
2023-03-07,5.6,5.8,5.6,5.78,1537
2023-03-08,5.78,5.78,5.76,5.76,277
2023-03-09,5.58,5.78,5.5,5.56,399
2023-03-10,5.6,5.6,5.6,5.6,400
2023-03-13,5.6,5.6,5.6,5.6,107
2023-03-14,5.7,5.78,5.7,5.78,67
2023-03-15,5.78,5.78,5.78,5.78,2
2023-03-16,5.78,5.78,5.78,5.78,2
2023-03-17,5.78,5.78,5.78,5.78,2
2023-03-20,5.78,5.78,5.78,5.78,13
2023-03-21,5.7,5.7,5.7,5.7,100
2023-03-23,5.7,5.78,5.7,5.78,162
2023-03-24,5.8,5.8,5.8,5.8,10
2023-03-27,5.6,5.8,5.5,5.8,127
2023-03-28,5.8,5.8,5.8,5.8,3
2023-03-29,5.8,5.8,5.8,5.8,5
2023-03-31,5.8,5.8,5.8,5.8,3
2023-04-03,5.8,5.8,5.8,5.8,4
2023-04-04,5.8,5.8,5.6,5.6,303
2023-04-11,5.56,5.56,4.62,5,1394
2023-04-12,5.12,5.12,5.12,5.12,89
2023-04-13,5,5,4.8,5,170
2023-04-14,5,5.1,4.4,5.1,1460
2023-04-17,4.9,5.1,4.9,5.1,85
2023-04-18,5,5,5,5,2
2023-04-19,4.9,4.9,4.84,4.84,108
2023-04-20,4.9,5.1,4.9,5,329
2023-04-21,4.84,4.84,4.8,4.8,100
2023-04-26,4.8,4.8,4.8,4.8,10
2023-04-27,4.8,4.8,4.8,4.8,5
2023-05-04,4.7,4.7,4.66,4.66,374
2023-05-08,4.66,4.66,4.6,4.6,229
2023-05-09,4.6,4.82,4.6,4.82,239
2023-05-12,4.82,4.84,4.82,4.84,20
2023-05-15,4.84,5.2,4.6,4.7,2232
2023-05-16,4.7,4.8,4.7,4.76,93
2023-05-17,4.76,4.78,4.76,4.78,465
2023-05-18,4.8,4.8,4.8,4.8,5
2023-05-19,4.7,5,4.42,5,1054
2023-05-22,4.9,5.75,4.84,5.5,1719
2023-05-23,5.4,5.55,5.4,5.55,285
2023-05-26,5.55,5.55,5.55,5.55,10
2023-05-29,5.55,5.6,5.5,5.5,1341
