Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-12-15,9.2469,9.2469,6.0212,6.5375,3031
2011-12-16,6.5375,6.7094,5.6343,6.7094,284
2011-12-19,6.7094,6.7094,6.4514,6.4514,140
2011-12-20,6.4857,6.6233,5.5052,6.6233,117
2011-12-21,6.5719,6.5719,6.5719,6.5719,58
2011-12-22,6.4857,6.4857,5.8492,6.4686,38
2011-12-23,5.5912,6.4686,5.5912,6.4686,27
2011-12-27,5.1783,6.3568,5.1783,6.3568,424
2011-12-28,6.4514,6.4514,6.4514,6.4514,2
2011-12-29,6.4342,6.6664,5.3331,6.6233,127
2011-12-30,6.3912,6.3912,6.3912,6.3912,4
2012-01-05,5.9353,6.4342,5.9353,5.9353,183
2012-01-17,5.1612,5.1612,4.9117,4.9117,154
2012-01-20,5.6772,6.3653,5.6772,6.3653,687
2012-01-23,6.5288,6.5288,6.5288,6.5288,2
2012-01-24,5.8492,5.8492,5.4192,5.4192,129
2012-01-27,6.503,6.503,6.503,6.503,5
2012-02-13,5.746,5.746,5.746,5.746,113
2012-02-21,5.746,5.746,5.5912,5.5912,98
2012-02-23,5.4192,5.4192,5.4192,5.4192,465
2012-03-01,5.2902,5.2902,4.559,4.559,242
2012-03-05,4.4299,4.4299,4.4299,4.4299,58
2012-05-31,4.2838,4.2838,4.2838,4.2838,1
2012-06-14,3.7934,3.7934,3.7934,3.7934,698
2012-06-15,4.0342,4.0342,4.0342,4.0342,115
2012-06-19,4.0342,4.0342,4.0342,4.0342,115
2012-08-06,3.2342,4.0428,3.2342,4.0428,184
2012-08-07,4.0428,4.0428,4.0428,4.0428,5
2012-08-08,4.0428,4.0428,4.0428,4.0428,6
2012-08-09,4.0428,4.0428,4.0428,4.0428,4
2012-08-10,4.0428,4.0428,4.0428,4.0428,7
2012-08-17,3.8278,3.8278,3.8278,3.8278,35
2012-08-21,3.8278,3.8278,3.8278,3.8278,3
2012-08-24,3.8278,3.8278,3.8278,3.8278,10
2012-08-27,3.7848,3.7848,3.7848,3.7848,3
2012-08-29,3.7676,3.7676,3.7676,3.7676,5
2012-08-30,3.7676,3.7676,3.7676,3.7676,2
2012-09-03,3.8278,3.8278,3.8278,3.8278,4
2012-09-04,3.8278,3.8278,3.8278,3.8278,2
2012-09-06,3.8278,3.8278,3.8278,3.8278,2
2012-09-07,3.8278,3.8278,3.8278,3.8278,2
2012-09-26,3.8278,3.8278,3.8278,3.8278,2
2012-10-08,3.8278,3.8278,3.8278,3.8278,3
2012-10-09,3.8278,3.8278,3.8278,3.8278,5
2012-10-24,3.8278,3.8278,3.8278,3.8278,3
2012-10-26,3.8278,3.8278,3.8278,3.8278,4
2012-11-05,3.8278,3.8278,3.8278,3.8278,3
2012-11-07,3.8278,3.8278,3.8278,3.8278,3
2012-11-08,3.0708,3.0708,3.0708,3.0708,115
2012-11-16,3.6902,3.6902,3.6902,3.6902,290
2012-11-22,3.6902,3.6902,3.6902,3.6902,10
2013-01-18,3.673,3.673,3.673,3.673,5
2013-02-05,3.673,3.673,3.673,3.673,2
2013-02-06,3.673,3.673,3.673,3.673,3
2013-02-07,3.673,3.673,3.673,3.673,3
2013-02-11,3.673,3.673,3.673,3.673,2
2013-02-12,3.673,3.673,3.673,3.673,3
2013-02-15,3.673,3.673,3.5869,3.5869,11
2013-02-18,3.5697,3.5697,3.5697,3.5697,3
2013-02-19,3.5697,3.5697,3.5697,3.5697,3
2013-02-21,3.4837,3.4837,3.4837,3.4837,5
2013-02-25,3.2773,3.2773,2.7611,2.7611,1487
2013-03-11,2.744,2.744,2.744,2.744,156
2013-03-13,2.744,2.744,2.744,2.744,2
2013-03-14,2.7525,2.7525,2.7525,2.7525,193
2013-04-02,2.744,2.744,2.744,2.744,2
2013-04-23,2.3225,2.3225,2.3225,2.3225,648
2013-04-24,2.3225,2.3225,2.3225,2.3225,16
2013-04-30,2.1507,2.1507,2.1507,2.1507,698
2013-05-02,2.1505,2.1505,2.1505,2.1505,581
2013-06-04,2.1419,2.4946,2.1419,2.4946,698
2013-06-05,2.4946,2.7525,2.4946,2.7525,324
2013-07-12,3.0965,3.0965,3.0965,3.0965,50
2013-07-15,3.0965,3.0965,3.0965,3.0965,5
2013-07-19,3.0965,3.0965,3.0965,3.0965,322
2013-07-24,3.2126,3.2126,3.2126,3.2126,450
2013-07-26,3.2126,3.2126,3.2126,3.2126,47
2013-08-01,3.2126,3.2126,3.2126,3.2126,626
2013-08-16,3.5607,3.5607,3.5607,3.5607,111
2013-08-20,3.3465,3.6142,3.3465,3.6142,560
2013-08-27,3.5429,3.5429,3.5429,3.5429,470
2013-09-10,3.748,3.748,3.748,3.748,10
2013-09-12,3.748,3.748,3.748,3.748,5
2013-09-16,3.7927,3.7927,3.748,3.748,601
2013-09-17,3.748,3.748,3.748,3.748,5
2013-09-19,4.2657,4.2657,4.2657,4.2657,129
2013-09-27,5.1225,5.9792,5.1225,5.9792,54
2013-09-30,7.05,7.05,6.0238,6.0238,12
2013-10-09,7.0411,7.0411,6.1576,6.1576,231
2013-10-10,6.1129,6.1129,4.9171,4.9171,44
2013-10-22,5.2563,5.2563,5.2563,5.2563,2
2013-10-24,5.4348,5.4348,5.4348,5.4348,29
2013-11-07,5.6223,5.6223,5.6223,5.6223,5
2013-11-19,5.6223,5.6223,5.6223,5.6223,3
2013-11-25,5.3099,5.3099,5.3099,5.3099,117
2013-12-06,5.3544,5.3544,5.3544,5.3544,97
2014-01-08,5.4079,5.4079,5.4079,5.4079,10
2014-01-09,5.4259,5.4259,5.4079,5.4079,381
2014-01-15,5.4614,5.4614,5.4614,5.4614,10
2014-01-17,5.5864,5.8006,5.5864,5.8006,29
2014-01-20,5.8006,5.8006,5.8006,5.8006,21
2014-01-21,5.8453,5.8453,5.8453,5.8453,27
2014-01-22,5.8453,5.8453,5.8453,5.8453,5
2014-01-23,5.997,6.4254,5.997,6.4254,246
2014-01-24,7.0234,8.9247,7.0234,8.9247,2188
2014-01-27,8.6563,9.2639,7.764,8.8348,1773
