Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-10-17,10.3,10.3,7,9.88,474468
2019-10-18,10.16,10.16,8.8,9.04,89157
2019-10-21,9.11,9.88,8.5,8.9,67376
2019-10-22,8.9,9.425,8.55,8.74,71713
2019-10-23,9.08,9.08,8.41,9.04,18042
2019-10-24,8.7,8.7,7.02,7.55,105379
2019-10-25,7.4,7.58,6.12,7.279,101154
2019-10-28,7.28,7.89,6.92,7.789,34803
2019-10-29,7.82,7.82,7.32,7.58,10223
2019-10-30,7.65,8.2,7.65,8.14,40348
2019-10-31,8.22,8.799,8.02,8.15,94653
2019-11-04,8.79,9,8.412,8.488,81917
2019-11-05,8.688,8.688,8.2,8.57,21804
2019-11-06,8.56,8.56,8.14,8.3,17525
2019-11-07,8.44,8.44,7.92,7.96,24607
2019-11-08,8.3,8.3,7.8,8.02,14141
2019-11-12,8.03,8.16,7.58,7.58,10804
2019-11-13,7.9,8,7.7,7.99,15545
2019-11-14,8.2,8.2,7.75,7.98,2431
2019-11-15,8.28,8.28,7.73,7.95,3704
2019-11-18,8.45,8.45,7.8,7.98,5661
2019-11-19,8.19,8.19,7.75,8,1528
2019-11-20,8,8,7.752,7.96,768
2019-11-21,7.99,7.99,7.73,7.95,1466
2019-11-22,7.701,7.9,7.4,7.7,9762
2019-11-25,7.421,7.79,7.4,7.64,7664
2019-11-26,7.87,7.87,7.241,7.649,2212
2019-11-27,7.7,8.35,7.56,7.83,10243
2019-11-28,8.3,8.3,7.65,7.73,3021
2019-11-29,8,8,7.361,7.52,3366
2019-12-02,7.89,7.89,7.31,7.74,8628
2019-12-03,7.78,7.78,7.1,7.2,18721
2019-12-04,7.2,7.2,6.52,6.64,46436
2019-12-05,6.9,7.18,6.42,6.51,26996
2019-12-06,6.77,6.77,6.03,6.4,37405
2019-12-09,6.2,6.7,6.2,6.4,11446
2019-12-10,6.688,6.688,6.1,6.1,27949
2019-12-11,6.26,6.26,5.832,6.1,13983
2019-12-12,6.2,6.57,6.04,6.42,28410
2019-12-13,6.49,6.6,5.87,6.25,45704
2019-12-16,6.1,6.29,5.9,6.2,24876
2019-12-17,6.1,6.2,5.97,6.138,12459
2019-12-18,6.1,6.22,5.6,6.21,38707
2019-12-19,6.21,6.29,6,6.249,22692
2019-12-20,6.288,6.3,5.9,6.11,34126
2019-12-23,6.05,6.7,6.05,6.7,15076
2019-12-27,6.865,6.865,6.28,6.6,5281
2019-12-30,6.6,6.6,6.1,6.14,13261
2020-01-02,6.2,6.497,6.102,6.44,20146
2020-01-03,6.59,6.59,6.2,6.4,8379
2020-01-07,6.4,6.4,6.22,6.388,10920
2020-01-08,6.388,6.388,6.13,6.34,10223
2020-01-09,6.347,6.347,6.25,6.347,9387
2020-01-10,6.347,6.95,6.2,6.664,43694
2020-01-13,6.9,7.2,6.82,7.15,32304
2020-01-14,7.03,7.3,6.81,7.1,28215
2020-01-15,7.1,7.15,6.81,7.1,11749
2020-01-16,6.826,7,6.81,6.896,5970
2020-01-17,6.84,6.85,6.5,6.78,7548
2020-01-20,6.8,6.8,6.55,6.78,5926
2020-01-21,7,7,6.65,6.81,3665
2020-01-22,6.95,6.95,6.65,6.81,4463
2020-01-23,6.82,6.89,6.501,6.78,4030
2020-01-24,6.89,6.89,6.601,6.84,7883
2020-01-27,6.8,6.8,6.1,6.65,13354
2020-01-28,6.65,6.65,6.3,6.45,1020
2020-01-29,6.59,6.59,6.2,6.2,3705
2020-01-30,6.2,6.4,5.8,6.198,21024
2020-01-31,6.2,6.2,5.83,6.195,17118
2020-02-03,6.03,6.42,6.03,6.42,4485
2020-02-04,6.42,6.95,6.19,6.67,17963
2020-02-05,6.8,7.4,6.7,6.82,27688
2020-02-06,6.8,7.08,6.7,6.7,14012
2020-02-07,6.96,6.99,6.7,6.95,6049
2020-02-10,7.25,7.25,6.75,7,7248
2020-02-11,7.08,7.15,6.85,7,6480
2020-02-12,7.38,7.38,6.913,7.15,11047
2020-02-13,7.38,7.38,7,7.1,6850
2020-02-14,7.15,7.15,6.92,7.14,4406
2020-02-17,7.09,7.1,6.9,7.02,10201
2020-02-18,7.02,7.02,6.8,6.865,15822
2020-02-19,6.865,6.865,6.255,6.82,20731
2020-02-20,6.82,7.4,6.4,7.18,14728
2020-02-21,7.175,7.18,6.9,7.08,6497
2020-02-24,7.08,7.08,6.59,6.59,13183
2020-02-25,6.71,6.71,6.1,6.45,21691
2020-02-26,6.44,6.62,6.102,6.62,14873
2020-02-27,6.6,6.6,5.95,6.08,10172
2020-02-28,5.95,5.99,5.005,5.85,23313
2020-03-02,5.52,6.3,5.25,5.85,9732
2020-03-03,6,6.3,6,6.3,4352
2020-03-04,6.1,6.28,5.72,6.15,6934
2020-03-05,6.3,6.58,5.95,6.15,15952
2020-03-06,6.05,6.33,5.52,6.33,8430
2020-03-09,6,6,5.1,5.65,19432
2020-03-10,5.8,5.949,5.68,5.68,10122
2020-03-11,5.695,5.7,5.161,5.45,33820
2020-03-12,5.11,5.4,4.088,4.2,23825
2020-03-13,4.2,4.99,4.2,4.885,16030
2020-03-16,4.885,5,4.4,5,5403
2020-03-17,5.18,5.58,4.77,5.45,28186
2020-03-18,5.45,5.8,5.15,5.798,12297
2020-03-19,5.7,6.4,5.3,6.4,23962
2020-03-20,6.5,6.52,5.2,5.61,172162
2020-03-23,5.3,5.39,4.4,5.1,11181
2020-03-24,5.251,5.4,5,5.35,29274
2020-03-25,5.7,5.73,5.11,5.31,16588
2020-03-26,5.2,5.45,5.15,5.45,3990
2020-03-27,5.529,5.529,4.95,5.33,4710
