Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-13,1.1761,1.4112,1.1761,1.4112,185195
2011-07-14,2.2541,2.2541,2.2541,2.2541,98875
2011-07-15,2.5481,3.0577,2.0385,3.0577,305684
2011-07-18,3.5772,4.1064,2.8617,2.9401,147170
2011-07-19,2.8912,3.2342,1.5779,1.7151,301286
2011-07-20,1.7053,2.2934,1.4701,2.0385,161200
2011-07-21,1.9601,1.9601,1.4701,1.4701,192800
2011-07-22,1.421,1.421,0.9801,1.078,381053
2011-07-25,1.0585,1.1271,0.9604,1.0291,218348
2011-07-26,1.0389,1.0389,0.9213,0.9506,104025
2011-07-27,0.9408,0.9703,0.7841,0.7841,215326
2011-07-28,0.8134,0.9408,0.735,0.8331,291766
2011-07-29,0.8624,1.1075,0.8624,0.9703,604114
2011-08-01,1.0291,1.0682,0.8232,0.8232,235793
2011-08-02,0.8429,0.8722,0.7841,0.8134,114711
2011-08-03,0.8331,0.8331,0.7645,0.7645,81861
2011-08-04,0.8134,0.8232,0.7546,0.7546,52304
2011-08-05,0.7448,0.7448,0.6469,0.7057,187941
2011-08-08,0.686,0.686,0.5685,0.6174,188598
2011-08-09,0.5685,0.6076,0.45082,0.49985,99000
2011-08-10,0.5097,0.6076,0.5097,0.539,183434
2011-08-11,0.5488,0.6469,0.539,0.5978,145524
2011-08-12,0.6174,0.6566,0.5488,0.5783,97787
2011-08-16,0.5685,0.6272,0.5586,0.5685,30180
2011-08-17,0.5586,0.686,0.5586,0.6566,187037
2011-08-18,0.6469,0.6958,0.539,0.539,79425
2011-08-19,0.5194,0.5783,0.48022,0.49985,67641
2011-08-22,0.49985,0.5488,0.47042,0.49985,50699
2011-08-23,0.5097,0.5783,0.48022,0.5488,79960
2011-08-24,0.5292,0.5685,0.5097,0.5194,12598
2011-08-25,0.539,0.5488,0.48022,0.5097,14451
2011-08-26,0.49003,0.49003,0.42143,0.48022,22556
2011-08-29,0.47042,0.5488,0.47042,0.49003,65006
2011-08-30,0.49003,0.5783,0.49003,0.5488,62569
2011-08-31,0.5685,0.7645,0.5685,0.7252,161819
2011-09-01,0.7252,0.7841,0.6371,0.6371,119112
2011-09-02,0.6566,0.6762,0.5586,0.6469,85489
2011-09-05,0.6174,0.686,0.588,0.6469,23115
2011-09-06,0.6371,0.735,0.5783,0.588,84973
2011-09-07,0.6076,0.6371,0.5685,0.5685,27109
2011-09-08,0.5783,0.6076,0.5685,0.6076,4512
2011-09-09,0.5978,0.8527,0.5488,0.7448,290439
2011-09-12,0.7546,0.8429,0.6958,0.7448,59006
2011-09-13,0.7938,0.8429,0.6958,0.7743,63563
2011-09-14,0.735,0.7546,0.6469,0.6566,94177
