Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-06-13,0.6325,0.6811,0.43788,0.48653,708235
2012-06-14,0.48653,0.5838,0.38923,0.38923,213758
2012-06-15,0.38923,0.43788,0.34057,0.38923,50822
2012-06-18,0.34057,0.38923,0.34057,0.38923,10945
2012-06-19,0.38923,0.38923,0.29192,0.34057,132586
2012-06-20,0.34057,0.38923,0.34057,0.38923,69245
2012-06-21,0.38923,0.38923,0.34057,0.34057,25868
2012-06-22,0.34057,0.34057,0.34057,0.34057,24711
2012-06-25,0.34057,0.34057,0.24327,0.24327,62081
2012-06-26,0.29192,0.34057,0.29192,0.29192,62982
2012-06-27,0.29192,0.29192,0.24327,0.24327,97422
2012-06-28,0.24327,0.29192,0.24327,0.29192,121988
2012-06-29,0.29192,0.29192,0.29192,0.29192,10719
2012-07-02,0.29192,0.34057,0.24327,0.34057,6762
2012-07-03,0.29192,0.29192,0.29192,0.29192,2260
2012-07-04,0.29192,0.29192,0.24327,0.29192,34761
2012-07-05,0.29192,0.29192,0.24327,0.29192,6189
2012-07-06,0.24327,0.29192,0.24327,0.29192,42764
2012-07-10,0.29192,0.29192,0.29192,0.29192,611
2012-07-11,0.24327,0.29192,0.24327,0.29192,4080
2012-07-12,0.24327,0.29192,0.24327,0.29192,764
2012-07-13,0.29192,0.29192,0.24327,0.29192,3429
2012-07-16,0.24327,0.29192,0.19461,0.24327,14606
2012-07-17,0.24327,0.24327,0.19461,0.24327,36758
2012-07-18,0.19461,0.24327,0.19461,0.24327,27199
2012-07-19,0.19461,0.24327,0.19461,0.24327,7730
2012-07-20,0.24327,0.24327,0.19461,0.19461,822
2012-07-23,0.19461,0.19461,0.19461,0.19461,18272
2012-07-24,0.24327,0.24327,0.19461,0.24327,16321
2012-07-25,0.24327,0.24327,0.19461,0.24327,6259
2012-07-26,0.24327,0.24327,0.19461,0.24327,18413
2012-07-27,0.24327,0.24327,0.24327,0.24327,103
2012-07-30,0.24327,0.24327,0.24327,0.24327,308
2012-07-31,0.24327,0.24327,0.24327,0.24327,851
2012-08-01,0.24327,0.24327,0.19461,0.24327,2415
2012-08-02,0.19461,0.19461,0.19461,0.19461,20800
2012-08-03,0.24327,0.24327,0.24327,0.24327,334
2012-08-06,0.19461,0.19461,0.19461,0.19461,514
2012-08-07,0.19461,0.24327,0.19461,0.19461,8127
2012-08-08,0.19461,0.19461,0.19461,0.19461,31618
2012-08-10,0.24327,0.24327,0.24327,0.24327,881
2012-08-13,0.24327,0.24327,0.24327,0.24327,103
2012-08-14,0.24327,0.24327,0.24327,0.24327,645
2012-08-16,0.24327,0.24327,0.24327,0.24327,1261
2012-08-17,0.24327,0.24327,0.24327,0.24327,317
2012-08-20,0.24327,0.24327,0.19461,0.19461,9502
2012-08-21,0.19461,0.19461,0.19461,0.19461,3892
2012-08-22,0.19461,0.24327,0.19461,0.24327,514
2012-08-23,0.24327,0.24327,0.19461,0.19461,15342
2012-08-24,0.19461,0.19461,0.19461,0.19461,547
2012-08-27,0.19461,0.24327,0.19461,0.19461,2396
2012-08-28,0.19461,0.19461,0.19461,0.19461,1430
2012-08-29,0.19461,0.19461,0.19461,0.19461,218
2012-08-30,0.19461,0.19461,0.19461,0.19461,1218
2012-08-31,0.19461,0.19461,0.19461,0.19461,20833
2012-09-03,0.19461,0.19461,0.14596,0.14596,12978
2012-09-04,0.14596,0.19461,0.14596,0.19461,1028
2012-09-05,0.19461,0.19461,0.19461,0.19461,4213
2012-09-06,0.19461,0.19461,0.14596,0.14596,601
2012-09-07,0.14596,0.19461,0.14596,0.19461,11834
2012-09-10,0.19461,0.19461,0.19461,0.19461,4313
2012-09-11,0.19461,0.19461,0.14596,0.19461,18463
2012-09-12,0.19461,0.19461,0.14596,0.14596,30520
2012-09-13,0.14596,0.14596,0.14596,0.14596,22214
2012-09-14,0.14596,0.14596,0.14596,0.14596,10169
2012-09-17,0.19461,0.19461,0.19461,0.19461,1028
2012-09-18,0.19461,0.19461,0.19461,0.19461,2590
2012-09-19,0.19461,0.19461,0.19461,0.19461,103
2012-09-20,0.19461,0.19461,0.19461,0.19461,206
2012-09-21,0.19461,0.19461,0.19461,0.19461,237
2012-09-24,0.19461,0.19461,0.19461,0.19461,550
2012-09-25,0.19461,0.19461,0.19461,0.19461,206
2012-09-26,0.19461,0.24327,0.19461,0.24327,129538
2012-09-27,0.24327,0.29192,0.19461,0.24327,87499
2012-09-28,0.29192,0.29192,0.29192,0.29192,2261
2012-10-01,0.29192,0.29192,0.29192,0.29192,103
2012-10-02,0.29192,0.29192,0.29192,0.29192,82
2012-10-03,0.29192,0.29192,0.24327,0.24327,2076
2012-10-04,0.29192,0.29192,0.24327,0.24327,855
2012-10-05,0.24327,0.24327,0.24327,0.24327,2210
2012-10-08,0.24327,0.24327,0.24327,0.24327,154
2012-10-09,0.24327,0.24327,0.19461,0.19461,12140
2012-10-10,0.19461,0.19461,0.19461,0.19461,24446
2012-10-11,0.24327,0.24327,0.24327,0.24327,206
2012-10-12,0.19461,0.24327,0.19461,0.24327,8535
2012-10-15,0.24327,0.24327,0.24327,0.24327,164
2012-10-16,0.24327,0.24327,0.24327,0.24327,51
2012-10-17,0.24327,0.24327,0.24327,0.24327,103
2012-10-18,0.24327,0.24327,0.24327,0.24327,103
2012-10-19,0.19461,0.19461,0.19461,0.19461,2261
2012-10-22,0.19461,0.19461,0.19461,0.19461,8242
2012-10-23,0.24327,0.24327,0.24327,0.24327,2960
2012-10-24,0.24327,0.24327,0.24327,0.24327,668
2012-10-25,0.24327,0.24327,0.24327,0.24327,904
2012-10-26,0.24327,0.24327,0.24327,0.24327,103
2012-10-29,0.24327,0.24327,0.24327,0.24327,41
2012-10-30,0.24327,0.24327,0.24327,0.24327,473
2012-10-31,0.24327,0.24327,0.24327,0.24327,62
2012-11-02,0.19461,0.19461,0.19461,0.19461,2644
2012-11-05,0.24327,0.24327,0.24327,0.24327,493
2012-11-06,0.24327,0.24327,0.24327,0.24327,134
2012-11-07,0.24327,0.24327,0.24327,0.24327,31
2012-11-08,0.24327,0.24327,0.24327,0.24327,41
2012-11-09,0.24327,0.24327,0.24327,0.24327,72
2012-11-12,0.19461,0.19461,0.19461,0.19461,21462
2012-11-13,0.19461,0.19461,0.19461,0.19461,113
2012-11-14,0.19461,0.19461,0.19461,0.19461,781
2012-11-15,0.19461,0.19461,0.19461,0.19461,5272
2012-11-16,0.19461,0.19461,0.19461,0.19461,62
2012-11-19,0.19461,0.19461,0.19461,0.19461,1554
2012-11-20,0.19461,0.19461,0.19461,0.19461,1002
2012-11-22,0.19461,0.19461,0.19461,0.19461,557
2012-11-23,0.19461,0.19461,0.19461,0.19461,62
2012-11-26,0.19461,0.19461,0.19461,0.19461,41
2012-11-27,0.19461,0.19461,0.19461,0.19461,21
2012-11-28,0.19461,0.19461,0.19461,0.19461,1498
2012-11-29,0.19461,0.19461,0.19461,0.19461,2921
2012-11-30,0.19461,0.19461,0.19461,0.19461,8990
2012-12-03,0.19461,0.19461,0.19461,0.19461,8016
2012-12-04,0.24327,0.24327,0.24327,0.24327,51
2012-12-05,0.24327,0.24327,0.24327,0.24327,51
2012-12-06,0.24327,0.24327,0.24327,0.24327,103
2012-12-07,0.24327,0.24327,0.24327,0.24327,51
2012-12-10,0.24327,0.24327,0.24327,0.24327,31
2012-12-11,0.24327,0.24327,0.24327,0.24327,103
2012-12-12,0.24327,0.24327,0.24327,0.24327,51
2012-12-13,0.19461,0.19461,0.19461,0.19461,1151
2012-12-14,0.19461,0.19461,0.19461,0.19461,41
2012-12-17,0.19461,0.19461,0.19461,0.19461,31
2012-12-18,0.19461,0.19461,0.19461,0.19461,62
2012-12-19,0.19461,0.19461,0.19461,0.19461,4172
