Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-15,2.55,2.7,2.02,2.02,186643
2011-02-16,2.02,2.02,1.7,1.73,49947
2011-02-17,1.73,2,1.65,2,35525
2011-02-18,1.98,2.15,1.95,2.13,55435
2011-02-21,2.15,2.16,1.85,1.98,18356
2011-02-22,1.92,1.92,1.83,1.9,9559
2011-02-23,1.95,2.09,1.9,2.02,12830
2011-02-24,2.06,2.12,1.94,2.04,6833
2011-02-25,2.07,2.07,1.87,2,6250
2011-02-28,2.02,2.16,1.88,2.1,32824
2011-03-01,2.05,2.27,2.02,2.21,20058
2011-03-02,2.23,2.26,2.12,2.19,2208
2011-03-03,2.2,2.2,2,2.13,5883
2011-03-04,2.13,2.13,2.02,2.02,765
2011-03-07,1.95,1.97,1.86,1.97,3332
2011-03-08,1.98,1.98,1.87,1.98,7924
2011-03-09,1.95,1.95,1.95,1.95,701
2011-03-10,1.98,2,1.88,2,1824
2011-03-11,1.99,1.99,1.98,1.98,650
2011-03-14,1.99,1.99,1.93,1.93,100
2011-03-15,1.95,1.95,1.75,1.87,5784
2011-03-16,1.87,1.88,1.86,1.88,1850
2011-03-17,1.87,1.87,1.87,1.87,10
2011-03-18,1.85,1.88,1.7,1.74,4616
2011-03-21,1.72,1.99,1.72,1.99,15300
2011-03-22,1.98,1.98,1.85,1.9,1900
2011-03-23,1.9,1.9,1.85,1.85,200
2011-03-24,1.9,1.9,1.9,1.9,20
2011-03-25,1.9,1.9,1.61,1.75,28666
2011-03-28,1.78,1.78,1.38,1.41,29999
2011-03-29,1.3,1.49,1.3,1.48,17833
2011-03-30,1.4,1.5,1.33,1.5,4285
2011-03-31,1.51,1.53,1.51,1.53,2600
2011-04-01,1.48,1.48,1.45,1.45,300
2011-04-04,1.42,1.59,1.42,1.54,3560
2011-04-05,1.54,1.83,1.54,1.8,3654
2011-04-06,1.73,1.73,1.72,1.72,100
2011-04-07,1.73,1.73,1.5,1.7,22608
2011-04-08,1.58,1.62,1.47,1.52,8475
2011-04-11,1.51,1.58,1.44,1.44,6185
2011-04-12,1.52,1.61,1.5,1.61,15086
2011-04-13,1.6,1.65,1.47,1.47,8341
2011-04-14,1.45,1.5,1.42,1.5,5247
2011-04-15,1.5,1.57,1.46,1.46,9627
2011-04-18,1.42,1.45,1.4,1.4,3670
2011-04-19,1.4,1.5,1.4,1.5,4501
2011-04-20,1.5,1.5,1.4,1.45,9136
2011-04-21,1.47,1.47,1.42,1.42,1010
2011-04-26,1.44,1.44,1.39,1.44,3308
2011-04-27,1.39,1.47,1.39,1.47,500
2011-04-28,1.46,1.52,1.45,1.45,2400
2011-04-29,1.45,1.5,1.42,1.5,1570
2011-05-02,1.48,1.48,1.45,1.45,3000
2011-05-04,1.41,1.45,1.41,1.45,300
2011-05-05,1.47,1.47,1.4,1.4,1900
2011-05-06,1.46,1.46,1.46,1.46,80
2011-05-09,1.46,1.46,1.3,1.4,2420
2011-05-10,1.41,1.43,1.36,1.36,1250
2011-05-11,1.38,1.42,1.38,1.42,100
2011-05-12,1.38,1.38,1.32,1.32,1265
2011-05-13,1.32,1.46,1.31,1.46,4597
2011-05-16,1.45,1.45,1.45,1.45,50
2011-05-17,1.45,1.45,1.44,1.44,320
2011-05-18,1.45,1.45,1.4,1.45,2793
2011-05-19,1.45,1.47,1.44,1.47,1000
2011-05-20,1.47,1.47,1.47,1.47,100
2011-05-23,1.47,1.47,1.42,1.46,1791
2011-05-24,1.44,1.44,1.4,1.4,220
2011-05-25,1.4,1.4,1.4,1.4,250
2011-05-26,1.41,1.41,1.41,1.41,100
2011-05-27,1.41,1.41,1.36,1.36,1157
2011-05-30,1.4,1.4,1.39,1.4,3489
2011-05-31,1.4,1.4,1.38,1.38,1850
2011-06-01,1.36,1.38,1.33,1.38,2096
2011-06-02,1.38,1.38,1.38,1.38,500
2011-06-03,1.4,1.4,1.32,1.32,1100
2011-06-06,1.33,1.33,1.3,1.3,1950
2011-06-07,1.3,1.3,1.3,1.3,80
2011-06-08,1.3,1.3,1.27,1.3,1020
2011-06-09,1.3,1.3,1.25,1.25,4280
2011-06-10,1.25,1.33,1.25,1.33,9381
2011-06-13,1.35,1.35,1.34,1.35,750
2011-06-14,1.35,1.45,1.35,1.45,2283
2011-06-15,1.45,1.45,1.45,1.45,10
2011-06-16,1.45,1.45,1.45,1.45,50
2011-06-17,1.37,1.37,1.33,1.33,2000
2011-06-20,1.35,1.38,1.35,1.38,6300
2011-06-21,1.42,1.42,1.37,1.37,120
2011-06-22,1.35,1.35,1.35,1.35,700
2011-06-24,1.32,1.32,1.3,1.3,830
2011-06-27,1.3,1.3,1.3,1.3,200
2011-06-28,1.28,1.28,1.25,1.25,4000
2011-06-29,1.27,1.27,1.25,1.25,1300
2011-06-30,1.25,1.25,1.15,1.19,5465
2011-07-01,1.17,1.17,1.17,1.17,110
2011-07-04,1.17,1.17,1.17,1.17,3500
2011-07-05,1.17,1.39,1.17,1.3,8005
2011-07-06,1.3,1.35,1.3,1.35,1000
2011-07-07,1.3,1.3,1.25,1.25,500
2011-07-11,1.25,1.25,1.19,1.2,13151
2011-07-12,1.17,1.17,1.17,1.17,100
2011-07-13,1.17,1.17,1.17,1.17,100
2011-07-14,1.17,1.39,1.17,1.31,5070
2011-07-15,1.4,1.57,1.2,1.48,48910
2011-07-18,1.48,1.48,1.19,1.37,26036
2011-07-19,1.47,1.47,1.37,1.43,6270
2011-07-20,1.39,1.39,1.38,1.38,2600
2011-07-22,1.37,1.37,1.33,1.33,1835
2011-07-25,1.36,1.36,1.26,1.26,440
2011-07-26,1.26,1.27,1.26,1.27,900
2011-07-27,1.27,1.27,1.27,1.27,100
2011-07-28,1.26,1.26,1.22,1.22,1180
2011-07-29,1.22,1.25,1.22,1.25,1945
2011-08-02,1.23,1.23,1.23,1.23,100
2011-08-03,1.22,1.22,1.17,1.17,4100
2011-08-04,1.2,1.2,1.2,1.2,1000
2011-08-05,1.17,1.17,1.05,1.07,4432
2011-08-08,1.03,1.03,1.03,1.03,10
2011-08-09,1.08,1.08,1.05,1.05,700
2011-08-10,1.07,1.07,1.07,1.07,500
2011-08-11,1.07,1.07,1.07,1.07,100
2011-08-12,1.07,1.1,0.99,1.04,1465
2011-08-16,1.04,1.06,1.04,1.06,1200
2011-08-17,1.07,1.07,1.07,1.07,100
2011-08-18,1.08,1.08,1.08,1.08,100
2011-08-19,1.04,1.09,1.04,1.09,120
2011-08-23,1.07,1.07,1.04,1.04,1200
2011-08-24,1.07,1.17,1.07,1.17,1350
2011-08-25,1.2,1.26,1.15,1.15,5180
2011-08-26,1.14,1.19,1.1,1.19,1175
2011-08-30,1.15,1.15,1.14,1.14,1500
2011-08-31,1.15,1.22,1.15,1.22,2450
2011-09-06,1.2,1.22,1.2,1.22,200
2011-09-07,1.24,1.24,1.18,1.18,2450
2011-09-08,1.17,1.24,1.17,1.24,600
2011-09-09,1.24,1.25,1.24,1.25,150
2011-09-12,1.2,1.2,1.15,1.15,4700
2011-09-13,1.17,1.17,1.15,1.15,100
2011-09-14,1.15,1.2,1.15,1.2,160
2011-09-15,1.21,1.21,1.21,1.21,14
2011-09-16,1.18,1.25,1.15,1.25,2500
2011-09-19,1.26,1.4,1.26,1.28,3500
2011-09-20,1.27,1.27,1.2,1.25,2559
2011-09-22,1.2,1.23,1.18,1.23,1150
2011-09-23,1.24,1.25,1.23,1.25,2050
2011-09-26,1.16,1.16,1.09,1.09,5000
2011-09-27,1.1,1.13,1.04,1.13,2900
2011-09-28,1.1,1.15,1.08,1.14,5000
2011-09-29,1.15,1.15,1.09,1.09,6500
2011-09-30,1.08,1.08,1.03,1.07,4350
2011-10-03,1.09,1.12,1.08,1.12,5083
2011-10-04,1.1,1.17,1.09,1.17,3300
2011-10-05,1.15,1.15,1.15,1.15,700
2011-10-06,1.15,1.2,1.15,1.2,8913
2011-10-07,1.2,1.31,1.2,1.31,3691
2011-10-10,1.31,1.31,1.31,1.31,50
2011-10-11,1.31,1.31,1.23,1.27,5490
2011-10-12,1.23,1.27,1.23,1.23,78
2011-10-13,1.23,1.27,1.23,1.27,63
2011-10-14,1.27,1.31,1.27,1.31,861
2011-10-17,1.3,1.35,1.29,1.31,5182
2011-10-18,1.38,1.5,1.38,1.45,860
2011-10-20,1.42,1.42,1.42,1.42,100
2011-10-24,1.42,1.42,1.42,1.42,100
2011-10-25,1.39,1.39,1.31,1.31,9105
2011-10-26,1.31,1.35,1.31,1.35,150
2011-10-27,1.32,1.32,1.32,1.32,100
2011-10-28,1.32,1.32,1.32,1.32,200
2011-10-31,1.32,1.39,1.32,1.39,250
2011-11-03,1.39,1.39,1.39,1.39,85
2011-11-07,1.39,1.39,1.39,1.39,75
2011-11-08,1.35,1.35,1.32,1.32,2080
2011-11-09,1.32,1.32,1.32,1.32,550
2011-11-10,1.32,1.32,1.32,1.32,200
2011-11-14,1.36,1.36,1.36,1.36,101
2011-11-15,1.32,1.32,1.32,1.32,200
2011-11-16,1.32,1.35,1.32,1.35,201
2011-11-17,1.32,1.37,1.32,1.37,200
2011-11-18,1.38,1.38,1.38,1.38,50
