Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-12,2.10228,2.18313,1.77893,1.94065,20072.246376353
2011-08-16,1.94065,2.02142,1.61722,1.61722,3433.5507245592
2011-08-17,1.29371,1.77893,1.29371,1.61722,3429.9999999216
2011-08-18,1.37456,1.61722,1.37456,1.37456,5027.8260868416
2011-08-19,1.29371,1.45542,1.29371,1.45542,501.8357487808
2011-08-22,1.61722,1.61722,1.61722,1.61722,61.5458937184
2011-08-23,1.29371,1.45542,1.29371,1.45542,3980.3623187496
2011-08-24,1.45542,1.45542,1.21285,1.21285,4832.5362317736
2011-08-25,1.29371,1.29371,1.05114,1.05114,1087.7053139848
2011-08-26,1.13199,1.29371,1.13199,1.21285,1929.227053096
2011-08-29,1.05114,1.37456,1.05114,1.37456,8669.68599014
2011-08-30,1.37456,1.37456,1.21285,1.21285,775.241545876
2011-08-31,1.13199,1.29371,1.13199,1.29371,18.9371980672
2011-09-01,1.29371,1.29371,1.13199,1.13199,1965.9178743512
2011-09-02,1.29371,1.29371,0.970281,0.970281,1797.8502415048
2011-09-05,1.05114,1.05114,1.05114,1.05114,98.2367149736
2011-09-06,1.05114,1.05114,1.05114,1.05114,395.3140096528
2011-09-07,0.970281,1.05114,0.970281,0.970281,3487.9951690024
2011-09-08,1.05114,1.05114,0.970281,0.970281,869.927536212
2011-09-09,0.889424,1.29371,0.889424,1.29371,8453.0917872464
2011-09-12,1.21285,1.21285,0.970281,1.05114,1929.227053096
2011-09-13,1.05114,1.05114,1.05114,1.05114,278.140096612
2011-09-14,1.05114,1.21285,0.970281,1.21285,134.9275362288
2011-09-15,1.13199,1.13199,0.970281,1.13199,630.8454106136
2011-09-16,1.21285,1.21285,1.21285,1.21285,86.4009661816
2011-09-19,1.21285,1.21285,0.970281,1.05114,2065.338164204
2011-09-20,0.970281,0.970281,0.889424,0.970281,6345.1449273912
2011-09-21,0.970281,0.970281,0.970281,0.970281,3911.714975756
2011-09-22,0.889424,0.889424,0.808567,0.889424,2851.2318839928
2011-09-23,0.889424,0.889424,0.889424,0.889424,474.6135265592
2011-09-26,0.889424,0.970281,0.889424,0.970281,1338.6231883752
2011-09-27,0.970281,1.05114,0.970281,1.05114,862.8260869368
2011-09-28,1.05114,1.05114,1.05114,1.05114,61.5458937184
2011-09-29,1.05114,1.05114,1.05114,1.05114,11.835748792
2011-09-30,1.05114,1.05114,1.05114,1.05114,49.7101449264
2011-10-03,1.05114,1.05114,0.970281,1.05114,291.1594202832
2011-10-04,1.05114,1.05114,1.05114,1.05114,24.8550724632
2011-10-05,0.889424,0.970281,0.889424,0.970281,3179.0821255312
2011-10-06,0.970281,0.970281,0.889424,0.889424,2573.0917873808
2011-10-07,0.889424,0.970281,0.808567,0.970281,2879.6376810936
2011-10-10,0.970281,0.970281,0.889424,0.889424,1292.4637680864
2011-10-11,0.970281,0.970281,0.889424,0.970281,294.7101449208
2011-10-12,0.970281,0.970281,0.970281,0.970281,42.6086956512
2011-10-13,0.889424,0.970281,0.889424,0.970281,160.9661835712
2011-10-14,0.970281,0.970281,0.808567,0.808567,1830.9903381224
2011-10-17,0.889424,0.970281,0.889424,0.970281,6851.7149756888
2011-10-18,0.970281,0.970281,0.808567,0.808567,5656.3043476968
2011-10-19,0.889424,1.05114,0.889424,0.970281,20698.35748745
2011-10-20,0.970281,0.970281,0.889424,0.970281,17103.840579319
2011-10-21,0.970281,0.970281,0.808567,0.808567,11475.942028723
2011-10-24,0.808567,0.808567,0.646854,0.727711,50097.173911898
2011-10-25,0.727711,0.808567,0.646854,0.727711,27598.599033186
2011-10-26,0.727711,0.727711,0.727711,0.727711,1016.6908212328
2011-10-27,0.727711,0.727711,0.646854,0.727711,11101.932366896
2011-10-28,0.646854,0.727711,0.646854,0.727711,5349.758453984
2011-10-31,0.727711,0.808567,0.727711,0.727711,45650.483090744
2011-11-02,0.727711,0.808567,0.727711,0.727711,7860.1207727672
2011-11-03,0.727711,0.727711,0.727711,0.727711,2858.333333268
2011-11-04,0.727711,0.808567,0.727711,0.727711,7571.3285022424
2011-11-07,0.727711,0.727711,0.727711,0.727711,382.2946859816
2011-11-08,0.727711,0.727711,0.646854,0.727711,8011.6183573048
2011-11-09,0.727711,0.727711,0.727711,0.727711,30.7729468592
2011-11-10,0.727711,0.727711,0.727711,0.727711,36.6908212552
2011-11-14,0.727711,0.727711,0.727711,0.727711,4097.5362317904
2011-11-15,0.727711,0.727711,0.727711,0.727711,2767.1980675696
2011-11-16,0.727711,0.727711,0.727711,0.727711,123.0917874368
2011-11-17,0.727711,0.727711,0.646854,0.646854,959.8792270312
2011-11-18,0.646854,0.646854,0.646854,0.646854,153.864734296
2011-11-21,0.646854,0.646854,0.646854,0.646854,1484.2028985168
2011-11-22,0.646854,0.646854,0.646854,0.646854,1484.2028985168
2011-11-23,0.646854,0.727711,0.646854,0.646854,10463.985507007
2011-11-24,0.646854,0.646854,0.566082,0.566082,13065.483091489
2011-11-25,0.566082,0.566082,0.566082,0.566082,6356.9806761832
2011-11-28,0.566082,0.646854,0.566082,0.646854,19449.685989894
2011-11-29,0.646854,0.646854,0.566082,0.646854,2719.8550724016
2011-11-30,0.646854,0.646854,0.646854,0.646854,123.0917874368
2011-12-01,0.646854,0.646854,0.646854,0.646854,36.6908212552
2011-12-02,0.646854,0.727711,0.566082,0.727711,4585.1690820208
2011-12-05,0.727711,0.727711,0.646854,0.646854,2526.932367092
2011-12-06,0.646854,0.727711,0.646854,0.727711,2358.8647342456
2011-12-07,0.727711,0.727711,0.646854,0.646854,62850.193235278
2011-12-08,0.646854,0.646854,0.646854,0.646854,5379.347825964
2011-12-09,0.727711,0.727711,0.646854,0.646854,1712.6328502024
2011-12-12,0.727711,0.727711,0.646854,0.646854,1533.9130434432
2011-12-13,0.727711,0.727711,0.727711,0.727711,24.8550724632
2011-12-14,0.727711,0.727711,0.646854,0.646854,605.9903381504
2011-12-15,0.646854,0.646854,0.646854,0.646854,94.685990336
2011-12-16,0.727711,0.727711,0.727711,0.727711,36.6908212552
2011-12-19,0.727711,0.727711,0.727711,0.727711,30.7729468592
2011-12-20,0.727711,0.727711,0.727711,0.727711,30.7729468592
2011-12-21,0.646854,0.646854,0.646854,0.646854,1750.5072463368
2011-12-22,0.646854,0.646854,0.646854,0.646854,49.7101449264
2011-12-23,0.646854,0.646854,0.646854,0.646854,153.864734296
2011-12-27,0.646854,0.646854,0.566082,0.566082,2627.536231824
2011-12-28,0.646854,0.646854,0.646854,0.646854,319.565217384
2011-12-29,0.646854,0.646854,0.566082,0.566082,698.309178728
2011-12-30,0.566082,0.566082,0.566082,0.566082,61.5458937184
2012-01-02,0.646854,0.646854,0.646854,0.646854,147.9468599
2012-01-03,0.646854,0.646854,0.646854,0.646854,30.7729468592
2012-01-04,0.646854,0.646854,0.646854,0.646854,2376.6183574336
2012-01-05,0.646854,0.646854,0.646854,0.646854,16.5700483088
2012-01-09,0.727711,0.727711,0.727711,0.727711,1572.9710144568
2012-01-10,0.646854,0.646854,0.646854,0.646854,2721.0386472808
2012-01-11,0.646854,0.646854,0.646854,0.646854,370.4589371896
2012-01-12,0.727711,0.727711,0.727711,0.727711,24.8550724632
2012-01-13,0.727711,0.727711,0.727711,0.727711,24.8550724632
2012-01-16,0.727711,0.970281,0.727711,0.970281,36740.531400126
2012-01-17,0.970281,0.970281,0.808567,0.889424,9684.0096616144
2012-01-18,0.889424,0.889424,0.808567,0.808567,2461.835748736
2012-01-19,0.808567,0.808567,0.727711,0.727711,4181.5700482136
2012-01-20,0.727711,0.808567,0.646854,0.808567,11074.710144674
2012-01-23,0.808567,0.808567,0.727711,0.808567,2115.0483091304
2012-01-24,0.808567,0.808567,0.727711,0.727711,1125.5797101192
2012-01-25,0.808567,0.808567,0.808567,0.808567,11.835748792
2012-01-26,0.808567,0.808567,0.808567,0.808567,11.835748792
2012-01-27,0.808567,0.808567,0.727711,0.727711,895.9661835544
2012-01-30,0.808567,0.808567,0.808567,0.808567,1484.2028985168
2012-01-31,0.808567,0.808567,0.808567,0.808567,11.835748792
2012-02-01,0.808567,0.970281,0.808567,0.970281,9770.410627796
2012-02-02,0.889424,1.05114,0.808567,0.970281,29808.333332652
2012-02-03,0.970281,0.970281,0.889424,0.970281,8669.68599014
2012-02-06,0.970281,1.05114,0.970281,1.05114,4568.599033712
2012-02-07,1.05114,1.21285,1.05114,1.21285,32473.74396061
2012-02-08,1.29371,1.45542,0.970281,1.21285,88666.328500389
2012-02-09,1.21285,1.37456,1.05114,1.21285,32789.758453357
2012-02-10,1.21285,1.21285,1.05114,1.05114,18637.753622762
2012-02-13,1.05114,1.13199,0.970281,1.13199,22175.458936691
2012-02-14,1.05114,1.13199,0.970281,1.05114,31982.560385742
2012-02-15,1.05114,1.05114,0.889424,0.970281,11796.690820986
2012-02-16,0.970281,0.970281,0.889424,0.970281,669.9033816272
2012-02-17,0.889424,0.970281,0.889424,0.970281,3517.5845409824
2012-02-20,0.970281,0.970281,0.808567,0.889424,16882.512076909
2012-02-21,0.889424,0.889424,0.808567,0.889424,2981.4251207048
2012-02-22,0.889424,0.889424,0.808567,0.889424,2362.4154588832
2012-02-23,0.889424,0.970281,0.808567,0.808567,9171.5217389208
2012-02-24,0.808567,0.889424,0.808567,0.889424,6823.309178588
2012-02-27,0.889424,0.889424,0.808567,0.808567,1042.7294685752
2012-02-28,0.889424,1.13199,0.889424,1.13199,89189.468596995
2012-02-29,1.13199,1.13199,1.05114,1.05114,19334.879226611
2012-03-01,1.05114,1.05114,0.970281,1.05114,7249.3961351
2012-03-02,1.05114,1.05114,0.970281,0.970281,9506.4734297344
2012-03-05,0.970281,1.05114,0.889424,0.889424,29386.980675657
2012-03-06,0.889424,0.970281,0.889424,0.889424,7155.8937196432
2012-03-07,0.889424,0.970281,0.808567,0.970281,15160.410627673
2012-03-08,0.970281,0.970281,0.889424,0.970281,5954.5652172552
2012-03-09,0.889424,0.970281,0.889424,0.970281,5071.618357372
2012-03-12,0.889424,0.889424,0.808567,0.889424,7658.9130433032
2012-03-13,0.970281,1.13199,0.970281,0.970281,27366.618356862
2012-03-14,1.05114,1.13199,0.970281,1.05114,24946.207728898
2012-03-15,1.05114,1.05114,1.05114,1.05114,7112.1014491128
2012-03-16,1.05114,1.13199,1.05114,1.05114,4114.1062800992
2012-03-19,0.970281,0.970281,0.970281,0.970281,2900.9420289192
2012-03-20,0.970281,0.970281,0.970281,0.970281,7197.3188404152
2012-03-21,0.970281,1.05114,0.970281,1.05114,494.7342995056
2012-03-22,1.05114,1.05114,0.970281,1.05114,1749.3236714576
2012-03-23,1.05114,1.05114,1.05114,1.05114,218.961352652
2012-03-26,0.970281,1.05114,0.889424,1.05114,2763.647342932
2012-03-27,0.970281,1.05114,0.970281,1.05114,1707.8985506856
2012-03-28,1.05114,1.05114,0.889424,0.889424,18442.463767694
2012-03-29,0.889424,0.889424,0.889424,0.889424,3292.7053139344
2012-03-30,0.889424,0.970281,0.889424,0.889424,168.0676328464
2012-04-02,0.889424,0.889424,0.889424,0.889424,123.0917874368
2012-04-03,0.889424,0.889424,0.808567,0.889424,6343.961352512
2012-04-04,0.889424,0.889424,0.889424,0.889424,123.0917874368
2012-04-05,0.889424,0.889424,0.889424,0.889424,3215.7729467864
2012-04-10,0.889424,0.970281,0.889424,0.970281,134.9275362288
2012-04-11,0.889424,0.889424,0.889424,0.889424,123.0917874368
2012-04-12,0.889424,0.889424,0.808567,0.808567,8343.0193234808
2012-04-13,0.808567,0.808567,0.808567,0.808567,5298.8647341784
2012-04-16,0.808567,0.808567,0.808567,0.808567,123.0917874368
2012-04-17,0.808567,0.808567,0.808567,0.808567,1236.835748764
2012-04-18,0.808567,0.808567,0.808567,0.808567,933.8405796888
2012-04-19,0.808567,0.808567,0.808567,0.808567,123.0917874368
2012-04-20,0.808567,0.808567,0.727711,0.808567,9988.1884055688
2012-04-23,0.808567,0.808567,0.646854,0.727711,11913.864734027
2012-04-24,0.727711,0.727711,0.727711,0.727711,1557.5845410272
2012-04-25,0.727711,0.727711,0.646854,0.646854,410.7004830824
2012-04-26,0.646854,0.646854,0.646854,0.646854,160.9661835712
2012-04-27,0.646854,0.646854,0.646854,0.646854,123.0917874368
2012-04-30,0.646854,0.646854,0.646854,0.646854,153.864734296
2012-05-02,0.646854,0.808567,0.646854,0.808567,10498.309178504
2012-05-04,0.808567,0.808567,0.727711,0.727711,2676.0628018712
2012-05-07,0.727711,0.727711,0.727711,0.727711,1378.864734268
2012-05-08,0.727711,0.808567,0.727711,0.808567,3283.2367149008
2012-05-09,0.808567,0.808567,0.808567,0.808567,123.0917874368
2012-05-10,0.808567,0.808567,0.727711,0.808567,2980.2415458256
2012-05-11,0.808567,0.808567,0.727711,0.727711,205.9420289808
2012-05-14,0.727711,0.727711,0.727711,0.727711,804.830917856
2012-05-15,0.727711,0.727711,0.727711,0.727711,142.028985504
2012-05-16,0.727711,0.808567,0.727711,0.727711,3205.1207728736
