Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-01-15,9.45854,9.45854,9.45854,9.45854,105.575
2003-01-16,8.98595,8.98595,8.98595,8.98595,53.3
2003-01-17,8.98595,8.98595,8.98595,8.98595,53.3
2003-02-24,6.99961,6.99961,6.99961,6.99961,2711.125
2003-02-25,8.89141,8.89141,8.89141,8.89141,36.9
2003-02-26,5.48615,5.48615,5.48615,5.48615,5749.225
2003-03-04,5.48615,5.48615,4.72946,4.72946,12919.1
2003-03-05,4.72946,4.72946,4.72946,4.72946,528.9
2003-03-10,5.39161,5.39161,4.72946,4.72946,13215.325
2003-03-12,4.72946,4.72946,4.72946,4.72946,951.2
2003-03-17,5.29698,5.29698,4.72946,4.72946,11629.65
2003-03-21,4.72946,4.72946,4.72946,4.72946,3700.25
2003-03-24,5.1078,5.1078,4.72946,4.72946,10266.4
2003-03-25,4.72946,4.72946,4.72946,4.72946,569.9
2003-03-26,4.96595,4.96595,4.96595,4.96595,557.6
2003-03-28,4.96595,4.96595,4.96595,4.96595,1776.325
2003-03-31,4.72946,4.72946,4.72946,4.72946,703.15
2003-04-08,5.20244,6.62127,5.20244,6.62127,1763
2003-04-09,8.13463,8.98595,5.67532,5.67532,2082.8
2003-04-10,8.51298,8.51298,5.67532,5.67532,1374.525
2003-04-17,5.39161,5.39161,5.39161,5.39161,592.45
2003-04-23,6.62127,6.62127,6.62127,6.62127,105.575
2003-04-24,6.14829,6.52663,6.14829,6.52663,791.3
2003-04-25,4.77678,4.77678,4.77678,4.77678,203.975
2003-05-05,4.72946,4.72946,4.72946,4.72946,97.375
2003-05-12,4.72946,4.72946,4.72946,4.72946,8.2
2003-05-14,4.72946,4.72946,4.72946,4.72946,235.75
2003-05-15,5.39161,5.39161,5.39161,5.39161,1.025
2003-05-23,5.20244,5.20244,5.20244,5.20244,308.525
2003-05-26,5.67532,5.67532,5.67532,5.67532,528.9
2003-05-27,5.20244,5.20244,5.20244,5.20244,528.9
2003-05-28,6.14829,6.14829,5.67532,5.67532,758.5
2003-05-29,5.6281,5.76995,5.6281,5.67532,1480.1
2003-06-02,7.56712,9.31707,5.86449,6.81044,111220.7
2003-06-03,6.66849,6.66849,6.62127,6.62127,475.6
2003-06-04,7.09415,7.09415,7.09415,7.09415,1638.975
2003-06-23,4.87132,4.87132,4.72946,4.72946,154.775
2003-06-27,6.62127,6.62127,6.62127,6.62127,129.15
2003-07-01,6.62127,6.62127,6.62127,6.62127,293.15
2003-07-08,6.62127,6.62127,6.62127,6.62127,87.125
2003-07-10,6.05366,6.05366,6.05366,6.05366,223.45
2003-07-21,8.22927,8.22927,8.22927,8.22927,2009
2003-07-24,4.77678,4.824,4.72946,4.824,999.375
2003-07-25,5.72263,5.72263,5.72263,5.72263,350.55
2003-07-28,6.52663,6.52663,6.52663,6.52663,528.9
2003-08-01,5.76995,5.86449,5.76995,5.86449,1972.1
2003-08-05,6.24293,6.24293,6.24293,6.24293,1070.1
2003-08-08,6.14829,6.14829,6.14829,6.14829,951.2
2003-08-11,6.14829,6.14829,6.14829,6.14829,548.375
2003-08-12,5.67532,6.14829,5.67532,6.14829,634.475
2003-08-14,5.72263,5.72263,5.72263,5.72263,199.875
2003-08-18,5.67532,5.76995,5.67532,5.76995,1777.35
2003-08-19,5.67532,5.67532,5.67532,5.67532,316.725
2003-08-20,5.67532,5.67532,5.67532,5.67532,7448.675
2003-08-21,5.67532,5.67532,5.67532,5.67532,1029.1
2003-08-25,5.67532,5.67532,5.67532,5.67532,1056.775
2003-09-18,5.76995,5.76995,5.76995,5.76995,160.925
2003-09-26,4.77678,5.81727,4.77678,5.81727,1846.025
2003-09-29,4.824,4.824,4.824,4.824,88.15
2003-10-13,5.67532,5.67532,5.67532,5.67532,97.375
2003-10-14,6.14829,6.14829,5.86449,5.86449,1138.775
2003-10-15,6.10098,6.10098,5.67532,5.67532,205
2003-10-17,6.10098,6.14829,6.10098,6.14829,1585.675
2003-10-20,6.14829,6.52663,6.14829,6.52663,1420.65
2003-10-21,6.52663,6.52663,6.52663,6.52663,316.725
2003-10-23,6.52663,7.47259,6.52663,7.42527,908.15
2003-10-27,6.62127,6.62127,6.62127,6.62127,1056.775
2003-10-29,7.42527,7.56712,7.42527,7.56712,1268.95
2003-10-31,7.37795,7.42527,7.37795,7.42527,2334.95
2003-11-03,7.42527,7.42527,7.42527,7.42527,316.725
2003-11-04,7.37795,7.37795,7.37795,7.37795,528.9
2003-11-12,7.37795,7.37795,7.37795,7.37795,1585.675
2003-11-13,7.47259,7.47259,7.42527,7.42527,1047.55
2003-11-14,7.5198,7.5198,7.5198,7.5198,969.65
2003-11-26,6.05366,6.05366,6.05366,6.05366,316.725
2003-12-01,7.37795,7.37795,6.05366,6.05366,1934.175
2003-12-02,6.05366,6.81044,6.05366,6.81044,1620.525
2003-12-04,7.09415,7.09415,7.09415,7.09415,370.025
2003-12-09,7.37795,7.5198,7.37795,7.5198,2114.575
2003-12-15,7.37795,7.37795,7.37795,7.37795,31.775
2003-12-17,7.94546,7.94546,7.94546,7.94546,1195.15
2003-12-18,7.94546,7.94546,7.37795,7.37795,3249.25
2003-12-23,7.94546,8.0401,7.94546,8.0401,2848.475
2003-12-29,7.94546,8.41844,7.94546,8.41844,4016.975
2003-12-30,8.41844,8.41844,8.41844,8.41844,134.275
2003-12-31,8.89141,8.89141,8.89141,8.89141,1056.775
2004-01-02,8.89141,8.89141,8.89141,8.89141,264.45
2004-01-06,8.51298,8.51298,8.51298,8.51298,316.725
2004-01-07,8.51298,8.51298,8.51298,8.51298,211.15
2004-01-13,8.51298,8.51298,8.51298,8.51298,1113.15
2004-01-21,7.75629,7.75629,7.75629,7.75629,215.25
2004-01-22,8.51298,8.51298,8.51298,8.51298,211.15
2004-01-23,8.89141,13.2429,8.89141,13.2429,2153.525
2004-01-27,9.3639,9.3639,9.3639,9.3639,154.775
2004-01-30,9.08059,9.08059,9.08059,9.08059,158.875
2004-02-02,9.08059,9.3639,9.08059,9.3639,115.825
2004-02-03,9.3639,9.3639,9.3639,9.3639,211.15
2004-02-04,9.3639,9.3639,9.08059,9.08059,363.875
2004-02-05,8.98595,9.1278,8.98595,9.1278,316.725
2004-02-06,9.45854,9.83707,9.45854,9.83707,941.975
2004-02-09,9.83707,9.83707,9.45854,9.83707,1465.75
2004-02-10,9.83707,10.0263,9.83707,10.0263,1585.675
2004-02-11,9.93171,9.93171,9.93171,9.93171,2114.575
