Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-12,5.45787,5.80616,5.45212,5.71082,965384.66378252
2011-04-13,5.73314,5.84554,5.6883,5.70507,320260.00000898
2011-04-14,5.6883,5.6883,5.57007,5.60389,108098.96943534
2011-04-15,5.59833,5.62066,5.35649,5.56451,120973.65939204
2011-04-18,5.55886,5.70507,5.45787,5.62066,158766.96943677
2011-04-19,5.56451,5.75566,5.56451,5.72759,63008.331879496
2011-04-20,5.677,5.73314,5.64883,5.677,18608.602620609
2011-04-21,5.677,5.75566,5.6265,5.74445,175318.50218832
2011-04-26,5.76131,6.04225,5.76131,5.99175,146109.36244951
2011-04-27,5.99175,6.40194,5.95802,6.27288,150018.94323565
2011-04-28,6.24471,6.37942,6.23896,6.31772,43947.820961931
2011-04-29,6.23896,6.32902,6.23896,6.27843,15927.41921442
2011-05-02,6.23896,6.23896,6.13797,6.21654,12224.4847165
2011-05-04,6.16048,6.30085,5.90188,6.26713,71520.489084974
2011-05-05,6.23896,6.32347,6.07042,6.30085,32861.97816686
2011-05-06,6.2953,6.36821,6.08163,6.36821,61732.969434045
2011-05-09,6.27843,6.37396,6.12656,6.32347,17597.2882101
2011-05-10,6.28955,6.35135,6.14908,6.32347,27528.834061907
2011-05-11,6.15464,6.35135,6.15464,6.31772,29066.157206055
2011-05-12,6.22219,6.34589,6.22219,6.34004,31283.951965942
2011-05-13,6.26713,6.34589,6.26713,6.31216,31136.794760698
2011-05-16,6.2953,6.34589,6.21098,6.26713,37996.825328576
2011-05-17,6.18856,6.2953,6.15464,6.1829,20861.882096655
2011-05-18,6.1829,6.35135,6.1829,6.35135,64938.074237628
2011-05-19,6.34589,6.62692,6.21098,6.54269,59324.183407777
2011-05-20,6.47476,6.57594,6.46393,6.55975,20472.593887037
2011-05-23,6.46949,6.46949,6.34589,6.46393,13927.751092094
2011-05-24,6.36821,6.46949,6.36821,6.46949,6074.148471786
2011-05-25,6.46393,6.46393,6.25026,6.40778,32148.109171207
2011-05-26,6.27288,6.45847,6.25582,6.39638,2465.1441048726
2011-05-27,6.45847,6.46393,6.18856,6.32347,5743.3056770169
2011-05-30,6.23896,6.57058,6.1829,6.42446,30905.100437548
2011-05-31,6.40778,6.4189,6.18856,6.23896,5136.9344979606
2011-06-01,6.21098,6.2953,6.13231,6.2953,3435.7554586116
2011-06-02,6.28955,6.35135,6.1829,6.32347,10674.637554884
2011-06-03,6.18856,6.35135,6.18856,6.35135,11007.567685898
2011-06-06,6.18856,6.32347,6.1829,6.23896,4759.126637688
2011-06-07,6.23896,6.2953,5.677,6.17725,12113.855895536
2011-06-08,6.17725,6.28955,5.97489,6.26713,9323.0873365059
2011-06-09,6.12656,6.23349,6.12656,6.1829,4607.7947599545
2011-06-10,6.1829,6.1829,6.12656,6.1829,4998.1266376947
2011-06-13,6.12656,6.1829,6.12656,6.17725,6255.7467250662
2011-06-14,5.97489,6.21098,5.95802,6.1211,44963.310044929
2011-06-15,5.95802,6.1211,5.78929,6.07042,8799.1659391113
2011-06-16,5.82321,6.1211,5.78929,5.95802,8189.6637556881
2011-06-17,5.76131,5.91864,5.76131,5.80616,5795.4890831319
2011-06-20,5.76131,5.76131,5.56451,5.72759,30547.122271599
2011-06-21,5.62066,5.62066,5.56451,5.62066,2896.1790393825
2011-06-22,5.62066,5.67134,5.57007,5.62066,54278.048036456
2011-06-24,5.54218,5.56451,5.54218,5.54774,2370.1703057433
2011-06-27,5.54774,5.62066,5.48019,5.6151,3457.6724891799
2011-06-28,5.48019,5.53643,5.45212,5.45212,5749.5676857507
2011-06-29,5.45212,5.6151,5.34538,5.6151,11350.934498135
2011-06-30,5.59258,5.59258,5.37901,5.58712,2263.7161572687
2011-07-01,5.35103,5.60945,5.35103,5.60389,8526.768559191
2011-07-04,5.60389,5.60945,5.60389,5.60389,2331.5545852182
2011-07-05,5.40162,5.55886,5.40162,5.50826,5694.2532752688
2011-07-06,5.5028,5.50826,5.5028,5.50826,2667.6157205988
2011-07-07,5.50826,5.50826,5.45212,5.5028,6383.0742359868
2011-07-08,5.35103,5.53078,5.35103,5.46888,6741.0524019357
2011-07-11,5.37901,5.5028,5.33972,5.49705,4169.4541485885
2011-07-12,5.33972,5.46342,5.26681,5.45787,3009.9388647132
2011-07-13,5.33972,5.4915,5.29469,5.47463,4114.1397381066
2011-07-14,5.33972,5.46342,5.32286,5.37901,3724.8515284887
2011-07-15,5.17674,5.33972,5.17674,5.33398,14190.755458913
2011-07-18,5.32851,5.33398,4.8114,5.0586,37488.558953016
2011-07-19,4.89016,5.0586,4.86199,4.86199,4246.6855896387
2011-07-20,4.86199,4.89016,4.77757,4.8845,1034.2751091993
2011-07-21,4.80574,4.8845,4.80574,4.8845,281.790393021
2011-07-22,4.80574,4.90146,4.80574,4.90146,1276.4061135729
2011-07-25,4.8114,4.8114,4.77757,4.80574,4189.2838429122
2011-07-26,4.77757,4.77757,4.72708,4.77757,1981.9257642477
2011-07-27,4.83391,4.83391,4.66528,4.80574,736.8296943438
2011-07-28,4.66528,4.80574,4.55279,4.80574,397.6375545963
2011-07-29,4.80574,4.80574,4.56409,4.60903,4475.2489084224
2011-08-01,4.55279,4.58086,4.22682,4.34487,4570.2227075517
2011-08-02,4.36729,4.49108,4.23813,4.49108,6822.4585154751
2011-08-03,4.60338,4.60338,4.15381,4.43484,36530.471616745
2011-08-04,4.22127,4.22127,4.10878,4.21571,8641.572052644
2011-08-05,3.97387,4.21571,3.87824,4.21571,9044.4279478518
2011-08-08,3.93458,4.25499,3.87824,4.06959,47994.122272088
2011-08-09,3.76585,3.77151,3.37243,3.42868,21001.733625043
2011-08-10,3.42868,3.65336,3.20389,3.42868,29841.602620924
2011-08-11,3.37243,3.7097,3.27135,3.54107,13254.58515321
2011-08-12,3.90641,3.90641,3.7097,3.8221,4483.5982534008
2011-08-16,3.90641,4.20431,3.90641,4.20431,3536.9912664747
2011-08-17,4.21571,4.21571,4.17058,4.17058,448.777292589
2011-08-18,3.99073,3.99073,3.7097,3.96256,3288.5982533673
2011-08-19,3.79402,3.92328,3.79402,3.92328,3558.908297043
2011-08-22,3.8221,3.8221,3.8221,3.8221,52.183406115
2011-08-23,3.93458,3.93458,3.65336,3.65336,3482.7205241151
2011-08-24,3.65336,3.65336,3.65336,3.65336,2238.6681223335
2011-08-25,3.65336,3.65336,3.65336,3.65336,280.7467248987
2011-08-26,3.65336,3.65336,3.65336,3.65336,343.3668122367
2011-08-29,3.65336,3.90641,3.37243,3.4006,9728.0305679583
2011-08-30,3.42868,3.648,3.42868,3.48492,3399.2270743311
2011-08-31,3.648,3.69849,3.37243,3.3893,4831.1397381267
2011-09-01,3.48492,3.48492,3.37243,3.37243,1850.4235808379
2011-09-02,3.37243,3.37243,3.14765,3.14765,767.0960698905
2011-09-05,3.03535,3.14765,2.92833,2.93407,6273.4890831453
2011-09-06,2.93407,2.93407,2.86652,2.86652,2414.0043668799
2011-09-07,2.86652,3.08594,2.81047,3.08594,16890.724891303
2011-09-08,3.0914,3.0914,2.97901,3.0914,6580.3275111015
2011-09-09,3.26014,3.54107,3.26014,3.5129,7947.5327513145
2011-09-12,3.37243,3.37243,3.0914,3.31619,19578.170306226
2011-09-13,3.31619,3.3274,3.04081,3.31073,5456.2969433844
2011-09-14,3.37243,3.5129,3.31073,3.31073,6653.3842796625
2011-09-15,3.31073,3.54107,3.31073,3.54107,24367.56331946
2011-09-16,3.55784,3.55784,3.54107,3.55784,2266.8471616356
2011-09-19,3.31073,3.55218,3.31073,3.55218,1476.7903930545
2011-09-21,3.31619,3.31619,3.31619,3.31619,354.847161582
2011-09-22,3.31619,3.42312,3.31619,3.42312,8539.2925766586
2011-09-23,3.39514,3.45685,3.26014,3.45685,5043.0043669536
2011-09-26,3.28821,3.28821,3.26014,3.26569,2760.5021834835
2011-09-27,3.26569,3.26569,3.10836,3.25448,5064.9213975219
2011-09-29,3.04081,3.22641,2.92277,3.11957,77922.349347163
2011-09-30,3.14199,3.23197,3.0914,3.0914,2433.8340612036
2011-10-03,3.0296,3.0296,3.00709,3.00709,1148.03493453
2011-10-04,2.86652,3.10836,2.86652,3.10836,926.7772926024
2011-10-05,3.0914,3.0914,3.08594,3.0914,1796.1528384783
2011-10-06,3.03535,3.2151,2.92833,2.92833,3581.8689957336
2011-10-07,2.97901,2.97901,2.89469,2.97901,4416.8034935736
2011-10-10,2.99032,2.99032,2.97901,2.98467,6411.2532752889
2011-10-11,2.99032,2.99032,2.99032,2.99032,1778.4104803992
2011-10-12,3.01274,3.01274,3.01274,3.01274,2947.3187773752
2011-10-13,3.03535,3.03535,3.03535,3.03535,3094.4759826195
2011-10-14,3.0914,3.09706,3.0914,3.09706,15637.279476421
2011-10-17,3.12513,3.12513,3.12513,3.12513,62.620087338
2011-10-18,3.12513,3.12513,3.11957,3.12513,2163.5240175279
2011-10-19,3.11957,3.11957,3.11957,3.11957,4258.165938984
2011-10-20,3.11957,3.11957,3.11957,3.11957,250.480349352
2011-10-21,3.14765,3.14765,3.14765,3.14765,267.1790393088
2011-10-24,3.11957,3.20389,3.11957,3.20389,8459.9737993638
2011-10-25,3.15321,3.48492,3.14765,3.48492,3792.6899564382
2011-10-26,3.45685,3.48492,3.26569,3.26569,9315.7816596498
2011-10-27,3.48492,3.59166,3.48492,3.58601,1248.2270742708
2011-10-28,3.58601,3.58601,3.5129,3.58601,983.1353712066
2011-10-31,3.58601,3.58601,3.58601,3.58601,200.3842794816
2011-11-02,3.58045,3.59731,3.3274,3.3274,10465.903930424
2011-11-03,3.59166,3.648,3.41181,3.41737,6768.1877731155
2011-11-04,3.42312,3.42312,3.42312,3.42312,1949.5720524564
2011-11-07,3.43433,3.43433,3.3274,3.43433,4404.279476106
2011-11-08,3.42868,3.53551,3.42868,3.53551,584.454148488
2011-11-09,3.53551,3.53551,3.14765,3.14765,9030.8602622619
2011-11-10,3.26014,3.45685,3.26014,3.45685,1998.6244542045
2011-11-14,3.45685,3.45685,3.45685,3.45685,30.2663755467
2011-11-15,3.42868,3.45119,3.4006,3.45119,499.9170305817
2011-11-16,3.41737,3.45119,3.41737,3.45119,368.4148471719
2011-11-17,3.25448,3.37243,3.15321,3.37243,1859.8165939386
2011-11-18,3.37243,3.45685,3.26014,3.45685,1020.7074236094
2011-11-23,3.04081,3.37243,3.04081,3.37243,794.2314410703
2011-11-25,3.36678,3.36678,3.36678,3.36678,116.8908296976
2011-11-29,3.05202,3.37243,3.05202,3.37243,2027.8471616289
2011-11-30,3.37119,3.48693,3.13375,3.37119,4275.9082970631
2011-12-01,3.35557,3.35557,3.34445,3.34445,36633.794760852
2011-12-02,3.3388,3.37243,3.3388,3.37243,1683.4366812699
2011-12-05,3.36678,3.36678,3.12513,3.36113,369.4585152942
2011-12-06,3.13078,3.31619,3.0914,3.31619,2106.1222708014
2011-12-07,3.31619,3.34445,3.14765,3.31619,27554.925764965
2011-12-08,3.31619,3.48492,3.31619,3.37243,3259.3755459429
2011-12-09,3.5129,3.5129,3.5129,3.5129,129.4148471652
2011-12-12,3.37243,3.54107,3.37243,3.54107,1851.4672489602
2011-12-13,3.37243,3.54107,3.37243,3.54107,83329.593888799
2011-12-14,3.26014,3.36678,3.17572,3.36678,7495.6244543586
2011-12-15,3.09706,3.37243,3.09706,3.31619,3769.7292577476
2011-12-16,3.31619,3.42312,3.26014,3.42312,1424.6069869395
2011-12-19,3.40616,3.40616,3.10836,3.35001,22793.711791032
2011-12-20,3.11957,3.30488,3.11957,3.30488,237.9563318844
2011-12-21,3.0914,3.29942,3.0914,3.26014,421.6419214092
2011-12-22,3.10261,3.26014,3.0914,3.09706,4409.4978167175
2011-12-23,3.09706,3.24318,3.03535,3.24318,7228.4454150498
2011-12-27,3.03535,3.03535,2.92277,3.00709,3445.1484717123
2011-12-28,3.00709,3.00709,3.00709,3.00709,1514.3624454573
2011-12-29,3.03535,3.0914,3.00709,3.00709,1156.3842795084
2011-12-30,3.08872,3.21721,3.08872,3.18511,31780.737992157
2012-01-02,3.23197,3.35557,3.0914,3.35557,2885.7423581595
2012-01-03,3.34445,3.65336,3.34445,3.65336,4282.1703057969
2012-01-04,3.62548,3.62548,3.45685,3.45685,438.340611366
2012-01-05,3.58601,3.58601,3.4006,3.4006,613.6768559124
2012-01-09,3.45685,3.45685,3.20389,3.31619,6809.9344980075
2012-01-10,3.36678,3.36678,3.36678,3.36678,1.0436681223
2012-01-11,3.36678,3.36678,3.36678,3.36678,3559.9519651653
