Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-02-10,32.2915,32.2915,32.2915,32.2915,427725.9
1997-02-11,25.4425,25.4425,25.4425,25.4425,757622.28
1997-02-12,19.8264,19.8264,19.8264,19.8264,445543.44
1997-02-13,22.4321,22.4321,22.4321,22.4321,199160.22
1997-02-14,24.7368,24.7368,24.7368,24.7368,148529.32
1997-02-17,28.0689,28.0689,28.0689,28.0689,190196.86
1997-02-18,26.2547,26.2547,26.2547,26.2547,136725.16
1997-02-19,25.0774,25.0774,25.0774,25.0774,101324.34
1997-02-20,24.8057,24.8057,24.8057,24.8057,150563.46
1997-02-21,24.5208,24.5208,24.5208,24.5208,59255.06
1997-02-24,24.5453,24.5453,24.5453,24.5453,65487.86
1997-02-25,24.5387,24.5387,24.5387,24.5387,63936.02
1997-02-26,24.3594,24.3594,24.3594,24.3594,42556.88
1997-02-27,24.3774,24.3774,24.3774,24.3774,135159.54
1997-02-28,25.5434,25.5434,25.5434,25.5434,49547.58
1997-03-03,25.0708,25.0708,25.0708,25.0708,47996.8
1997-03-04,24.217,24.217,24.217,24.217,33399.54
1997-03-05,23.3745,23.3745,23.3745,23.3745,53923.26
1997-03-06,23.3,23.3,23.3,23.3,28777.94
1997-03-07,22.9972,22.9972,22.9972,22.9972,34337.64
1997-03-10,22.8113,22.8113,22.8113,22.8113,19184.94
1997-03-11,22.6755,22.6755,22.6755,22.6755,30555.56
1997-03-12,22.8368,22.8368,22.8368,22.8368,14632.24
1997-03-13,22.7925,22.7925,22.7925,22.7925,16163.94
1997-03-14,22.7491,22.7491,22.7491,22.7491,13905.08
1997-03-17,22.5642,22.5642,22.5642,22.5642,18799.1
1997-03-18,22.0802,22.0802,22.0802,22.0802,28845.78
1997-03-19,21.9764,21.9764,21.9764,21.9764,23513.98
1997-03-20,21.8387,21.8387,21.8387,21.8387,18977.18
1997-03-21,21.2557,21.2557,21.2557,21.2557,101809.82
1997-03-24,20.9906,20.9906,20.9906,20.9906,44783.94
1997-03-25,20.5453,20.5453,20.5453,20.5453,40647.82
1997-03-26,19.9368,19.9368,19.9368,19.9368,45316.06
1997-03-27,20.6009,20.6009,20.6009,20.6009,79798.92
1997-03-28,20.3906,20.3906,20.3906,20.3906,59011.26
1997-04-01,20.2104,20.2104,20.2104,20.2104,6927.1
1997-04-02,20.7566,20.7566,20.7566,20.7566,38710.14
1997-04-03,22.484,22.484,22.484,22.484,69443.78
1997-04-04,21.9387,21.9387,21.9387,21.9387,30314.94
1997-04-07,20.9594,20.9594,20.9594,20.9594,27406.3
1997-04-08,21.4679,21.4679,21.4679,21.4679,9675.68
1997-04-09,21.5047,21.5047,21.5047,21.5047,16440.6
1997-04-10,21.3755,21.3755,21.3755,21.3755,21009.2
1997-04-11,21.9264,21.9264,21.9264,21.9264,14743.54
1997-04-14,21.7528,21.7528,21.7528,21.7528,16343.08
1997-04-15,21.5594,21.5594,21.5594,21.5594,12096.72
1997-04-16,21.4547,21.4547,21.4547,21.4547,8867.96
1997-04-17,21.9387,21.9387,21.9387,21.9387,11984.36
1997-04-18,21.8764,21.8764,21.8764,21.8764,15584.12
1997-04-21,21.6481,21.6481,21.6481,21.6481,11126.82
1997-04-22,21.4613,21.4613,21.4613,21.4613,23868.02
1997-04-23,21.5538,21.5538,21.5538,21.5538,29052.48
1997-04-24,21.6283,21.6283,21.6283,21.6283,25693.34
1997-04-25,21.7028,21.7028,21.7028,21.7028,28971.92
1997-04-28,21.4547,21.4547,21.4547,21.4547,7992.4
1997-04-29,21.3377,21.3377,21.3377,21.3377,13308.3
1997-04-30,21.4066,21.4066,21.4066,21.4066,7156.06
