Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-11-21,10,12.4,8.99,10.86,32612
2022-11-22,10.8,12.3,9.42,10.4,9322
2022-11-23,10.16,10.69,10.16,10.18,2803
2022-11-24,10.18,10.2,9.9,10,1898
2022-11-25,10,10,9.8,9.9,880
2022-11-28,9.99,9.99,9.76,9.76,776
2022-11-29,9.76,9.8,9.62,9.63,1374
2022-11-30,9.63,9.63,9.3,9.31,2465
2022-12-01,9.33,9.39,9.32,9.39,450
2022-12-02,9.36,9.36,9.221,9.221,783
2022-12-05,9.221,9.221,9.12,9.2,693
2022-12-06,9.2,9.2,9.2,9.2,3
2022-12-07,9.141,9.141,8.8,8.81,2263
2022-12-08,8.7,8.7,8.7,8.7,20
2022-12-09,8.601,9,8.601,9,1175
2022-12-12,9,9,8.55,8.95,975
2022-12-13,8.95,8.95,8.95,8.95,3
2022-12-15,8.94,8.94,8.94,8.94,1
2022-12-16,8.6,8.8,8.41,8.41,678
2022-12-19,8.4,8.4,8,8,950
2022-12-20,8,8.1,7.996,8.1,392
2022-12-21,8.2,8.8,8.2,8.799,603
2022-12-22,8.798,9.1,8.798,9.1,1000
2022-12-23,8.55,8.55,8.55,8.55,220
2022-12-27,8.5,8.8,8.5,8.8,45
2022-12-28,8.7,8.9,8.4,8.4,105
2022-12-30,8.411,8.5,8.411,8.5,160
2023-01-02,8.41,8.41,8.2,8.2,1175
2023-01-03,8.2,8.58,8.1,8.58,3177
2023-01-04,8.55,8.55,8.54,8.54,45
2023-01-05,8.55,8.55,8.2,8.5,525
2023-01-09,8.55,8.82,8.15,8.499,2565
2023-01-10,8.499,8.499,8.499,8.499,5
2023-01-11,8.498,8.878,8.498,8.87,610
2023-01-12,8.86,8.86,8.86,8.86,17
2023-01-13,8.6,8.6,8.42,8.42,616
2023-01-16,8.422,8.6,8.422,8.6,2447
2023-01-18,8.85,8.87,8.6,8.6,850
2023-01-19,8.5,8.5,8.36,8.36,300
2023-01-20,8.54,8.54,8.54,8.54,5
2023-01-23,8.54,8.7,8.5,8.7,900
2023-01-25,8.7,9.26,8.7,9.26,2673
2023-01-26,9.26,9.26,9.26,9.26,3
2023-01-27,9.26,9.4,9.26,9.4,642
2023-01-30,9.44,10.2,9.44,10,1770
2023-01-31,10,10,9.5,9.5,226
2023-02-01,9.5,9.52,9.5,9.5,1536
2023-02-03,9.78,10.8,9.78,10.7,1623
2023-02-06,10.8,10.8,9.6,9.6,490
2023-02-07,9.6,9.6,9.6,9.6,300
2023-02-08,9.5,9.5,9.3,9.3,120
2023-02-09,9.3,9.3,9.1,9.1,700
2023-02-10,9.2,9.2,9.2,9.2,113
2023-02-14,9.5,9.5,8.7,8.7,1470
