Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-05,0.6668,0.7858,0.5858,0.6382,827369
2011-07-06,0.6191,0.8382,0.5477,0.8382,347758
2011-07-07,1.0049,1.2049,0.9049,1.0668,160309
2011-07-08,1.0478,1.143,0.8382,0.9954,247998
2011-07-11,0.8811,1.0525,0.8573,1.0335,132940
2011-07-12,0.9049,1.0335,0.9049,0.9049,11056
2011-07-13,0.8668,1.3002,0.7953,1.3002,82421
2011-07-14,1.5526,1.8478,1.243,1.2478,75535
2011-07-15,1.0811,1.2478,0.9573,0.9573,222372
2011-07-18,0.9049,1.3764,0.862,1.1049,103945
2011-07-19,1.2573,1.2621,1.1049,1.224,36120
2011-07-20,1.2192,1.2192,1.0859,1.1335,56541
2011-07-21,1.0859,1.6288,0.9763,1.5716,100003
2011-07-22,1.5478,1.5478,1.1954,1.1954,70462
2011-07-25,1.1049,1.2573,1.0001,1.1382,38036
2011-07-26,1.2001,1.3192,1.1906,1.2954,83964
2011-07-27,1.3192,1.9288,1.2668,1.905,117570
2011-07-28,2.2765,2.7289,1.905,2.4527,43427
2011-07-29,2.3765,2.3765,1.905,1.9526,28211
2011-08-01,1.9526,2.286,1.905,2.0622,19642
2011-08-02,1.905,2.7337,1.9002,2.7099,42366
2011-08-03,2.8051,2.8099,2.1717,2.3813,16268
2011-08-04,2.3669,2.3669,1.6431,1.6431,50890
2011-08-05,1.5716,1.8526,1.3145,1.7478,16781
2011-08-08,1.7478,1.8574,1.7478,1.8574,946
2011-08-09,1.4859,1.7526,1.4859,1.6573,1855
2011-08-10,1.8431,1.9098,1.4621,1.4621,9882
2011-08-11,1.4526,1.7431,1.4526,1.7383,2159
2011-08-12,1.7383,1.8812,1.4287,1.5431,36206
2011-08-16,1.6573,1.6573,1.3335,1.5669,12743
2011-08-17,1.3382,1.8574,1.3382,1.6431,22560
2011-08-18,1.6335,1.7288,1.4287,1.6907,16287
2011-08-19,1.4526,1.4716,1.3669,1.3669,43671
2011-08-22,1.3621,1.5764,1.3526,1.4478,116257
2011-08-23,1.443,1.5478,1.3526,1.5002,20924
2011-08-24,1.4478,1.5431,1.4002,1.5383,12257
2011-08-25,1.4287,1.8241,1.3906,1.8241,17262
2011-08-26,1.7145,1.8241,1.4621,1.5145,45462
2011-08-29,1.4335,1.5002,1.3859,1.4287,4211
2011-08-30,1.3906,1.405,1.3097,1.3811,16599
2011-08-31,1.3811,1.3811,1.2859,1.3192,5485
2011-09-01,1.3573,1.4287,1.3145,1.424,7482
2011-09-02,1.424,1.424,1.3954,1.3954,232
2011-09-05,1.524,1.524,1.2764,1.2764,12891
2011-09-06,1.3097,1.405,1.143,1.3906,2126
2011-09-08,1.3811,1.3906,1.143,1.3478,17196
2011-09-09,1.1906,1.3573,1.1906,1.3573,10106
2011-09-12,1.2049,1.324,1.1906,1.2001,8575
2011-09-13,1.3573,1.405,1.1001,1.3716,6999
2011-09-14,1.1001,1.2621,1.1001,1.2525,15581
2011-09-15,1.1049,1.1049,1.0478,1.0954,43507
2011-09-16,1.0478,1.1287,1.0478,1.1287,3012
2011-09-19,1.0906,1.0954,1.0478,1.0954,966
2011-09-20,1.0096,1.1144,0.9954,1.0239,7137
2011-09-21,0.9954,0.9954,0.8239,0.9668,7773
2011-09-28,0.9763,1.1573,0.8858,1.0192,16127
2011-09-29,0.9763,1.0335,0.9525,0.9525,3254
2011-09-30,0.9763,0.9763,0.9763,0.9763,209
2011-10-04,0.9668,1.1382,0.8573,0.9525,2099
2011-10-05,0.8573,0.9239,0.8573,0.9239,4377
2011-10-06,0.9239,0.9239,0.8287,0.9049,1638
2011-10-07,0.8287,0.9049,0.8239,0.9049,6991
2011-10-13,1.0096,1.0096,1.0096,1.0096,21
2011-10-14,0.9335,0.9335,0.9335,0.9335,4
2011-10-17,0.7573,0.9335,0.7573,0.9335,443
2011-10-18,0.7525,0.9335,0.7525,0.8954,1254
2011-10-19,0.7239,0.8858,0.7239,0.8715,2536
2011-10-20,0.7382,0.8715,0.7144,0.8715,13016
2011-10-21,0.7144,0.9049,0.7144,0.9049,4652
2011-10-24,0.7382,0.9049,0.7382,0.9049,1264
2011-10-25,0.7429,0.9049,0.7429,0.9049,232
2011-10-27,0.8858,1.3002,0.8858,1.0811,84299
2011-10-28,1.2811,1.2811,0.8811,1.143,22326
2011-10-31,0.9954,0.9954,0.9144,0.9763,7451
2011-11-02,0.8239,1.0001,0.8239,1.0001,27
2011-11-03,1.0239,1.0239,1.0239,1.0239,4
2011-11-04,1.0382,1.1573,0.8573,1.1335,15530
2011-11-07,1.1335,1.1335,1.0478,1.0716,1190
2011-11-08,1.1192,1.1192,0.9573,1.1144,1055
