Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-01,3.43714,3.43714,3.21811,3.28392,410879.66484883
2005-06-02,3.43714,3.65608,3.41544,3.61227,200364.71389582
2005-06-03,3.69989,3.69989,3.39344,3.52485,115844.80653914
2005-06-06,3.54656,3.54656,3.45915,3.52485,55629.585830886
2005-06-07,3.50276,3.50276,3.48095,3.50276,9900.6158037832
2005-06-08,3.54656,3.56847,3.50276,3.54656,37979.411444021
2005-06-09,3.50276,3.65608,3.48095,3.65608,61808.482288632
2005-06-10,3.65608,3.98453,3.65608,3.8094,140646.68119846
2005-06-13,3.83121,3.83121,3.74359,3.8094,40580.403269626
2005-06-14,3.7656,3.7874,3.67808,3.67808,37336.354223314
2005-06-15,3.67808,3.7656,3.63427,3.74359,41886.03542221
2005-06-16,3.74359,3.7874,3.63427,3.72179,106924.18528576
2005-06-17,3.67808,3.74359,3.67808,3.74359,8155.3215258596
2005-06-20,3.65608,3.72179,3.65608,3.72179,155.1144414164
2005-06-21,3.65608,3.67808,3.61227,3.67808,6548.70572205
2005-06-22,3.54656,3.67808,3.48095,3.65608,51019.297002562
2005-06-23,3.52485,3.65608,3.50276,3.65608,50921.708446704
2005-06-27,3.56847,3.63427,3.56847,3.63427,9973.5504086876
2005-06-28,3.61227,3.61227,3.61227,3.61227,797.1444141664
2005-06-29,3.52485,3.54656,3.50276,3.54656,9470.1989100516
2005-06-30,3.56847,3.59037,3.56847,3.59037,3630.2942779176
2005-07-01,3.54656,3.56847,3.54656,3.56847,11421.970027212
2005-07-04,3.59037,3.59037,3.59037,3.59037,685.1743869188
2005-07-06,3.54656,3.56847,3.54656,3.56847,5664.2452315896
2005-07-07,3.56847,3.59037,3.50276,3.59037,27980.179836423
2005-07-08,3.50276,3.59037,3.50276,3.59037,21743.757493119
2005-07-11,3.59037,3.59037,3.59037,3.59037,2037.0326975412
2005-07-12,3.52485,3.52485,3.52485,3.52485,1121.7547683888
2005-07-13,3.54656,3.54656,3.52485,3.54656,16012.741144363
2005-07-14,3.54656,3.54656,3.54656,3.54656,227.0217983644
2005-07-15,3.54656,3.54656,3.54656,3.54656,1178.2534059908
2005-07-18,3.56847,3.59037,3.54656,3.54656,9490.7438691796
2005-07-19,3.54656,3.56847,3.54656,3.56847,13218.626702955
2005-07-20,3.59037,3.72179,3.59037,3.72179,97250.591280344
2005-07-21,3.67808,3.72179,3.65608,3.72179,4045.3024523032
2005-07-22,3.69989,3.69989,3.67808,3.69989,12253.013623939
