Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-24,0.95,0.95,0.78,0.78,57201
2013-04-25,0.75,0.81,0.75,0.81,7420
2013-04-26,0.79,0.81,0.78,0.81,5447
2013-04-29,0.82,0.89,0.8,0.89,65117
2013-04-30,0.79,0.89,0.79,0.88,7743
2013-05-02,0.85,0.85,0.81,0.84,7800
2013-05-06,0.81,0.81,0.8,0.8,5600
2013-05-07,0.85,0.85,0.84,0.84,18
2013-05-08,0.83,0.83,0.7,0.76,7502
2013-05-09,0.83,0.83,0.71,0.78,7999
2013-05-10,0.83,0.83,0.83,0.83,6
2013-05-13,0.83,0.83,0.74,0.74,6202
2013-05-14,0.76,0.76,0.75,0.76,5077
2013-05-15,0.76,0.76,0.76,0.76,8
2013-05-16,0.76,0.76,0.7,0.7,2445
2013-05-17,0.75,0.75,0.73,0.73,10
2013-05-20,0.73,0.73,0.73,0.73,5
2013-05-21,0.73,0.73,0.73,0.73,6
2013-05-24,0.7,0.74,0.7,0.74,10355
2013-05-31,0.7,0.74,0.7,0.74,4250
2013-06-03,0.75,0.75,0.75,0.75,7002
2013-06-04,0.74,0.74,0.7,0.74,1011
2013-06-05,0.75,0.75,0.75,0.75,2
2013-06-06,0.74,0.74,0.73,0.73,11
2013-06-07,0.73,0.73,0.73,0.73,10
2013-06-10,0.73,0.73,0.7,0.73,1522
2013-06-11,0.73,0.73,0.73,0.73,8
2013-06-12,0.73,0.73,0.7,0.73,4004
2013-06-13,0.72,0.72,0.7,0.72,1802
2013-06-14,0.72,0.72,0.72,0.72,6
2013-06-17,0.72,0.72,0.72,0.72,5
2013-06-18,0.71,0.71,0.71,0.71,10
2013-06-19,0.71,0.83,0.7,0.76,104814
2013-06-20,0.77,0.77,0.7,0.76,11970
2013-06-21,0.78,0.78,0.72,0.72,650
2013-06-24,0.72,0.75,0.7,0.75,1002
2013-06-25,0.75,0.75,0.75,0.75,3
2013-06-26,0.75,0.75,0.75,0.75,3
2013-06-27,0.74,0.74,0.74,0.74,4
2013-06-28,0.75,0.77,0.73,0.77,20035
2013-07-01,0.75,0.75,0.75,0.75,3
2013-07-02,0.75,0.79,0.75,0.79,12468
2013-07-03,0.78,0.78,0.78,0.78,7
2013-07-05,0.79,0.94,0.7,0.87,13889
