Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-06-17,40,40.5,35.1,38.51,82701
2021-06-18,39.65,40.99,36.13,39.2,14916
2021-06-21,39,41,39,40.02,5015
2021-06-22,40,43,39,42.88,7491
2021-06-23,42.85,44.8,42.22,44.8,12563
2021-06-24,44.8,44.8,42.66,43.8,3356
2021-06-25,43,43,41,42.5,1622
2021-06-28,42,42,38.54,39.5,6197
2021-06-29,38.82,40,38.1,39.5,1504
2021-06-30,39.2,39.895,39,39.35,3018
2021-07-01,39.5,40.6,38.1,39.98,4963
2021-07-02,40,40.5,40,40,2312
2021-07-05,39.99,39.99,39.5,39.5,160
2021-07-06,39.48,39.9,38.515,39.9,2426
2021-07-07,39,39,38.74,39,273
2021-07-08,38.76,39.2,37.21,37.99,3961
2021-07-09,37.22,38,37.21,38,1691
2021-07-12,36.72,37.4,36.39,36.39,595
2021-07-13,37.3,37.4,36.37,37.295,1643
2021-07-14,37.1,37.1,36.36,37,1790
2021-07-15,36.41,36.41,35.05,35.99,4737
2021-07-16,35.3,36.9,35.3,36.9,1472
2021-07-19,36.89,36.89,35.44,36.59,918
2021-07-20,35.42,35.98,35.01,35.98,1849
2021-07-21,35.36,37.2,35.36,37.16,3279
2021-07-22,37,37.39,36.5,37.35,490
2021-07-23,36.51,36.51,35.05,36,2059
2021-07-26,36.18,36.28,36.18,36.26,120
2021-07-27,36.24,36.29,36.24,36.29,200
2021-07-28,36.27,36.28,34.62,35.8,1918
2021-07-29,35.8,36,33.89,35,1683
2021-07-30,34,35,33.2,34.7,1663
2021-08-02,34.95,35.95,34.95,35.2,1144
2021-08-03,35.2,35.96,35.2,35.96,197
2021-08-04,35.96,36.2,35.5,36.1,2128
2021-08-05,36.15,36.15,34.91,35.9,857
2021-08-06,35.9,35.9,34.89,35.3,1949
2021-08-09,35.48,35.48,34.8,35.3,1279
2021-08-10,35.28,35.28,34.5,35.2,772
2021-08-11,35.18,35.18,34.38,35.1,335
2021-08-12,35.1,35.17,33.8,34.39,7364
2021-08-13,34.39,34.48,34,34.46,168
2021-08-16,34.98,35.28,34.805,34.9,1803
2021-08-17,35.28,35.5,34.76,35,2040
2021-08-18,35.4,35.46,35,35.45,300
2021-08-19,34.8,35.4,34,34.9,1888
2021-08-20,34.9,34.9,34,34.885,359
2021-08-23,34.885,35.1,34.1,35.1,1763
2021-08-24,35,35,34.9,34.9,129
2021-08-25,34.88,36,34.2,35,2850
2021-08-26,35.9,35.9,35,35,1451
2021-08-27,35.69,35.89,35,35.7,701
2021-08-30,35.88,35.9,34.8,35.7,856
2021-08-31,35.78,35.78,34,35.35,1628
2021-09-01,35.445,36.9,34.98,35.7,4610
2021-09-02,35.88,36.84,35.5,36.2,4626
2021-09-03,36.2,39.3,36.2,38.35,3231
2021-09-06,38,38.45,37.05,37.94,2601
2021-09-07,37.94,38.5,36.8,38,1130
2021-09-08,37.42,38.2,37.38,38.1,1797
2021-09-09,37.36,38,36.52,37.46,3683
2021-09-10,37.46,37.47,37,37.35,533
2021-09-13,37.35,37.46,36.76,37.29,597
2021-09-14,37,37.1,36,37,711
2021-09-15,36.335,36.8,35.24,36,1361
2021-09-16,36.275,36.5,36.1,36.5,1587
2021-09-17,36.8,38,36.8,37.75,3598
2021-09-20,38.36,39.7,37.61,38.9,5522
2021-09-21,38.7,44.5,38.7,44,16886
2021-09-22,44.5,45,41.21,42.6,6298
2021-09-23,42.38,43.75,42,43.16,1994
2021-09-24,42.8,43.4,42.01,43.38,1313
2021-09-27,42.3,43.78,42.2,43.58,1284
2021-09-28,42.35,43.2,41.62,42.99,1972
2021-09-29,42.3,42.8,41.36,42,2060
2021-09-30,42,42,41.8,42,320
2021-10-01,42.1,42.36,41.32,42.36,86
2021-10-04,42.38,42.38,40,40,2462
2021-10-05,40.12,40.48,40,40,722
2021-10-06,39.85,41.52,38,39.54,6492
2021-10-07,39.595,39.6,38,39.4,2814
2021-10-08,38.6,41.6,38.5,41.6,1239
2021-10-11,40.94,40.94,40,40.92,2945
2021-10-12,41.4,41.4,40,41.29,1748
2021-10-13,40,43.99,40,42.5,2769
2021-10-14,42.98,46.2,42.98,44.9,7280
2021-10-15,44.9,45,43.72,44.4,1074
2021-10-18,44.49,44.5,44.38,44.38,1218
2021-10-19,44.5,44.5,43.02,44.48,1392
2021-10-20,44,44,43,43.98,551
2021-10-21,43,44.49,43,43.5,3359
2021-10-22,43.6,43.6,42.9,43.47,987
2021-10-25,43.46,44,42.82,44,354
2021-10-26,44,44,44,44,205
2021-10-27,44,44,42.96,43.5,973
2021-10-28,42.9,43.5,42.82,43.46,136
2021-10-29,43.4,43.4,43.3,43.3,496
2021-11-02,43.3,43.3,43,43,1123
2021-11-03,42.6,43,41.52,42.48,1975
2021-11-04,42.49,43.45,42,43,1412
2021-11-05,42,43,40.7,41.11,4049
2021-11-08,42.69,42.69,40.04,40.5,1808
2021-11-09,41,41.5,36.69,37,9103
2021-11-10,35.26,38,35.01,35.93,2840
2021-11-12,37.97,37.97,36.5,37.11,3315
2021-11-15,37.18,37.18,35.12,37.12,1665
2021-11-16,36.1,36.9,35.58,36.9,1621
2021-11-17,36.92,36.92,35.335,35.69,3084
2021-11-18,35.3,35.3,32,32.5,14018
2021-11-19,33,34.82,33,34.595,5676
2021-11-22,34.3,34.7,33.3,34.3,1584
2021-11-23,34.28,34.28,33,33.9,487
2021-11-24,33.01,33.01,32.42,32.595,1731
2021-11-25,32,34,32,33,1685
2021-11-26,32.3,32.98,31.61,32.98,1003
2021-11-29,33.8,33.8,32,33,1373
2021-11-30,33,33,31.8,32.5,416
2021-12-01,31.1,32,31,31.7,3383
2021-12-02,31.7,31.98,31.5,31.705,1210
2021-12-03,31.5,31.5,31.5,31.5,1452
2021-12-06,31.5,31.8,30.02,31,4369
2021-12-07,30.15,31.5,30.15,31.5,2285
2021-12-08,31.8,32,31.16,32,1563
2021-12-09,32.77,32.77,31.5,32,406
2021-12-10,31.4,32.5,31.2,32,2917
2021-12-13,31.8,31.8,30.7,31,2322
2021-12-14,30,31,28,30.46,31139
2021-12-15,29.99,30.98,26.22,26.22,2462
2021-12-16,28.3,29.5,26.91,29.5,32433
2021-12-17,29.5,29.5,28.27,28.5,3942
2021-12-20,28.27,29.49,27.74,28.2,2474
2021-12-21,27.87,27.89,27.1,27.76,5620
2021-12-22,27.13,27.85,26.2,26.2,7834
2021-12-23,26,27.5,20.8,26.51,36836
