Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-01-10,28.9,28.9,28.9,28.9,34793
1996-01-11,28.7,28.7,28.7,28.7,35155
1996-01-12,27.5,27.5,27.5,27.5,14864
1996-01-15,28.3,28.3,28.3,28.3,13535
1996-01-16,27.5,27.5,27.5,27.5,5513
1996-01-17,28.1,28.1,28.1,28.1,11498
1996-01-18,27.5,27.5,27.5,27.5,3257
1996-01-19,26.6,26.6,26.6,26.6,4165
1996-01-22,25.4,25.4,25.4,25.4,2535
1996-01-23,25.9,25.9,25.9,25.9,4302
1996-01-24,27.7,27.7,27.7,27.7,8026
1996-01-25,26.9,26.9,26.9,26.9,7847
1996-01-26,27.2,27.2,27.2,27.2,9195
1996-01-29,27.5,27.5,27.5,27.5,6168
1996-01-30,27.6,27.6,27.6,27.6,13310
1996-01-31,28.6,28.6,28.6,28.6,9169
1996-02-01,28.2,28.2,28.2,28.2,4308
1996-02-02,28.1,28.1,28.1,28.1,5823
1996-02-05,27.5,27.5,27.5,27.5,2929
1996-02-06,27.6,27.6,27.6,27.6,7846
1996-02-07,27.5,27.5,27.5,27.5,2729
1996-02-08,27.8,27.8,27.8,27.8,2694
1996-02-09,28.1,28.1,28.1,28.1,3506
1996-02-12,30.7,30.7,30.7,30.7,15377
1996-02-13,29,29,29,29,5111
1996-02-14,29,29,29,29,23936
1996-02-15,29,29,29,29,15126
1996-02-16,29.8,29.8,29.8,29.8,4130
1996-02-19,29.8,29.8,29.8,29.8,2317
1996-02-20,29.3,29.3,29.3,29.3,13643
1996-02-21,29.5,29.5,29.5,29.5,1117
1996-02-22,30.6,30.6,30.6,30.6,4556
1996-02-23,30,30,30,30,12298
1996-02-26,30.4,30.4,30.4,30.4,7161
1996-02-27,30.6,30.6,30.6,30.6,5879
1996-02-28,29.8,29.8,29.8,29.8,1915
1996-02-29,30.6,30.6,30.6,30.6,13066
1996-03-01,30.6,30.6,30.6,30.6,10159
1996-03-04,31.2,31.2,31.2,31.2,7562
1996-03-05,32.8,32.8,32.8,32.8,8587
1996-03-06,32.9,32.9,32.9,32.9,10093
1996-03-07,33.6,33.6,33.6,33.6,5560
1996-03-08,33.6,33.6,33.6,33.6,9023
1996-03-11,33.6,33.6,33.6,33.6,3835
1996-03-12,31.9,31.9,31.9,31.9,861
1996-03-13,32.9,32.9,32.9,32.9,3390
1996-03-14,32.9,32.9,32.9,32.9,13937
1996-03-15,33.6,33.6,33.6,33.6,7924
1996-03-18,35.3,35.3,35.3,35.3,12102
1996-03-19,35.3,35.3,35.3,35.3,22011
1996-03-20,35.3,35.3,35.3,35.3,6781
1996-03-21,36,36,36,36,21397
1996-03-22,35,35,35,35,2575
1996-03-25,34.2,34.2,34.2,34.2,1125
1996-03-26,32.9,32.9,32.9,32.9,501
1996-03-27,33.1,33.1,33.1,33.1,3514
1996-03-28,31.5,31.5,31.5,31.5,11287
1996-03-29,31.3,31.3,31.3,31.3,7339
1996-04-01,31.5,31.5,31.5,31.5,2479
1996-04-02,31.8,31.8,31.8,31.8,3206
1996-04-03,31.7,31.7,31.7,31.7,1782
1996-04-04,31.7,31.7,31.7,31.7,2225
1996-04-05,32.2,32.2,32.2,32.2,3107
1996-04-09,31.5,31.5,31.5,31.5,2369
1996-04-10,31.7,31.7,31.7,31.7,1924
1996-04-11,31.8,31.8,31.8,31.8,2891
1996-04-12,31.5,31.5,31.5,31.5,937
1996-04-15,31.7,31.7,31.7,31.7,711
1996-04-16,31.9,31.9,31.9,31.9,2708
1996-04-17,32.2,32.2,32.2,32.2,3278
1996-04-18,32.4,32.4,32.4,32.4,1650
1996-04-19,32.3,32.3,32.3,32.3,5479
1996-04-22,33,33,33,33,9704
1996-04-23,34.4,34.4,34.4,34.4,4919
1996-04-24,34.6,34.6,34.6,34.6,5664
1996-04-25,34.4,34.4,34.4,34.4,4615
1996-04-26,33.4,33.4,33.4,33.4,2635
1996-04-29,33.7,33.7,33.7,33.7,1970
1996-04-30,34.2,34.2,34.2,34.2,3302
1996-05-06,34.7,34.7,34.7,34.7,3298
1996-05-07,37.4,37.4,37.4,37.4,10398
1996-05-08,37.4,37.4,37.4,37.4,7025
1996-05-09,38.6,38.6,38.6,38.6,15659
1996-05-10,39.8,39.8,39.8,39.8,14808
1996-05-13,43.4,43.4,43.4,43.4,14173
1996-05-14,42.2,42.2,42.2,42.2,15799
1996-05-15,40.6,40.6,40.6,40.6,13402
1996-05-16,40.1,40.1,40.1,40.1,1096
1996-05-17,40.1,40.1,40.1,40.1,6442
1996-05-20,41.3,41.3,41.3,41.3,2420
1996-05-21,41.3,41.3,41.3,41.3,3714
1996-05-22,40.1,40.1,40.1,40.1,1782
1996-05-23,38.6,38.6,38.6,38.6,3267
1996-05-24,36.2,36.2,36.2,36.2,3430
1996-05-27,36.2,36.2,36.2,36.2,1950
1996-05-28,36.2,36.2,36.2,36.2,6761
1996-05-29,36.5,36.5,36.5,36.5,5655
1996-05-30,36.5,36.5,36.5,36.5,3492
1996-05-31,37,37,37,37,9254
1996-06-03,37,37,37,37,10960
1996-06-04,34.7,34.7,34.7,34.7,6928
1996-06-05,33.9,33.9,33.9,33.9,3853
1996-06-07,34.1,34.1,34.1,34.1,3006
1996-06-10,35.8,35.8,35.8,35.8,3002
1996-06-11,36.6,36.6,36.6,36.6,11735
1996-06-12,37,37,37,37,16751
1996-06-13,36.8,36.8,36.8,36.8,20379
1996-06-14,35.3,35.3,35.3,35.3,1657
1996-06-17,35.3,35.3,35.3,35.3,4758
1996-06-18,35.9,35.9,35.9,35.9,2367
1996-06-19,38.9,38.9,38.9,38.9,12332
1996-06-20,38.8,38.8,38.8,38.8,15329
1996-06-21,39.4,39.4,39.4,39.4,12620
1996-06-24,41.8,41.8,41.8,41.8,11283
1996-06-25,43,43,43,43,13790
1996-06-26,42.5,42.5,42.5,42.5,22379
1996-06-27,43,43,43,43,8004
1996-06-28,42.5,42.5,42.5,42.5,7875
1996-07-01,43,43,43,43,6459
1996-07-02,43,43,43,43,4996
1996-07-03,44.2,44.2,44.2,44.2,5876
1996-07-04,47.4,47.4,47.4,47.4,5268
1996-07-05,47.4,47.4,47.4,47.4,16712
1996-07-08,46.6,46.6,46.6,46.6,8370
1996-07-09,47.4,47.4,47.4,47.4,8942
1996-07-10,46.6,46.6,46.6,46.6,12840
1996-07-11,47.9,47.9,47.9,47.9,3687
1996-07-12,49.9,49.9,49.9,49.9,8418
1996-07-15,51.1,51.1,51.1,51.1,8494
1996-07-16,49.9,49.9,49.9,49.9,11966
1996-07-17,49.9,49.9,49.9,49.9,5932
1996-07-18,49.4,49.4,49.4,49.4,2347
1996-07-19,50.6,50.6,50.6,50.6,7695
1996-07-22,48.2,48.2,48.2,48.2,9106
1996-07-23,47.9,47.9,47.9,47.9,5025
1996-07-24,48.2,48.2,48.2,48.2,6046
1996-07-25,48.7,48.7,48.7,48.7,3697
1996-07-26,48.9,48.9,48.9,48.9,4781
1996-07-29,50.6,50.6,50.6,50.6,3181
1996-07-30,49.9,49.9,49.9,49.9,4901
1996-07-31,49.9,49.9,49.9,49.9,3207
1996-08-01,49.4,49.4,49.4,49.4,2367
1996-08-02,50.1,50.1,50.1,50.1,4287
1996-08-05,50.6,50.6,50.6,50.6,5196
1996-08-06,52.6,52.6,52.6,52.6,3291
1996-08-07,57.9,57.9,57.9,57.9,9991
1996-08-08,56.7,56.7,56.7,56.7,7917
1996-08-09,56.7,56.7,56.7,56.7,4846
1996-08-12,59.8,59.8,59.8,59.8,5076
1996-08-13,59.5,59.5,59.5,59.5,4308
1996-08-14,59.5,59.5,59.5,59.5,3401
