Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-20,11.919,11.919,10.403,11.487,25719
2007-11-21,11.269,11.269,9.968,11.269,6839
2007-11-22,11.052,11.052,10.619,10.837,1734
2007-11-23,10.837,11.052,10.837,10.837,2143
2007-11-26,10.837,10.837,10.187,10.837,1360
2007-11-27,10.837,10.837,10.837,10.837,405
2007-11-28,10.403,10.837,10.403,10.837,423
2007-11-29,10.837,10.837,10.619,10.837,1487
2007-11-30,10.837,10.837,10.403,10.837,1043
2007-12-03,10.837,10.837,10.837,10.837,405
2007-12-04,10.837,10.837,10.403,10.403,441
2007-12-05,10.837,10.837,10.619,10.619,474
2007-12-06,10.837,11.269,10.837,11.269,2550
2007-12-07,11.269,11.487,11.052,11.487,4995
2007-12-10,11.487,13.438,11.487,12.787,14814
2007-12-11,13.003,13.003,11.919,12.353,2524
2007-12-12,11.919,12.137,11.487,12.137,2220
2007-12-13,12.137,12.137,11.919,11.919,851
2007-12-14,11.703,11.703,11.703,11.703,812
2007-12-17,11.052,11.052,11.052,11.052,293
2007-12-18,10.837,11.919,10.837,11.919,4688
2007-12-19,11.703,11.703,11.487,11.703,1239
2007-12-20,11.487,13.652,11.487,13.652,43369
2007-12-21,13.003,13.652,12.787,13.652,11097
2007-12-27,13.652,13.87,13.438,13.87,18410
2007-12-28,13.87,14.088,13.87,13.87,7990
2008-01-02,14.088,14.303,14.088,14.303,8165
2008-01-03,14.088,14.088,12.787,13.87,3980
2008-01-04,13.87,13.87,13.219,13.219,4189
2008-01-07,12.787,13.438,11.919,13.219,4170
2008-01-08,13.003,13.003,12.353,12.569,1775
2008-01-09,12.569,13.003,11.052,12.353,5443
2008-01-10,12.137,12.137,11.269,12.137,556
2008-01-11,11.269,11.703,11.269,11.703,2314
2008-01-14,11.269,11.487,11.269,11.487,710
2008-01-15,11.269,11.269,10.837,10.837,710
2008-01-16,10.837,10.837,9.752,10.619,1592
2008-01-17,10.403,10.837,9.752,10.837,3978
2008-01-18,10.187,11.269,10.187,11.269,974
2008-01-21,11.269,11.487,10.619,10.619,1661
2008-01-22,11.269,11.269,11.269,11.269,325
2008-01-23,11.052,11.487,11.052,11.269,405
2008-01-24,11.269,11.487,11.269,11.269,4852
2008-01-25,11.269,11.487,11.269,11.487,2528
2008-01-28,11.269,11.269,11.269,11.269,236
2008-01-29,11.269,11.269,11.269,11.269,1747
2008-01-31,11.269,11.269,10.837,10.837,405
2008-02-01,10.837,11.052,10.837,11.052,798
2008-02-04,11.269,11.269,11.052,11.269,1636
2008-02-05,11.052,11.052,10.837,10.837,1156
