Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-04-11,13.8306,13.8306,13.0112,13.2653,190763.86547822
2014-04-14,13.1859,13.1859,12.7991,12.9051,51661.287221239
2014-04-15,12.9051,13.0264,12.8335,12.8975,4617.3826360565
2014-04-16,12.8975,12.9987,12.8335,12.8335,4543.0438226416
2014-04-17,12.7609,13.0484,12.7609,12.9051,4954.5248602765
2014-04-22,13.1124,13.3302,12.9424,13.2986,3014.3865327
2014-04-23,13.2653,13.3378,13.1935,13.2986,9788.6417833317
2014-04-24,13.2986,13.2986,13.2929,13.2929,1268.9949557598
2014-04-25,13.1782,13.2653,12.9051,13.2653,12318.255490523
2014-04-28,13.2986,13.2986,12.9128,13.2576,1140.2108142099
2014-04-29,13.2576,13.2576,12.9051,13.2576,2037.5117028948
2014-04-30,13.2986,13.2986,12.9051,13.1859,4362.95542958
2014-05-02,13.25,13.25,12.9051,12.9051,5004.7820862472
2014-05-05,13.1935,13.2347,12.9777,12.9777,963.26349777143
2014-05-06,12.9777,13.1219,12.9051,12.9777,1699.3224531337
2014-05-07,12.9051,12.9128,12.7476,12.8631,9348.8910560882
2014-05-08,12.8631,12.8698,12.8383,12.8383,2144.3083080825
2014-05-09,12.847,12.847,12.6894,12.6894,1005.1445194137
2014-05-12,12.6894,12.7552,11.9874,12.3312,80983.23749851
2014-05-13,12.4696,12.4696,12.1878,12.3187,3526.3820222763
2014-05-14,12.2022,12.2022,12.1172,12.2022,19421.276761046
2014-05-15,12.1878,12.546,12.1878,12.546,422.99831858659
2014-05-16,12.5394,12.546,12.1878,12.5394,3198.6630279258
2014-05-19,12.5097,12.5097,12.5097,12.5097,10.470255410559
2014-05-20,12.2662,12.2967,11.9596,12.2728,2110.8034907687
2014-05-21,12.2662,12.2814,11.9386,12.2242,1083.6714349929
2014-05-22,12.2881,12.8631,12.1878,12.8631,4445.6704473234
2014-05-23,12.7991,12.8975,12.7991,12.8975,1410.3434038023
2014-05-26,12.8975,12.9424,12.8975,12.9424,5.2351277052795
2014-05-27,12.9051,12.9051,12.7266,12.8898,931.85273153976
2014-05-28,12.8975,12.8975,12.8975,12.8975,10.470255410559
2014-05-29,12.7609,12.7609,12.6186,12.6894,604.13373718926
2014-05-30,12.6186,13.2576,12.4037,13.2576,7041.246763601
2014-06-02,13.227,13.227,12.7609,12.8631,1609.2782566029
2014-06-03,12.9051,12.9051,12.2185,12.7991,346.5654540895
2014-06-04,12.3312,12.7991,12.3312,12.7609,990.48616183889
2014-06-05,12.4762,12.6521,12.4762,12.6521,540.26517918485
2014-06-06,12.7609,13.0847,12.632,12.632,16283.341214501
2014-06-09,12.8631,13.1563,12.546,13.1563,5631.9503853397
2014-06-10,13.2424,13.25,13.1219,13.1219,3935.7690088292
2014-06-11,13.1219,13.1219,12.9051,13.0704,1551.6918518449
2014-06-12,13.0704,13.0704,13.0484,13.0646,438.70370170242
2014-06-13,12.9051,13.0551,12.9051,13.0551,1038.6493367275
2014-06-16,13.0484,13.0484,12.6186,13.0054,1344.3807947158
2014-06-17,13.0551,13.0551,12.7752,13.0484,2302.4091647819
2014-06-18,13.0408,13.0847,13.0408,13.0484,622.98019692826
2014-06-20,13.0847,13.0847,13.0484,13.0847,487.91390213205
2014-06-23,13.0484,13.0484,13.0484,13.0484,47.116149347516
2014-06-24,13.1047,13.1047,12.8335,13.078,776.89295146348
2014-06-25,13.1019,13.1019,13.0484,13.0484,614.60399259982
2014-06-26,12.591,13.0408,12.591,13.0408,3490.7831538804
2014-06-27,13.0484,13.0484,12.9777,12.9777,15.705383115839
2014-06-30,13.034,13.034,12.7676,12.9051,609.36886489454
2014-07-01,12.9051,12.9051,12.6186,12.6186,227.20454240913
2014-07-02,12.7991,12.8335,12.439,12.8335,5075.979823039
2014-07-03,12.8335,12.8335,12.8335,12.8335,10.470255410559
2014-07-04,12.8335,12.8335,12.8335,12.8335,10.470255410559
2014-07-07,12.8335,12.8335,12.8278,12.8278,2106.6153886045
2014-07-08,12.8335,12.8335,12.7609,12.8135,2838.4862418026
2014-07-09,12.8135,12.8135,12.4762,12.8049,1439.6601189519
2014-07-10,12.8049,12.8049,12.439,12.7819,3509.6296136194
2014-07-11,12.7819,12.7819,12.4762,12.6894,1903.4924336396
2014-07-14,12.4104,12.7399,12.4104,12.7399,1855.3292587511
2014-07-15,12.7399,12.7399,12.4553,12.6521,898.34791422597
2014-07-16,12.7399,12.7399,12.3034,12.5021,1438.6130934108
2014-07-17,12.5756,12.5756,12.1878,12.546,2434.334382955
2014-07-18,12.5394,12.7399,12.2575,12.7399,1547.5037496806
2014-07-21,12.546,12.546,12.1878,12.439,2555.7893457175
2014-07-22,12.4696,12.5613,12.4037,12.4037,91.091222071864
2014-07-23,12.3312,12.4037,12.3312,12.4037,312.01361123466
2014-07-24,12.4037,12.4037,12.3598,12.3598,2528.56668165
2014-07-25,12.5327,12.5327,12.2461,12.311,12852.238516461
2014-07-28,12.6062,12.6062,12.5097,12.5097,4189.1491897647
2014-07-29,12.0856,12.4171,12.0856,12.2691,11508.904747287
2014-07-30,12.2996,12.2996,12.1601,12.2338,344.47140300739
2014-07-31,12.2195,12.2195,12.0714,12.2195,3263.5786114713
2014-08-01,12.2691,12.2691,11.7208,12.2537,6086.359470158
2014-08-04,12.1601,12.3769,12.1601,12.3359,5529.3418823162
2014-08-05,12.4533,12.4533,11.866,11.866,1060.6368730896
2014-08-06,11.9023,11.9023,11.7208,11.7208,7038.1056869778
2014-08-07,11.7122,11.7122,10.9873,11.4716,23164.393070321
2014-08-08,11.4716,11.4716,10.5489,11.1344,12834.439082263
2014-08-11,11.2728,11.2728,11.1268,11.1344,2745.3009686486
2014-08-12,11.3092,11.3092,10.9873,11.1268,115.17280951615
2014-08-13,11.3025,11.3025,11.1344,11.1344,145.53655020677
2014-08-14,11.3092,11.3092,10.8059,11.1344,473.25554455727
2014-08-18,11.3092,11.3092,10.8784,11.2089,669.04932073472
2014-08-19,11.2013,11.2013,10.9873,11.1344,987.34508521572
