Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-18,115.303,124.641,111.403,112.183,2238.70129873
2011-04-19,114.513,119.972,94.2618,100.495,879.272727284
2011-04-20,101.275,105.174,94.2618,95.0407,190.441558444
2011-04-21,101.275,101.275,95.8196,100.495,47.610389611
2011-04-26,101.275,112.953,101.275,112.953,37.480519481
2011-04-27,107.504,112.953,105.174,112.953,38.493506494
2011-04-28,112.953,112.953,106.734,112.183,72.935064936
2011-04-29,107.504,112.953,107.504,112.183,27.350649351
2011-05-02,112.953,112.953,112.953,112.953,1.012987013
2011-05-04,106.734,112.953,106.734,106.734,48.623376624
2011-05-05,106.734,112.183,94.2618,97.3783,149.922077924
2011-05-06,104.384,104.384,93.4829,98.1602,190.441558444
2011-05-09,91.1453,98.1602,91.1453,98.1602,32.415584416
2011-05-13,90.3674,95.0407,90.3674,92.7041,78.000000001
2011-05-16,93.4829,94.2618,93.4829,94.2618,3.038961039
2011-05-17,89.5875,93.4829,89.5875,93.4829,7.090909091
2011-05-18,90.3674,90.3674,90.3674,90.3674
2011-05-19,88.8086,88.8086,87.2509,87.2509,36.467532468
2011-05-20,81.0178,82.5766,77.9023,82.5766,84.077922079
2011-05-23,81.7977,98.1602,81.7977,93.4829,403.168831174
2011-05-24,86.471,86.471,74.7867,79.4601,375.818181823
2011-05-25,74.0069,79.4601,65.4382,79.4601,164.103896106
2011-05-26,74.0069,81.0178,74.0069,81.0178,4.051948052
2011-05-27,74.7867,83.3555,74.7867,83.3555,1.012987013
2011-05-30,81.0178,87.2509,81.0178,87.2509,42.545454546
2011-05-31,85.6931,85.6931,85.6931,85.6931,6.077922078
2011-06-01,79.4601,91.1453,79.4601,91.1453,151.94805195
2011-06-02,80.2399,85.6931,79.4601,80.2399,59.766233767
2011-06-03,87.2509,90.3674,85.6931,85.6931,69.896103897
2011-06-06,90.3674,90.3674,90.3674,90.3674
2011-06-07,89.5875,91.1453,89.5875,91.1453,48.623376624
2011-06-08,91.1453,95.0407,91.1453,95.0407,106.363636365
2011-06-09,93.4829,95.0407,93.4829,95.0407,12.155844156
2011-06-10,95.8196,101.275,95.0407,101.275,98.259740261
2011-06-13,98.9351,98.9351,91.1453,97.3783,19.246753247
2011-06-14,89.5875,97.3783,89.5875,97.3783,56.727272728
2011-06-15,89.5875,91.9252,89.5875,91.9252,29.376623377
2011-06-20,84.1343,87.2509,84.1343,87.2509,29.376623377
2011-06-21,87.2509,88.8086,87.2509,88.8086,19.246753247
2011-06-24,82.5766,88.0298,81.0178,88.0298,428.493506499
2011-06-27,105.174,105.174,94.2618,94.2618,10.12987013
2011-06-28,94.2618,95.8196,88.0298,95.8196,15.194805195
2011-06-29,95.8196,97.3783,95.8196,97.3783,20.25974026
2011-06-30,97.3783,97.3783,97.3783,97.3783
2011-07-01,97.3783,97.3783,97.3783,97.3783,1.012987013
2011-07-04,97.3783,98.1602,90.3674,93.4829,64.831168832
2011-07-06,85.6931,93.4829,85.6931,89.5875,39.506493507
2011-07-12,85.6931,105.174,80.2399,105.174,97.246753248
2011-07-13,93.4829,93.4829,93.4829,93.4829,25.324675325
2011-07-15,88.0298,88.0298,88.0298,88.0298,9.116883117
2011-07-18,85.6931,88.0298,85.6931,88.0298,35.454545455
2011-07-22,80.2399,105.174,80.2399,105.174,67.870129871
2011-07-25,88.0298,88.0298,80.2399,80.2399,47.610389611
2011-07-26,87.2509,87.2509,87.2509,87.2509,3.038961039
2011-07-28,87.2509,87.2509,87.2509,87.2509,6.077922078
