Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-08-09,3.2,3.2,2.1,2.7,31245
2012-08-10,2.8,2.9,2.4,2.9,3078
2012-08-13,2.8,3.4,2.8,3.3,1163
2012-08-14,3.1,3.1,2.2,2.7,2831
2012-08-16,2.7,2.7,2.2,2.5,1561
2012-08-17,2.3,2.3,2,2.2,3684
2012-08-20,2.1,2.5,2.1,2.5,965
2012-08-21,2.5,2.5,2.3,2.4,570
2012-08-22,2.4,2.4,2,2.2,1086
2012-08-23,2.2,2.3,2.2,2.3,200
2012-08-27,2.2,2.4,2.2,2.4,663
2012-08-28,2.2,2.3,2.1,2.3,52
2012-08-29,2.1,2.1,1.9,2.1,1424
2012-08-30,2.1,2.1,1.8,2,240
2012-08-31,1.8,2.1,1.8,1.8,131
2012-09-03,1.8,1.8,1.8,1.8,115
2012-09-04,1.8,1.9,1.7,1.9,1650
2012-09-10,1.8,2,1.8,2,210
2012-09-11,1.7,1.9,1.7,1.8,180
2012-09-12,1.7,1.7,1.2,1.6,7710
2012-09-13,1.6,2.1,1.6,2.1,3031
2012-09-14,2.1,2.4,2,2.2,2202
2012-09-17,2.3,2.3,2.3,2.3,30
2012-09-18,2.2,3.1,2.2,2.6,4688
2012-09-19,2.6,3.1,2.2,3.1,2663
2012-09-20,3.1,3.2,2.5,2.7,3582
2012-09-21,2.3,2.7,2.3,2.7,814
2012-09-24,2.7,2.7,2.2,2.7,2011
2012-09-25,2.7,2.7,2.7,2.7,80
2012-09-26,2.7,2.7,2.4,2.4,272
2012-09-28,2.4,2.4,2.2,2.2,500
2012-10-02,2.4,2.4,2.4,2.4,50
2012-10-03,2.3,2.3,2.1,2.1,500
2012-10-10,2.3,2.5,2.3,2.5,250
2012-10-12,2.4,2.4,2,2.1,1310
2012-10-15,2.2,2.2,2.2,2.2,200
2012-10-16,2,2.1,1.9,2.1,360
2012-10-17,2.1,2.2,2.1,2.2,100
2012-10-24,1.9,1.9,1.8,1.8,310
2012-10-26,1.9,1.9,1.9,1.9,100
2012-10-29,2,2,1.7,1.7,100
2012-10-30,1.8,1.9,1.8,1.9,100
2012-11-06,2,2.1,2,2.1,1814
2012-11-07,2.2,2.2,2.1,2.1,60
2012-11-08,2.2,2.2,2.1,2.1,49
2012-11-12,2,2.1,2,2.1,200
2012-11-13,2.2,2.2,2.2,2.2,5
2012-11-15,2.1,2.1,1.6,2,1259
2012-11-16,2,2,2,2,1
2012-11-21,1.7,1.7,1.7,1.7,25
2012-11-23,1.6,1.6,1.6,1.6,25
2012-11-27,1.8,1.8,1.7,1.7,105
