Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-04-18,8.28673,8.28673,6.53846,6.6649,1756523.6
2007-04-19,6.67894,7.23365,6.60163,7.04404,409663.28
2007-04-20,7.16346,7.26144,6.94587,7.23365,160366.96
2007-04-23,7.44452,7.44452,6.95308,7.02981,65617.76
2007-04-24,6.98788,6.98788,6.8476,6.88231,29610.88
2007-04-25,6.88231,7.09337,6.74221,7.08615,41548
2007-04-26,7.09337,7.09337,6.90394,6.97404,26275.6
2007-04-27,6.95308,7.0651,6.86856,7.02327,63158.16
2007-04-30,7.19885,7.30337,7.10058,7.23365,56010.24
2007-05-02,7.23365,7.29731,7.17087,7.17731,18620.16
2007-05-04,7.17087,7.37442,7.09337,7.37442,64689.04
2007-05-07,7.37442,7.37442,7.16346,7.31779,35824.88
2007-05-08,7.24096,7.24096,7.02327,7.02327,37939.2
2007-05-09,7.02327,7.12163,6.97404,7.02327,12933.44
2007-05-10,7.09337,7.09337,6.88231,7.00885,24297.52
2007-05-11,7.00885,7.00885,6.57356,7.00885,82204.72
2007-05-14,7.01615,7.02327,6.88231,6.95308,7835.36
2007-05-15,6.98058,7.02327,6.88231,7.00885,25190.88
2007-05-16,7.01615,7.01615,6.88231,6.995,3733.6
2007-05-17,6.9249,6.9249,6.75625,6.8125,23473.84
2007-05-18,6.91779,6.91779,6.69298,6.74221,7449.52
2007-05-21,6.76327,6.8476,6.75625,6.75625,9586.72
2007-05-22,6.81933,6.81933,6.72106,6.77019,32554.08
2007-05-23,6.76327,6.76327,6.71404,6.74221,11389.04
2007-05-24,6.67183,6.77721,6.65788,6.74221,15315.04
2007-05-25,6.71404,6.93865,6.71404,6.93865,3700.32
2007-05-28,6.91779,7.19885,6.91779,7.12808,30730.96
2007-05-29,7.12808,7.12808,6.98788,7.02327,45023.68
2007-05-30,6.95308,7.02327,6.76327,7.02327,18238.48
2007-05-31,6.88942,7.16346,6.8476,7.12808,63702.08
2007-06-01,7.02327,7.17731,7.02327,7.10721,34788
2007-06-04,7.02327,7.22635,7.02327,7.19885,28731.04
2007-06-05,7.26913,7.30337,7.16346,7.19885,17850.56
2007-06-06,7.23365,7.44452,7.16346,7.28971,70282.16
2007-06-08,7.19885,7.19885,7.04404,7.07894,32859.84
2007-06-11,7.09337,7.23365,7.09337,7.19885,36870.08
2007-06-12,7.19885,7.19885,7.14971,7.16346,75159.76
2007-06-13,7.24096,7.31087,7.13529,7.23365,46832.24
2007-06-14,7.26913,7.26913,7.19885,7.23365,27220.96
2007-06-15,7.28279,7.28279,7.02327,7.16346,26800.8
2007-06-18,7.2199,7.22635,7.13529,7.16346,55365.44
2007-06-19,7.16346,7.69029,7.13529,7.65529,111343.44
2007-06-20,7.62106,7.72529,7.25462,7.37442,93731.04
2007-06-21,7.29731,7.37442,7.19885,7.26144,64753.52
2007-06-22,7.26913,7.3599,7.26913,7.30337,73336.64
2007-06-25,7.38115,7.38115,7.26913,7.3675,55556.8
2007-06-26,7.30337,7.43,7.30337,7.43,14105.52
2007-06-27,7.47269,7.47269,7.28971,7.28971,24027.12
2007-06-28,7.28971,7.54981,7.28971,7.30337,47767.2
2007-06-29,7.30337,7.30337,7.23365,7.24769,20543.12
2007-07-02,7.20548,7.20548,7.17731,7.17731,15031.12
2007-07-03,7.16346,7.51471,7.16346,7.49413,142241.84
2007-07-04,7.47962,7.47962,7.37442,7.44452,16315.52
2007-07-05,7.47962,7.47962,7.37442,7.38808,23534.16
2007-07-06,7.44452,7.44452,7.40942,7.43769,11633.44
2007-07-09,7.47962,7.47962,7.37442,7.40942,34850.4
2007-07-10,7.37442,7.40942,7.30337,7.31779,16687.84
2007-07-11,7.30337,7.30337,7.02981,7.26913,8759.92
2007-07-12,7.33933,7.38808,7.26144,7.32481,18867.68
2007-07-13,7.24769,7.33933,7.24769,7.33933,14728.48
2007-07-16,7.26144,7.26144,7.09337,7.19885,14203.28
2007-07-17,7.12163,7.26913,7.10058,7.26913,7476.56
2007-07-18,7.19885,7.24769,7.16346,7.24769,9391.2
2007-07-19,7.17731,7.3675,7.17731,7.3675,10849.28
2007-07-20,7.37442,7.37442,7.0724,7.0724,16283.28
2007-07-23,7.14971,7.14971,7.05154,7.05798,67700.88
2007-07-24,7.13529,7.14971,7.13529,7.13529,7475.52
2007-07-25,7.05798,7.05798,6.67183,7.02327,16299.92
2007-07-26,6.95308,6.95308,6.60163,6.63673,138912.8
2007-07-27,6.32077,6.49635,6.25058,6.49635,54514.72
2007-07-30,6.56654,6.74221,6.50337,6.56654,17446
2007-07-31,6.57356,6.67183,6.46125,6.56654,27985.36
2007-08-01,6.49635,6.49635,6.32077,6.32077,18295.68
2007-08-02,6.34183,6.47538,6.32077,6.47538,7816.64
2007-08-03,6.53846,6.53846,6.41202,6.46125,4528.16
2007-08-06,6.52442,6.60163,6.4051,6.5174,18344.56
2007-08-07,6.55962,6.88231,6.55962,6.74221,35139.52
2007-08-08,6.8125,6.93865,6.74923,6.74923,11125.92
2007-08-09,6.81933,6.81933,6.70702,6.70702,11656.32
2007-08-10,6.32077,6.39087,6.32077,6.35587,31179.2
2007-08-13,6.34875,6.45413,6.34875,6.38404,19288.88
2007-08-14,6.34875,6.46125,6.32077,6.39087,22275.76
2007-08-16,6.1451,6.32077,5.96971,6.32077,44099.12
2007-08-17,5.96971,6.32077,5.92048,6.32077,11599.12
2007-08-20,6.32077,6.51048,5.98365,6.34183,27210.56
2007-08-21,6.32077,6.32077,6.03981,6.2226,10195.12
2007-08-22,6.1451,6.34875,6.1451,6.34875,29502.72
2007-08-23,6.39087,6.61567,6.35587,6.45413,28315.04
2007-08-24,6.48942,6.48942,6.27865,6.37702,10256.48
2007-08-27,6.41202,6.41202,6.29952,6.33481,8699.6
2007-08-28,6.38404,6.38404,6.18029,6.18029,37144.64
2007-08-29,6.11,6.21548,6.11,6.21548,9507.68
2007-08-30,6.27865,6.27865,6.1451,6.1451,14174.16
2007-08-31,6.19423,6.19423,6.08202,6.19423,3829.28
2007-09-03,6.13115,6.19423,6.13115,6.18029,26756.08
2007-09-04,6.15231,6.17327,6.0749,6.17327,15249.52
2007-09-05,6.11,6.16635,6.08202,6.08202,3276
2007-09-06,6.01875,6.11,5.93462,5.93462,10910.64
2007-09-07,5.96971,5.96971,5.75885,5.9274,14560
2007-09-10,5.86423,5.89231,5.65365,5.65365,5977.92
2007-09-11,5.71683,5.76587,5.68865,5.70269,5295.68
2007-09-12,5.63962,5.68865,5.47808,5.47808,13839.28
2007-09-13,5.54115,5.54827,5.47808,5.47808,1882.4
2007-09-14,5.53413,5.54827,5.42875,5.42875,10263.76
2007-09-17,5.47808,5.47808,5.3375,5.47096,5399.68
2007-09-18,5.46385,5.47096,5.3375,5.47096,4306.64
2007-09-19,5.42173,5.51317,5.42173,5.47808,15626
2007-09-20,5.44288,5.44288,5.26731,5.40788,13414.96
2007-09-21,5.3375,5.47808,5.3375,5.47808,9889.36
2007-09-24,5.42875,5.47096,5.26731,5.43587,4183.92
2007-09-25,5.3025,5.43587,5.26731,5.3025,6362.72
2007-09-26,5.26731,5.3025,5.23221,5.3025,6108.96
2007-09-27,5.3375,5.35865,5.26731,5.35865,15918.24
2007-09-28,5.35865,5.35865,5.26731,5.28837,15174.64
2007-10-01,5.28837,5.61846,5.26731,5.61846,61705.28
2007-10-02,5.75885,5.85712,5.61846,5.65365,44608.72
2007-10-03,5.75885,5.75885,5.54827,5.65365,7231.12
2007-10-04,5.54827,5.61144,5.52721,5.61144,2412.8
2007-10-05,5.54827,5.80808,5.54827,5.80096,43242.16
2007-10-08,5.97673,5.97673,5.89952,5.97673,26950.56
2007-10-09,5.86423,6.00481,5.82923,5.90644,72762.56
2007-10-10,5.93462,5.95558,5.89231,5.90644,43229.68
2007-10-11,5.93462,5.94154,5.88548,5.93462,8118.24
2007-10-12,5.90644,5.92048,5.90644,5.92048,9009.52
2007-10-15,5.93462,5.93462,5.69567,5.81519,14101.36
2007-10-16,5.69567,5.69567,5.26731,5.3375,80786.16
2007-10-17,5.26731,5.26731,4.98635,4.98635,145459.6
2007-10-18,5.05663,5.05663,4.94423,5.01442,26666.64
2007-10-19,5.12683,5.26019,5.02154,5.23221,24053.12
2007-10-22,5.16192,5.16192,4.98635,5.1199,7498.4
2007-10-23,5.22529,5.22529,5.09163,5.10577,17465.76
2007-10-24,5.12683,5.12683,5.1199,5.1199,1428.96
2007-10-25,5.05663,5.09163,4.94423,4.94423,12859.6
2007-10-26,4.95125,4.95125,4.91615,4.94423,8242
2007-10-29,4.91615,4.95125,4.91615,4.92317,6868.16
2007-10-30,4.99327,4.99327,4.98635,4.99327,4667.52
2007-10-31,4.92317,5.02154,4.92317,5.02154,259107.68
2007-11-02,4.92317,4.98635,4.81077,4.98635,6715.28
2007-11-05,4.88106,4.91615,4.70548,4.72654,8752.64
2007-11-06,4.7126,4.88106,4.7126,4.7476,3485.04
2007-11-07,4.7476,4.77558,4.7126,4.73365,5774.08
2007-11-08,4.7126,4.7126,4.5649,4.69846,11203.92
2007-11-09,4.62115,4.63519,4.20683,4.21394,17889.04
2007-11-12,4.07346,4.20683,4.00317,4.01019,16312.4
2007-11-13,3.89788,4.1999,3.89788,4.14356,3669.12
2007-11-14,4.21394,4.45971,4.1576,4.1576,8934.64
2007-11-15,4.26308,4.26308,4.07346,4.20683,1251.12
2007-11-16,4.00317,4.14356,3.9399,4.10856,8815.04
2007-11-19,4.14356,4.14356,3.93298,3.99615,3489.2
