Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-02-02,75,87.5,60,60,3358
2012-02-03,55,61.5,38.5,39.25,3166
2012-02-06,43.75,52.5,41.25,47.75,1160
2012-02-07,46.75,49.75,43.5,45.75,675
2012-02-08,44,47.5,41.5,44,444
2012-02-09,44,44,41.5,41.75,160
2012-02-10,41.75,50,40,46.25,924
2012-02-13,46.5,55.5,46.25,47,339
2012-02-14,44,50,44,49.25,167
2012-02-15,45,52.5,45,46,834
2012-02-16,45.5,46.75,42.75,44.25,215
2012-02-17,44.5,63.5,43,63.5,2496
2012-02-20,69.25,76.25,58,59.5,2133
2012-02-21,62.25,83.5,55,79.25,1963
2012-02-22,83.5,93.75,60,67.5,1681
2012-02-23,67.5,67.5,47.75,50,2328
2012-02-24,50,54.25,43.75,54.25,368
2012-02-27,47.5,49.5,46.5,48.5,316
2012-02-28,44.75,53.25,44.75,51,591
2012-02-29,53.25,53.25,47.25,48,356
2012-03-01,46.75,48,45.25,46.25,199
2012-03-02,50,56.25,45.75,49.75,1013
2012-03-05,45.5,45.5,45,45.25,287
2012-03-06,45,45.25,38.5,42,283
2012-03-07,42,48.75,42,45,413
2012-03-08,43.25,45,42.5,45,140
2012-03-09,42.5,49.25,42.5,48,628
2012-03-12,48.75,49.75,44.25,48,658
2012-03-13,46.5,52.25,45.5,49.25,303
2012-03-14,47,49.5,47,49.5,96
2012-03-15,49.5,50.5,45.5,48,304
2012-03-16,45.5,46.75,41.25,43.5,604
2012-03-19,43.5,43.5,40.75,43,191
2012-03-20,42.5,46,42,45,131
2012-03-21,43,43,39,41.5,574
2012-03-22,39,39,38.75,38.75,66
2012-03-23,38.75,43.75,37.5,43.25,312
2012-03-26,43.75,43.75,39.5,41.25,316
2012-03-27,40,41.25,38.75,41.25,14
2012-03-28,40,41.25,39,41.25,40
2012-03-30,41.25,42.5,41.25,42.5,48
2012-04-02,41.75,41.75,36.25,40,445
2012-04-03,40,46.25,38.75,43.75,181
2012-04-04,43.75,51.75,43.75,46.75,1006
2012-04-05,46.75,46.75,39,42.5,298
2012-04-10,42.5,42.5,37.5,38,451
2012-04-11,35.75,38.25,34,36,121
2012-04-12,36,39.5,36,37.75,191
2012-04-13,36.25,37.5,35,35.25,356
2012-04-16,37.75,40,37.25,40,128
2012-04-17,39.5,39.5,35.25,39,243
2012-04-18,35.25,38,34,38,302
2012-04-19,38.75,38.75,36.25,36.75,80
2012-04-20,35,39.5,34.25,39.5,265
2012-04-23,39.5,39.5,35,35,187
2012-04-24,35.5,37.25,35.5,37.25,81
2012-04-25,36.5,36.75,32.5,33,208
2012-04-26,31.25,36.75,31.25,33.75,123
2012-04-27,33.75,35,32.5,34.75,86
2012-04-30,33,34.75,31,34.5,228
2012-05-02,34.5,34.5,30,32,194
2012-05-04,32.5,34.75,28.75,34.5,118
2012-05-07,34.5,36.5,31.25,36.25,240
2012-05-08,36.5,38,36.5,37.75,251
