Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-02-01,7.49049,8.37998,7.35004,8.37998,552450.6125
2001-02-02,8.09907,8.75449,8.09907,8.28637,273142.06875
2001-02-05,7.95861,8.33313,7.95861,8.28637,70452.08125
2001-02-06,7.95861,8.33313,7.95861,8.28637,122823.28125
2001-02-07,8.19267,8.28637,7.95861,8.23952,89604.89375
2001-02-08,8.28637,8.80134,8.28637,8.80134,152813.35
2001-02-09,9.12862,10.1126,9.12862,10.0656,220658.14375
2001-02-12,10.2525,10.2525,9.26946,9.4103,146028.975
2001-02-13,9.17557,9.55018,8.9418,9.36335,138983.6625
2001-02-14,9.08216,9.22251,9.08216,9.12862,23844.46875
2001-02-15,9.08216,9.22251,8.52043,8.80134,197643.45625
2001-02-16,8.8481,8.89495,8.42683,8.47358,72193.05625
2001-02-19,8.42683,8.56719,8.19267,8.19267,57369.71875
2001-02-20,8.23952,8.23952,7.7714,8.09907,59120.0875
2001-02-21,7.86501,8.23952,7.86501,8.14592,82190.09375
2001-02-22,7.81816,8.23952,7.81816,8.19267,37416.35
2001-02-23,8.33313,8.89495,8.05222,8.05222,30049.5625
2001-02-26,8.52043,8.61404,8.33313,8.42683,25770.1875
2001-02-27,8.42683,8.52043,8.33313,8.47358,9347.825
2001-02-28,8.05222,8.37998,8.05222,8.37998,8709.05
2001-03-01,8.05222,8.23952,8.05222,8.14592,4596.675
2001-03-02,8.28637,8.28637,8.09907,8.23952,24680.5125
2001-03-05,8.23952,8.23952,7.91186,8.19267,20349.99375
2001-03-06,8.14592,8.14592,7.95861,8.05222,162683.05
2001-03-07,7.86501,7.95861,7.44364,7.53725,38300.40625
2001-03-08,7.49049,7.49049,7.11598,7.30319,16587.275
2001-03-09,7.20958,7.25643,6.3201,7.11598,21007.55625
2001-03-12,7.02228,7.02228,6.55416,6.74146,37899.60625
2001-03-13,6.55416,7.02228,6.46055,6.69461,73576.025
2001-03-14,6.64776,6.69461,6.50731,6.69461,13337.0375
2001-03-15,6.74146,6.97552,6.60101,6.74146,21048.2625
2001-03-16,6.74146,6.74146,6.60101,6.64776,16261.625
2001-03-19,6.97552,6.97552,6.50731,6.64776,17945.19375
2001-03-20,6.64776,6.83507,6.64776,6.74146,12509.34375
2001-03-21,6.69461,6.74146,6.60101,6.74146,4259.54375
2001-03-22,6.69461,6.78822,6.60101,6.78822,2366.18125
2001-03-23,6.92867,7.35004,6.92867,7.25643,54831.31875
2001-03-26,7.39689,7.95861,7.20958,7.30319,69549.2375
2001-03-27,7.16273,7.16273,6.97552,7.11598,14042.6125
2001-03-28,7.16273,7.25643,7.11598,7.20958,27714.69375
2001-03-29,7.16273,7.20958,7.16273,7.16273,31442.96875
2001-03-30,7.20958,7.35004,7.20958,7.20958,12669.0375
2001-04-02,7.11598,7.20958,7.02228,7.02228,28486.025
2001-04-03,7.02228,7.02228,6.88192,7.02228,14405.8375
2001-04-04,6.97552,7.02228,6.83507,6.83507,22116.01875
2001-04-05,6.92867,6.97552,6.83507,6.88192,13637.6375
2001-04-06,7.02228,7.02228,6.83507,6.92867,17329.38125
2001-04-09,6.92867,6.97552,6.83507,6.97552,2085.4125
2001-04-10,6.97552,7.06913,6.83507,6.83507,32780.0125
2001-04-11,7.02228,7.02228,6.60101,6.64776,30277.1
2001-04-12,6.74146,6.74146,6.55416,6.60101,23245.35625
2001-04-17,6.74146,6.74146,5.71152,6.55416,10577.3625
2001-04-18,6.55416,6.64776,6.46055,6.55416,7138.20625
2001-04-19,6.78822,6.78822,6.50731,6.55416,20032.69375
2001-04-20,6.55416,6.60101,6.36695,6.36695,13652.25
