Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-10-19,0.15,0.17,0.12,0.17,8424990
2011-10-20,0.16,0.16,0.13,0.13,2211612
2011-10-21,0.13,0.13,0.12,0.13,671501
2011-10-24,0.13,0.15,0.13,0.13,583738
2011-10-25,0.13,0.13,0.12,0.13,250877
2011-10-26,0.12,0.12,0.11,0.11,514604
2011-10-27,0.11,0.12,0.1,0.12,86746
2011-10-28,0.11,0.12,0.1,0.12,212710
2011-10-31,0.12,0.13,0.11,0.12,290086
2011-11-02,0.12,0.12,0.1,0.11,684787
2011-11-03,0.11,0.11,0.1,0.11,204380
2011-11-04,0.1,0.11,0.09,0.11,144326
2011-11-07,0.1,0.11,0.09,0.11,133579
2011-11-08,0.1,0.11,0.09,0.11,77559
2011-11-09,0.1,0.11,0.09,0.11,132397
2011-11-10,0.09,0.11,0.09,0.11,151137
2011-11-14,0.1,0.11,0.1,0.11,56143
2011-11-15,0.1,0.11,0.09,0.11,231500
2011-11-16,0.1,0.11,0.1,0.11,157800
2011-11-17,0.1,0.11,0.1,0.11,166402
2011-11-18,0.11,0.11,0.1,0.11,36572
2011-11-21,0.1,0.11,0.09,0.11,91400
2011-11-22,0.1,0.11,0.1,0.11,25100
2011-11-23,0.09,0.1,0.09,0.1,50196
2011-11-24,0.09,0.1,0.09,0.1,73099
2011-11-25,0.09,0.1,0.09,0.1,4500
2011-11-28,0.09,0.09,0.09,0.09,10000
2011-11-29,0.08,0.1,0.08,0.1,17695
2011-11-30,0.1,0.1,0.1,0.1,110
2011-12-01,0.09,0.1,0.08,0.1,79251
2011-12-02,0.09,0.09,0.09,0.09,31033
2011-12-05,0.09,0.09,0.09,0.09,47000
2011-12-06,0.08,0.08,0.08,0.08,10000
2011-12-07,0.08,0.08,0.08,0.08,137419
2011-12-08,0.08,0.08,0.08,0.08,55115
2011-12-09,0.08,0.09,0.08,0.09,14200
2011-12-12,0.08,0.08,0.08,0.08,78096
2011-12-13,0.08,0.08,0.08,0.08,20000
2011-12-14,0.09,0.09,0.09,0.09,5246
2011-12-15,0.08,0.08,0.08,0.08,24883
2011-12-16,0.08,0.08,0.08,0.08,13545
2011-12-19,0.08,0.08,0.07,0.07,12200
2011-12-20,0.08,0.08,0.08,0.08,1488
2011-12-21,0.07,0.1,0.07,0.09,143695
2011-12-22,0.08,0.08,0.08,0.08,10500
2011-12-23,0.09,0.09,0.09,0.09,27000
2011-12-27,0.08,0.09,0.08,0.08,96050
2011-12-28,0.08,0.08,0.08,0.08,154444
2011-12-29,0.09,0.09,0.09,0.09,100
2012-01-02,0.09,0.09,0.08,0.08,55200
2012-01-03,0.08,0.09,0.08,0.08,86333
2012-01-04,0.08,0.08,0.08,0.08,6675
2012-01-05,0.08,0.08,0.08,0.08,1000
