Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-09-20,6.03,6.93,4.71,4.83,241897
2007-09-21,4.87,4.99,4.8,4.89,34789
2007-09-24,4.94,4.94,4.6,4.77,8778
2007-09-25,4.79,4.79,4.4,4.5,12262
2007-09-26,4.49,4.49,4.14,4.22,18056
2007-09-27,4.29,4.29,4.1,4.25,9038
2007-09-28,4.29,4.7,4.01,4.67,85042
2007-10-01,4.69,4.91,4.69,4.9,26054
2007-10-02,4.95,5.09,4.9,5.09,27322
2007-10-03,5.05,5.05,4.91,4.99,9387
2007-10-04,5,5.04,5,5,2779
2007-10-05,5,5.04,5,5.01,13470
2007-10-08,5.01,5.07,5.01,5.07,14855
2007-10-09,5.07,5.07,5,5.06,90465
2007-10-10,5.07,5.27,5.06,5.27,49372
2007-10-11,5.29,5.29,5.2,5.27,8225
2007-10-12,5.27,5.4,5.26,5.39,21203
2007-10-15,5.45,5.75,5.44,5.7,27344
2007-10-16,5.89,5.95,5.5,5.9,37586
2007-10-17,5.88,6.3,5.87,6.14,74674
2007-10-18,6.28,6.34,6.15,6.32,30662
2007-10-19,6.32,7.2,6.3,6.98,61330
2007-10-22,6.98,6.98,6.3,6.75,26704
2007-10-23,6.6,6.97,6.56,6.97,31516
2007-10-24,6.97,6.98,6.9,6.94,56713
2007-10-25,6.71,6.9,6.7,6.82,31457
2007-10-26,6.82,6.82,6.7,6.8,52224
2007-10-29,6.85,6.85,6.37,6.69,8699
2007-10-30,6.51,6.51,6.3,6.48,1800
2007-10-31,6.3,6.85,6.3,6.31,1969
2007-11-02,6.46,6.7,6.46,6.59,1267
2007-11-05,6.6,6.6,6,6.43,6625
2007-11-06,6.41,6.41,5.84,5.84,11683
2007-11-07,5.85,5.9,5.3,5.5,10378
2007-11-08,5.3,5.33,5,5.32,23637
2007-11-09,5.35,5.8,5.21,5.65,9943
2007-11-12,5.2,5.7,5.2,5.7,531
2007-11-13,5.2,5.65,5.15,5.37,3701
2007-11-14,5.65,5.67,5,5.45,6151
2007-11-15,5.45,5.45,5,5,6160
2007-11-16,5,5.1,4.81,4.9,7267
2007-11-19,5.05,5.36,5,5.27,6484
2007-11-20,5.2,5.2,5,5.1,2620
2007-11-21,5.09,5.09,4.46,4.68,25620
2007-11-22,4.43,4.85,3.9,4.6,24860
2007-11-23,4.55,4.7,4.55,4.7,9874
2007-11-26,4.8,4.95,4.5,4.8,6778
2007-11-27,4.74,4.74,4.6,4.6,956
2007-11-28,4.6,5,4.6,5,7639
2007-11-29,5.1,5.15,4.8,5.15,9066
2007-11-30,5.15,5.15,4.8,4.8,5158
2007-12-03,4.85,4.95,4.65,4.65,10318
2007-12-04,4.66,4.75,4.66,4.75,220
2007-12-05,4.75,4.75,4.6,4.6,2292
2007-12-06,4.69,5.2,4.69,4.9,18885
2007-12-07,4.85,5,4.6,4.61,13297
2007-12-10,4.67,5,4.67,4.89,3734
2007-12-11,5.1,5.3,4.96,5,22098
2007-12-12,5.07,5.1,4.9,5.1,4856
2007-12-13,5.18,5.18,4.75,4.79,3031
2007-12-14,4.85,4.87,4.6,4.87,5404
2007-12-17,4.32,4.87,4.3,4.74,9638
2007-12-18,4.61,4.61,4.41,4.51,10083
2007-12-19,4.55,4.7,4.55,4.56,10060
2007-12-20,4.86,4.87,4.5,4.85,2301
2007-12-21,4.75,4.75,4.66,4.66,35124
2007-12-27,4.66,4.7,4.3,4.7,3092
2007-12-28,4.7,4.75,4.34,4.75,553
2008-01-02,4.84,4.84,4.5,4.74,4211
2008-01-03,4.73,4.73,4.5,4.72,4875
2008-01-04,4.62,4.9,4.6,4.9,8244
2008-01-07,4.89,4.89,4.7,4.8,1142
2008-01-08,4.76,4.76,4.52,4.59,450
2008-01-09,4.6,4.6,4.3,4.5,3056
2008-01-10,4.47,4.47,4.38,4.38,1380
2008-01-11,4.35,4.49,4.35,4.49,1744
2008-01-14,4.5,4.54,4.4,4.48,3645
2008-01-15,4.21,4.5,4.19,4.5,1001
2008-01-16,3.71,4.43,3.71,4.42,1006
2008-01-17,4.47,4.47,4,4,20772
2008-01-18,4,4.15,3.95,4.15,2854
2008-01-21,4,4,3.65,4,2678
2008-01-22,3.75,3.9,3.75,3.9,950
2008-01-23,4,4.09,3.95,4.07,28710
2008-01-24,4.24,4.24,4,4.1,10333
2008-01-25,4.1,4.1,4.1,4.1,500
2008-01-28,3.95,4.3,3.8,4.3,917
2008-01-29,4.29,4.29,4.29,4.29,800
2008-01-30,4.1,4.27,4,4.26,638
2008-01-31,4.28,4.28,4,4.19,751
2008-02-01,4.15,4.15,4.14,4.15,3826
2008-02-04,4.15,4.15,4,4.14,1131
2008-02-05,4.07,4.07,4,4,160
2008-02-06,4,4,3.7,4,6085
2008-02-07,3.8,3.95,3.7,3.95,360
2008-02-08,3.99,3.99,3.75,3.75,2470
2008-02-11,3.51,3.51,3,3.14,165567
2008-02-12,3.23,3.25,3.15,3.15,27059
2008-02-13,3.11,3.2,3.01,3.1,2650
2008-02-14,2.95,3.2,2.95,3.15,4501
2008-02-15,3.16,3.16,2.95,3.14,4573
2008-02-18,3.01,3.25,3.01,3.25,6371
2008-02-19,3.2,3.2,3,3.05,10334
2008-02-20,3.1,3.1,2.75,2.94,25803
2008-02-21,2.98,2.98,2.7,2.92,7868
2008-02-22,2.9,3,2.9,3,2462
2008-02-25,3.01,3.01,2.88,2.88,6300
2008-02-26,3,3,2.91,2.91,500
2008-02-27,2.99,2.99,2.71,2.84,7096
2008-02-28,2.78,2.78,2.75,2.75,1878
2008-02-29,2.75,2.84,2.7,2.84,1120
2008-03-03,2.85,2.85,2.5,2.59,8734
2008-03-04,2.65,2.65,2.45,2.45,5756
2008-03-05,2.45,2.48,2.08,2.26,6965
2008-03-06,2.4,2.75,2.35,2.7,6754
2008-03-07,2.65,2.65,2.42,2.6,10563
2008-03-10,2.45,2.55,2.45,2.55,4591
2008-03-11,2.4,2.52,2.4,2.52,2100
2008-03-12,2.52,2.85,2.5,2.59,6415
2008-03-13,2.52,2.52,2.52,2.52,520
2008-03-14,2.5,2.64,2.49,2.64,1881
2008-03-17,2.4,2.63,2.4,2.53,1083
2008-03-19,2.54,2.54,2.34,2.48,563
2008-03-25,2.25,2.38,2,2.37,22566
2008-03-26,2.25,2.36,2.25,2.36,667
2008-03-27,2.48,2.48,2.25,2.39,2130
2008-03-28,2.4,2.4,2.4,2.4,1254
2008-03-31,2.33,2.93,2.1,2.93,41761
2008-04-01,2.89,2.89,2.61,2.78,8967
2008-04-02,2.61,2.86,2.61,2.85,1926
2008-04-03,2.89,2.89,2.53,2.74,1886
2008-04-04,2.58,2.69,2.51,2.56,5440
2008-04-07,2.68,2.68,2.57,2.58,4494
2008-04-08,2.5,2.6,2.43,2.57,8137
2008-04-09,2.42,2.58,2.26,2.57,3853
2008-04-10,2.6,2.74,2.4,2.73,25733
2008-04-11,2.83,3.17,2.83,3.09,216759
2008-04-14,3.19,4.5,3.15,3.7,169350
2008-04-15,3.95,4.2,3.33,3.68,91063
2008-04-16,3.66,3.68,3.35,3.4,14499
2008-04-17,3.5,3.93,3.5,3.73,46067
2008-04-18,3.73,3.73,3.5,3.66,22244
2008-04-21,3.6,3.66,3.33,3.55,5019
2008-04-22,3.5,3.5,3.04,3.29,16059
2008-04-23,3.04,3.15,2.9,3.1,12469
2008-04-24,3.5,3.53,3.02,3.31,8740
2008-04-25,3.49,3.49,3.1,3.4,4178
2008-04-28,3.5,3.5,3.24,3.37,5319
2008-04-29,3.4,3.4,3.3,3.39,3670
2008-04-30,3.54,3.82,3.5,3.7,21429
2008-05-05,3.6,3.68,3.4,3.68,25171
2008-05-06,3.87,3.87,3.52,3.7,15102
2008-05-07,3.8,3.83,3.56,3.68,23498
2008-05-08,3.8,3.8,3.46,3.64,6213
2008-05-09,3.48,3.57,3.4,3.4,5252
2008-05-12,3.38,3.49,3.28,3.49,5841
2008-05-13,3.5,3.5,3.16,3.48,5679
2008-05-14,3.5,3.5,3.48,3.49,2560
2008-05-15,3.5,3.5,3.13,3.42,4593
2008-05-16,3.18,3.32,3.14,3.3,8403
2008-05-19,3.25,3.25,3.14,3.19,1195
2008-05-20,3.15,3.15,3.15,3.15,20
2008-05-21,3.15,3.15,3.15,3.15,121
2008-05-23,3.22,3.3,3.17,3.27,5068
2008-05-26,3.27,3.3,3.15,3.2,3688
2008-05-27,3.29,3.29,3,3,5163
2008-05-28,3.15,3.15,2.92,3.15,1912
2008-05-30,3.09,3.26,3.08,3.17,6951
2008-06-02,3.2,3.2,3.08,3.08,109
2008-06-03,2.96,3.1,2.48,2.64,64344
2008-06-04,2.79,2.79,2.36,2.36,21362
2008-06-05,2.45,2.45,2.3,2.35,19291
2008-06-06,2.45,2.69,2.4,2.68,15384
