Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-01-14,33,33,21,22,14733
2011-01-17,21,22,20,20,3276
2011-01-18,20,21,19,20,1195
2011-01-19,20,23,20,23,2342
2011-01-20,23,23,20,23,1000
2011-01-21,23,23,22,22,359
2011-01-24,23,23,21,22,661
2011-01-25,21,21,20,21,279
2011-01-26,21,21,20,20,85
2011-01-27,21,21,20,21,396
2011-01-28,22,22,19,20,1883
2011-01-31,20,20,18,19,1312
2011-02-01,18,20,17,18,5842
2011-02-02,17,18,17,18,583
2011-02-03,18,18,17,17,1416
2011-02-04,18,18,17,17,939
2011-02-07,17,20,16,19,2878
2011-02-08,19,20,18,20,1333
2011-02-09,20,20,19,20,80
2011-02-10,19,20,19,19,145
2011-02-11,19,19,19,19,90
2011-02-14,18,18,18,18,175
2011-02-15,18,18,18,18,51
2011-02-16,19,19,18,18,511
2011-02-17,19,19,17,17,656
2011-02-21,17,17,17,17,20
2011-02-22,17,17,17,17,296
2011-02-23,17,18,17,18,149
2011-02-24,17,18,17,18,314
2011-02-25,17,18,16,18,625
2011-02-28,18,21,18,21,1496
2011-03-01,21,22,21,21,251
2011-03-02,21,22,21,22,35
2011-03-03,22,22,21,22,475
2011-03-04,22,23,22,23,648
2011-03-07,23,24,22,23,497
2011-03-08,23,24,23,23,171
2011-03-09,23,25,20,20,3656
2011-03-10,20,23,20,23,840
2011-03-11,22,23,21,22,110
2011-03-15,22,22,21,21,470
2011-03-16,21,21,21,21,5
2011-03-17,21,21,21,21,243
2011-03-18,21,22,21,21,138
2011-03-21,21,21,19,19,42
2011-03-22,19,19,19,19,110
2011-03-23,20,20,20,20,127
2011-03-24,20,20,20,20,20
2011-03-25,21,21,21,21,5
2011-03-28,20,20,19,19,106
2011-03-29,20,20,20,20,228
2011-03-30,20,20,20,20,20
2011-04-01,20,20,20,20,20
2011-04-04,20,20,20,20,5
2011-04-05,20,20,19,20,338
2011-04-06,20,20,20,20,173
2011-04-07,19,19,19,19,100
2011-04-08,19,19,19,19,10
2011-04-11,19,19,19,19,222
2011-04-13,20,20,20,20,5
2011-04-14,20,20,19,19,85
2011-04-15,19,19,19,19,100
2011-04-19,20,20,20,20,5
2011-04-20,20,27,20,27,1257
2011-04-21,25,26,22,24,2141
2011-04-26,24,24,21,23,262
2011-04-27,23,23,23,23,5
2011-04-28,23,23,22,22,40
2011-04-29,22,22,22,22,5
2011-05-02,22,22,22,22,98
2011-05-04,22,22,22,22,30
2011-05-05,22,22,21,22,87
2011-05-06,22,22,22,22,22
2011-05-09,21,22,21,21,175
2011-05-10,21,21,21,21,9
2011-05-11,22,22,22,22,5
2011-05-12,21,21,21,21,6
2011-05-13,22,22,20,20,400
2011-05-16,20,21,20,21,75
2011-05-17,21,21,19,19,205
2011-05-18,19,19,19,19,5
2011-05-19,20,21,20,21,302
2011-05-20,20,22,20,22,69
2011-05-23,22,22,22,22,4
2011-05-25,22,22,22,22,5
2011-05-26,22,22,20,22,26
2011-05-30,22,22,22,22,5
2011-05-31,21,21,21,21,5
2011-06-02,20,20,20,20,5
2011-06-03,20,20,20,20,5
2011-06-06,20,20,20,20,65
2011-06-07,19,21,19,21,315
2011-06-08,21,21,21,21,5
2011-06-09,21,21,21,21,4
2011-06-14,21,21,20,20,15
2011-06-15,20,20,20,20,45
2011-06-17,19,19,19,19,55
2011-06-20,19,19,18,18,71
2011-06-21,19,19,19,19,5
2011-06-22,19,19,19,19,18
2011-06-24,19,19,19,19,5
2011-06-27,19,19,19,19,5
2011-06-28,19,19,19,19,10
2011-07-06,18,18,18,18,10
2011-07-07,19,20,19,20,8
2011-07-11,19,19,19,19,5
2011-07-12,19,19,17,17,57
2011-07-13,17,17,17,17,10
2011-07-14,17,17,17,17,5
2011-07-15,17,17,17,17,7
2011-07-18,17,17,17,17,7
2011-07-19,17,17,17,17,6
2011-07-21,17,17,17,17,6
2011-07-22,17,17,17,17,6
2011-07-26,17,17,17,17,3
2011-07-27,17,17,16,16,9
2011-08-01,16,16,15,15,206
2011-08-04,16,16,16,16,2
2011-08-09,17,17,17,17,2
2011-08-10,17,17,17,17,1
2011-08-12,17,17,17,17,4
2011-08-16,17,17,17,17,10
2011-08-17,16,16,14,14,72
2011-08-18,14,14,14,14,243
2011-08-31,15,15,14,14,19
2011-09-19,13,13,13,13,1
2011-09-22,12,12,12,12,5
2011-09-23,12,12,10,10,222
2011-09-28,11,12,11,12,29
2011-09-29,12,12,12,12,25
2011-10-03,11,11,11,11,3
2011-10-06,13,13,13,13,5
2011-10-07,13,13,13,13,5
2011-10-10,13,13,13,13,5
2011-10-11,13,13,13,13,5
2011-10-12,13,13,13,13,5
2011-10-13,13,16,13,16,77
2011-10-14,16,19,16,19,220
2011-10-17,19,20,19,19,67
2011-10-20,20,20,18,18,10
2011-10-21,18,18,18,18,5
2011-10-24,18,18,15,15,30
2011-10-25,16,18,15,18,40
2011-10-27,18,18,18,18,5
2011-10-28,18,18,18,18,1
2011-11-02,17,22,15,22,1769
2011-11-03,21,23,18,18,318
2011-11-04,19,22,18,22,636
2011-11-07,20,20,18,18,10
2011-11-08,18,19,17,19,156
2011-11-09,18,18,15,16,343
2011-11-10,17,17,16,16,5
2011-11-14,17,20,17,17,703
2011-11-15,17,20,16,17,649
2011-11-16,17,17,17,17,1
2011-11-17,17,20,16,17,921
2011-11-18,17,20,17,18,708
2011-11-21,18,19,18,19,6
2011-11-22,19,22,19,19,476
2011-11-23,19,21,19,21,10
2011-11-24,20,30,19,30,9757
2011-11-25,36,43,36,43,1635
2011-11-28,51,62,41,62,17594
2011-11-29,74,75,60,75,1475
2011-11-30,75,82,61,61,5990
2011-12-01,69,80,59,74,9409
2011-12-02,70,80,48,48,5286
2011-12-05,55,57,39,45,262
2011-12-06,54,64,45,63,279
2011-12-07,67,80,61,80,354
2011-12-08,80,82,72,80,150
2011-12-09,78,78,51,51,1792
2011-12-12,51,51,41,45,170
2011-12-13,43,50,42,45,438
2011-12-14,42,46,40,40,254
2011-12-15,42,42,35,35,189
2011-12-16,35,38,30,35,125
2011-12-19,36,38,36,37,3
2011-12-20,37,37,35,35,110
2011-12-21,35,36,33,33,13
2011-12-22,33,33,31,31,21
2011-12-23,31,32,31,32,4
2011-12-27,34,38,34,36,1039
2011-12-28,35,43,35,43,91
2011-12-29,44,44,44,44,1
2011-12-30,44,52,39,52,192
2012-01-02,52,52,36,37,168
2012-01-03,31,36,30,30,278
2012-01-04,32,32,31,31,7
2012-01-05,32,34,26,28,92
2012-01-09,27,35,27,28,158
2012-01-10,28,30,27,30,132
2012-01-11,30,30,27,30,75
2012-01-12,30,36,29,29,18
2012-01-13,27,32,27,32,6
2012-01-16,26,31,26,28,109
2012-01-17,28,33,28,30,35
2012-01-18,28,33,27,27,265
2012-01-19,29,30,29,29,84
2012-01-20,25,30,24,26,378
2012-01-23,28,28,24,24,177
2012-01-24,20,21,16,21,2178
2012-01-25,18,21,18,19,64
2012-01-26,17,19,17,18,143
2012-01-27,18,19,17,17,31
2012-01-30,14,16,14,16,1485
2012-01-31,17,17,14,15,386
2012-02-01,16,20,16,20,280
2012-02-02,19,19,19,19,91
2012-02-03,19,21,19,20,50
2012-02-06,21,21,17,17,866
2012-02-07,18,18,18,18,17
2012-02-08,18,19,18,19,13
2012-02-09,19,19,18,19,45
2012-02-10,19,19,17,17,13700
2012-02-13,16,16,16,16,11
2012-02-14,16,19,16,17,245
2012-02-15,19,23,19,23,1324
2012-02-16,26,31,25,31,1138
2012-02-17,35,39,30,30,811
2012-02-20,30,30,26,28,301
2012-02-21,28,28,23,27,259
2012-02-22,27,27,23,27,150
2012-02-23,26,26,24,24,16
2012-02-24,24,28,24,25,84
2012-02-27,25,30,25,30,2105
2012-02-28,34,36,30,34,1584
2012-02-29,34,46,32,45,435
2012-03-01,45,45,44,44,75
2012-03-02,45,59,45,59,624
2012-03-05,59,66,55,66,3001
2012-03-06,69,79,65,79,1669
2012-03-07,94,97,76,93,898
2012-03-08,94,109,92,102,9967
2012-03-09,100,104,85,96,2641
2012-03-12,98,98,80,80,848
2012-03-13,77,77,64,69,2202
2012-03-14,69,74,67,71,2475
2012-03-15,71,71,61,65,2929
2012-03-16,66,66,46,51,512
2012-03-19,54,54,44,45,2765
2012-03-20,50,55,40,53,394
2012-03-21,50,54,42,44,3566
2012-03-22,45,45,36,42,194
2012-03-23,42,42,34,35,12086
2012-03-26,35,50,34,50,11589
2012-03-27,50,50,40,43,10138
2012-03-28,42,42,32,33,13816
2012-03-29,30,34,24,27,46448
2012-03-30,27,27,24,25,27729
2012-04-02,25,26,21,23,17437
2012-04-03,23,23,19,20,23720
2012-04-04,20,28,19,22,47588
2012-04-05,23,26,21,24,19936
2012-04-10,24,24,21,22,7150
2012-04-11,22,22,18,19,19370
2012-04-12,19,20,18,20,2351
2012-04-13,19,20,19,20,2417
2012-04-16,20,24,20,21,16000
2012-04-17,22,22,20,21,4644
2012-04-18,20,22,20,20,4143
2012-04-19,21,21,19,21,5705
2012-04-20,21,21,20,21,4207
2012-04-23,21,21,18,19,4216
2012-04-24,19,19,16,17,7869
2012-04-25,17,17,15,16,7683
2012-04-26,16,17,16,17,1741
2012-04-27,16,17,16,17,1579
2012-04-30,17,17,14,15,6671
2012-05-02,14,16,14,16,3033
2012-05-04,15,16,14,16,1912
2012-05-07,15,18,15,17,4514
2012-05-08,17,17,16,17,1843
2012-05-09,17,17,15,16,791
2012-05-10,16,17,16,17,273
2012-05-11,17,17,15,15,243
2012-05-14,15,15,13,13,3149
2012-05-15,14,15,13,14,823
2012-05-16,13,14,12,14,2336
2012-05-17,13,14,12,13,674
2012-05-18,13,13,11,13,1260
2012-05-21,13,14,12,13,630
2012-05-22,13,13,12,12,590
2012-05-23,12,13,11,13,942
2012-05-24,13,13,11,13,95
2012-05-25,12,13,11,13,370
2012-05-28,12,14,12,13,1062
