Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-03-04,8.81,9.089,8.00611,8.91482,54995.327869275
2005-03-07,8.81,9.01955,8.81,8.81,8901.803278757
2005-03-08,8.81,8.81,8.3905,8.3905,1766.721311489
2005-03-09,8.24983,8.24983,7.76089,7.96998,14858.360655852
2005-03-10,7.90025,7.90025,7.20138,7.34158,29196.7213117
2005-03-11,7.20138,7.30592,6.99144,7.27111,16453.52459029
2005-03-14,7.09636,7.13156,7.02664,7.02664,15115.163934542
2005-03-15,7.02664,7.34158,7.02664,7.2362,5871.311475455
2005-03-16,7.09636,7.16684,7.02664,7.02664,3606.9672131425
2005-03-17,6.88652,6.95691,6.85199,6.95691,10905.081967297
2005-03-18,6.74698,6.78189,6.60705,6.64196,18325.737705059
2005-03-21,6.64196,6.95691,6.60705,6.95691,17091.80327882
2005-03-22,6.67697,6.88652,6.67697,6.88652,2126.885245918
2005-03-23,6.88652,6.92181,6.71197,6.88652,4218.6065574095
2005-03-24,6.92181,6.95691,6.78189,6.95691,2359.180327887
2005-03-29,6.85199,6.92181,6.81689,6.92181,496.557377053
2005-03-30,6.85199,6.85199,6.71197,6.71197,1655.901639357
2005-03-31,6.74698,6.92181,6.71197,6.92181,6063.114754145
2005-04-04,6.78189,6.88652,6.74698,6.88652,479.508196725
2005-04-05,6.88652,6.88652,6.88652,6.88652,1428.9344262405
2005-04-06,6.81689,6.81689,6.81689,6.81689,483.770491807
2005-04-07,6.81689,6.81689,6.78189,6.78189,269.5901639365
2005-04-11,6.78189,6.81689,6.78189,6.81689,506.1475409875
2005-04-12,6.78189,6.78189,6.64196,6.64196,1134.8360655825
2005-04-13,6.67697,6.67697,6.64196,6.64196,1650.5737705045
2005-04-14,6.64196,6.64196,6.64196,6.64196,286.6393442645
2005-04-15,6.60705,6.60705,6.60705,6.60705,286.6393442645
2005-04-18,6.36239,6.36239,5.59332,5.66324,11116.065573856
2005-04-19,5.66324,5.66324,5.4534,5.59332,4645.90163938
2005-04-20,5.38358,5.55841,5.03391,5.52341,2844.0163934645
2005-04-21,5.10392,5.4884,5.10392,5.4884,9075.4918033485
2005-04-22,5.17393,5.20884,4.999,4.999,13425.163934529
2005-04-25,4.75434,4.89417,4.61451,4.75434,10056.885245979
2005-04-26,4.78934,5.24375,4.75434,5.17393,4489.2622951165
2005-04-27,5.13892,5.4534,5.10392,5.20884,10295.573770571
2005-04-28,5.4534,5.59332,5.31357,5.31357,12700.573770589
2005-04-29,5.38358,8.3905,5.34857,5.97791,20343.934426386
2005-05-02,6.18756,7.44622,6.18756,7.20138,42303.27868885
2005-05-04,7.51595,7.90025,7.13156,7.13156,33175.573770747
2005-05-05,7.30592,7.34158,6.60705,6.67697,16269.180327994
2005-05-06,6.57214,6.60705,5.9429,6.60705,23683.442623133
2005-05-09,6.36239,6.50232,6.11774,6.43231,8960.4098361345
2005-05-10,6.57214,6.57214,6.15255,6.18756,845.0000000065
2005-05-11,6.32748,6.60705,6.15255,6.43231,7110.5737705465
2005-05-12,6.53723,6.57214,6.29248,6.50232,1584.5081967335
2005-05-13,6.50232,6.53723,6.22256,6.3974,6851.639344315
2005-05-16,6.25747,6.29248,6.04782,6.29248,3321.3934426485
2005-05-17,6.29248,6.29248,5.9429,6.25747,3931.967213145
2005-05-18,6.08283,6.46731,6.08283,6.18756,7500.5737705495
2005-05-19,6.11774,6.29248,6.11774,6.18756,5092.3770492195
2005-05-20,6.18756,6.3974,6.18756,6.29248,12701.63934436
2005-05-23,6.29248,6.29248,6.25747,6.25747,2066.1475409995
2005-05-24,6.22256,6.22256,6.22256,6.22256,2786.4754098575
2005-05-25,6.29248,6.32748,6.29248,6.32748,414.5081967245
2005-05-27,6.29248,6.36239,6.29248,6.32748,2848.2786885465
2005-05-30,6.29248,6.74698,6.29248,6.74698,5175.4918033185
2005-05-31,6.50232,6.67697,6.50232,6.67697,1301.0655737805
2005-06-01,6.46731,6.46731,6.43231,6.43231,1138.032786894
2005-06-02,6.43231,6.64196,6.29248,6.64196,5781.803278733
2005-06-03,6.74698,6.99144,6.64196,6.71197,8752.622950887
2005-06-06,6.99144,7.20138,6.88652,7.20138,11821.475409927
2005-06-07,7.27111,7.27111,7.13156,7.13156,5710.4098361095
2005-06-08,7.13156,7.41141,7.13156,7.41141,10137.868852537
2005-06-09,7.41141,7.41141,7.20138,7.34158,1678.2786885375
2005-06-10,7.34158,7.34158,7.13156,7.13156,1542.950819684
2005-06-13,7.09636,7.09636,7.06183,7.06183,4813.1967213485
2005-06-14,6.85199,6.92181,6.74698,6.85199,866.3114754165
2005-06-15,6.95691,6.95691,6.95691,6.95691,286.6393442645
2005-06-16,6.95691,6.95691,6.95691,6.95691,285.573770494
2005-06-20,6.99144,6.99144,6.78189,6.78189,2861.0655737925
2005-06-21,6.67697,6.67697,6.67697,6.67697,810.9016393505
2005-06-22,6.64196,6.92181,6.60705,6.92181,7405.737704975
2005-06-23,6.67697,6.92181,6.64196,6.81689,5526.065573813
2005-06-24,6.67697,6.88652,6.67697,6.88652,1744.3442623085
