Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-03-13,0.174,0.238,0.14,0.18,1368480
2014-03-14,0.172,0.192,0.158,0.19,496425
2014-03-17,0.19,0.194,0.162,0.178,174845
2014-03-18,0.182,0.182,0.166,0.174,91485
2014-03-19,0.166,0.172,0.16,0.168,122465
2014-03-20,0.162,0.162,0.142,0.16,160920
2014-03-21,0.158,0.158,0.142,0.154,99930
2014-03-24,0.154,0.16,0.142,0.16,92350
2014-03-25,0.16,0.16,0.15,0.152,66240
2014-03-26,0.16,0.16,0.15,0.152,31295
2014-03-27,0.152,0.154,0.146,0.154,27230
2014-03-28,0.154,0.154,0.15,0.15,13000
2014-03-31,0.15,0.154,0.134,0.138,36955
2014-04-01,0.146,0.174,0.136,0.174,144450
2014-04-02,0.184,0.184,0.154,0.184,145605
2014-04-03,0.184,0.19,0.156,0.168,136775
2014-04-04,0.168,0.168,0.154,0.162,4085
2014-04-07,0.162,0.162,0.144,0.16,58555
2014-04-08,0.142,0.158,0.14,0.158,41715
2014-04-09,0.146,0.158,0.144,0.154,57705
2014-04-10,0.152,0.154,0.152,0.154,8360
2014-04-11,0.154,0.154,0.144,0.146,32390
2014-04-14,0.148,0.154,0.148,0.148,18715
2014-04-15,0.152,0.152,0.144,0.144,3000
2014-04-16,0.152,0.154,0.152,0.152,27780
2014-04-17,0.152,0.154,0.144,0.154,28040
2014-04-22,0.154,0.16,0.154,0.16,25675
2014-04-23,0.16,0.16,0.148,0.148,21500
2014-04-24,0.148,0.164,0.148,0.158,16805
2014-04-25,0.162,0.162,0.15,0.15,10
2014-04-28,0.162,0.162,0.162,0.162,4000
2014-04-29,0.16,0.16,0.144,0.148,287400
2014-04-30,0.146,0.146,0.144,0.144,5505
2014-05-02,0.142,0.152,0.142,0.152,31950
2014-05-05,0.158,0.158,0.13,0.14,126475
2014-05-06,0.142,0.142,0.13,0.13,405
2014-05-07,0.142,0.142,0.14,0.142,10440
2014-05-09,0.142,0.142,0.142,0.142,8500
2014-05-12,0.138,0.138,0.138,0.138,8000
2014-05-13,0.138,0.138,0.138,0.138,750
2014-05-14,0.138,0.144,0.138,0.144,1000
2014-05-15,0.138,0.146,0.138,0.146,1000
2014-05-19,0.142,0.142,0.142,0.142,150
2014-05-21,0.142,0.142,0.128,0.128,11000
2014-05-22,0.144,0.144,0.12,0.124,49500
2014-05-23,0.12,0.124,0.12,0.124,5545
2014-05-26,0.124,0.128,0.112,0.112,23655
2014-05-27,0.114,0.134,0.114,0.116,74375
2014-05-28,0.118,0.128,0.118,0.12,35500
2014-05-29,0.13,0.13,0.118,0.118,17250
2014-05-30,0.118,0.118,0.118,0.118,25500
2014-06-02,0.12,0.12,0.12,0.12,2000
2014-06-03,0.118,0.118,0.118,0.118,500
2014-06-04,0.118,0.118,0.118,0.118,100
2014-06-05,0.118,0.122,0.118,0.122,20700
2014-06-06,0.122,0.122,0.122,0.122,275
2014-06-09,0.124,0.124,0.124,0.124,2875
2014-06-10,0.13,0.13,0.13,0.13,6800
2014-06-11,0.13,0.13,0.13,0.13,600
2014-06-12,0.13,0.13,0.13,0.13,1000
2014-06-13,0.13,0.13,0.13,0.13,500
2014-06-16,0.13,0.13,0.13,0.13,175
2014-06-17,0.124,0.124,0.124,0.124,2500
2014-06-18,0.124,0.124,0.124,0.124,100
2014-06-20,0.124,0.124,0.124,0.124,500
2014-06-23,0.124,0.132,0.116,0.132,46050
2014-06-24,0.142,0.146,0.136,0.136,193650
2014-06-25,0.132,0.132,0.116,0.116,16950
2014-06-26,0.12,0.12,0.12,0.12,500
2014-06-27,0.12,0.128,0.12,0.128,430
2014-06-30,0.126,0.126,0.126,0.126,250
2014-07-01,0.126,0.126,0.126,0.126,250
2014-07-02,0.126,0.126,0.126,0.126,250
2014-07-03,0.126,0.126,0.126,0.126,250
2014-07-08,0.126,0.126,0.116,0.12,17690
2014-07-09,0.12,0.144,0.12,0.144,15300
2014-07-10,0.14,0.152,0.128,0.128,39000
2014-07-11,0.14,0.14,0.126,0.126,11690
2014-07-14,0.128,0.128,0.12,0.12,21635
2014-07-17,0.124,0.124,0.12,0.12,755
2014-07-18,0.12,0.124,0.12,0.124,22500
2014-07-24,0.12,0.12,0.12,0.12,500
2014-07-25,0.12,0.12,0.106,0.12,17550
2014-07-28,0.12,0.12,0.12,0.12,5650
2014-07-29,0.12,0.12,0.12,0.12,500
2014-07-30,0.12,0.12,0.11,0.11,4500
2014-07-31,0.108,0.108,0.106,0.106,20500
2014-08-04,0.11,0.11,0.11,0.11,750
2014-08-05,0.108,0.108,0.108,0.108,500
2014-08-07,0.112,0.122,0.112,0.122,18000
2014-08-13,0.116,0.116,0.116,0.116,13025
2014-08-14,0.122,0.126,0.116,0.116,26025
2014-08-18,0.128,0.132,0.128,0.132,4725
2014-08-20,0.132,0.132,0.132,0.132,5000
2014-08-21,0.132,0.132,0.124,0.13,23300
2014-08-22,0.122,0.122,0.122,0.122,10000
2014-08-25,0.124,0.124,0.124,0.124,500
2014-08-26,0.124,0.124,0.124,0.124,7600
2014-08-27,0.124,0.124,0.124,0.124,7150
2014-09-02,0.12,0.12,0.118,0.118,2070
2014-09-09,0.12,0.12,0.118,0.118,1500
2014-09-11,0.12,0.12,0.12,0.12,250
2014-09-24,0.118,0.118,0.112,0.112,38920
2014-10-08,0.114,0.118,0.104,0.104,52185
2014-10-09,0.12,0.144,0.11,0.138,532610
