Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-11-28,6.95,10,6.2,7.25,68787
2013-11-29,7.24,7.5,6.5,7.2,4478
2013-12-02,7,7,5.9,7,3022
2013-12-03,6.8,6.98,6.8,6.98,350
2013-12-04,6.98,6.98,6.52,6.52,520
2013-12-05,6.25,6.9,5.9,6.89,1539
2013-12-06,6,7.15,6,7.15,1050
2013-12-09,7,7,7,7,140
2013-12-10,6.6,6.99,5.9,6.98,1187
2013-12-11,6.45,6.88,6.45,6.88,6512
2013-12-12,6.85,6.85,6.45,6.45,305
2013-12-13,5.9,6.6,5.9,6.6,783
2013-12-16,6.6,6.6,6.2,6.2,310
2013-12-17,6.25,6.6,6.2,6.6,410
2013-12-18,6.6,6.85,5.5,6.84,5639
2013-12-19,6.54,6.55,6.1,6.55,489
2013-12-20,6.36,6.7,6.14,6.6,824
2013-12-23,6.19,6.4,5,6.39,1530
2013-12-27,5.4,6.38,5.4,6.38,200
2013-12-30,6.3,6.35,6.3,6.35,130
2014-01-02,6.34,6.9,6.34,6.9,1735
2014-01-03,6.9,6.9,6.42,6.89,1345
2014-01-07,6.33,6.9,6.3,6.9,1345
2014-01-08,6.33,6.45,6.33,6.45,250
2014-01-09,6.45,6.45,6.45,6.45,10
2014-01-10,6.44,6.8,6.44,6.75,4253
2014-01-13,6.7,6.7,6.35,6.69,114
2014-01-14,6.69,6.69,6.69,6.69,3
2014-01-15,6.68,6.68,6.33,6.33,243
2014-01-16,6.4,6.4,6.4,6.4,20
2014-01-21,6.4,6.67,6.4,6.67,650
2014-01-22,6.19,6.19,6.19,6.19,535
2014-01-23,6.19,6.19,6.19,6.19,65
2014-01-24,6.19,6.19,6.19,6.19,2
2014-01-27,6.19,6.19,5.77,6.15,303
2014-01-28,6.14,6.14,5.85,6.14,243
2014-01-29,6.14,6.14,6.14,6.14,5
2014-01-30,6.14,6.14,5.8,6.14,367
2014-01-31,6.14,6.14,5.5,5.5,1045
2014-02-03,5.75,6.1,5.5,6.1,4243
2014-02-04,5.8,6.9,5.8,6.9,1477
2014-02-05,6.98,10.03,6.98,9.88,15781
2014-02-06,9.89,9.99,7.92,8.69,5474
2014-02-07,7.9,8.2,7.45,7.5,1326
2014-02-10,7.5,8.89,7.5,8.89,869
2014-02-11,8.85,8.85,7.7,8.38,1900
2014-02-12,8.22,8.74,7.52,8.25,1619
2014-02-13,8.35,8.35,7.8,8.3,777
2014-02-14,7.52,8.3,7.52,7.6,633
2014-02-17,7.8,8.99,7.8,8.1,1636
2014-02-18,8.6,9.75,8.4,9.74,6542
2014-02-19,9.52,9.52,8.4,9.45,718
2014-02-20,8.95,9.45,8.51,9.45,323
2014-02-21,9.21,9.6,8.2,9.45,9259
2014-02-24,9.5,9.5,8.2,8.99,3397
2014-02-25,8.2,8.9,7.35,8.9,3364
2014-02-26,7.7,8.4,7.5,8.4,1065
2014-02-27,8.4,8.6,8.4,8.6,223
2014-02-28,7.5,8.8,7.4,7.8,1651
2014-03-03,7.83,8.5,6.4,7.5,5458
2014-03-04,7.9,8.2,7.09,7.95,583
2014-03-05,7.9,7.95,7.9,7.95,300
2014-03-06,7.7,7.95,7.4,7.5,2775
2014-03-07,7.5,7.63,7.1,7.63,115
2014-03-10,7.63,8.4,7.63,7.95,240
2014-03-11,7.95,8.4,7.95,8.4,287
2014-03-12,7.95,7.95,7.95,7.95,5
2014-03-13,7.95,8,7,7,485
2014-03-14,7.1,8,6.72,7.69,493
2014-03-17,8.08,8.08,7.35,8,907
2014-03-18,7.99,8,7.35,8,705
2014-03-19,7.99,8,7.5,8,228
2014-03-20,7.35,7.74,7.2,7.6,566
2014-03-21,7.57,7.57,7.2,7.2,25
2014-03-24,7.05,7.57,7.05,7.57,201
2014-03-25,7.57,7.57,7.57,7.57,70
2014-03-26,7.6,7.6,7.6,7.6,5
2014-03-27,7.59,8,7.4,7.98,406
2014-03-28,8,8.7,7.29,8.7,523
2014-03-31,7.9,9.47,7.9,9.14,10053
2014-04-01,9.05,9.05,8.4,8.97,2350
2014-04-02,8.65,8.96,7.7,8.3,5390
2014-04-03,8.43,8.43,7.15,7.75,3686
2014-04-04,7.41,7.76,7.22,7.76,1174
2014-04-07,7.76,7.93,7.4,7.93,933
2014-04-08,7.93,8.2,7.6,7.8,806
2014-04-09,7.8,7.9,7.8,7.9,11
2014-04-10,7.95,7.95,7.95,7.95,50
2014-04-11,7.7,8.01,7.4,8.01,246
2014-04-15,7.98,7.98,7.98,7.98,8
2014-04-16,7.77,7.98,7.77,7.98,21
2014-04-17,7.5,7.73,7.5,7.5,558
2014-04-22,7.5,7.62,7.41,7.5,471
2014-04-23,7.5,7.74,7.2,7.31,675
2014-04-24,7.31,7.5,7.05,7.5,705
2014-04-25,7.3,7.3,7.05,7.3,505
2014-04-28,7.28,7.97,7.28,7.97,1484
2014-04-29,7.8,7.8,7.75,7.75,117
2014-04-30,7.75,7.75,7.75,7.75,5
2014-05-02,7.75,7.85,7.52,7.52,1981
2014-05-05,7.5,7.7,7.15,7.5,2620
2014-05-06,7.52,8,7.5,7.83,2119
