Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-09-08,3.1,4.3995,2.642,4.3,495184
2021-09-09,4.8,4.8,3.35,3.5695,306977
2021-09-10,3.4005,4.02,3.4005,3.8,68996
2021-09-13,3.8395,4.2,3.8,3.95,79043
2021-09-14,4,4,3.7,3.76,36803
2021-09-15,3.68,3.878,3.55,3.66,26327
2021-09-16,3.662,4.1,3.662,4.1,50798
2021-09-17,4.13,4.95,4.12,4.89,187391
2021-09-20,4.9,5.358,4.46,5.2,127026
2021-09-21,5.221,6.98,5.22,6.488,233799
2021-09-22,6.9,7.21,6,6.498,287492
2021-09-23,6.699,6.79,6,6.58,99520
2021-09-24,6.648,7.06,6.16,6.95,82036
2021-09-27,7.07,7.96,6.6,6.71,113510
2021-09-28,7,7,5.94,6.19,137724
2021-09-29,6.16,6.3,5.52,6.28,118026
2021-09-30,6.38,6.49,5.64,5.741,109875
2021-10-01,5.82,6.379,5.7,6.23,147644
2021-10-04,6.2,6.26,5.57,5.89,164920
2021-10-05,5.89,6.25,5.641,5.802,100813
2021-10-06,4.3,4.797,4.056,4.66,658941
2021-10-07,4.4,4.45,3.79,3.925,467131
2021-10-08,3.72,4.399,3.68,4.329,396149
2021-10-11,4.14,4.188,3.812,3.89,183414
2021-10-12,3.87,3.87,3.41,3.4605,172602
2021-10-13,3.412,3.74,3.3,3.42,123469
2021-10-14,3.415,3.5,3.2015,3.495,65092
2021-10-15,3.495,3.495,3.29,3.4,23318
2021-10-18,3.491,3.89,3.333,3.5305,42139
2021-10-19,3.53,3.75,3.41,3.61,52117
2021-10-20,3.55,3.6195,3.302,3.49,30903
2021-10-21,3.351,3.499,3.2,3.348,47508
2021-10-22,3.358,3.44,3.16,3.425,25135
2021-10-25,3.4,3.453,3.21,3.448,19206
2021-10-26,3.36,3.4,3.16,3.36,60645
2021-10-27,3.359,3.482,3.2,3.445,23743
2021-10-28,3.448,3.448,3.23,3.251,24397
2021-10-29,3.21,3.305,3.01,3.305,57824
2021-11-02,3.2,3.44,3.15,3.29,46506
2021-11-03,3.18,3.26,3,3.229,36157
2021-11-04,3.1505,3.3495,3.01,3.2695,59100
2021-11-05,3.2695,3.349,3.14,3.236,19795
