Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-10-25,2.9,3.45,2.61,2.88,85254
2010-10-26,2.88,4,2.85,4,77700
2010-10-27,3.99,4.5,3.2,3.85,50409
2010-10-28,3.85,3.85,3.18,3.3,32013
2010-10-29,3.24,3.24,2.9,3.15,24605
2010-11-02,3.22,3.42,3,3.35,10479
2010-11-03,3.44,3.44,3.01,3.19,6659
2010-11-04,3.18,3.18,2.95,3.03,5526
2010-11-05,3.1,3.1,2.9,3.07,4230
2010-11-08,3.07,3.07,2.8,2.99,2265
2010-11-09,2.84,3.27,2.8,3.22,11649
2010-11-10,3.19,3.2,2.95,3.2,4111
2010-11-12,3.14,3.17,2.9,3.12,4386
2010-11-15,3.01,3.1,2.92,3.08,1206
2010-11-16,2.91,2.91,2.8,2.9,8484
2010-11-17,2.97,2.97,2.93,2.94,1100
2010-11-18,3,4.22,2.9,4.22,89290
2010-11-19,6.41,6.41,5.45,6.41,70279
2010-11-22,6,6.39,5.1,5.4,47499
2010-11-23,5.3,5.33,4.24,4.55,43505
2010-11-24,4.75,5.46,4.47,5.38,29474
2010-11-25,5.25,5.65,5,5.1,7994
2010-11-26,5.43,7.81,5,6.98,62918
2010-11-29,7.15,7.37,6.12,6.29,16128
2010-11-30,6.68,8.01,5.7,7.15,27022
2010-12-01,7.39,8.2,7,7.04,22798
2010-12-02,7,7.8,6.5,7.67,20946
2010-12-03,7.8,9.3,7.31,9.3,34237
2010-12-06,9.4,11,8.5,8.91,46518
2010-12-07,8.49,8.99,7.5,7.7,54070
2010-12-08,7.7,8.29,6.72,7.21,78289
2010-12-09,7.4,7.58,6.71,7.05,24576
2010-12-10,6.9,6.99,6.08,6.29,19431
2010-12-13,6.35,6.7,5.65,6.69,29852
2010-12-14,6.75,7.63,6.75,7.2,22927
2010-12-15,7.23,7.58,6.5,6.8,19234
2010-12-16,6.8,6.98,6.02,6.45,3135
2010-12-17,6.74,6.74,6.14,6.35,3863
2010-12-20,6,6.2,5.8,6.09,5756
2010-12-21,6.05,6.05,5.2,5.78,13049
2010-12-22,5.5,5.65,5.2,5.24,19431
2010-12-23,5.24,5.92,5.01,5.65,10982
2010-12-27,5.65,5.65,5.12,5.49,2904
2010-12-28,5.1,5.23,4.91,4.91,7178
2010-12-29,4.9,5,4.38,4.98,10797
2010-12-30,4.64,5.09,4.64,4.85,1562
2010-12-31,4.8,5.6,4.71,5.55,19526
2011-01-03,5.31,5.59,5.13,5.59,1498
2011-01-04,5.55,5.85,5.2,5.44,4252
2011-01-05,5.12,5.46,4.62,5.2,4852
2011-01-07,4.75,5.17,4.54,4.94,7482
2011-01-10,4.71,4.9,4.1,4.39,5042
2011-01-11,4.6,4.6,4.07,4.12,930
2011-01-12,4.5,4.5,4.15,4.33,3921
2011-01-13,4.43,4.43,4.15,4.39,233
2011-01-14,4.15,4.7,4.05,4.6,3965
2011-01-17,4.7,4.9,4.22,4.72,1690
2011-01-18,4.27,4.59,4.27,4.3,735
2011-01-19,4.78,4.78,4.3,4.3,414
2011-01-20,4,4.52,4,4.15,1086
2011-01-21,4.12,5.72,4.11,5.15,45939
2011-01-24,5.46,5.69,4.91,5.25,14536
2011-01-25,5.05,5.24,4.71,4.99,2659
2011-01-26,4.75,4.99,4.52,4.87,1839
2011-01-27,4.46,4.7,4.38,4.5,3481
2011-01-28,4.5,4.86,4.5,4.85,1630
2011-01-31,4.52,4.53,4.1,4.32,4870
2011-02-01,4.5,4.73,4.34,4.34,4779
2011-02-02,4.34,4.59,4.34,4.58,1446
2011-02-03,4.31,4.6,4.31,4.49,1926
2011-02-04,4.36,4.45,4.28,4.45,3109
2011-02-07,4.5,4.55,4.4,4.55,2813
2011-02-08,4.3,5.25,4.3,4.98,12171
2011-02-09,5.08,5.95,4.79,5.14,24764
2011-02-10,4.76,5.29,4.7,4.7,2272
2011-02-11,4.72,5.1,4.7,5,3417
2011-02-14,5.05,5.05,4.1,4.69,6743
2011-02-15,4.55,4.55,4.21,4.3,7205
2011-02-16,4.29,4.45,4.2,4.42,5574
2011-02-17,4.43,4.47,4.24,4.47,1389
2011-02-18,4.52,4.52,4.51,4.51,2
2011-02-21,4.24,4.24,4.23,4.23,140
2011-02-22,4.23,4.4,4.2,4.4,870
2011-02-23,4.4,4.4,4.12,4.12,163
2011-02-24,4.11,4.11,4,4.1,2340
2011-02-25,4.27,4.42,4.27,4.42,303
2011-02-28,4.4,4.4,4.07,4.07,245
2011-03-01,4.1,4.15,4,4.01,1400
2011-03-02,4,4.01,3.9,3.9,1200
2011-03-03,4,4,3.9,4,420
2011-03-04,4.02,4.02,4,4,270
2011-03-07,4.12,4.38,3.85,4.38,1470
2011-03-09,4.37,4.37,4.02,4.02,24
2011-03-10,4.3,4.3,4.02,4.02,327
2011-03-11,4.01,4.01,4.01,4.01,30
2011-03-14,4.27,4.27,3.85,3.85,226
2011-03-15,3.85,4,3.8,3.8,832
2011-03-16,4,4,3.71,3.71,364
2011-03-17,3.6,3.6,3.3,3.58,2207
2011-03-18,3.55,3.55,3.54,3.54,202
2011-03-21,3.3,3.59,3.06,3.39,3611
2011-03-22,3.2,3.2,3.15,3.15,3989
2011-03-23,3.4,3.4,3.05,3.38,2531
2011-03-24,3.38,3.38,3.38,3.38,197
