Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-04-19,30.9,32,27.2,29,18751
2018-04-20,29,29,28.5,28.99,2489
2018-04-23,28.99,28.99,28.85,28.85,1092
2018-04-24,28.85,28.85,27.11,27.9,1863
2018-04-25,27.7,28.85,26.95,27.13,1576
2018-04-26,28.85,28.85,27,27,331
2018-04-27,28.85,28.85,26.9,27,982
2018-04-30,27,28.6,25,25,1955
2018-05-02,25.01,27.1,25.01,26.3,1520
2018-05-04,27.1,27.1,25.85,27,244
2018-05-07,26.97,27,26.96,27,627
2018-05-08,26.91,26.91,26.5,26.5,448
2018-05-09,26.79,26.79,26.77,26.77,82
2018-05-10,26.77,27,26.2,27,645
2018-05-11,26.97,26.97,26.69,26.69,863
2018-05-14,26.68,28.5,26.61,27.2,114489
2018-05-15,28.49,29.89,26.94,29.89,15122
2018-05-16,29.99,32.8,29.56,30.8,10195
2018-05-17,30.8,30.8,29.5,29.86,1205
2018-05-18,29.86,29.86,28.5,29.25,180
2018-05-21,29.25,29.89,29,29.57,2051
2018-05-22,29.79,29.79,28.4,28.68,5587
2018-05-23,28.68,28.68,27.75,28.55,273
2018-05-24,29.5,29.5,28,29.5,14038
2018-05-25,29.5,29.5,28.5,28.5,106
2018-05-28,29.49,29.49,27.02,28,1526
2018-05-29,29,29,27.5,28,62
2018-05-30,28,29,27,28.5,3049
2018-06-01,29.2,30.95,28,30.95,1912
2018-06-04,30.9,30.9,29.25,29.9,681
2018-06-05,30.5,30.5,29.3,29.9,42
2018-06-06,30.49,30.49,29.3,29.8,62
2018-06-07,28.9,28.9,28,28,1126
2018-06-08,28.85,29,28,28.2,1697
2018-06-11,29.4,29.4,28.5,28.5,842
2018-06-12,28.79,28.79,28.22,28.79,662
2018-06-13,28.79,29.4,28.79,29.4,3
2018-06-14,29.4,29.4,29.4,29.4,2
2018-06-15,29.4,29.4,27.6,27.98,4734
2018-06-18,29,29,27,27.99,1664
2018-06-19,26.07,27.29,26.07,27.29,1912
2018-06-20,26.5,27.63,26.5,27.48,1181
2018-06-21,27.3,27.3,27.29,27.3,971
2018-06-22,28.98,28.98,27.63,27.63,2
2018-06-25,27.5,27.5,26.5,27.5,1036
2018-06-26,27.5,27.5,27.5,27.5,247
2018-06-27,28.5,28.5,24.7,25.7,2813
2018-06-28,26.5,26.5,24.5,25.2,1977
2018-06-29,25,26.39,25,25.5,3052
2018-07-02,25.8,26.5,25.8,26,1791
2018-07-03,26,28.6,25.75,26.5,2975
2018-07-04,26,26,25.9,26,14
2018-07-05,25.5,25.5,25.5,25.5,30
2018-07-06,26,26,24.5,26,1292
2018-07-09,28.48,28.48,25.7,26,2065
2018-07-10,26,26.4,25.4,26.4,3331
2018-07-11,28.4,28.4,25.6,26,582
2018-07-12,26,28,26,28,178211
2018-07-13,28.48,28.48,27,27.9,16591
2018-07-16,27.8,28.47,27.28,28.47,5813
2018-07-17,28.47,28.47,28.39,28.39,21
2018-07-18,28.39,28.39,28,28.38,52
2018-07-19,28.38,28.38,28.38,28.38,1
2018-07-20,28.37,28.37,27.14,28.25,951
2018-07-23,28.25,28.25,26.34,26.34,3213
2018-07-24,27.5,27.55,26.8,27.55,1566
2018-07-25,28.24,28.24,27.8,28.24,1051
2018-07-26,28.37,28.37,28,28,88
2018-07-27,28.3,28.3,27,27.38,1242
2018-07-30,27.37,28.5,26,27.8,3266
2018-07-31,28.48,28.49,28.3,28.47,3213
2018-08-01,28.48,28.48,27.6,27.99,5063
2018-08-02,27.99,28.25,27.99,28.25,1031
2018-08-03,28.25,28.31,28.25,28.31,152
2018-08-06,28.31,28.31,28.31,28.31,101
2018-08-07,28.31,28.31,28.28,28.28,41
2018-08-08,28.26,28.26,28.24,28.24,256
2018-08-09,28.24,28.26,27.5,27.5,1969
2018-08-10,28,28,26,26,863
2018-08-13,26,27.3,26,26.7,883
2018-08-14,27.29,27.29,26.8,27.19,81
2018-08-16,27.19,27.19,27.19,27.19,11
2018-08-17,27.19,27.19,27.1,27.19,330
2018-08-20,27.19,27.19,26.01,27.19,102
2018-08-21,27.19,29,27.19,28.4,121276
2018-08-22,28.9,28.9,28.8,28.8,759
2018-08-23,28.8,28.8,28.8,28.8,2
2018-08-24,28.8,28.8,28.7,28.7,146
2018-08-27,28.8,28.8,27.2,28.45,105
2018-08-28,28.45,28.45,28.45,28.45,2
2018-08-29,28.45,28.45,27,28.45,302
2018-08-30,28,28.4,28,28.4,57
2018-08-31,28.45,28.45,28.3,28.3,2
2018-09-03,28.45,28.45,27.25,28.45,128
2018-09-04,28.75,28.75,27.25,27.25,971
2018-09-05,28.25,28.25,26.1,27.18,165
2018-09-06,27.18,27.18,24.55,25.99,2243
2018-09-07,25.8,25.8,21.2,22.5,6790
2018-09-10,23.5,23.5,20,21,1085
2018-09-11,20.99,20.99,19.7,20,849
2018-09-12,21,22,18.9,19,13888
2018-09-13,20,20,18.88,19,1267
2018-09-14,19,19,18.8,19,4729
2018-09-17,19,19,17.1,19,3972
2018-09-18,19.25,19.93,19,19,3417
2018-09-19,19.98,19.98,19.42,19.42,161
2018-09-20,19.2,19.4,19,19,323
2018-09-21,19.28,19.28,19,19,1012
2018-09-24,20,20.2,18.51,18.51,4300
2018-09-25,19.39,19.79,19,19.01,9561
2018-09-26,19.78,19.78,18.62,19.1,962
2018-09-27,19.1,20,19.1,20,1311
2018-09-28,20,20.8,19.8,20,7257
2018-10-01,20.8,20.8,19.9,19.9,1532
2018-10-02,20.25,20.25,19.9,20,647
2018-10-03,20.8,20.8,20.24,20.24,380
2018-10-04,20.24,20.24,20.07,20.08,194
2018-10-05,20.79,20.79,19.1,19.5,1217
2018-10-08,19.5,19.99,19.11,19.11,1483
2018-10-09,19.99,19.99,19.88,19.88,22
2018-10-10,19.88,19.88,19,19,1591
2018-10-11,19.19,19.19,18.29,18.5,1438
2018-10-12,18.7,19.98,18,19.98,1400
2018-10-15,20.8,20.89,19,20,822
2018-10-16,20,20,18.49,19.01,316
2018-10-17,20,20,18.89,19.5,620
2018-10-18,20,20,19,19,31
2018-10-19,18.5,18.5,18.1,18.5,6595
2018-10-22,18.5,18.5,17.9,17.9,1025
2018-10-23,18.39,18.39,17.5,18.39,4625
2018-10-24,18.39,18.39,17.4,18.3,221
2018-10-25,18.5,18.5,17.01,17.47,1846
2018-10-26,17.47,17.47,17.05,17.05,301
2018-10-29,17.49,17.49,16.55,16.55,512
2018-10-30,16.56,17.4,16.56,16.8,328
2018-10-31,17.3,17.88,16.6,17,1610
2018-11-02,17.1,18.5,17.1,18,594
2018-11-05,18.81,18.81,18.36,18.81,629
2018-11-06,19.4,19.5,19,19,628
2018-11-07,19,19.2,18.12,19.2,976
2018-11-08,19.2,19.2,19.2,19.2,1
2018-11-09,19.2,19.2,19.2,19.2,92
2018-11-13,19.98,19.98,19.18,19.4,609
2018-11-14,19.9,21.88,19.15,19.15,4331
2018-11-15,19.15,19.15,19.15,19.15,50
2018-11-16,19.5,19.5,19,19.5,3062
2018-11-19,19.5,19.5,19.5,19.5,2
2018-11-20,19,19,18.6,18.6,296
2018-11-21,19,19,19,19,501
2018-11-22,19.9,19.9,19.9,19.9,1
2018-11-23,19.9,19.9,19.7,19.7,4
2018-11-26,19.9,19.9,18.4,19.5,1792
2018-11-27,19.9,19.9,19.34,19.34,26
2018-11-28,19.5,19.5,18.38,19.29,252
2018-11-29,19.5,19.5,18.99,19,32
2018-11-30,19,19,18.99,18.99,128
2018-12-03,19.9,19.9,18.99,19.8,733
2018-12-04,19.8,19.8,18.87,19.4,536
2018-12-05,19.8,19.8,19.39,19.39,6
2018-12-06,19.8,19.8,19.39,19.39,54
2018-12-07,19.8,19.8,18.5,18.5,10
2018-12-10,19,19,19,19,1
2018-12-11,18.5,18.5,18.45,18.45,631
2018-12-12,18.2,18.2,18,18.2,201
2018-12-13,18,18,17.1,17.9,1182
2018-12-14,17.6,17.6,17.58,17.58,231
2018-12-17,17.59,17.59,17.11,17.2,22
2018-12-18,17.21,17.21,16.5,17.1,2727
2018-12-19,17.98,17.98,16.6,17,879
2018-12-20,16,17,15,15,6381
2018-12-21,15.9,15.9,14,14,3660
2018-12-27,14.4,15.4,13.62,14.01,6540
2018-12-28,13.8,15,13.8,14.3,3628
2019-01-02,14.5,15,14.5,15,282
2019-01-03,14.99,14.99,14.9,14.9,310
2019-01-04,14.9,16.39,14.9,16.14,2778
2019-01-07,16.14,16.14,16.12,16.12,775
2019-01-08,16.12,16.12,16.12,16.12,23
2019-01-09,16.12,16.12,15,15,2649
2019-01-10,15.49,15.8,15.1,15.1,1201
2019-01-11,15.4,15.4,15.1,15.3,1471
2019-01-14,15.4,15.5,15.3,15.5,633
2019-01-15,15.5,15.95,15,15.45,2644
2019-01-16,15.38,15.38,15.28,15.28,303
2019-01-17,15.3,15.3,15.24,15.24,2
2019-01-18,15.2,15.2,15.2,15.2,203
2019-01-21,15.2,15.2,14.49,14.49,2039
2019-01-22,15,15,14.01,14.01,47
2019-01-23,14.48,14.48,13.1,13.73,10523
2019-01-24,13.3,13.65,13.12,13.65,1209
2019-01-25,13.3,13.65,13.12,13.39,1148
2019-01-28,13.45,13.97,13.12,13.12,3660
2019-01-29,13.6,13.6,13.4,13.5,958
2019-01-30,13.6,13.6,13.6,13.6,2177
2019-01-31,13.6,13.6,13.6,13.6,741
2019-02-01,13.7,14.4,13.6,13.7,1088
2019-02-04,14.4,14.8,13.8,14.39,5768
2019-02-05,14.39,14.4,14.37,14.4,1494
2019-02-06,14.4,14.4,13.6,13.62,3068
2019-02-07,14.02,14.02,13.62,13.62,492
2019-02-08,13.62,14,13.4,13.9,1137
2019-02-11,13.8,13.8,13.75,13.75,233
2019-02-12,13.75,14.58,13.75,14.58,164118
2019-02-13,14.05,15.05,14.05,14.99,877
2019-02-14,15.32,15.32,15,15.29,407
2019-02-15,15.32,15.33,14.8,15.29,2282
2019-02-18,15.3,15.3,14.64,15.24,426
2019-02-19,15.24,15.24,14,14.15,929
2019-02-20,14.49,14.49,13.85,13.85,691
2019-02-21,14.49,14.6,14.48,14.5,290
2019-02-22,14.59,15.8,14.5,14.5,4201
2019-02-25,14.52,15.8,14.52,15.55,5318
2019-02-26,15.58,15.7,15.41,15.69,2544
2019-02-27,15.8,15.8,15,15.11,4192
2019-02-28,15.12,15.59,15.12,15.59,313
2019-03-01,15.59,15.59,15.15,15.15,427
2019-03-04,15.5,17.05,15.15,16.5,3850
2019-03-05,17.15,20.55,17.15,19,18534
2019-03-06,19.5,19.88,17.3,17.8,4300
2019-03-07,17.7,17.7,16.718,16.9,1780
2019-03-08,17.198,18.25,17.198,17.6,7398
2019-03-11,16.5,19.8,16.5,19.8,2435
2019-03-12,19.4,19.84,19.4,19.79,2205
2019-03-13,19.8,19.8,17.82,18,5951
2019-03-14,18,18,17.5,17.89,1735
2019-03-15,17.5,19,17.3,19,2659
2019-03-18,18.79,19.73,18.6,18.94,6587
2019-03-19,18.94,19.5,18.9,18.9,1021
2019-03-20,18.98,19.248,18.85,19,1160
2019-03-21,19.48,19.48,18.8,18.8,2949
2019-03-22,18.8,20.68,18.4,19.09,15453
2019-03-25,19.9,19.9,18.402,18.8,647
2019-03-26,18.7,18.8,18.48,18.54,1073
2019-03-27,18.54,19.398,18.54,18.6,1545
