Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-12-11,1.50544,1.53272,1.50544,1.53272,8492.9559361148
1995-12-12,1.51561,1.52336,1.5094,1.52336,11512.031823423
1995-12-22,1.45241,1.49302,1.45241,1.49302,36478.834148306
1995-12-27,1.44377,1.50544,1.44377,1.50544,50193.525090394
1995-12-28,1.5094,1.52255,1.48834,1.52255,61282.35311946
1995-12-29,1.52444,1.53128,1.52444,1.52444,56875.924111015
1996-01-04,1.55631,1.68054,1.55631,1.67343,17912.294981139
1996-01-05,1.77966,2.07973,1.77966,1.94532,12115.180538217
1996-01-08,1.9969,2.107,1.9969,2.0664,85262.790695288
1996-01-09,2.06811,2.06811,1.93055,2.06811,43501.129129749
1996-01-10,2.00014,2.04777,1.99303,2.03444,33228.717869327
1996-01-11,1.97124,1.98511,1.93667,1.95081,11018.849448896
1996-01-12,1.86717,1.93595,1.81964,1.90777,40694.210525177
1996-01-15,1.86168,1.91561,1.84683,1.89535,21182.405140166
1996-01-16,1.89769,1.98052,1.89769,1.97358,16241.695225984
1996-01-17,1.96332,1.99132,1.92272,1.95711,5010.6884943518
1996-01-18,1.91489,1.97673,1.91489,1.9563,12659.458383979
1996-01-19,1.96089,2.0023,1.94063,1.97493,17489.091186781
1996-01-22,1.98511,2.00563,1.98511,1.98511,34122.888615936
1996-01-23,1.98439,2.03993,1.98439,2.03993,29504.302324756
1996-01-24,2.01644,2.07036,2.01644,2.0439,114586.03732849
1996-01-25,2.07342,2.12825,2.05317,2.10088,93816.839042662
1996-01-26,2.0836,2.0836,2.07036,2.0836,28367.983475338
1996-01-29,2.08054,2.16102,2.08054,2.16102,23115.146878178
1996-01-30,2.1711,2.37511,2.1711,2.36106,23022.952875733
1996-01-31,2.36484,2.41256,2.36484,2.41256,60770.287635998
1996-02-01,2.4203,2.44785,2.37961,2.41328,65328.892287033
1996-02-02,2.41103,2.41103,2.32982,2.3634,39145.79559254
1996-02-05,2.35386,2.36718,2.33982,2.36106,17871.196449928
1996-02-06,2.3165,2.32982,2.28895,2.3165,16020.651774337
1996-02-07,2.29453,2.31569,2.29453,2.30867,6591.3157892892
1996-02-08,2.2939,2.30642,2.2867,2.30642,16925.930232084
1996-02-09,2.3165,2.44551,2.3165,2.39059,74173.962666223
1996-02-12,2.34918,2.42435,2.33603,2.39698,10927.766217564
1996-02-13,2.37421,2.40797,2.33982,2.38123,30822.787636836
1996-02-14,2.35089,2.36412,2.29615,2.36412,40212.135861788
1996-02-15,2.321,2.321,2.04858,2.12339,18787.582618813
1996-02-16,2.03669,2.09143,1.90084,1.95558,9509.3115052418
1996-02-19,1.9391,1.94613,1.83134,1.91246,43501.129129749
1996-02-20,1.92749,1.92749,1.85934,1.85934,2778.0385556138
1996-02-21,1.89535,1.97034,1.88221,1.97034,3310.097919124
1996-02-22,2.04209,2.12339,2.04209,2.11025,12921.600366835
1996-02-23,2.16723,2.32982,2.16723,2.30236,38572.637697819
1996-02-26,2.33504,2.41715,2.33504,2.39698,8281.9094244928
1996-02-27,2.37817,2.37817,2.26959,2.30308,19471.817624914
1996-02-28,2.26959,2.33748,2.26959,2.32343,22813.017135224
1996-02-29,2.30002,2.30714,2.26662,2.2867,11864.146266498
1996-03-01,2.29687,2.3382,2.29687,2.33126,10445.691554175
1996-03-04,2.3228,2.40473,2.3228,2.40473,39516.793144549
1996-03-05,2.39293,2.54922,2.39293,2.51573,33127.637697971
1996-03-06,2.51411,2.60252,2.51411,2.54769,43140.128517764
1996-03-07,2.53121,2.53121,2.47648,2.51087,9951.3984085342
1996-03-08,2.46189,2.46189,2.386,2.39293,55658.51897029
1996-03-11,2.32577,2.32577,2.22359,2.31254,4628.5832312046
1996-03-12,2.39293,2.46189,2.32433,2.43362,3039.0697673568
1996-03-13,2.38303,2.4032,2.37574,2.38303,1891.6432068014
1996-03-14,2.43525,2.46955,2.4149,2.46955,19511.805385011
1996-03-18,2.4501,2.48359,2.43597,2.4501,26696.272949069
1996-03-19,2.42813,2.42813,2.31254,2.31875,20941.367808471
1996-03-20,2.31173,2.31812,2.29768,2.31173,5081.777845635
1996-03-21,2.32811,2.32811,2.23286,2.24682,13594.727661798
1996-03-22,2.27203,2.27203,2.11502,2.1423,24665.783353043
1996-03-25,2.24682,2.24682,2.18515,2.18515,21896.630966339
1996-03-26,2.19217,2.19217,2.14455,2.14455,17096.98898361
1996-03-27,2.12123,2.12123,2.08756,2.12123,78450.431454353
1996-03-28,2.17903,2.17903,2.05551,2.05551,14994.299265186
1996-03-29,2.07883,2.11322,2.04543,2.07883,9116.0985309566
