Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-07-01,45,45,40,41.9,1006
2021-07-02,40,40,35.5,36,791
2021-07-05,36,36,33.085,34.105,149
2021-07-06,34.105,35.2,34.105,35,562
2021-07-07,34.505,34.505,34.5,34.5,219
2021-07-08,34.495,34.495,33.715,33.715,341
2021-07-09,33,33,33,33,75
2021-07-12,33,33,33,33,30
2021-07-13,32.5,32.5,32.49,32.49,60
2021-07-14,32.495,32.495,32.495,32.495,5
2021-07-15,32,32,30.7,32,791
2021-07-16,31.3,31.3,30.9,31,135
2021-07-19,30.7,30.7,29,29.99,503
2021-07-20,29.99,29.99,29.85,29.85,36
2021-07-21,29.195,29.2,29.19,29.2,497
2021-07-23,29.005,29.925,29,29.92,197
2021-07-26,29.5,29.51,29.5,29.5,125
2021-07-27,29.2,29.2,29.2,29.2,45
2021-07-28,30,30,28.8,29,216
2021-07-29,29,29,29,29,140
2021-07-30,28.6,31.31,28.6,31.31,150
2021-08-02,31.31,31.31,29.99,30,237
2021-08-03,30,30,30,30,10
2021-08-04,30,30,30,30,19
2021-08-05,31.095,32,30,30.495,1127
2021-08-06,30.005,30.2,29.7,30.1,752
2021-08-09,30,30,30,30,350
2021-08-10,30,30,29.995,30,228
2021-08-11,30,30,30,30,304
2021-08-12,30,30,29.875,29.875,399
2021-08-13,29.875,30,29.875,30,208
2021-08-16,29.875,30.5,29.875,30.005,270
2021-08-17,30,30,29.405,29.5,273
2021-08-18,29.45,29.45,29.4,29.4,126
2021-08-19,29.2,29.7,29.2,29.7,90
2021-08-20,30,30,30,30,5
2021-08-23,29.7,29.7,28.8,28.8,150
2021-08-24,28.8,28.805,28.8,28.8,160
2021-08-25,28.2,29.995,28.2,29.995,124
2021-08-26,29.99,30.395,29.99,30,225
2021-08-27,30,30,30,30,3
2021-08-30,30.3,30.39,30.3,30.39,100
2021-08-31,30.395,34.9,30,34.895,2002
2021-09-01,35.4,42.445,35.4,41.685,2643
2021-09-02,41,43,39,43,1034
2021-09-03,44.4,49.995,44.4,49.47,1511
2021-09-06,46.51,46.51,43.005,45.2,787
2021-09-07,44.4,45.995,44,45.995,152
2021-09-08,47.215,47.215,46,46,35
2021-09-09,46,49.35,46,49.35,2691
2021-09-10,49.34,49.345,48.525,49.345,501
2021-09-13,49.295,49.3,48.56,49.28,454
2021-09-14,49,49.005,46.5,47.995,171
2021-09-15,46.51,46.51,44.99,44.995,525
2021-09-16,45,47.85,45,46.85,757
2021-09-17,47,47,47,47,10
2021-09-20,47,47,45.13,45.3,256
2021-09-21,45.8,49.97,45.8,49.3,1614
2021-09-22,49.945,59,49.02,58,2600
2021-09-23,57.78,58,51.5,55.5,616
2021-09-24,56.49,56.49,53.64,53.64,59
2021-09-27,53.64,55.47,53.64,53.64,240
2021-09-28,53,53.01,53,53.01,46
2021-09-29,53,55,53,53.52,334
2021-09-30,53,54.93,53,54,180
2021-10-01,53.5,54,53.2,53.3,245
2021-10-04,53.95,53.95,53.89,53.89,27
2021-10-05,53.22,53.22,50.15,50.5,382
2021-10-06,51.46,51.46,48.1,51,153
2021-10-07,50.11,51,50,51,253
2021-10-11,51.3,53.84,50.78,53.84,311
2021-10-12,53.84,56,53.84,56,372
2021-10-13,56.01,56.87,56,56.87,350
2021-10-14,56.87,56.89,56.68,56.89,117
2021-10-15,57,57.77,57,57.7,86
2021-10-18,57.94,57.94,57,57.78,21
2021-10-19,57.79,57.79,56,56,117
2021-10-20,56,56.2,55.8,55.99,121
2021-10-21,56.5,56.5,56,56.3,83
2021-10-22,56.4,56.4,56,56.05,94
2021-10-25,56.02,56.29,56.02,56.29,68
2021-10-26,56.29,56.29,55.81,55.81,86
2021-10-27,56.29,56.29,55,55.98,110
2021-10-28,55.1,55.78,54.1,55.78,111
2021-10-29,55.8,55.8,54,54.98,326
2021-11-02,54.98,54.98,53.5,54,17
2021-11-03,53.5,53.5,50,50.98,481
2021-11-04,50.99,54.83,50.99,51,283
2021-11-05,50.07,51,49,50,183
2021-11-08,50,50.95,50,50.95,102
2021-11-09,50,51.38,50,51,138
2021-11-10,50.84,50.84,50.48,50.48,24
2021-11-12,50,50.45,49,50.45,208
2021-11-15,48,48.28,47.98,48.28,200
2021-11-16,48.76,48.76,47,47,87
2021-11-17,46.02,46.02,45,46,315
2021-11-18,45,45.21,44,45.21,150
2021-11-19,44.055,44.84,44,44.84,218
2021-11-22,44.5,45.9,44,44.39,249
2021-11-23,44.4,44.4,42.005,42.005,213
2021-11-24,42,42.395,37.2,42.395,913
2021-11-25,42.39,42.59,41.995,42.55,214
2021-11-26,42.55,42.55,42,42,31
2021-11-29,42,42,41.995,42,23
2021-11-30,41.99,41.99,41.99,41.99,11
2021-12-01,41.99,42,41,41.69,86
2021-12-02,41.7,42,41.7,42,47
2021-12-03,42,42,40,41.9,234
2021-12-06,41.99,41.99,41.99,41.99,2
2021-12-07,41.99,41.99,41.99,41.99,2
2021-12-08,41,41,40.005,40.79,71
2021-12-09,40,40.8,40,40.8,9
2021-12-10,41.98,41.98,41.98,41.98,17
2021-12-13,41.98,41.98,41.98,41.98,18
2021-12-14,41.7,41.7,41.7,41.7,2
2021-12-15,41.68,41.7,37.4,37.4,375
2021-12-16,36.005,40.85,36.005,38.48,349
2021-12-17,38.46,39.455,38.45,39.455,102
2021-12-20,39,39,38,38.91,128
2021-12-21,38.89,38.89,35.45,37.89,366
2021-12-23,36.895,38,36.895,38,180
2021-12-27,38.495,38.495,36.5,37.94,66
2021-12-28,37,37,35.5,37,145
2021-12-29,37.97,37.97,37,37.94,8
2021-12-30,37.97,37.97,37,37.89,12
2022-01-03,35.22,36.995,34.555,36.23,130
2022-01-04,36.995,36.995,35,36,240
2022-01-05,36,36,36,36,2
2022-01-07,35.7,35.7,35.7,35.7,14
2022-01-10,36,36,34.4,34.4,47
2022-01-11,34.7,34.795,34.7,34.795,120
2022-01-12,34.5,34.5,34.5,34.5,249
2022-01-17,34.1,35,34.1,35,28
2022-01-18,35,35.5,35,35.5,168
2022-01-19,35.995,37,35.9,37,240
2022-01-21,36.5,36.99,36.495,36.99,150
2022-01-24,36.2,36.2,35.1,35.9,125
2022-01-25,34.5,34.6,34.495,34.5,343
2022-01-26,34.88,34.9,34.5,34.5,310
2022-01-27,34.5,35.795,34.4,35.795,681
2022-01-28,35,35,35,35,10
2022-01-31,35,35,35,35,3
2022-02-01,35,35,34,34,137
2022-02-02,34,35,34,35,81
2022-02-03,35.2,35.2,35.2,35.2,3
2022-02-04,35,36,35,36,280
2022-02-07,36,36,35.4,35.985,198
2022-02-08,35.985,35.99,35.985,35.99,112
2022-02-09,35.995,37.795,35.995,37.795,537
2022-02-10,37.795,37.795,36.3,37.49,183
2022-02-11,37.44,37.44,37.39,37.39,21
2022-02-14,36.005,36.005,35.5,35.5,20
2022-02-15,35.3,35.3,35,35,42
2022-02-16,34.9,34.9,32.8,34.455,193
2022-02-17,34.445,34.445,32.6,33.99,134
2022-02-18,33,33.98,33,33.98,140
2022-02-21,32,32,28,29.985,371
2022-02-22,29.5,30.385,29,30.295,331
2022-02-23,30.37,30.39,30.1,30.39,70
2022-02-24,29.6,29.6,24.995,26.97,722
2022-02-25,26.98,29,26.98,28.935,211
2022-02-28,28,28.85,25,27.365,552
2022-03-01,26.98,26.98,26.5,26.89,90
2022-03-02,26.5,26.5,25,26,119
2022-03-03,25.1,26.07,24.02,24.895,125
2022-03-04,25,29,24.995,24.995,914
2022-03-07,24.5,24.5,19.622,24.45,2764
2022-03-08,22.52,23.3,21.955,22.59,369
2022-03-09,22.5,22.5,21.6,21.95,297
2022-03-11,21.605,22.99,21,22.49,704
2022-03-14,21.93,26.99,21.93,26.49,628
2022-03-15,23.155,27,23.155,27,224
2022-03-16,27.9,28.85,26.21,28.4,369
2022-03-17,27,28.24,24.5,27,237
2022-03-18,27,28,27,27.995,306
2022-03-21,27.995,30.2,27.995,29.97,398
2022-03-22,28.5,29.89,28.5,29.89,41
2022-03-23,28.9,28.9,28.795,28.8,42
2022-03-24,28.795,29.88,28.795,28.905,734
2022-03-25,30.37,30.37,28.8,30.335,168
2022-03-28,30.335,30.79,30.3,30.79,560
2022-03-29,30.78,34,30.78,33.5,434
2022-03-30,33.49,36.18,33.48,35.785,491
2022-03-31,35.66,35.66,35.66,35.66,30
2022-04-01,35,35.2,33.5,35.2,165
2022-04-04,35.1,36.925,35.1,35.205,263
2022-04-05,35.7,35.7,30,30,1271
2022-04-06,29.4,30.995,29.3,29.99,638
2022-04-07,29.995,30.995,29.995,30.895,400
2022-04-08,30.01,30.01,28,28.75,861
2022-04-11,28.75,29.95,27.505,27.99,366
2022-04-12,26.8,26.8,25.43,25.43,134
2022-04-13,26,27.2,22,23.8,1517
2022-04-19,23.5,23.5,22.4,22.4,306
2022-04-20,23,23.4,22.3,22.4,256
2022-04-21,22.9,23.6,22.9,23.6,21
2022-04-22,23,24.3,22.5,24.3,108
2022-04-25,23,23,23,23,5
2022-04-26,23.6,23.6,23.4,23.4,401
2022-04-27,22.8,23,22.1,23,106
2022-04-28,22.2,22.2,20,21.6,1151
2022-04-29,21,21.6,20,20.8,376
2022-05-04,20,20.3,20,20.3,60
2022-05-05,20,20.5,19.05,19.4,672
2022-05-06,19,19,18,18.5,251
2022-05-09,18.45,18.45,16.8,17.9,820
2022-05-10,17.95,17.95,17,17,396
2022-05-11,17.75,21.3,17.65,21.3,633
2022-05-12,20,20,17.3,19,312
2022-05-13,18.95,19.55,18.95,19.1,276
2022-05-16,19.05,20.5,19.05,20.5,145
2022-05-17,20,20,20,20,20
2022-05-19,20.3,20.3,20.3,20.3,2
2022-05-20,20,20,20,20,10
2022-05-23,20,20,20,20,80
2022-05-25,20,20,20,20,5
2022-05-26,20,20,19.55,19.55,47
2022-05-27,19.95,19.95,19.95,19.95,3
2022-05-30,19.6,19.6,18.05,18.05,179
2022-05-31,19.75,19.75,19.75,19.75,1
2022-06-01,19.6,19.6,18,18,99
2022-06-03,18.7,18.7,18.7,18.7,2
2022-06-06,18.85,18.85,18.85,18.85,2
2022-06-07,18.2,18.2,18.2,18.2,10
2022-06-13,18.05,18.05,17.5,17.5,80
2022-06-14,17.7,17.7,17.7,17.7,59
2022-06-15,17.5,17.5,17.5,17.5,15
2022-06-17,17.2,19,16.7,19,1008
2022-06-20,17.3,17.8,17.2,17.8,125
2022-06-21,17.05,17.6,16.7,17.6,46
2022-06-23,17.6,17.6,17.6,17.6,1
2022-06-27,17,17.8,17,17,183
2022-06-28,17,17,17,17,169
2022-06-29,17.4,17.4,17.4,17.4,10
2022-07-01,17.6,17.6,17,17,24
2022-07-05,17.05,17.05,17,17,132
2022-07-08,17.4,20.4,17.4,20.4,283
2022-07-11,19.5,19.5,18.5,19.2,85
2022-07-14,18.5,18.5,18.5,18.5,5
2022-07-19,19.15,20.1,19.15,20.1,6
2022-07-20,18.9,23.2,18.9,22,738
2022-07-22,22,22,22,22,1
2022-07-27,19.35,20.8,19,20.8,431
2022-07-28,19.85,19.85,19.85,19.85,65
2022-07-29,19.85,19.85,19.85,19.85,55
2022-08-01,19.6,19.6,19.6,19.6,1
2022-08-02,19.6,19.6,19.6,19.6,1
2022-08-03,19.55,19.55,18.1,19,96
2022-08-04,19,19.1,19,19.1,60
2022-08-05,19.1,19.1,19.1,19.1,55
2022-08-08,18.95,20,18.95,20,823
2022-08-09,19.55,19.55,19.55,19.55,55
2022-08-11,20.2,20.6,19.85,20.4,180
2022-08-12,20.4,20.4,19.4,20.2,60
2022-08-24,20,20,19,19,72
2022-09-05,19.3,19.5,19.3,19.5,63
2022-09-06,19.6,19.6,19.6,19.6,1
2022-09-08,19.5,19.5,19.5,19.5,2
2022-09-09,19,19,19,19,2
2022-09-13,18.95,19.9,18.95,19.9,188
2022-09-14,19.45,19.45,19.45,19.45,6
2022-09-19,19.2,19.2,18.4,19.2,312
2022-09-20,19.2,19.2,19.2,19.2,1
2022-09-28,19,19,19,19,150
2022-09-29,18.9,19.1,18.9,19.1,48
2022-10-03,18.9,18.9,18.9,18.9,1
2022-10-04,18.7,18.7,18.7,18.7,5
2022-10-05,18.7,18.7,18.7,18.7,2
2022-10-06,18.7,18.7,18.6,18.7,102
2022-10-07,18.7,18.7,18.6,18.6,35
2022-10-10,18.7,18.7,18.65,18.7,30
2022-10-11,18.7,18.7,18.7,18.7,22
2022-10-12,18.65,18.7,18.65,18.7,201
2022-10-14,18.7,18.7,18.7,18.7,1
2022-10-17,18.7,18.7,18.7,18.7,1
2022-10-18,18.7,18.7,16.95,18,347
2022-10-21,18,18,18,18,1
2022-10-24,18,18,18,18,1
2022-10-25,17.95,17.95,17.95,17.95,1
2022-10-26,17.9,18,17.9,17.9,201
2022-10-27,17.95,18,17.95,18,91
2022-10-28,18,18,18,18,1
2022-10-31,17.95,18,17.95,18,13
2022-11-02,18,18,18,18,65
2022-11-03,18,18,18,18,1
2022-11-04,17.95,17.95,17.95,17.95,2
2022-11-07,17.4,17.4,16.95,16.95,33
2022-11-09,16.65,16.65,15.05,16,1259
2022-11-10,16,16,16,16,62
2022-11-14,15.7,15.7,15.7,15.7,1
2022-11-15,15.45,15.5,14.85,15.5,811
2022-11-16,15.5,15.5,15.5,15.5,1
2022-11-17,15.5,15.5,15.5,15.5,2
2022-11-18,15.5,15.5,13.5,14.9,216
2022-11-21,14.15,14.15,12.9,13.8,1502
2022-11-22,12.7,13.35,12.25,13.3,1274
2022-11-23,13.2,13.8,13.2,13.8,64
2022-11-25,13.9,13.9,13.9,13.9,1
2022-11-28,13.9,13.9,12.85,13.8,121
2022-11-29,12.9,13.65,12.9,13.65,10
2022-11-30,13,14.5,13,14.5,500
2022-12-01,14.2,14.2,14.2,14.2,5
2022-12-02,13.85,14.5,13.85,14.5,319
2022-12-05,14.55,14.55,12.7,13.45,812
2022-12-06,13,13,13,13,2
2022-12-07,13,13,13,13,1
2022-12-08,12.9,12.9,12.9,12.9,1
2022-12-09,12.6,12.7,12.6,12.7,23
2022-12-12,12.7,13.45,12.7,13.45,21
2022-12-13,13,13.05,13,13,205
2022-12-14,13,13.2,13,13.2,100
2022-12-15,13.1,13.1,13.1,13.1,200
2022-12-16,13.3,13.3,13.25,13.25,23
2022-12-19,13.1,13.1,13.1,13.1,10
2022-12-20,13.15,13.15,12.7,12.7,121
2022-12-21,12.8,12.8,12,12,912
2022-12-22,12,13.2,11.95,13.2,358
2022-12-27,13.1,13.1,13.1,13.1,5
2022-12-28,13.05,13.05,13.05,13.05,50
2022-12-29,13.05,13.05,13.05,13.05,10
2022-12-30,13.05,13.05,13.05,13.05,5
2023-01-04,13.05,13.05,12.8,12.8,80
2023-01-09,12.85,13.45,12.65,13.45,175
2023-01-10,13.45,13.45,13.35,13.35,15
2023-01-11,13,13,13,13,15
2023-01-12,13,13,13,13,15
2023-01-13,13,13,13,13,10
2023-01-16,13,13,12.7,12.7,220
2023-01-17,12.5,12.5,12.3,12.3,254
2023-01-18,12.3,12.3,12.3,12.3,100
2023-01-19,12.05,12.05,11.9,11.9,309
2023-01-20,11.6,12,11,12,1262
2023-01-23,11.4,12,10.7,12,1646
2023-01-24,11.05,12.8,11,12.8,1228
2023-01-25,12,12,11.1,11.2,1584
2023-01-26,11.1,11.7,10.9,11.7,867
2023-01-27,11.2,11.4,11,11,720
2023-01-31,11,11,11,11,810
2023-02-01,11.2,11.95,11,11,1164
2023-02-02,11,11,11,11,300
2023-02-03,11.4,11.4,11.4,11.4,31
2023-02-06,11.05,11.05,11,11,218
2023-02-08,11,11,11,11,136
2023-02-09,11.35,12,11.35,12,225
2023-02-10,10.95,10.95,10.8,10.8,235
2023-02-13,10.8,11.2,10.7,11.2,228
2023-02-14,10.7,11.3,10,11.3,909
2023-02-15,10.8,11.85,10.2,11.85,1095
2023-02-16,10.55,11.75,10.4,10.7,3182
2023-02-17,10.7,10.7,10.1,10.3,1320
2023-02-20,10.35,11.5,10.35,10.4,1025
2023-02-21,10.3,10.3,10.3,10.3,200
