Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-04-23,1.2583,1.2858,0.9368,1.0379,102942
2012-04-24,1.0379,1.0379,0.7072,0.9184,66132
2012-04-25,0.8817,0.9093,0.799,0.8633,23874
2012-04-26,0.8725,0.9184,0.799,0.8725,26202
2012-04-27,0.845,0.8725,0.8266,0.8266,15902
2012-04-30,0.8541,0.8633,0.8541,0.8633,3038
2012-05-02,0.8633,0.8633,0.8633,0.8633,1089
2012-05-04,0.8541,0.8541,0.8266,0.8541,2394
2012-05-07,0.8082,0.8174,0.7531,0.7715,16719
2012-05-08,0.7623,0.7623,0.6888,0.698,10358
2012-05-09,0.698,0.8174,0.6888,0.7072,8489
2012-05-10,0.7072,0.7072,0.698,0.7072,1743
2012-05-11,0.698,0.7072,0.6613,0.7072,3084
2012-05-14,0.7072,0.845,0.7072,0.8266,16860
2012-05-15,0.8174,0.8174,0.7439,0.7807,5194
2012-05-16,0.7715,0.8358,0.6429,0.6888,33162
2012-05-17,0.6613,0.6888,0.6429,0.6613,6897
2012-05-18,0.6429,0.6704,0.6429,0.6704,2167
2012-05-21,0.6613,0.6704,0.6613,0.6704,1442
2012-05-22,0.6613,0.7439,0.6613,0.7439,9931
2012-05-23,0.7072,0.7072,0.698,0.698,6533
2012-05-24,0.6704,0.6704,0.6613,0.6613,4355
2012-05-25,0.6429,0.6429,0.6429,0.6429,653
2012-05-28,0.6704,0.7531,0.6704,0.7072,4927
2012-05-29,0.7072,0.7439,0.698,0.7439,4206
2012-05-30,0.7072,0.7531,0.7072,0.7531,4595
2012-05-31,0.7164,0.7531,0.7072,0.7072,14193
2012-06-01,0.7164,0.7164,0.6704,0.6704,11815
2012-06-04,0.7072,0.7164,0.6704,0.6704,1208
2012-06-05,0.7072,0.7807,0.6521,0.7164,19480
2012-06-06,0.6888,0.6888,0.6888,0.6888,1884
2012-06-08,0.7256,0.7623,0.7164,0.7623,3397
2012-06-11,0.7256,0.7531,0.7256,0.7531,1884
2012-06-12,0.7256,0.7347,0.7164,0.7256,6582
2012-06-13,0.6888,0.6888,0.5786,0.6154,24542
2012-06-14,0.6338,0.6338,0.5695,0.5786,34978
2012-06-15,0.597,0.6061,0.597,0.6061,2613
2012-06-18,0.597,0.597,0.597,0.597,1307
2012-06-19,0.5878,0.5878,0.5695,0.5786,3398
2012-06-20,0.6061,0.6888,0.6061,0.6429,8710
2012-06-21,0.6338,0.6338,0.6338,0.6338,138883
2012-06-22,0.6338,0.6338,0.597,0.597,5008
2012-06-25,0.5878,0.5878,0.5511,0.5511,11832
2012-06-26,0.5511,0.5511,0.5143,0.5327,12619
2012-06-27,0.5236,0.5236,0.5236,0.5236,1525
2012-06-28,0.5236,0.5327,0.45925,0.45925,42555
2012-06-29,0.47193,0.47193,0.47193,0.47193,1089
2012-07-02,0.46839,0.46839,0.46839,0.46839,1513
2012-07-03,0.45925,0.45925,0.41333,0.45925,16643
2012-07-04,0.45925,0.45925,0.45925,0.45925,1090
2012-07-05,0.45001,0.45925,0.40409,0.45925,9625
2012-07-06,0.41333,0.41333,0.41333,0.41333,1089
2012-07-09,0.41333,0.41333,0.41333,0.41333,144
2012-07-10,0.39495,0.39495,0.39495,0.39495,1089
2012-07-12,0.41333,0.41333,0.41333,0.41333,1089
2012-07-16,0.40409,0.40409,0.40409,0.40409,1307
2012-07-18,0.40409,0.40409,0.40409,0.40409,762
2012-07-19,0.39495,0.39495,0.39495,0.39495,1089
2012-07-20,0.39495,0.39495,0.39495,0.39495,737
2012-07-23,0.38571,0.38571,0.38571,0.38571,871
2012-07-24,0.39495,0.40409,0.39495,0.40409,2395
2012-07-25,0.39495,0.39495,0.39495,0.39495,1198
2012-07-26,0.36742,0.36742,0.36742,0.36742,544
2012-07-27,0.32141,0.32141,0.30312,0.32141,9363
2012-07-30,0.32141,0.32141,0.32141,0.32141,218
2012-07-31,0.31462,0.31462,0.31462,0.31462,362
2012-08-01,0.31226,0.31226,0.31226,0.31226,544
2012-08-02,0.31226,0.31226,0.21129,0.27549,142276
2012-08-03,0.31226,0.31226,0.23882,0.23882,19055
2012-08-06,0.20205,0.27549,0.20205,0.27549,1269
2012-08-08,0.26635,0.33065,0.26635,0.33065,37907
2012-08-09,0.33979,0.36742,0.26635,0.28473,32684
2012-08-10,0.33065,0.33065,0.27549,0.33065,19761
2012-08-13,0.31226,0.31226,0.26635,0.31226,11486
2012-08-14,0.30312,0.32141,0.30312,0.32141,10344
2012-08-16,0.31226,0.33065,0.31226,0.33065,1089
2012-08-17,0.33065,0.39495,0.33065,0.39495,482741
2012-08-22,0.6613,0.7899,0.5602,0.5878,1204276
2012-08-23,0.597,0.6521,0.5236,0.597,219261
2012-08-24,0.6245,0.8541,0.5695,0.8541,296624
2012-08-27,0.9919,1.1572,0.7256,0.946,1146111
2012-08-28,0.9552,1.0929,0.8266,0.8266,654361
2012-08-29,0.7807,0.9,0.6704,0.7072,388600
2012-08-30,0.7256,0.7807,0.6521,0.7347,291762
2012-08-31,0.7276,0.8554,0.6882,0.7079,270940
2012-09-03,0.7164,0.7164,0.6338,0.7164,112070
2012-09-04,0.6704,0.8541,0.6613,0.845,608580
2012-09-05,0.9276,1.1113,0.9,1.1113,977268
2012-09-06,1.2766,1.2766,1.0286,1.1113,696031
2012-09-07,1.047,1.1297,1.0286,1.047,156866
2012-09-10,1.0379,1.396,1.0286,1.2858,312561
2012-09-11,1.2858,1.3777,1.1756,1.2399,229917
2012-09-12,1.2766,1.4603,1.2307,1.3317,370419
2012-09-13,1.3685,1.5154,1.3042,1.4787,440652
2012-09-14,1.497,1.5429,1.2583,1.5429,313599
2012-09-17,1.4879,1.7817,1.3042,1.7817,279762
2012-09-18,1.7634,1.9563,1.6715,1.8369,102017
2012-09-19,1.8369,2.0665,1.7451,1.7451,143688
2012-09-20,1.6349,1.9195,1.6349,1.8001,64129
2012-09-21,1.8093,1.892,1.6991,1.8277,96922
2012-09-24,1.8001,1.9012,1.5613,1.892,315353
2012-09-25,1.892,2.0022,1.791,1.8552,115747
2012-09-26,1.7894,1.8484,1.6714,1.8287,81634
2012-09-27,1.7501,1.8877,1.7403,1.8877,84914
2012-09-28,1.8582,1.8877,1.7992,1.8386,4888
2012-10-01,1.7726,1.9746,1.6715,1.8828,57133
2012-10-02,1.9195,1.9563,1.8369,1.8369,43237
2012-10-03,1.8779,1.9467,1.8386,1.9172,43891
2012-10-04,1.8484,1.9172,1.8386,1.8976,25074
2012-10-05,1.846,1.9103,1.8369,1.9103,27327
2012-10-08,1.9103,1.9103,1.8369,1.8369,14871
2012-10-09,1.892,1.892,1.8185,1.8185,9384
2012-10-10,1.846,1.892,1.846,1.892,17148
2012-10-11,1.846,1.8828,1.846,1.8736,14201
2012-10-12,1.8644,1.9654,1.846,1.9563,25953
2012-10-15,1.9563,1.9563,1.9563,1.9563,1
2012-10-16,1.9287,2.0756,1.9287,2.0756,55439
2012-10-17,2.1032,2.4155,2.1032,2.4063,52690
2012-10-18,2.4614,2.4614,2.3144,2.3879,17164
2012-10-19,2.3237,2.3879,2.2869,2.342,35710
2012-10-22,2.2501,2.3879,1.9838,2.3879,56171
2012-10-23,2.3892,2.3892,2.2515,2.3892,64365
2012-10-24,2.2961,2.3696,2.1124,2.3328,4056
2012-10-25,2.342,2.342,1.9379,1.9746,72272
2012-10-26,2.1139,2.1827,1.9664,2.163,3754
2012-10-29,2.1583,2.1583,1.993,2.0113,11241
2012-10-30,1.993,2.1124,1.6256,1.6531,36808
2012-10-31,1.6518,1.7304,1.6518,1.7304,7553
2012-11-02,1.7304,1.8681,1.7304,1.8681,3076
2012-11-05,1.8736,1.8828,1.6531,1.8185,6747
2012-11-06,1.7992,1.8681,1.7992,1.8582,577
2012-11-07,1.7009,1.7992,1.6616,1.7697,8968
2012-11-08,1.6616,1.7206,1.6321,1.6911,8582
2012-11-09,1.5731,1.6518,1.3371,1.4158,24882
2012-11-12,1.5534,1.5534,1.2487,1.465,28043
2012-11-13,1.465,1.5829,1.465,1.5633,9633
2012-11-14,1.5633,1.5633,1.465,1.5338,20451
2012-11-15,1.6321,1.6321,1.3765,1.3863,25876
2012-11-16,1.3273,1.465,1.3273,1.3765,5624
2012-11-19,1.2782,1.2782,1.0913,1.0913,45755
2012-11-20,1.1307,1.2585,1.1208,1.2192,4960
2012-11-21,1.2192,1.229,1.2192,1.229,153
2012-11-22,1.1995,1.4551,1.0815,1.3765,21195
2012-11-23,1.4453,1.4453,1.3076,1.3765,4137
2012-11-26,1.4355,1.4355,1.2978,1.2978,3122
2012-11-27,1.3568,1.3765,1.3568,1.3765,4424
2012-11-28,1.3765,1.4256,1.3765,1.4256,1017
2012-11-29,1.4158,1.4158,1.3765,1.3765,1139
2012-11-30,1.4158,1.5239,1.2388,1.4945,1893
2012-12-03,1.4355,1.4355,1.3371,1.4355,3194
2012-12-04,1.4453,1.4453,1.3273,1.4453,1547
2012-12-05,1.2782,1.4453,1.2782,1.4355,2575
2012-12-06,1.4355,1.5731,1.4355,1.5239,5418
2012-12-07,1.5239,1.5338,1.4256,1.5239,1461
2012-12-10,1.347,1.5239,1.347,1.5239,21712
2012-12-11,1.3568,1.5141,1.3568,1.5141,9705
2012-12-12,1.3273,1.4748,1.2782,1.2782,11201
2012-12-13,1.4748,1.4748,1.4551,1.4551,2136
2012-12-14,1.229,1.4256,1.229,1.4256,2563
2012-12-17,1.4355,1.4355,1.4355,1.4355,11
2012-12-19,1.4158,1.4158,1.4158,1.4158,210
2012-12-20,1.1405,1.1897,1.1405,1.1897,4067
2012-12-21,1.2487,1.3273,1.2487,1.2782,2566
2012-12-27,1.3175,1.3175,1.0618,1.2388,1210
2012-12-28,1.0815,1.406,1.0422,1.0422,32959
2013-01-02,1.2487,1.2782,1.0913,1.1798,4546
2013-01-03,1.1798,1.229,1.1798,1.229,1503
2013-01-04,1.229,1.3568,1.1897,1.229,2156
2013-01-07,1.229,1.2388,1.1307,1.2388,926
2013-01-08,1.2388,1.2388,1.2093,1.229,132
2013-01-09,1.229,1.4256,1.229,1.4256,11627
2013-01-10,1.465,1.465,1.2782,1.3371,4052
2013-01-11,1.3273,1.5829,1.3175,1.4551,2438
2013-01-14,1.4355,1.4355,1.3765,1.3765,69
2013-01-15,1.3568,1.3568,1.229,1.3273,1395
2013-01-16,1.3273,1.3568,1.3273,1.3568,112
2013-01-17,1.3568,1.3568,1.2487,1.3371,1035
2013-01-18,1.3371,1.3371,1.3371,1.3371,36
2013-01-21,1.2782,1.2782,1.1798,1.229,3788
2013-01-22,1.229,1.229,1.0913,1.1798,3143
2013-01-23,1.1602,1.1798,1.0913,1.1798,3386
2013-01-24,1.17,1.2388,1.17,1.2388,1312
2013-01-25,1.229,1.3273,1.1798,1.2782,5944
2013-01-28,1.1602,1.229,1.111,1.229,48547
2013-01-29,1.229,1.229,1.1208,1.1208,2691
2013-01-30,1.0913,1.3273,1.0913,1.2585,7915
2013-01-31,1.1602,1.2388,1.1307,1.2388,1802
2013-02-01,1.2192,1.2192,1.1798,1.1798,5096
2013-02-04,1.1798,1.1995,1.0913,1.1798,8452
2013-02-05,1.1503,1.1503,0.993,1.0127,2318
2013-02-06,1.0815,1.0913,0.9045,0.9635,24835
2013-02-07,0.9537,1.052,0.9242,1.0029,28156
2013-02-08,0.9832,0.9832,0.9439,0.9832,2349
2013-02-11,0.9734,0.9832,0.9635,0.9832,4104
2013-02-12,0.9832,1.0815,0.9832,1.0815,7738
2013-02-13,1.0717,1.0717,1.0717,1.0717,51
2013-02-14,1.0815,1.0815,0.9734,0.9832,28938
2013-02-15,1.0225,1.1307,1.0029,1.1307,13909
2013-02-18,1.0815,1.0815,1.0815,1.0815,41
2013-02-19,1.1307,1.1307,1.0324,1.1208,3381
2013-02-20,1.1012,1.1307,1.1012,1.1307,407
2013-02-21,1.1208,1.1208,1.0324,1.111,7204
2013-02-22,1.0422,1.1208,0.9832,1.1208,1201
2013-02-25,0.9832,1.1307,0.9832,1.1307,1927
2013-02-26,1.0815,1.111,0.9832,1.111,4830
2013-02-27,1.0324,1.0422,1.0324,1.0422,1736
2013-02-28,0.9832,1.0422,0.9635,1.0422,2390
2013-03-04,1.0422,1.0815,1.0127,1.0815,2994
2013-03-05,1.0815,1.0815,1.0127,1.0618,2371
2013-03-06,1.0815,1.0815,1.0815,1.0815,31
2013-03-07,1.0717,1.0717,1.0618,1.0618,92
2013-03-08,1.0717,1.0717,1.0717,1.0717,51
2013-03-11,1.0225,1.052,1.0127,1.052,5197
2013-03-14,1.0127,1.0618,0.9439,1.0618,3711
2013-03-15,1.0422,1.0422,1.0422,1.0422,51
2013-03-18,1.052,1.052,0.9537,1.0324,1894
2013-03-19,1.0324,1.0324,0.8259,0.8259,1648
2013-03-20,0.9537,0.9537,0.8554,0.9242,1408
2013-03-21,0.8554,0.9734,0.8554,0.9635,10629
2013-03-22,0.9635,1.0815,0.8849,1.0618,9427
2013-03-25,1.0815,1.1798,1.0029,1.0815,3692
2013-03-26,1.0029,1.0815,0.9537,1.0815,6510
2013-03-27,1.0815,1.0913,1.0029,1.0913,1404
2013-03-28,0.993,1.0717,0.9635,0.9734,88569
2013-04-02,1.0618,1.1798,0.9635,1.1798,68882
2013-04-03,1.1798,1.1798,1.0913,1.1798,48918
2013-04-04,1.1798,1.4158,1.1798,1.4158,39365
2013-04-05,1.4158,1.4551,1.3371,1.4551,3648
2013-04-08,1.3765,1.4551,1.3175,1.3961,11396
2013-04-09,1.2978,1.3273,1.2782,1.2782,8759
2013-04-10,1.2978,1.3076,1.2487,1.3076,8104
2013-04-11,1.3273,1.3961,1.17,1.3961,9082
2013-04-12,1.3863,1.4256,1.2978,1.4256,2627
2013-04-15,1.4551,1.4551,1.2782,1.3076,2087
2013-04-17,1.2782,1.3076,1.1897,1.3076,1078
2013-04-18,1.229,1.4748,1.229,1.4748,14492
2013-04-19,1.5731,1.5731,1.3765,1.4748,4664
2013-04-22,1.3765,1.4748,1.3765,1.4748,397
2013-04-23,1.4748,1.5731,1.3568,1.4551,9063
2013-04-24,1.4551,1.5534,1.347,1.4453,6983
2013-04-25,1.3666,1.4355,1.1307,1.1307,10047
2013-04-26,1.3175,1.3273,1.1798,1.1897,1454
2013-04-29,1.1897,1.3371,0.9537,0.9537,3051
2013-04-30,1.0815,1.1798,1.0815,1.1798,427
2013-05-02,1.1208,1.1897,1.1208,1.1897,1922
2013-05-07,1.1897,1.2782,1.1798,1.2782,2056
2013-05-10,1.2782,1.2782,1.0225,1.2782,5351
2013-05-13,1.1798,1.229,1.0225,1.229,3389
2013-05-14,1.229,1.2388,1.229,1.2388,204
2013-05-15,1.2388,1.2388,1.2388,1.2388,153
2013-05-17,1.2388,1.3666,1.1995,1.229,4685
2013-05-20,1.229,1.229,0.9832,1.1307,22551
2013-05-21,1.1012,1.1405,1.1012,1.1405,5045
2013-05-22,1.0815,1.1405,1.0324,1.1405,2197
2013-05-23,1.1307,1.1307,1.1307,1.1307,20
2013-05-24,1.1208,1.1208,1.1208,1.1208,54
2013-05-29,1.052,1.1307,0.9635,1.1208,16375
2013-05-31,1.0225,1.3666,1.0225,1.3666,27078
2013-06-03,1.1897,1.3273,1.1897,1.3273,4147
2013-06-04,1.229,1.4355,1.0913,1.3765,8220
2013-06-05,1.2683,1.2782,1.1307,1.2683,6688
2013-06-06,1.2585,1.2585,1.0324,1.2585,2864
2013-06-07,1.1307,1.2782,1.0324,1.2585,8000
